VEH_NO,PER_NO,ST_CASE,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
1,1,10001,26,16,0,0,0,0,0,0,0,0
2,1,10001,0,0,0,0,0,0,0,0,0,0
0,1,10002,0,0,0,0,0,0,0,0,0,0
1,1,10002,0,0,0,0,0,0,0,0,0,0
1,1,10003,0,0,0,0,0,0,0,0,0,0
2,1,10003,0,0,0,0,0,0,0,0,0,0
1,1,10004,0,0,0,0,0,0,0,0,0,0
2,1,10004,0,0,0,0,0,0,0,0,0,0
1,1,10005,27,15,18,22,24,22,21,27,20,12
1,1,10006,0,0,0,0,0,0,0,0,0,0
2,1,10006,0,0,0,0,0,0,0,0,0,0
1,1,10007,0,0,0,0,0,0,0,0,0,0
0,1,10008,0,0,0,0,0,0,0,0,0,0
1,1,10008,0,0,0,0,0,0,0,0,0,0
1,1,10009,22,22,22,22,22,22,22,22,22,22
1,1,10010,10,12,9,11,17,7,19,15,6,12
2,1,10010,0,0,0,0,0,0,0,0,0,0
1,1,10011,0,0,0,0,0,0,0,0,0,0
1,1,10012,22,22,22,22,22,22,22,22,22,22
1,1,10013,0,0,0,0,3,0,0,0,17,0
2,1,10013,0,0,0,0,0,0,0,0,0,0
1,1,10014,27,27,27,27,27,27,27,27,27,27
1,1,10015,39,39,39,39,39,39,39,39,39,39
1,1,10016,27,27,27,27,27,27,27,27,27,27
2,1,10016,0,0,0,0,20,0,0,0,0,0
1,1,10017,0,0,0,0,0,0,0,0,0,0
2,1,10017,0,0,0,0,0,0,0,0,0,0
1,1,10018,31,31,31,31,31,31,31,31,31,31
1,1,10019,0,0,0,0,0,0,0,0,0,0
2,1,10019,0,0,0,0,0,0,0,0,0,0
1,1,10020,10,10,10,10,10,10,10,10,10,10
1,1,10021,0,0,0,0,0,0,0,0,0,0
2,1,10021,0,0,0,0,0,0,0,0,0,0
1,1,10022,0,0,0,0,0,0,0,0,0,0
1,1,10023,0,0,0,0,0,0,0,0,0,0
2,1,10023,0,0,0,0,0,0,0,0,0,0
1,1,10024,0,0,0,0,0,0,8,0,0,0
2,1,10024,0,0,0,0,0,0,0,0,0,0
1,1,10025,0,18,13,0,0,0,0,0,0,0
2,1,10025,0,0,0,0,0,0,0,0,0,0
3,1,10025,0,0,0,0,0,0,0,0,0,0
4,1,10025,15,0,0,0,0,0,0,0,0,0
1,1,10026,0,0,0,0,0,0,0,4,0,0
2,1,10026,0,0,0,0,0,0,0,0,0,0
3,1,10026,0,0,0,0,0,0,0,0,0,0
1,1,10027,18,25,19,13,24,34,18,9,0,19
1,1,10028,0,0,0,0,0,0,0,0,0,0
0,1,10029,0,0,0,0,0,0,0,0,0,0
2,1,10029,0,0,0,0,0,0,0,0,0,0
1,1,10030,14,28,16,23,17,22,29,13,11,22
2,1,10030,30,30,30,30,30,30,30,30,30,30
1,1,10031,0,0,0,0,0,0,0,0,0,0
2,1,10031,0,0,0,0,0,0,0,0,0,0
3,1,10031,0,3,0,0,0,0,0,0,0,0
1,1,10032,5,5,5,5,5,5,5,5,5,5
1,1,10033,24,24,24,24,24,24,24,24,24,24
2,1,10033,0,0,0,0,0,0,0,0,0,0
1,1,10034,14,14,14,14,14,14,14,14,14,14
0,1,10035,11,0,0,0,0,0,0,21,0,22
1,1,10035,0,0,0,0,0,0,0,0,0,0
1,1,10036,0,0,0,0,0,0,0,0,0,0
2,1,10036,0,0,0,0,0,0,0,0,0,0
0,1,10038,0,0,0,0,0,0,0,0,0,0
1,1,10038,0,0,0,0,0,0,0,0,0,0
1,1,10039,0,0,0,0,0,0,0,0,0,0
2,1,10039,0,0,0,0,0,0,0,0,0,0
1,1,10040,0,0,0,0,0,0,0,0,0,0
2,1,10040,0,0,0,0,0,0,0,0,0,0
1,1,10041,26,13,27,34,25,22,26,22,21,24
1,1,10042,0,0,0,0,0,0,0,0,0,0
2,1,10042,0,0,0,0,0,11,0,0,0,0
1,1,10043,0,0,0,0,0,0,0,0,0,0
2,1,10043,0,0,0,0,8,0,3,0,0,5
1,1,10044,0,21,7,23,0,19,5,22,17,0
1,1,10045,23,0,0,0,0,0,0,0,0,0
2,1,10045,0,0,0,0,0,0,0,0,0,0
1,1,10046,7,16,17,18,5,24,24,24,4,17
1,1,10047,0,0,0,0,0,0,0,0,0,0
1,1,10048,22,22,22,22,22,22,22,22,22,22
1,1,10049,0,0,0,0,0,0,0,0,0,0
1,1,10050,0,0,0,11,22,0,0,0,0,0
2,1,10050,5,0,0,0,0,0,0,0,0,15
1,1,10051,0,0,0,0,0,0,0,0,0,0
2,1,10051,0,0,0,0,0,0,0,0,0,0
1,1,10052,0,0,8,0,0,0,0,0,0,0
1,1,10053,16,16,16,16,16,16,16,16,16,16
2,1,10053,0,0,0,0,0,0,0,0,0,0
1,1,10054,0,0,0,0,0,0,0,0,0,0
2,1,10054,0,0,0,0,0,0,0,0,0,0
1,1,10055,15,15,15,15,15,15,15,15,15,15
1,1,10056,0,0,0,21,0,0,0,0,0,0
0,1,10057,26,26,26,26,26,26,26,26,26,26
1,1,10057,0,0,0,0,0,0,0,0,0,0
1,1,10058,20,20,20,20,20,20,20,20,20,20
1,1,10059,0,0,0,0,0,0,0,0,0,0
2,1,10059,0,0,0,0,0,0,0,0,0,0
1,1,10060,19,19,19,19,19,19,19,19,19,19
1,1,10061,22,22,22,22,22,22,22,22,22,22
1,1,10062,0,0,0,0,0,0,0,0,0,0
1,1,10063,0,0,0,0,0,0,0,0,0,0
2,1,10063,0,0,0,0,0,0,0,0,0,0
1,1,10064,9,9,9,9,9,9,9,9,9,9
1,1,10065,0,0,0,0,0,0,0,0,0,0
2,1,10065,0,0,0,0,0,0,0,0,10,0
1,1,10066,0,0,0,0,0,0,0,0,0,0
2,1,10066,0,0,0,0,0,0,0,0,0,0
3,1,10066,0,0,0,0,0,0,0,0,0,0
4,1,10066,0,0,0,0,0,0,0,0,0,0
1,1,10067,0,0,0,0,0,0,0,0,0,0
2,1,10067,0,0,0,0,0,0,0,0,0,0
1,1,10068,22,22,22,22,22,22,22,22,22,22
1,1,10069,0,0,0,5,0,0,0,0,0,0
2,1,10069,0,0,0,0,0,0,0,0,0,0
1,1,10070,0,0,0,0,0,0,0,0,0,0
1,1,10071,10,11,25,19,10,9,18,9,18,13
2,1,10071,0,11,0,0,0,0,0,0,0,0
0,1,10072,11,0,0,0,0,0,0,0,0,0
1,1,10072,0,0,0,0,0,0,0,0,0,0
1,1,10073,0,13,0,0,0,14,15,6,13,0
1,1,10074,0,0,0,0,0,0,0,0,0,0
1,1,10075,0,0,0,0,0,0,0,0,0,0
2,1,10075,0,0,0,0,0,0,0,0,0,0
1,1,10076,16,16,16,16,16,16,16,16,16,16
1,1,10077,7,0,0,0,0,0,0,0,0,0
2,1,10077,12,8,0,0,0,0,0,0,0,0
1,1,10078,33,33,33,33,33,33,33,33,33,33
1,1,10079,15,15,15,15,15,15,15,15,15,15
1,1,10080,0,0,0,0,0,0,0,0,0,0
2,1,10080,0,0,0,0,0,0,0,0,0,0
1,1,10081,17,28,23,16,11,17,17,17,13,19
1,1,10082,0,15,0,0,0,0,0,0,0,0
2,1,10082,0,0,0,0,0,0,0,0,0,0
