ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10001,26,16,0,0,0,0,0,0,0,0
10002,0,0,0,0,0,0,0,0,0,0
10003,0,0,0,0,0,0,0,0,0,0
10004,0,0,0,0,0,0,0,0,0,0
10005,27,15,18,22,24,22,21,27,20,12
10006,0,0,0,0,0,0,0,0,0,0
10007,0,0,0,0,0,0,0,0,0,0
10008,0,0,0,0,0,0,0,0,0,0
10009,22,22,22,22,22,22,22,22,22,22
10010,10,12,9,11,17,7,19,15,6,12
10011,0,0,0,0,0,0,0,0,0,0
10012,22,22,22,22,22,22,22,22,22,22
10013,0,0,0,0,3,0,0,0,17,0
10014,27,27,27,27,27,27,27,27,27,27
10015,39,39,39,39,39,39,39,39,39,39
10016,27,27,27,27,27,27,27,27,27,27
10017,0,0,0,0,0,0,0,0,0,0
10018,31,31,31,31,31,31,31,31,31,31
10019,0,0,0,0,0,0,0,0,0,0
10020,10,10,10,10,10,10,10,10,10,10
10021,0,0,0,0,0,0,0,0,0,0
10022,0,0,0,0,0,0,0,0,0,0
10023,0,0,0,0,0,0,0,0,0,0
10024,0,0,0,0,0,0,8,0,0,0
10025,15,18,13,0,0,0,0,0,0,0
10026,0,0,0,0,0,0,0,4,0,0
10027,18,25,19,13,24,34,18,9,0,19
10028,0,0,0,0,0,0,0,0,0,0
10029,0,0,0,0,0,0,0,0,0,0
10030,30,30,30,30,30,30,30,30,30,30
10031,0,3,0,0,0,0,0,0,0,0
10032,5,5,5,5,5,5,5,5,5,5
10033,24,24,24,24,24,24,24,24,24,24
10034,14,14,14,14,14,14,14,14,14,14
10035,11,0,0,0,0,0,0,21,0,22
10036,0,0,0,0,0,0,0,0,0,0
10038,0,0,0,0,0,0,0,0,0,0
10039,0,0,0,0,0,0,0,0,0,0
10040,0,0,0,0,0,0,0,0,0,0
10041,26,13,27,34,25,22,26,22,21,24
10042,0,0,0,0,0,11,0,0,0,0
10043,0,0,0,0,8,0,3,0,0,5
10044,0,21,7,23,0,19,5,22,17,0
10045,23,0,0,0,0,0,0,0,0,0
10046,7,16,17,18,5,24,24,24,4,17
10047,0,0,0,0,0,0,0,0,0,0
10048,22,22,22,22,22,22,22,22,22,22
10049,0,0,0,0,0,0,0,0,0,0
10050,5,0,0,11,22,0,0,0,0,15
10051,0,0,0,0,0,0,0,0,0,0
10052,0,0,8,0,0,0,0,0,0,0
10053,16,16,16,16,16,16,16,16,16,16
10054,0,0,0,0,0,0,0,0,0,0
10055,15,15,15,15,15,15,15,15,15,15
10056,0,0,0,21,0,0,0,0,0,0
10057,26,26,26,26,26,26,26,26,26,26
10058,20,20,20,20,20,20,20,20,20,20
10059,0,0,0,0,0,0,0,0,0,0
10060,19,19,19,19,19,19,19,19,19,19
10061,22,22,22,22,22,22,22,22,22,22
10062,0,0,0,0,0,0,0,0,0,0
10063,0,0,0,0,0,0,0,0,0,0
10064,9,9,9,9,9,9,9,9,9,9
10065,0,0,0,0,0,0,0,0,10,0
10066,0,0,0,0,0,0,0,0,0,0
10067,0,0,0,0,0,0,0,0,0,0
10068,22,22,22,22,22,22,22,22,22,22
10069,0,0,0,5,0,0,0,0,0,0
10070,0,0,0,0,0,0,0,0,0,0
10071,10,11,25,19,10,9,18,9,18,13
10072,11,0,0,0,0,0,0,0,0,0
10073,0,13,0,0,0,14,15,6,13,0
10074,0,0,0,0,0,0,0,0,0,0
10075,0,0,0,0,0,0,0,0,0,0
10076,16,16,16,16,16,16,16,16,16,16
10077,12,8,0,0,0,0,0,0,0,0
10078,33,33,33,33,33,33,33,33,33,33
10079,15,15,15,15,15,15,15,15,15,15
10080,0,0,0,0,0,0,0,0,0,0
10081,17,28,23,16,11,17,17,17,13,19
10082,0,15,0,0,0,0,0,0,0,0
10083,5,9,16,21,12,23,18,0,9,18
10084,0,0,0,0,0,0,0,0,0,0
10085,0,0,0,0,0,0,0,0,0,0
10086,13,13,13,13,13,13,13,13,13,13
10087,3,3,3,3,3,3,3,3,3,3
10088,0,15,0,0,3,0,0,0,0,0
10089,0,0,0,0,0,0,0,0,0,0
10090,17,17,17,17,17,17,17,17,17,17
10091,0,0,0,0,0,0,0,0,0,0
10092,0,0,0,0,0,0,0,0,0,0
10093,0,0,0,0,0,0,0,0,0,0
10094,0,0,0,0,0,0,0,0,0,0
10095,0,0,0,0,0,0,0,0,0,0
10096,15,17,23,26,13,2,22,26,18,16
10097,0,0,0,0,0,15,0,9,0,0
10098,15,15,15,15,15,15,15,15,15,15
10099,0,0,0,0,0,0,0,0,0,0
10100,0,0,0,0,0,0,0,0,0,9
10101,17,28,17,17,17,17,17,17,17,17
10102,0,0,0,0,0,0,0,0,0,0
10103,0,0,0,0,0,0,0,0,0,0
10104,25,25,25,25,25,25,25,25,25,25
10105,0,0,0,0,0,0,0,0,0,0
10106,12,0,0,13,0,0,0,0,0,0
10107,19,0,9,24,0,9,2,0,10,24
10108,19,24,23,7,18,18,12,20,14,28
10109,0,0,0,0,0,0,0,0,0,0
10110,13,7,17,29,11,33,14,28,17,26
10111,0,0,0,0,0,0,0,0,0,0
10112,0,0,0,0,0,0,0,0,0,0
10113,13,13,13,13,13,13,13,13,13,13
10114,22,22,22,22,22,22,22,22,22,22
10115,5,5,5,5,5,5,5,5,5,5
10116,15,15,15,15,15,15,15,15,15,15
10117,0,0,0,0,0,0,0,0,0,0
10118,9,9,9,9,9,9,9,9,9,9
10119,0,0,0,0,0,0,0,0,0,0
10120,2,2,2,2,2,2,2,2,2,2
10121,42,42,42,42,42,42,42,42,42,42
10122,0,0,0,0,0,0,0,0,0,0
10123,0,0,0,0,0,0,0,0,0,0
10124,0,0,0,0,0,0,0,0,0,0
10125,0,0,0,0,0,0,0,0,0,0
10126,4,5,0,0,0,0,0,0,0,0
10127,0,0,0,0,0,0,0,0,0,0
10128,0,0,0,0,0,0,0,0,0,0
10129,7,7,7,7,7,7,7,7,7,7
10130,13,11,5,16,11,11,14,16,29,20
10131,0,0,0,0,0,0,0,0,0,0
10132,12,12,12,12,12,12,12,12,12,12
10133,0,0,0,0,0,8,0,0,0,0
10134,0,0,0,0,0,0,0,0,0,0
10135,0,29,15,10,6,24,0,4,0,0
10136,16,0,6,0,4,0,6,0,0,15
10137,0,0,0,0,0,0,0,0,0,0
10138,0,0,0,0,0,0,0,0,0,0
10139,0,0,0,0,0,0,0,0,0,0
10140,28,33,13,10,16,0,39,10,39,36
10141,0,0,0,0,0,0,0,0,0,0
10142,0,0,0,0,0,0,0,0,0,0
10143,38,38,38,38,38,38,38,38,38,38
10144,7,7,7,7,7,7,7,7,7,7
10145,0,0,0,0,0,0,0,0,0,0
10146,0,0,0,0,0,0,0,0,0,0
10147,0,0,0,13,0,0,0,0,0,0
10148,0,0,0,0,0,21,0,0,0,0
10149,0,0,0,0,0,0,0,0,0,0
10150,0,0,0,0,0,0,0,0,0,0
10151,12,12,12,12,12,12,12,12,12,12
