VIN,VIN_1,VIN_2,VIN_3,VIN_4,VIN_5,VIN_6,VIN_7,VIN_8,VIN_9,VIN_10,VIN_11,VIN_12,STATE,VEH_NO,NUMOCCS,MAKE,MODEL,BODY_TYP,REG_STAT,OWNER,ROLLOVER,J_KNIFE,TRAV_SP,HAZ_INV,HAZ_PLAC,HAZ_CNO,HAZ_REL,TOW_VEH,V_CONFIG,CARGO_BT,HIT_RUN,ROLINLOC,SPEC_USE,EMER_USE,IMPACT1,IMPACT2,UNDERIDE,DEFORMED,IMPACTS,TOWED,FIRE_EXP,VEH_CF1,VEH_CF2,VEH_MAN,AVOID,M_HARM,DEATHS,SEQ1,SEQ2,SEQ3,SEQ4,SEQ5,SEQ6,VIN_LNGT,BUS_USE,GVWR,UNITTYPE,MCARR_I1,ST_CASE,HAZ_ID,MAK_MOD,MOD_YEAR,VINA_MOD,SER_TR,VIN_BT,MCARR_I2,FLDCD_TR,MCARR_ID,WHLBS_SH,WHLBS_LG,MCYCL_DS,VIN_WGT,WGTCD_TR,DR_PRES,DR_DRINK,L_STATE,L_TYPE,L_STATUS,CDL_STAT,L_ENDORS,L_COMPL,L_RESTRI,VIOLCHG1,VIOLCHG2,VIOLCHG3,SPEEDREL,PREV_ACC,PREV_SUS,PREV_DWI,PREV_SPD,PREV_OTH,LAST_MO,FIRST_MO,DR_CF1,DR_CF2,DR_CF3,DR_CF4,DR_WGT,DR_HGT,D_VISION1,D_VISION2,D_VISION3,LAST_YR,FIRST_YR,DR_ZIP,MONTH,DAY,HOUR,MINUTE,HARM_EV,MAN_COLL,VE_FORMS
1D7HU18D24J2,1,D,7,H,U,1,8,D,2,4,J,2,1,4,0,7,482,31,1,6,0,0,999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,0,0,0,99,8,7,0,99,99,99,99,99,99,17,0,0,3,0,10594,0,7482,2004,SQ1,RPC,CW,000000000,G,00000000000,1405,1605,,,2,0,0,,,,,,,,,,,9,,,,,,,,0,0,0,0,,,99,99,99,,,,10,20,18,45,12,3,2
1FUJA6CKX4LM,1,F,U,J,A,6,C,K,X,4,L,M,1,2,1,82,883,66,27,6,0,0,999,1,0,0,0,1,6,1,0,0,0,0,6,6,0,6,2,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,3,2,57,10652,0,82883,2004,COL,CON,DS,1084893,D,571084893,0,0,,,8,0,0,,,,,,,,,,,9,,,,,,,,0,0,0,0,,,99,99,99,,,,12,4,12,45,14,1,1
1GCHG39RX111,1,G,C,H,G,3,9,R,X,1,1,1,1,2,0,20,461,21,1,6,0,0,999,1,0,0,0,0,0,0,0,0,0,0,7,7,0,9,2,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,0,3,0,10701,0,20461,2001,E35,EXP,EC,000000000,G,00000000000,1550,0,,,2,0,0,,,,,,,,,,,9,,,,,,,,0,0,0,0,,,99,99,99,,,,12,26,19,40,14,5,1
1FUYSDYB1YPA,1,F,U,Y,S,D,Y,B,1,Y,P,A,1,2,0,82,881,66,39,6,0,0,999,1,0,0,0,1,6,1,0,0,0,0,6,6,0,6,2,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,3,2,57,10740,0,82881,2000,FC2,CON,DS,719355,D,57719355,0,0,,,8,0,0,,,,,,,,,,,9,,,,,,,,0,0,0,0,,,99,99,99,,,,3,15,11,10,14,1,1
1ZVFT80N6551,1,Z,V,F,T,8,0,N,6,5,5,1,4,2,0,12,3,2,4,6,0,0,999,1,0,0,0,0,0,0,0,0,0,0,99,99,0,4,2,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,0,3,0,40036,0,12003,2005,MUS,***,CP,000000000,*,00000000000,1071,0,,3300,,0,0,,,,,,,,,,,9,,,,,,,,0,0,0,0,,,99,99,99,,,,1,10,4,37,1,0,1
1HGCM66564A0,1,H,G,C,M,6,6,5,6,4,A,0,4,2,0,37,32,4,16,6,0,0,999,1,0,0,0,0,0,0,0,0,0,0,6,6,0,6,2,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,0,2,0,40083,0,37032,2004,UEX,***,4D,000000000,*,00000000000,1079,0,,0,,0,0,,,,,,,,,,,9,,,,,,,,0,0,0,0,,,99,99,99,,,,2,7,15,52,14,9,1
1J4FY29P9WP7,1,J,4,F,Y,2,9,P,9,W,P,7,4,2,0,2,403,14,4,6,0,0,999,1,0,0,0,0,0,0,0,0,0,0,6,99,0,6,3,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,0,3,0,40106,0,2403,1998,SEW,W/T,2W,000000000,G,00000000000,934,0,,,1,0,0,,,,,,,,,,,9,,,,,,,,0,0,0,0,,,99,99,99,,,,3,10,14,27,53,0,1
1G1JF52FX371,1,G,1,J,F,5,2,F,X,3,7,1,4,2,0,20,16,4,4,6,0,0,999,1,0,0,0,0,0,0,0,0,0,0,6,6,0,4,2,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,0,3,0,40266,0,20016,2003,CAS,***,4D,000000000,*,00000000000,1041,0,,2676,,0,0,,,,,,,,,,,9,,,,,,,,0,0,0,0,,,99,99,99,,,,3,21,1,14,33,0,1
5Y2SL64803Z4,5,Y,2,S,L,6,4,8,0,3,Z,4,4,3,0,22,32,6,4,6,0,0,999,1,0,0,0,0,0,0,0,0,0,0,6,6,0,4,2,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,0,3,0,40266,0,22032,2003,VIB,***,4H,000000000,*,00000000000,1024,0,,2700,,0,0,,,,,,,,,,,9,,,,,,,,0,0,0,0,,,99,99,99,,,,3,21,1,14,33,0,1
2FAHP71W06X1,2,F,A,H,P,7,1,W,0,6,X,1,4,2,1,12,16,4,4,6,0,0,999,1,0,0,0,0,0,0,0,0,5,9,6,6,0,6,3,9,1,0,0,99,8,12,1,99,99,99,99,99,99,17,0,0,2,0,40295,0,12016,2006,CVP,***,4D,000000000,*,00000000000,1147,0,,0,,0,0,,,,,,,,,,,9,,,,,,,,0,0,0,0,,,99,99,99,,,,6,3,1,43,14,1,1
