A_AGE1,A_AGE2,A_AGE3,A_AGE4,A_AGE5,A_AGE6,A_AGE7,A_AGE8,A_AGE9,VEH_NO,PER_NO,ST_CASE,YEAR,A_PTYPE,A_REST,A_ALCTES,A_HISP,A_RCAT,A_HRACE,A_EJECT,A_PERINJ,A_LOC
2,2,5,2,2,2,4,1,2,3,2,20028,2009,2,3,3,1,1,2,1,1,1
2,2,5,2,2,2,4,1,2,3,3,20028,2009,2,1,3,0,0,0,1,6,1
4,5,10,6,7,7,9,5,2,4,1,20028,2009,1,1,1,0,0,0,1,6,1
3,5,9,6,6,6,8,5,2,4,2,20028,2009,2,1,3,0,0,0,1,6,1
3,5,9,6,6,6,8,5,2,1,1,20029,2009,1,3,1,0,0,0,1,6,1
3,4,7,4,4,4,6,3,2,2,1,20029,2009,1,2,1,1,1,2,2,1,1
4,5,11,7,8,8,10,6,2,1,1,20030,2009,1,1,1,1,1,2,1,1,1
2,3,6,3,3,3,5,2,2,1,1,20031,2009,1,1,1,1,1,2,1,1,1
3,5,9,6,6,6,8,4,2,1,1,20032,2009,1,2,2,1,1,2,2,1,1
2,2,5,2,2,2,4,1,2,1,1,20033,2009,1,1,1,1,1,2,1,1,1
2,2,5,2,2,2,4,1,2,1,2,20033,2009,2,1,3,0,0,0,1,6,1
2,2,5,2,2,2,4,1,2,1,3,20033,2009,2,1,3,0,0,0,1,6,1
3,5,9,6,6,6,8,5,2,2,1,20033,2009,1,1,3,0,0,0,1,6,1
3,5,9,6,6,6,8,5,2,1,1,20034,2009,1,1,2,1,1,2,1,1,1
3,5,9,6,6,6,8,4,2,0,1,20035,2009,3,2,1,1,3,4,1,1,3
3,4,7,4,4,4,6,2,2,1,1,20035,2009,1,1,1,0,0,0,1,6,1
4,5,10,6,7,7,9,5,2,1,1,20036,2009,1,1,1,0,0,0,1,6,1
3,4,7,4,4,4,6,2,2,2,1,20036,2009,1,2,2,1,1,2,1,1,1
3,5,8,5,5,5,7,4,2,1,1,20037,2009,1,2,2,1,1,2,2,1,1
4,5,11,7,8,8,10,6,2,1,1,20038,2009,1,2,3,1,1,2,2,1,1
3,5,8,5,5,5,7,3,2,1,1,20039,2009,1,1,1,0,0,0,1,6,1
1,1,3,1,1,1,3,1,1,1,2,20039,2009,2,1,3,0,0,0,1,6,1
1,1,3,1,1,1,3,1,1,1,3,20039,2009,2,1,3,0,0,0,1,6,1
3,4,7,4,4,4,6,3,2,2,1,20039,2009,1,1,3,0,0,0,1,6,1
2,3,6,3,3,3,5,2,2,2,2,20039,2009,2,1,3,0,0,0,1,6,1
3,4,7,4,4,4,6,2,2,3,1,20039,2009,1,1,1,1,7,8,1,1,1
3,4,7,4,4,4,6,2,2,3,2,20039,2009,2,1,3,0,0,0,1,6,1
3,5,9,6,6,6,8,5,2,4,1,20039,2009,1,1,3,0,0,0,1,6,1
2,3,6,3,3,3,5,2,2,4,2,20039,2009,2,1,3,0,0,0,1,6,1
4,5,11,7,8,8,10,6,2,4,3,20039,2009,2,1,3,0,0,0,1,6,1
3,4,7,4,4,4,6,3,2,0,1,20040,2009,3,2,2,1,3,4,1,1,2
3,4,7,4,4,4,6,3,2,1,1,20040,2009,1,1,1,0,0,0,1,6,1
3,4,7,4,4,4,6,2,2,1,1,20041,2009,1,1,1,1,1,2,1,1,1
2,3,6,3,3,3,5,2,2,2,1,20041,2009,1,3,1,0,0,0,1,6,1
2,3,6,3,3,3,5,2,2,2,2,20041,2009,2,1,3,0,0,0,1,6,1
3,5,9,6,6,6,8,4,2,1,1,20042,2009,1,1,1,1,1,2,1,1,1
3,5,9,6,6,6,8,5,2,1,1,20043,2009,1,3,1,2,1,1,1,1,1
4,5,11,7,8,8,10,6,2,2,1,20043,2009,1,1,1,0,0,0,1,6,1
4,5,10,6,7,7,9,6,2,3,1,20043,2009,1,1,1,0,0,0,1,6,1
3,5,9,6,6,6,8,5,2,0,1,20044,2009,3,2,2,1,3,4,1,1,3
2,2,5,2,2,2,4,2,2,1,1,20044,2009,1,1,1,0,0,0,1,6,1
2,2,5,2,2,2,4,2,2,1,2,20044,2009,2,1,3,0,0,0,1,6,1
4,5,10,6,7,7,9,5,2,0,1,20045,2009,5,2,1,1,3,4,1,1,2
2,2,5,2,2,2,4,2,2,1,1,20045,2009,1,3,1,0,0,0,1,6,1
3,5,8,5,5,5,7,4,2,1,1,20046,2009,1,3,2,1,1,2,1,1,1
3,5,8,5,5,5,7,4,2,1,2,20046,2009,2,2,2,1,1,2,1,1,1
3,5,8,5,5,5,7,4,2,1,3,20046,2009,2,3,2,1,1,2,1,1,1
3,5,9,6,6,6,8,4,2,2,1,20046,2009,1,1,1,0,0,0,1,6,1
3,5,8,5,5,5,7,3,2,2,2,20046,2009,2,1,3,0,0,0,1,6,1
1,1,3,1,1,1,2,1,1,2,3,20046,2009,2,1,3,0,0,0,1,6,1
1,1,3,1,1,1,3,1,1,2,4,20046,2009,2,1,3,0,0,0,1,6,1
2,2,5,2,2,2,4,2,2,1,1,20047,2009,1,2,2,1,1,2,2,1,1
3,4,7,4,4,4,6,3,2,1,2,20047,2009,2,1,3,0,0,0,1,6,1
4,5,10,6,7,7,9,5,2,1,1,20048,2009,1,1,2,0,0,0,1,6,1
2,3,6,3,3,3,5,2,2,2,1,20048,2009,1,2,1,1,1,2,1,1,1
3,4,7,4,4,4,6,2,2,2,2,20048,2009,2,1,3,0,0,0,1,6,1
4,5,11,7,8,8,10,6,2,1,1,20049,2009,1,1,3,0,0,0,1,6,1
4,5,11,7,8,8,10,6,2,1,2,20049,2009,2,2,3,1,1,2,1,1,1
3,5,8,5,5,5,7,3,2,0,1,20050,2009,3,2,2,1,3,4,1,1,3
3,5,8,5,5,5,7,3,2,0,2,20050,2009,3,2,2,0,0,0,1,6,3
2,3,6,3,3,3,5,2,2,1,1,20050,2009,1,1,1,0,0,0,1,6,1
2,2,5,2,2,2,4,1,2,1,2,20050,2009,2,1,3,0,0,0,1,6,1
3,5,9,6,6,6,8,5,2,1,1,20051,2009,1,2,1,1,1,2,1,1,1
3,5,9,6,6,6,8,5,2,1,2,20051,2009,2,1,3,0,0,0,1,6,1
1,1,2,1,1,1,1,1,1,0,1,20052,2009,3,2,3,1,3,4,1,1,3
3,4,7,4,4,4,6,3,2,1,1,20052,2009,1,2,1,0,0,0,1,6,1
1,1,3,1,1,1,3,1,1,1,2,20052,2009,2,2,3,0,0,0,1,6,1
3,5,9,6,6,6,8,4,2,1,1,20053,2009,1,2,2,1,1,2,2,1,1
3,4,7,4,4,4,6,2,2,1,1,20054,2009,1,1,2,1,3,4,1,1,1
3,5,8,5,5,5,7,3,2,1,2,20054,2009,2,1,2,1,3,4,1,1,1
4,5,12,7,9,9,11,6,2,1,1,20055,2009,1,1,1,0,0,0,1,6,1
4,5,11,7,8,8,10,6,2,1,2,20055,2009,2,1,1,1,1,2,1,1,1
3,4,7,4,4,4,6,2,2,2,1,20055,2009,1,1,1,0,0,0,1,6,1
3,5,8,5,5,5,7,4,2,3,1,20055,2009,1,1,1,0,0,0,1,6,1
3,5,9,6,6,6,8,5,2,1,1,20056,2009,1,1,1,1,1,2,1,1,1
2,2,5,2,2,2,4,1,2,1,1,20057,2009,1,2,2,1,3,4,2,1,1
2,2,5,2,2,2,4,2,2,1,1,20058,2009,1,1,1,0,0,0,1,6,1
2,2,5,2,2,2,4,2,2,1,2,20058,2009,2,1,1,1,1,2,1,1,1
2,3,6,3,3,3,5,2,2,2,1,20058,2009,1,1,1,0,0,0,1,6,1
3,5,9,6,6,6,8,5,2,0,1,20059,2009,3,2,2,1,3,4,1,1,3
3,5,9,6,6,6,8,4,2,1,1,20059,2009,1,3,2,0,0,0,1,6,1
2,2,5,2,2,2,4,1,2,1,2,20059,2009,2,3,3,0,0,0,1,6,1
3,5,9,6,6,6,8,5,2,1,3,20059,2009,2,3,3,0,0,0,1,6,1
2,3,6,3,3,3,5,2,2,0,1,40001,2009,3,2,2,2,1,1,1,1,2
5,6,13,8,10,10,12,7,3,1,1,40001,2009,1,3,3,0,0,0,1,6,1
3,4,7,4,4,4,6,2,2,1,1,40002,2009,1,1,1,1,1,2,1,1,1
3,4,7,4,4,4,6,3,2,1,1,40003,2009,1,1,3,0,0,0,1,6,1
3,4,7,4,4,4,6,3,2,1,2,40003,2009,2,1,3,0,0,0,2,6,1
1,1,3,1,1,1,2,1,1,1,3,40003,2009,2,1,3,0,0,0,1,6,1
1,1,2,1,1,1,1,1,1,1,4,40003,2009,2,1,3,0,0,0,1,6,1
4,5,10,6,7,7,9,5,2,1,5,40003,2009,2,2,1,2,1,1,2,1,1
3,4,7,4,4,4,6,2,2,1,1,40004,2009,1,1,3,0,0,0,1,6,1
4,5,10,6,7,7,9,6,2,1,2,40004,2009,2,2,3,2,1,1,1,1,1
1,1,2,1,1,1,2,1,1,1,3,40004,2009,2,1,3,0,0,0,1,6,1
1,1,2,1,1,1,1,1,1,1,4,40004,2009,2,1,3,0,0,0,1,6,1
1,1,4,1,1,1,3,1,1,1,5,40004,2009,2,1,3,0,0,0,1,6,1
2,2,5,2,2,2,4,1,2,1,6,40004,2009,2,2,3,2,1,1,1,1,1
2,3,6,3,3,3,5,2,2,1,1,40005,2009,1,2,5,1,3,4,1,1,1
3,4,7,4,4,4,6,3,2,1,2,40005,2009,2,2,3,0,0,0,1,6,1
2,2,5,2,2,2,4,2,2,1,3,40005,2009,2,2,3,0,0,0,1,6,1
3,5,9,6,6,6,8,4,2,2,1,40005,2009,1,2,5,0,0,0,1,6,1
3,5,9,6,6,6,8,4,2,2,2,40005,2009,2,3,3,0,0,0,1,6,1
2,2,5,2,2,2,4,1,2,2,3,40005,2009,2,3,3,0,0,0,1,6,1
2,3,6,3,3,3,5,2,2,2,4,40005,2009,2,3,3,0,0,0,1,6,1
3,4,7,4,4,4,6,2,2,1,1,40006,2009,1,3,1,1,2,3,1,1,1
3,5,9,6,6,6,8,5,2,2,1,40006,2009,1,1,1,0,0,0,1,6,1
2,2,5,2,2,2,4,1,2,1,1,40007,2009,1,2,1,1,1,2,1,1,1
3,4,7,4,4,4,6,3,2,2,1,40007,2009,1,1,3,0,0,0,1,6,1
1,1,1,1,1,1,1,1,1,2,2,40007,2009,2,1,3,0,0,0,1,6,1
3,5,8,5,5,5,7,4,2,1,1,40008,2009,1,1,2,1,1,2,1,1,1
3,5,9,6,6,6,8,4,2,1,1,40009,2009,1,2,1,1,1,2,2,1,1
4,5,10,6,7,7,9,6,2,1,1,40010,2009,1,1,3,2,1,1,2,1,1
4,5,10,6,7,7,9,6,2,1,1,40011,2009,1,1,1,1,1,2,1,1,1
4,5,11,7,8,8,10,6,2,2,1,40011,2009,1,1,3,0,0,0,1,6,1
3,4,7,4,4,4,6,3,2,1,1,40012,2009,1,1,2,1,1,2,1,1,1
4,5,12,7,9,9,11,6,2,1,1,40013,2009,1,1,1,1,1,2,1,1,1
4,5,12,7,9,9,11,6,2,1,2,40013,2009,2,1,3,0,0,0,1,6,1
3,5,8,5,5,5,7,4,2,2,1,40013,2009,1,1,3,0,0,0,1,6,1
3,5,9,6,6,6,8,5,2,2,2,40013,2009,2,1,3,0,0,0,1,6,1
2,2,5,2,2,2,4,1,2,1,1,40014,2009,1,1,3,0,0,0,1,6,1
3,5,9,6,6,6,8,4,2,2,1,40014,2009,1,2,2,1,1,2,1,1,1
4,5,11,7,8,8,10,6,2,0,1,40015,2009,3,2,1,2,1,1,1,1,2
3,5,9,6,6,6,8,5,2,1,1,40015,2009,1,1,3,0,0,0,1,6,1
2,2,5,2,2,2,4,1,2,1,1,40016,2009,1,2,3,0,0,0,2,6,1
2,3,6,3,3,3,5,2,2,1,2,40016,2009,2,2,3,0,0,0,1,6,1
1,1,2,1,1,1,2,1,1,1,3,40016,2009,2,1,3,1,1,2,1,1,1
4,5,12,7,9,9,11,6,2,1,1,40017,2009,1,1,3,0,0,0,1,6,1
4,5,12,7,9,9,11,6,2,1,2,40017,2009,2,1,3,1,1,2,1,1,1
3,5,9,6,6,6,8,5,2,2,1,40017,2009,1,1,3,0,0,0,1,6,1
3,5,9,6,6,6,8,4,2,1,1,40018,2009,1,1,1,0,0,0,1,6,1
3,4,7,4,4,4,6,2,2,2,1,40018,2009,1,1,1,0,0,0,1,6,1
3,5,9,6,6,6,8,4,2,2,2,40018,2009,2,1,3,1,1,2,1,1,1
3,4,7,4,4,4,6,2,2,1,1,40019,2009,1,1,1,1,1,2,1,1,1
3,5,9,6,6,6,8,5,2,2,1,40019,2009,1,1,1,0,0,0,1,6,1
4,5,11,7,8,8,10,6,2,1,1,40020,2009,1,1,1,1,1,2,1,1,1
2,2,5,2,2,2,4,1,2,1,2,40020,2009,2,1,3,0,0,0,1,6,1
1,1,4,1,1,1,3,1,1,1,3,40020,2009,2,1,3,0,0,0,1,6,1
2,2,5,2,2,2,4,2,2,1,4,40020,2009,2,1,3,0,0,0,1,6,1
2,2,5,2,2,2,4,1,2,1,5,40020,2009,2,1,3,0,0,0,2,6,1
2,3,6,3,3,3,5,2,2,0,1,40021,2009,3,2,2,1,3,4,1,1,3
2,3,6,3,3,3,5,2,2,1,1,40021,2009,1,1,1,0,0,0,1,6,1
3,4,7,4,4,4,6,2,2,1,1,40022,2009,1,1,3,0,0,0,1,6,1
2,2,5,2,2,2,4,1,2,1,2,40022,2009,2,1,3,0,0,0,1,6,1
2,2,5,2,2,2,4,1,2,1,3,40022,2009,2,1,3,2,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,4,40022,2009,2,1,3,0,0,0,1,6,1
1,1,2,1,1,1,1,1,1,1,5,40022,2009,2,1,3,0,0,0,1,6,1
1,1,3,1,1,1,2,1,1,1,6,40022,2009,2,1,3,2,1,1,2,1,1
2,2,5,2,2,2,4,1,2,1,7,40022,2009,2,2,3,2,1,1,2,1,1
4,5,11,7,8,8,10,6,2,2,1,40022,2009,1,2,3,0,0,0,1,6,1
4,5,10,6,7,7,9,6,2,2,2,40022,2009,2,1,3,0,0,0,1,6,1
4,5,10,6,7,7,9,5,2,1,1,40023,2009,1,1,3,0,0,0,1,6,1
3,4,7,4,4,4,6,3,2,1,2,40023,2009,2,1,3,2,1,1,1,1,1
4,5,11,7,8,8,10,6,2,1,1,40024,2009,1,1,1,1,1,2,2,1,1
3,4,7,4,4,4,6,3,2,1,1,40025,2009,1,2,1,1,1,2,2,1,1
3,5,8,5,5,5,7,3,2,0,1,40026,2009,3,2,2,1,1,2,1,1,2
3,5,9,6,6,6,8,4,2,1,1,40026,2009,1,1,3,0,0,0,1,6,1
3,5,9,6,6,6,8,5,2,1,1,40027,2009,1,1,3,1,1,2,1,1,1
4,5,11,7,8,8,10,6,2,2,1,40027,2009,1,1,3,0,0,0,1,6,1
4,5,10,6,7,7,9,5,2,0,1,40028,2009,3,2,2,1,1,2,1,1,2
5,6,13,8,10,10,12,7,3,1,1,40028,2009,1,3,3,0,0,0,1,6,1
3,4,7,4,4,4,6,2,2,1,2,40028,2009,2,3,3,0,0,0,1,6,1
4,5,12,7,9,9,11,6,2,1,1,40029,2009,1,1,3,1,1,2,1,1,1
4,5,12,7,9,9,11,6,2,1,2,40029,2009,2,1,1,1,1,2,1,1,1
2,2,5,2,2,2,4,1,2,1,1,40030,2009,1,2,1,0,0,0,1,6,1
2,2,5,2,2,2,4,1,2,1,2,40030,2009,2,1,2,0,0,0,1,6,1
3,4,7,4,4,4,6,3,2,2,1,40030,2009,1,1,3,0,0,0,1,6,1
3,4,7,4,4,4,6,3,2,2,2,40030,2009,2,1,3,0,0,0,1,6,1
1,1,2,1,1,1,2,1,1,2,3,40030,2009,2,1,3,1,1,2,1,1,1
1,1,3,1,1,1,3,1,1,2,4,40030,2009,2,1,3,1,1,2,1,1,1
2,2,5,2,2,2,4,1,2,2,5,40030,2009,2,1,3,0,0,0,1,6,1
3,5,8,5,5,5,7,3,2,3,1,40030,2009,1,1,3,0,0,0,1,6,1
4,5,12,7,9,9,11,6,2,1,1,40031,2009,1,2,1,2,1,1,1,1,1
3,4,7,4,4,4,6,2,2,2,1,40031,2009,1,1,1,0,0,0,1,6,1
2,2,5,2,2,2,4,2,2,2,2,40031,2009,2,1,3,0,0,0,1,6,1
3,4,7,4,4,4,6,3,2,3,1,40031,2009,1,1,1,0,0,0,1,6,1
2,3,6,3,3,3,5,2,2,0,1,40032,2009,3,2,2,2,1,1,1,1,3
3,5,8,5,5,5,7,3,2,1,1,40032,2009,1,1,3,0,0,0,1,6,1
3,4,7,4,4,4,6,3,2,1,1,40033,2009,1,3,5,1,3,4,1,1,1
5,6,13,8,10,10,12,7,3,1,1,40034,2009,1,2,3,0,0,0,1,6,1
2,2,5,2,2,2,4,1,2,1,2,40034,2009,2,2,2,2,1,1,2,1,1
1,1,3,1,1,1,2,1,1,0,1,40035,2009,3,2,1,1,1,2,1,1,3
2,3,6,3,3,3,5,2,2,1,1,40035,2009,1,1,1,0,0,0,1,6,1
3,4,7,4,4,4,6,2,2,1,1,40036,2009,1,2,2,2,1,1,2,1,1
3,4,7,4,4,4,6,2,2,1,1,40037,2009,1,1,1,0,0,0,1,6,1
2,3,6,3,3,3,5,2,2,1,2,40037,2009,2,3,3,0,0,0,1,6,1
2,3,6,3,3,3,5,2,2,1,3,40037,2009,2,3,3,0,0,0,1,6,1
2,3,6,3,3,3,5,2,2,1,4,40037,2009,2,3,2,0,0,0,1,6,1
4,5,10,6,7,7,9,6,2,2,1,40037,2009,1,1,3,0,0,0,1,6,1
1,1,1,1,1,1,1,1,1,2,2,40037,2009,2,1,3,1,1,2,1,1,1
2,2,5,2,2,2,4,1,2,1,1,40038,2009,1,1,3,0,0,0,1,6,1
2,2,5,2,2,2,4,1,2,1,2,40038,2009,2,1,3,0,0,0,1,6,1
2,2,5,2,2,2,4,1,2,1,3,40038,2009,2,1,3,0,0,0,1,6,1
3,5,8,5,5,5,7,4,2,2,1,40038,2009,1,2,3,2,1,1,1,1,1
2,3,6,3,3,3,5,2,2,1,1,40039,2009,1,2,2,0,0,0,2,6,1
2,2,5,2,2,2,4,2,2,1,2,40039,2009,2,2,3,2,1,1,2,1,1
3,4,7,4,4,4,6,2,2,1,1,40040,2009,1,1,1,1,2,3,2,1,1
3,4,7,4,4,4,6,2,2,1,1,40041,2009,1,1,1,0,0,0,1,6,1
3,4,7,4,4,4,6,2,2,1,2,40041,2009,2,2,1,2,1,1,2,1,1
3,5,8,5,5,5,7,4,2,1,1,40042,2009,1,1,1,1,1,2,1,1,1
4,5,10,6,7,7,9,5,2,1,1,40043,2009,1,1,1,0,0,0,1,6,1
4,5,10,6,7,7,9,5,2,1,2,40043,2009,2,1,3,0,0,0,1,6,1
3,5,9,6,6,6,8,4,2,2,1,40043,2009,1,2,2,1,1,2,1,1,1
5,6,13,8,10,10,12,7,3,1,1,40044,2009,1,3,5,0,0,0,1,6,1
1,1,4,1,1,2,3,1,1,1,2,40044,2009,2,3,3,3,8,9,1,1,1
5,6,13,8,10,10,12,7,3,1,3,40044,2009,2,3,3,0,0,0,1,6,1
2,2,5,2,2,2,4,2,2,1,1,40045,2009,1,1,2,1,1,2,1,1,1
4,5,11,7,8,8,10,6,2,1,1,40046,2009,1,1,2,1,1,2,1,1,1
4,5,10,6,7,7,9,5,2,1,2,40046,2009,2,1,3,0,0,0,1,6,1
4,5,10,6,7,7,9,6,2,1,1,40047,2009,1,1,3,0,0,0,1,6,1
4,5,10,6,7,7,9,5,2,2,1,40047,2009,1,2,1,2,1,1,1,1,1
4,5,11,7,8,8,10,6,2,1,1,40048,2009,1,2,2,1,1,2,1,1,1
3,5,8,5,5,5,7,3,2,1,1,40049,2009,1,3,3,0,0,0,1,6,1
4,5,11,7,8,8,10,6,2,2,1,40049,2009,1,2,1,1,1,2,1,1,1
3,4,7,4,4,4,6,2,2,1,1,40050,2009,1,1,1,1,3,4,1,1,1
3,4,7,4,4,4,6,3,2,1,2,40050,2009,2,1,3,0,0,0,1,6,1
3,4,7,4,4,4,6,2,2,2,1,40050,2009,1,2,1,1,1,2,1,1,1
3,5,9,6,6,6,8,5,2,1,1,40051,2009,1,1,3,2,1,1,1,1,1
3,5,9,6,6,6,8,4,2,1,2,40051,2009,2,1,3,0,0,0,1,6,1
2,3,6,3,3,3,5,2,2,1,1,40052,2009,1,2,2,1,1,2,1,1,1
4,5,12,7,9,9,11,6,2,1,1,40053,2009,1,1,3,0,0,0,1,6,1
4,5,11,7,8,8,10,6,2,2,1,40053,2009,1,1,3,0,0,0,1,6,1
4,5,11,7,8,8,10,6,2,2,2,40053,2009,2,1,3,1,1,2,1,1,1
3,4,7,4,4,4,6,2,2,1,1,40054,2009,1,2,2,0,0,0,1,6,1
2,3,6,3,3,3,5,2,2,1,2,40054,2009,2,2,3,0,0,0,1,6,1
2,3,6,3,3,3,5,2,2,1,3,40054,2009,2,2,3,1,3,4,1,1,1
3,5,8,5,5,5,7,3,2,1,4,40054,2009,2,2,3,0,0,0,1,6,1
3,5,9,6,6,6,8,4,2,2,1,40054,2009,1,1,3,0,0,0,1,6,1
3,5,9,6,6,6,8,5,2,1,1,40055,2009,1,2,3,0,0,0,1,6,1
3,5,9,6,6,6,8,5,2,1,2,40055,2009,2,2,3,1,1,2,2,1,1
2,2,5,2,2,2,4,2,2,1,1,40056,2009,1,2,1,1,1,2,1,1,1
3,5,9,6,6,6,8,4,2,1,1,40057,2009,1,1,2,1,1,2,1,1,1
2,3,6,3,3,3,5,2,2,1,1,40058,2009,1,1,1,1,1,2,1,1,1
3,5,9,6,6,6,8,5,2,1,1,40059,2009,1,1,1,0,0,0,1,6,1
3,5,9,6,6,6,8,4,2,1,2,40059,2009,2,1,3,2,1,1,1,1,1
3,5,9,6,6,6,8,5,2,2,1,40059,2009,1,1,3,0,0,0,1,6,1
3,4,7,4,4,4,6,3,2,2,2,40059,2009,2,2,3,0,0,0,1,6,1
4,5,12,7,9,9,11,6,2,1,1,40060,2009,1,1,1,1,1,2,1,1,1
4,5,12,7,9,9,11,6,2,1,2,40060,2009,2,1,3,0,0,0,1,6,1
3,4,7,4,4,4,6,2,2,1,1,40061,2009,1,1,3,0,0,0,1,6,1
1,1,1,1,1,1,1,1,1,1,2,40061,2009,2,1,3,0,0,0,1,6,1
1,1,2,1,1,1,2,1,1,1,3,40061,2009,2,1,3,0,0,0,1,6,1
3,4,7,4,4,4,6,3,2,2,1,40061,2009,1,1,1,2,1,1,1,1,1
5,6,13,8,10,10,12,7,3,1,1,40062,2009,1,3,3,0,0,0,1,6,1
5,6,13,8,10,10,12,7,3,1,2,40062,2009,2,2,3,0,0,0,1,6,1
2,2,5,2,2,2,4,1,2,1,3,40062,2009,2,2,3,0,0,0,2,6,1
2,2,5,2,2,2,4,1,2,1,4,40062,2009,2,2,3,0,0,0,1,6,1
3,5,8,5,5,5,7,3,2,1,5,40062,2009,2,2,3,0,0,0,1,6,1
2,2,5,2,2,2,4,2,2,1,6,40062,2009,2,2,3,0,0,0,2,6,1
3,4,7,4,4,4,6,2,2,1,7,40062,2009,2,2,3,0,0,0,2,6,1
3,5,8,5,5,5,7,4,2,1,8,40062,2009,2,2,3,2,1,1,2,1,1
2,2,5,2,2,2,4,1,2,1,1,40063,2009,1,1,1,0,0,0,1,6,1
2,2,5,2,2,2,4,1,2,1,2,40063,2009,2,3,3,2,1,1,2,1,1
4,5,10,6,7,7,9,6,2,1,3,40063,2009,2,1,3,2,1,1,1,1,1
3,5,9,6,6,6,8,4,2,2,1,40063,2009,1,2,3,0,0,0,1,6,1
2,3,6,3,3,3,5,2,2,1,1,40064,2009,1,2,2,1,2,3,1,1,1
3,5,9,6,6,6,8,4,2,1,1,40065,2009,1,2,2,1,1,2,1,1,1
3,5,9,6,6,6,8,5,2,2,1,40065,2009,1,1,3,0,0,0,1,6,1
2,2,5,2,2,2,4,2,2,1,1,40066,2009,1,3,2,2,1,1,1,1,1
3,4,7,4,4,4,6,2,2,1,2,40066,2009,2,2,3,2,1,1,1,1,1
2,2,5,2,2,2,4,2,2,1,3,40066,2009,2,2,3,0,0,0,1,6,1
2,2,5,2,2,2,4,1,2,1,4,40066,2009,2,2,3,0,0,0,1,6,1
2,3,6,3,3,3,5,2,2,2,1,40066,2009,1,1,3,0,0,0,1,6,1
2,3,6,3,3,3,5,2,2,2,2,40066,2009,2,2,3,0,0,0,1,6,1
3,4,7,4,4,4,6,3,2,2,3,40066,2009,2,2,3,0,0,0,1,6,1
4,5,11,7,8,8,10,6,2,2,4,40066,2009,2,1,3,2,1,1,1,1,1
2,2,5,2,2,2,4,1,2,3,1,40066,2009,1,1,3,0,0,0,1,6,1
4,5,11,7,8,8,10,6,2,1,1,40067,2009,1,1,1,1,1,2,1,1,1
4,5,12,7,9,9,11,6,2,2,1,40067,2009,1,1,3,0,0,0,1,6,1
4,5,12,7,9,9,11,6,2,2,2,40067,2009,2,1,3,0,0,0,1,6,1
4,5,12,7,9,9,11,6,2,2,3,40067,2009,2,1,3,0,0,0,1,6,1
4,5,11,7,8,8,10,6,2,2,4,40067,2009,2,1,3,0,0,0,1,6,1
3,5,9,6,6,6,8,4,2,3,1,40067,2009,1,1,3,0,0,0,1,6,1
3,5,8,5,5,5,7,3,2,1,1,40068,2009,1,2,2,1,1,2,2,1,1
3,4,7,4,4,4,6,3,2,1,2,40068,2009,2,1,1,0,0,0,1,6,1
3,5,8,5,5,5,7,3,2,1,1,40069,2009,1,2,1,1,1,2,2,1,1
4,5,10,6,7,7,9,6,2,0,1,40070,2009,3,2,1,1,1,2,1,1,2
3,5,8,5,5,5,7,3,2,1,1,40070,2009,1,3,2,0,0,0,1,6,1
1,1,1,1,1,1,1,1,1,1,2,40070,2009,2,1,3,0,0,0,1,6,1
1,1,2,1,1,1,2,1,1,1,3,40070,2009,2,1,3,0,0,0,1,6,1
4,5,11,7,8,8,10,6,2,1,1,40071,2009,1,3,1,1,1,2,2,1,1
4,5,11,7,8,8,10,6,2,1,1,40072,2009,1,2,3,1,1,2,1,1,1
3,5,8,5,5,5,7,3,2,1,1,40073,2009,1,1,2,0,0,0,1,6,1
1,1,4,1,1,1,3,1,1,1,2,40073,2009,2,1,3,0,0,0,1,6,1
1,1,4,1,1,1,3,1,1,1,3,40073,2009,2,1,3,0,0,0,1,6,1
1,1,3,1,1,1,2,1,1,1,4,40073,2009,2,1,3,0,0,0,1,6,1
2,3,6,3,3,3,5,2,2,2,1,40073,2009,1,1,1,1,1,2,1,1,1
4,5,10,6,7,7,9,5,2,2,1,40074,2009,1,2,2,1,1,2,1,1,1
3,5,8,5,5,5,7,4,2,2,2,40074,2009,2,2,3,0,0,0,1,6,1
3,4,7,4,4,4,6,3,2,4,1,40074,2009,1,1,3,0,0,0,1,6,1
2,2,5,2,2,2,4,1,2,4,2,40074,2009,2,1,3,0,0,0,1,6,1
1,1,1,1,1,1,1,1,1,4,3,40074,2009,2,1,3,0,0,0,1,6,1
1,1,2,1,1,1,1,1,1,4,4,40074,2009,2,1,3,0,0,0,1,6,1
1,1,3,1,1,1,2,1,1,4,5,40074,2009,2,1,3,0,0,0,1,6,1
4,5,11,7,8,8,10,6,2,1,1,40075,2009,1,1,3,1,1,2,1,1,1
3,5,8,5,5,5,7,3,2,2,1,40075,2009,1,1,3,0,0,0,1,6,1
3,4,7,4,4,4,6,2,2,2,2,40075,2009,2,1,3,0,0,0,1,6,1
2,3,6,3,3,3,5,2,2,0,1,40076,2009,3,2,1,1,2,3,1,1,3
3,4,7,4,4,4,6,3,2,1,1,40076,2009,1,1,3,0,0,0,1,6,1
3,5,9,6,6,6,8,4,2,2,1,40076,2009,1,1,3,0,0,0,1,6,1
2,2,5,2,2,2,4,1,2,1,1,40077,2009,1,1,1,1,1,2,1,1,1
3,5,8,5,5,5,7,3,2,0,1,40079,2009,3,2,2,1,3,4,1,1,3
