A_AGE1,A_AGE2,A_AGE3,A_AGE4,A_AGE5,A_AGE6,A_AGE7,A_AGE8,A_AGE9,VEH_NO,PER_NO,ST_CASE,YEAR,A_PTYPE,A_REST,A_ALCTES,A_HISP,A_RCAT,A_HRACE,A_EJECT,A_PERINJ,A_LOC
3,4,7,4,4,4,6,3,2,1,1,10027,2009,1,1,3,1,1,2,1,1,1
3,5,8,5,5,5,7,3,2,1,1,10028,2009,1,2,1,1,1,2,1,1,1
4,5,12,7,9,9,11,6,2,0,1,10029,2009,3,2,1,1,1,2,1,1,3
3,4,7,4,4,4,6,2,2,2,1,10029,2009,1,1,1,0,0,0,1,6,1
1,1,3,1,1,1,2,1,1,2,2,10029,2009,2,1,3,0,0,0,1,6,1
1,1,3,1,1,1,3,1,1,2,3,10029,2009,2,1,3,0,0,0,1,6,1
3,5,8,5,5,5,7,3,2,1,1,10030,2009,1,1,4,0,0,0,1,6,1
4,5,10,6,7,7,9,5,2,2,1,10030,2009,1,1,2,0,0,0,1,6,1
3,4,7,4,4,4,6,3,2,2,2,10030,2009,2,1,3,0,0,0,1,6,1
3,5,9,6,6,6,8,4,2,2,3,10030,2009,2,2,1,1,1,2,2,1,1
3,4,7,4,4,4,6,3,2,1,1,10031,2009,1,1,3,0,0,0,1,6,1
4,5,10,6,7,7,9,5,2,2,1,10031,2009,1,1,1,1,1,2,1,1,1
3,4,7,4,4,4,6,2,2,3,1,10031,2009,1,1,3,0,0,0,1,6,1
2,3,6,3,3,3,5,2,2,1,1,10032,2009,1,1,2,1,1,2,1,1,1
2,2,5,2,2,2,4,1,2,1,2,10032,2009,2,3,3,1,1,2,1,1,1
3,5,8,5,5,5,7,3,2,1,1,10033,2009,1,1,2,0,0,0,1,6,1
3,4,7,4,4,4,6,2,2,1,2,10033,2009,2,1,3,0,0,0,1,6,1
3,4,7,4,4,4,6,2,2,1,3,10033,2009,2,2,1,2,1,1,1,1,1
3,4,7,4,4,4,6,2,2,2,1,10033,2009,1,1,3,0,0,0,1,6,1
3,5,9,6,6,6,8,4,2,1,1,10034,2009,1,1,2,1,1,2,1,1,1
4,5,12,7,9,9,11,6,2,0,1,10035,2009,3,2,3,1,1,2,1,1,3
4,5,12,7,9,9,11,6,2,1,1,10035,2009,1,1,3,0,0,0,1,6,1
3,5,9,6,6,6,8,5,2,1,1,10036,2009,1,1,1,1,1,2,1,1,1
2,3,6,3,3,3,5,2,2,2,1,10036,2009,1,1,4,0,0,0,1,6,1
4,5,10,6,7,7,9,6,2,0,1,10038,2009,3,2,1,1,1,2,1,1,2
3,5,9,6,6,6,8,5,2,1,1,10038,2009,1,1,3,0,0,0,1,6,1
3,4,7,4,4,4,6,2,2,1,1,10039,2009,1,1,4,0,0,0,1,6,1
2,2,5,2,2,2,4,1,2,2,1,10039,2009,1,1,1,1,1,2,1,1,1
3,5,9,6,6,6,8,4,2,1,1,10040,2009,1,1,3,0,0,0,1,6,1
2,2,5,2,2,2,4,2,2,1,2,10040,2009,2,1,1,1,1,2,1,1,1
3,5,9,6,6,6,8,4,2,2,1,10040,2009,1,1,1,0,0,0,1,6,1
3,4,7,4,4,4,6,2,2,1,1,10041,2009,1,2,4,1,1,2,1,1,1
3,5,9,6,6,6,8,5,2,1,1,10042,2009,1,1,3,1,1,2,1,1,1
3,5,8,5,5,5,7,4,2,2,1,10042,2009,1,1,3,0,0,0,1,6,1
5,6,13,8,10,10,12,7,3,2,2,10042,2009,2,1,3,0,0,0,1,6,1
3,5,9,6,6,6,8,5,2,1,1,10043,2009,1,2,1,1,1,2,1,1,1
3,5,9,6,6,6,8,4,2,2,1,10043,2009,1,1,3,0,0,0,1,6,1
4,5,10,6,7,7,9,5,2,2,2,10043,2009,2,1,3,0,0,0,1,6,1
2,2,5,2,2,2,4,1,2,2,3,10043,2009,2,1,3,0,0,0,1,6,1
3,5,8,5,5,5,7,4,2,1,1,10044,2009,1,2,4,1,2,3,1,1,1
3,4,7,4,4,4,6,3,2,1,1,10045,2009,1,2,3,0,0,0,1,6,1
4,5,11,7,8,8,10,6,2,2,1,10045,2009,1,2,3,1,1,2,1,1,1
3,5,8,5,5,5,7,4,2,1,1,10046,2009,1,2,3,1,1,2,1,1,1
3,5,9,6,6,6,8,5,2,1,1,10047,2009,1,2,1,1,1,2,2,1,1
