VEH_NO,PER_NO,ST_CASE,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
0,1,10001,0,0,0,0,0,0,0,0,0,0
1,1,10001,0,0,0,0,0,0,0,0,0,0
1,1,10002,0,0,0,6,0,0,0,0,0,0
2,1,10002,0,0,0,0,0,0,0,0,0,0
1,1,10003,19,19,19,19,19,19,19,19,19,19
1,1,10004,0,0,0,0,0,0,0,0,0,0
0,1,10005,13,13,13,13,13,13,13,13,13,13
0,2,10005,18,18,18,18,18,18,18,18,18,18
1,1,10005,6,6,6,6,6,6,6,6,6,6
1,1,10006,0,0,0,0,0,0,0,0,0,0
1,1,10007,0,0,0,0,0,0,0,0,0,0
2,1,10007,0,0,0,0,0,0,0,0,0,0
1,1,10008,0,27,0,0,0,0,0,0,0,0
2,1,10008,0,0,0,0,0,0,0,0,13,0
0,1,10009,0,0,0,0,0,0,0,0,0,0
1,1,10009,0,0,0,16,0,0,16,0,29,0
2,1,10009,5,0,6,24,12,0,9,14,9,27
1,1,10010,23,23,23,23,23,23,23,23,23,23
1,1,10011,0,0,7,0,0,0,0,0,0,0
1,1,10012,0,0,0,0,0,0,0,0,0,0
2,1,10012,0,0,0,0,0,0,0,0,0,0
1,1,10013,0,0,0,0,0,0,0,0,0,0
2,1,10013,0,0,0,0,0,0,0,0,0,0
1,1,10014,13,13,13,13,13,13,13,13,13,13
0,1,10015,27,25,0,0,43,0,27,36,0,12
1,1,10015,0,0,0,0,0,0,0,0,0,0
1,1,10016,21,13,34,0,22,25,0,0,14,42
1,1,10017,0,0,0,0,0,0,0,0,0,0
2,1,10017,0,0,0,0,0,0,0,0,0,0
1,1,10018,0,0,0,0,0,5,0,0,0,13
1,1,10019,0,0,0,0,0,0,0,0,0,0
2,1,10019,0,0,0,0,0,0,0,0,0,0
1,1,10020,0,0,0,0,0,0,0,0,0,0
2,1,10020,0,0,0,0,0,0,0,0,0,0
1,1,10021,0,0,0,0,0,0,15,0,0,29
2,1,10021,0,0,0,0,0,0,0,0,0,0
1,1,10022,9,9,9,9,9,9,9,9,9,9
1,1,10023,0,0,0,0,0,0,0,0,0,0
1,1,10024,14,14,14,14,14,14,14,14,14,14
1,1,10025,0,0,0,0,0,0,0,0,0,0
2,1,10025,0,0,0,0,0,0,0,0,0,0
1,1,10026,0,0,0,0,0,0,0,0,0,0
2,1,10026,0,0,0,0,0,0,0,0,0,0
1,1,10027,17,17,17,17,17,17,17,17,17,17
0,1,10028,15,0,0,18,33,0,0,0,0,0
1,1,10028,0,0,0,0,0,0,0,0,0,0
1,1,10029,0,0,0,0,0,0,0,0,0,0
2,1,10029,0,0,0,0,0,0,0,0,0,0
1,1,10030,37,37,37,37,37,37,37,37,37,37
2,1,10030,0,0,0,0,0,0,0,0,0,0
1,1,10031,0,0,0,0,0,0,0,0,0,0
2,1,10031,0,0,0,0,0,0,0,0,0,0
1,1,10032,15,24,23,0,21,9,0,20,15,0
1,1,10033,0,0,0,0,0,0,0,0,0,0
1,1,10034,20,30,0,0,18,26,0,16,0,0
2,1,10034,0,0,0,0,0,0,0,0,0,0
1,1,10035,18,12,23,12,11,12,24,3,23,9
1,1,10036,0,0,0,0,0,0,0,0,0,0
1,1,10037,42,0,17,29,16,22,24,18,10,13
1,1,10038,0,0,0,0,0,0,0,0,0,0
0,1,10039,0,0,0,0,0,0,0,0,0,0
1,1,10039,25,0,8,0,0,0,0,0,0,0
1,1,10040,18,18,18,18,18,18,18,18,18,18
1,1,10041,0,0,0,0,0,0,0,0,0,0
2,1,10041,0,0,0,0,0,0,0,0,0,0
1,1,10042,36,36,36,36,36,36,36,36,36,36
1,1,10043,0,0,21,0,0,0,0,0,0,0
1,1,10044,0,0,0,14,0,0,0,0,0,0
1,1,10045,0,0,0,0,0,0,0,0,0,0
1,1,10046,6,6,6,6,6,6,6,6,6,6
1,1,10047,44,44,44,44,44,44,44,44,44,44
0,1,10048,11,11,11,11,11,11,11,11,11,11
1,1,10048,17,35,7,13,15,10,18,14,0,15
1,1,10049,0,0,0,0,0,0,0,0,0,0
2,1,10049,0,0,0,0,0,0,0,0,0,0
1,1,10050,0,0,0,0,0,0,0,0,0,0
2,1,10050,0,0,0,0,0,0,0,0,0,0
1,1,10051,0,0,19,0,0,0,0,0,0,0
2,1,10051,0,0,0,0,0,0,0,0,0,0
1,1,10052,0,0,0,0,0,0,0,0,0,0
1,1,10053,15,15,15,15,15,15,15,15,15,15
1,1,10054,0,0,22,18,0,26,0,14,14,21
2,1,10054,0,0,0,0,0,0,0,0,0,0
0,1,10055,23,23,23,23,23,23,23,23,23,23
1,1,10055,0,0,23,0,0,7,0,0,0,0
1,1,10056,15,0,0,0,0,0,0,0,0,0
1,1,10057,0,0,0,0,0,0,0,0,0,0
2,1,10057,0,0,0,0,0,0,0,0,0,0
1,1,10058,18,18,18,18,18,18,18,18,18,18
1,1,10059,0,0,0,0,0,0,0,0,0,0
2,1,10059,0,0,0,0,0,0,0,0,0,0
1,1,10060,0,0,0,0,0,0,0,0,0,0
2,1,10060,0,0,0,0,0,0,0,0,0,0
1,1,10061,0,0,0,0,0,0,0,0,0,0
2,1,10061,0,0,0,0,0,0,0,0,0,0
1,1,10062,9,14,10,23,15,8,5,4,7,15
1,1,10063,0,0,0,0,0,0,0,0,0,0
2,1,10063,0,0,0,0,0,0,0,0,0,0
1,1,10064,22,22,22,22,22,22,22,22,22,22
0,1,10065,25,25,22,0,34,0,22,26,15,12
1,1,10065,0,0,0,0,0,0,0,0,0,0
1,1,10066,0,0,0,0,0,0,0,0,0,0
2,1,10066,0,0,0,0,0,0,7,0,0,0
1,1,10067,0,0,0,0,0,0,0,0,0,0
1,1,10068,0,0,0,0,0,0,0,0,0,0
2,1,10068,0,0,0,0,0,0,0,0,0,0
1,1,10069,0,0,0,0,0,0,0,0,0,0
2,1,10069,0,0,0,0,0,0,0,0,0,0
1,1,10070,0,0,0,0,0,0,12,0,0,0
1,1,10071,0,0,0,0,10,0,0,0,0,0
1,1,10072,0,0,0,0,0,0,0,6,0,0
1,1,10073,0,0,0,0,0,0,0,0,0,0
2,1,10073,0,0,0,0,0,0,0,0,0,0
1,1,10074,0,0,0,0,0,0,0,0,0,0
2,1,10074,0,0,0,0,0,0,0,0,0,0
1,1,10075,0,0,15,0,0,0,0,0,0,0
1,1,10076,0,0,0,0,0,0,0,0,0,0
2,1,10076,0,0,0,0,0,0,0,0,0,0
1,1,10077,10,10,10,10,10,10,10,10,10,10
1,1,10078,0,0,0,0,0,0,0,0,0,0
2,1,10078,0,0,0,0,0,0,0,0,0,0
1,1,10079,0,0,0,0,0,0,0,0,0,0
1,1,10080,0,0,0,0,0,5,0,0,0,0
2,1,10080,0,0,0,0,0,0,0,0,0,0
1,1,10081,0,0,0,0,0,0,0,0,0,0
2,1,10081,0,0,0,0,0,0,0,0,0,0
0,1,10082,22,16,23,45,28,15,15,7,18,23
1,1,10082,0,1,0,0,7,0,0,0,0,0
1,1,10083,0,0,0,0,0,0,0,0,0,0
2,1,10083,0,0,0,0,0,0,0,0,0,0
3,1,10083,0,0,0,0,0,0,0,0,0,0
1,1,10084,0,0,0,0,0,0,0,0,0,0
2,1,10084,0,0,0,0,0,0,0,0,0,0
1,1,10085,0,7,19,0,7,23,12,0,14,0
1,1,10086,19,9,20,12,6,7,14,18,29,6
2,1,10086,0,0,0,0,0,0,0,0,6,0
1,1,10087,15,15,15,15,15,15,15,15,15,15
2,1,10087,0,0,0,0,0,0,0,0,0,27
1,1,10088,0,0,0,0,0,0,0,0,0,0
1,1,10089,0,0,0,0,0,0,0,0,0,0
