VIN,VIN_1,VIN_2,VIN_3,VIN_4,VIN_5,VIN_6,VIN_7,VIN_8,VIN_9,VIN_10,VIN_11,VIN_12,STATE,VEH_NO,OCUPANTS,MAKE,MODEL,BODY_TYP,REG_STAT,OWNER,ROLLOVER,J_KNIFE,TRAV_SP,HAZ_INV,HAZ_PLAC,HAZ_CNO,HAZ_REL,TOW_VEH,V_CONFIG,CARGO_BT,SPEC_USE,EMER_USE,IMPACT1,IMPACT2,UNDERIDE,DEFORMED,IMPACTS,TOWAWAY,FIRE_EXP,VEH_CF1,VEH_CF2,VEH_MAN,AVOID,M_HARM,DEATHS,SEQ1,SEQ2,SEQ3,SEQ4,SEQ5,SEQ6,VIN_LNGT,BUS_USE,GVWR,UNITTYPE,MCARR_I1,ST_CASE,HAZ_ID,MAK_MOD,MOD_YEAR,VINA_MOD,SER_TR,VIN_BT,MCARR_I2,FLDCD_TR,MCARR_ID,WHLBS_SH,WHLBS_LG,MCYCL_DS,VIN_WGT,WGTCD_TR,DR_PRES,DR_DRINK,L_STATE,L_TYPE,L_STATUS,CDL_STAT,L_ENDORS,L_COMPL,L_RESTRI,VIOLCHG1,VIOLCHG2,VIOLCHG3,PREV_ACC,PREV_SUS,PREV_DWI,PREV_SPD,PREV_OTH,LAST_MO,FIRST_MO,DR_CF1,DR_CF2,DR_CF3,DR_CF4,DR_WGT,DR_HGT,LAST_YR,FIRST_YR,DR_ZIP,MONTH,HARM_EV,MAN_COLL,HIT_RUN,VE_FORMS
2GTEC19T2213,2,G,T,E,C,1,9,T,2,2,1,3,12,3,0,23,481,31,12,6,0,0,99,1,0,0,0,1,1,1,0,0,6,6,0,6,2,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,2,2,12,120469,0,23481,2002,NC1,SIE,4C,004114404,G,12004114404,1435,1575,,,2,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,3,12,7,0,2
1FDAF56S62EC,1,F,D,A,F,5,6,S,6,2,E,C,12,2,2,12,481,31,12,6,0,0,99,1,0,0,0,0,0,0,0,0,6,6,0,6,2,9,0,0,0,99,8,12,1,99,99,99,99,99,99,17,0,0,2,0,120471,0,12481,2002,F5D,DRW,CB,000000000,G,00000000000,1410,2010,,,5,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,3,45,1,0,1
1GDKC34J6YF5,1,G,D,K,C,3,4,J,6,Y,F,5,12,2,0,23,481,31,12,6,0,0,99,1,0,0,0,0,0,0,0,0,10,10,0,4,2,9,0,0,0,99,8,54,0,99,99,99,99,99,99,17,0,0,3,0,120474,0,23481,2000,3HD,SIE,CB,000000000,G,00000000000,1355,1835,,,4,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,3,30,0,0,1
MDH01922,M,D,H,0,1,9,2,2,,,,,12,2,0,99,899,78,99,6,0,0,99,1,0,0,0,0,19,98,0,0,6,6,0,4,2,9,0,0,0,99,8,12,0,99,99,99,99,99,99,8,0,3,3,99,120497,0,99899,2005,999,999,99,999999999,9,99999999999,9999,9999,9999,9999,9,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,4,14,9,0,1
1G4HP54C4LH4,1,G,4,H,P,5,4,C,4,L,H,4,12,2,0,18,2,4,12,6,0,0,99,1,0,0,0,0,0,0,0,0,6,6,0,0,2,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,0,2,0,120535,0,18002,1990,LCF,***,4D,000000000,*,00000000000,1108,0,,3175,,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,4,1,0,0,1
999999999999,9,9,9,9,9,9,9,9,9,9,9,9,12,2,0,99,999,99,99,6,0,0,99,1,0,0,0,0,0,0,0,0,6,6,0,6,2,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,0,2,0,120537,0,99999,9999,999,999,99,000000000,9,00000000000,9999,9999,9999,9999,9,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,4,14,1,0,1
1FTFE2423VHB,1,F,T,F,E,2,4,2,3,V,H,B,12,2,0,12,461,29,12,6,0,0,99,1,0,0,0,0,0,0,0,0,6,6,0,6,2,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,0,2,0,120540,0,12461,1997,25V,VAN,CG,000000000,G,00000000000,1380,0,,,2,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,4,14,1,0,1
1FDAF56F9YED,1,F,D,A,F,5,6,F,9,Y,E,D,12,3,1,12,881,61,12,6,0,0,99,1,0,0,0,0,1,1,0,0,6,6,0,6,2,9,0,0,0,99,8,14,1,99,99,99,99,99,99,17,0,2,2,12,120540,0,12881,2000,F5D,DRW,CB,999999999,D,12999999999,1410,2010,,,5,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,4,14,1,0,1
2C3HD46J9WH1,2,C,3,H,D,4,6,J,9,W,H,1,12,3,2,6,41,4,12,6,0,0,99,1,0,0,0,0,0,0,0,0,6,6,0,6,2,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,0,3,0,120589,0,6041,1998,CIX,***,4D,000000000,*,00000000000,1130,0,,3422,,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,4,51,0,0,2
999999999999,9,9,9,9,9,9,9,9,9,9,9,9,12,2,0,99,999,99,12,6,0,0,99,1,0,0,0,0,0,0,0,0,3,3,0,6,2,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,0,3,0,120591,0,99999,9999,999,999,99,000000000,9,00000000000,9999,9999,9999,9999,9,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,4,31,0,0,1
