YEAR,VEH_NO,ST_CASE,A_BODY,A_IMP1,A_IMP2,A_VROLL,A_LIC_S,A_LIC_C,A_CDL_S,A_MC_L_S,A_SPVEH,A_SBUS,A_MOD_YR,A_DRDIS,A_DRDRO
2004,1,10001,1,2,2,2,1,1,2,4,1,3,2000,2,1
2004,2,10001,2,2,2,2,1,1,2,4,2,3,1993,2,2
2004,1,10002,1,2,2,1,1,1,2,4,1,3,1991,2,2
2004,1,10003,1,3,2,1,1,1,2,4,1,3,1993,2,2
2004,1,10004,1,2,2,2,1,1,2,4,2,3,1993,2,2
2004,1,10005,3,2,6,1,1,1,2,4,2,3,1999,2,2
2004,1,10006,1,2,2,2,1,1,2,4,1,3,1994,2,2
2004,2,10006,6,5,5,2,1,1,1,4,2,3,2000,2,2
2004,1,10007,3,2,6,1,1,1,2,4,1,3,2000,1,2
2004,1,10008,1,2,2,2,1,1,2,4,2,3,2001,2,2
2004,2,10008,9,7,7,2,3,3,3,4,2,3,9999,2,2
2004,1,10009,1,3,3,2,1,1,2,4,2,3,1996,2,2
2004,2,10009,7,2,2,2,4,1,1,1,2,3,2003,2,2
2004,1,10010,2,2,2,2,1,1,2,4,1,3,1988,2,2
2004,1,10011,2,2,2,1,1,1,2,4,1,3,1994,2,2
2004,1,10012,1,2,3,2,1,1,2,4,1,3,1996,2,2
2004,2,10012,1,3,4,1,1,1,2,4,1,3,2003,2,2
2004,1,10013,4,2,2,2,1,1,2,4,2,3,1995,2,2
2004,2,10013,6,2,2,2,1,1,1,4,2,3,1996,2,2
2004,1,10014,1,3,6,1,1,1,2,4,1,3,1996,2,2
2004,1,10015,1,5,2,2,1,1,2,4,2,3,1993,2,2
2004,1,10016,3,2,2,2,1,1,2,4,2,3,1999,2,2
2004,2,10016,2,2,2,2,1,1,2,4,2,3,2002,2,2
2004,1,10017,2,3,5,1,1,1,2,4,2,3,1996,2,2
2004,1,10018,3,1,1,1,1,1,2,4,1,3,1994,2,2
2004,1,10019,2,2,2,2,1,1,2,4,2,3,1996,2,2
2004,1,10020,7,3,3,2,4,1,2,1,2,3,2000,2,2
2004,1,10021,1,2,2,1,2,2,2,4,2,3,1992,2,1
2004,1,10022,3,2,6,1,1,1,2,4,1,3,2001,2,2
