YEAR,ST_CASE,veh_no,per_no,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
2004,10076,1,1,0,0,0,0,0,0,0,0,0,0
2004,10077,1,1,0,0,0,0,0,0,0,0,0,0
2004,10078,1,1,0,0,0,0,0,0,0,0,0,0
2004,10078,2,1,0,0,0,0,0,0,0,0,0,0
2004,10079,1,1,6,16,9,18,13,27,14,13,11,14
2004,10079,2,1,0,0,0,0,0,0,0,0,0,0
2004,10080,1,1,22,20,8,18,31,19,9,28,16,21
2004,10081,1,1,0,0,0,0,0,0,0,0,0,0
2004,10081,2,1,0,0,0,0,0,0,0,0,0,0
2004,10082,1,1,25,25,25,25,25,25,25,25,25,25
2004,10083,0,1,17,0,6,0,13,19,0,3,0,17
2004,10083,1,1,8,16,13,0,0,0,0,12,0,14
2004,10084,1,1,5,0,3,0,0,12,0,0,0,0
2004,10085,1,1,0,0,0,8,0,0,0,0,0,0
2004,10085,2,1,0,0,0,0,0,0,0,0,0,0
2004,10086,0,1,0,0,0,0,0,0,0,0,0,0
2004,10086,1,1,0,0,0,0,0,0,0,0,0,0
2004,10087,1,1,0,0,0,0,0,0,0,0,19,0
2004,10088,1,1,0,0,0,0,0,0,11,25,0,0
2004,10089,1,1,0,0,0,0,0,0,0,0,0,0
2004,10089,2,1,0,0,0,0,0,0,0,0,0,0
2004,10090,1,1,12,0,15,0,0,22,20,18,18,27
2004,10091,1,1,0,15,0,0,0,0,0,0,0,0
2004,10091,2,1,0,0,0,0,0,0,0,0,0,0
2004,10091,3,1,0,0,0,0,0,0,0,0,0,0
2004,10092,1,1,17,18,17,0,6,30,22,33,5,14
2004,10093,1,1,40,0,0,0,0,0,0,17,0,0
2004,10093,2,1,0,0,0,0,0,0,0,0,0,0
2004,10094,1,1,20,12,12,5,0,24,7,21,13,18
2004,10095,1,1,0,0,0,0,0,0,0,0,0,0
2004,10096,1,1,0,0,0,0,0,0,0,4,0,0
2004,10097,1,1,0,0,0,0,0,0,0,0,0,0
2004,10098,1,1,0,5,0,0,0,0,22,0,0,0
2004,10098,2,1,0,0,0,0,8,0,0,0,0,0
2004,10099,1,1,0,11,0,0,0,0,0,0,0,0
2004,10099,2,1,0,0,0,0,0,0,0,0,0,0
2004,10100,1,1,0,0,19,20,0,0,0,17,18,0
2004,10101,1,1,0,0,0,0,0,0,0,0,0,0
2004,10101,2,1,0,0,0,0,0,0,0,0,0,0
2004,10102,1,1,0,0,0,0,0,0,0,0,0,0
2004,10102,2,1,0,0,0,0,0,0,0,0,0,0
2004,10103,0,1,0,0,0,0,0,0,0,0,0,0
2004,10103,1,1,11,26,13,15,7,19,6,6,15,19
2004,10104,1,1,0,0,0,0,0,0,0,0,0,0
2004,10104,2,1,0,0,0,0,0,0,0,0,0,0
2004,10105,1,1,12,0,0,0,0,0,0,0,0,0
2004,10105,2,1,0,0,0,0,0,0,0,0,0,0
2004,10105,3,1,0,0,0,0,0,0,0,0,0,0
2004,10106,1,1,0,0,0,0,0,0,0,0,0,0
2004,10106,2,1,0,0,0,0,0,0,0,0,0,0
2004,10107,1,1,0,17,0,0,0,0,0,0,0,0
2004,10107,2,1,0,0,0,0,0,0,0,0,0,0
2004,10108,1,1,12,0,23,0,0,0,0,14,0,0
2004,10109,1,1,0,0,0,0,0,5,0,0,0,0
2004,10109,2,1,0,0,0,0,0,0,0,0,0,0
2004,10110,1,1,9,10,0,6,20,17,21,19,0,7
2004,10110,2,1,0,0,0,0,0,4,0,0,0,0
2004,10111,1,1,6,7,9,7,10,4,13,6,13,25
2004,10112,0,1,0,0,0,0,0,0,0,0,0,0
2004,10112,1,1,0,0,0,0,0,0,0,0,0,0
2004,10113,1,1,0,0,0,0,0,0,0,0,0,0
2004,10114,1,1,12,0,0,0,0,0,0,0,19,0
2004,10114,2,1,0,0,0,0,0,0,0,0,20,0
2004,10115,1,1,29,15,16,7,31,23,17,16,12,12
2004,10116,1,1,22,34,11,14,9,27,16,0,11,0
2004,10116,2,1,6,6,6,6,6,6,6,6,6,6
2004,10117,1,1,0,0,0,0,0,0,0,0,0,0
2004,10118,1,1,8,7,19,16,22,10,27,14,8,26
2004,10118,2,1,0,0,0,0,14,0,0,0,0,0
2004,10118,3,1,18,11,17,13,8,16,19,12,22,10
2004,10119,1,1,16,24,15,20,25,17,0,28,13,28
2004,10120,1,1,0,0,0,0,0,0,0,0,0,0
2004,10120,2,1,0,0,20,0,21,0,26,0,18,13
2004,10121,1,1,0,0,0,0,0,0,0,0,0,0
2004,10122,1,1,0,0,0,0,0,0,33,0,0,0
2004,10123,1,1,10,22,38,21,9,14,9,20,17,10
2004,10124,1,1,0,0,0,0,0,0,0,19,0,12
2004,10124,2,1,0,0,0,0,0,0,0,0,0,0
2004,10125,1,1,0,0,0,0,0,0,0,0,0,0
2004,10125,2,1,0,0,0,0,0,0,0,0,0,0
2004,10126,1,1,40,0,0,0,8,0,7,0,0,12
2004,10126,2,1,0,0,0,25,0,0,0,0,0,0
2004,10127,1,1,9,19,10,7,5,5,0,7,0,14
2004,10128,1,1,26,20,12,31,25,14,22,17,0,20
2004,10129,1,1,0,0,0,0,0,0,0,0,0,0
2004,10129,2,1,0,0,0,0,0,0,0,0,0,0
2004,10130,1,1,0,13,0,0,0,0,0,0,0,0
2004,10131,1,1,18,20,7,29,31,34,13,6,14,32
2004,10132,1,1,0,0,0,0,23,0,0,0,0,0
2004,10133,1,1,0,15,22,9,0,0,0,0,0,0
2004,10134,1,1,0,0,0,0,0,0,0,0,0,0
2004,10134,2,1,0,0,0,0,0,0,0,0,0,0
2004,10135,1,1,0,0,0,0,0,0,0,0,0,0
2004,10135,2,1,0,0,0,0,0,0,0,0,0,0
2004,10135,3,1,0,0,0,0,0,0,0,0,0,0
2004,10136,1,1,14,41,0,0,13,35,12,19,25,17
2004,10137,1,1,0,0,0,0,0,0,0,0,0,0
2004,10138,1,1,0,0,0,0,0,0,0,0,0,0
2004,10138,2,1,0,0,0,0,10,0,0,0,0,0
2004,10139,1,1,14,0,0,0,18,0,0,0,0,0
2004,10140,1,1,0,0,0,0,0,0,0,0,0,0
2004,10140,2,1,0,0,0,0,0,0,0,0,0,0
2004,10141,1,1,0,0,0,0,0,0,0,0,0,0
2004,10141,2,1,0,0,0,0,0,0,0,0,0,0
2004,10142,1,1,4,25,0,10,0,4,0,13,0,8
2004,10143,1,1,15,15,15,15,15,15,15,15,15,15
2004,10143,2,1,0,0,0,0,0,0,0,0,0,0
2004,10144,1,1,0,17,27,0,36,0,0,7,16,0
2004,10145,1,1,0,0,0,0,0,0,8,22,0,0
2004,10145,2,1,0,0,0,0,0,0,0,13,0,0
2004,10146,1,1,18,44,14,0,15,19,24,27,0,0
2004,10146,2,1,0,0,0,0,0,0,0,0,0,0
2004,10147,1,1,12,9,14,0,4,22,7,31,19,14
2004,10147,2,1,18,6,19,29,13,0,19,27,10,24
2004,10148,1,1,0,0,0,0,0,0,0,0,18,0
2004,10149,1,1,22,20,11,4,11,31,26,19,3,12
2004,10150,1,1,0,4,18,13,0,15,0,21,21,9
2004,10151,1,1,0,0,0,0,0,0,0,0,0,0
2004,10151,2,1,0,0,0,0,0,0,0,0,0,0
2004,10151,3,1,0,0,0,0,0,0,0,0,0,0
2004,10151,4,1,0,0,0,0,0,0,0,0,0,0
2004,10152,1,1,27,0,21,0,12,0,0,20,13,20
2004,10152,2,1,0,0,0,0,0,0,10,0,0,0
2004,10152,3,1,0,0,0,0,0,0,0,0,0,0
2004,10152,4,1,0,0,0,0,8,0,0,0,0,0
2004,10153,1,1,0,0,5,0,0,0,0,0,0,0
2004,10154,1,1,33,25,11,28,12,25,22,16,13,25
2004,10155,1,1,0,0,0,0,23,0,0,0,0,0
2004,10155,2,1,0,0,0,0,12,0,0,0,0,0
2004,10156,1,1,0,11,33,16,12,0,20,18,0,28
2004,10157,1,1,0,0,17,0,0,0,0,0,0,0
2004,10157,2,1,0,0,0,0,0,0,0,0,0,0
2004,10158,1,1,27,11,0,0,0,0,22,9,22,14
2004,10159,1,1,0,17,0,0,0,0,0,0,0,0
2004,10160,1,1,0,0,34,34,9,0,7,15,18,26
2004,10161,1,1,0,0,0,0,0,0,0,0,0,0
2004,10161,2,1,0,0,0,0,0,12,0,0,0,0
2004,10162,1,1,0,0,0,0,0,0,0,0,0,0
2004,10162,2,1,0,0,0,0,0,0,0,0,0,0
2004,10163,1,1,0,10,0,10,0,0,0,0,0,6
2004,10164,1,1,0,19,0,0,0,26,0,0,0,0
2004,10165,1,1,10,0,0,0,0,0,0,0,0,0
2004,10166,0,1,21,0,17,32,42,23,16,38,33,49
2004,10166,1,1,0,17,0,0,0,0,0,0,0,13
2004,10167,1,1,0,0,0,0,0,0,0,0,0,0
2004,10168,1,1,0,0,3,0,0,0,0,0,0,0
2004,10168,2,1,0,0,0,0,0,0,0,0,0,0
2004,10169,1,1,0,7,0,0,0,20,0,0,0,0
2004,10169,2,1,0,0,19,0,0,0,0,20,0,0
2004,10170,1,1,0,0,0,0,0,0,0,0,0,0
2004,10170,2,1,0,0,0,0,0,8,0,0,0,0
2004,10171,1,1,0,0,0,0,0,0,0,0,0,0
2004,10171,2,1,0,0,0,0,0,0,0,0,0,0
2004,10171,3,1,0,0,21,0,0,0,0,0,0,0
2004,10172,1,1,0,0,0,0,0,0,0,0,0,0
2004,10172,2,1,0,0,0,0,0,0,0,0,0,0
2004,10173,1,1,0,0,0,0,0,0,0,0,0,0
2004,10173,2,2,0,0,0,0,0,0,0,0,0,0
2004,10174,1,1,7,7,7,7,7,7,7,7,7,7
2004,10175,1,1,0,0,7,0,0,0,0,0,7,0
2004,10175,2,1,0,0,0,0,0,0,0,0,0,0
