ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,YEAR
10001,0,0,0,0,0,0,0,0,0,0,2004
10002,16,15,20,32,22,17,12,21,18,44,2004
10003,0,11,0,0,6,0,0,0,0,10,2004
10004,0,14,0,0,0,0,0,16,8,0,2004
10005,0,0,0,0,0,0,0,0,0,0,2004
10006,19,20,23,19,22,23,30,22,7,30,2004
10007,0,0,14,0,0,0,0,0,0,0,2004
10008,16,0,17,17,0,13,0,0,0,17,2004
10009,0,0,0,0,0,0,22,8,0,0,2004
10010,16,15,20,5,22,6,17,20,16,10,2004
10011,17,6,27,11,15,22,16,19,25,13,2004
10012,10,27,27,18,21,11,17,29,16,4,2004
10013,0,0,0,0,0,0,0,0,0,0,2004
10014,22,9,24,0,14,17,18,8,0,15,2004
10015,0,0,0,0,0,0,0,0,0,0,2004
10016,0,0,0,0,0,21,0,0,0,0,2004
10017,0,10,11,28,10,15,18,0,0,14,2004
10018,10,10,0,0,0,22,0,0,0,0,2004
10019,22,0,15,0,0,0,0,0,8,0,2004
10020,10,15,0,0,25,0,0,0,0,0,2004
10021,0,14,14,14,0,8,15,21,0,0,2004
10022,0,0,11,0,0,0,0,23,20,0,2004
10023,0,0,0,0,8,0,0,0,11,0,2004
10024,25,34,18,32,22,29,18,12,28,19,2004
10025,0,0,0,0,0,0,0,0,0,0,2004
10026,0,0,13,0,0,0,0,0,0,0,2004
10027,0,0,0,0,0,0,0,0,0,0,2004
10028,27,21,0,0,0,0,0,0,0,17,2004
10029,0,0,27,10,0,0,17,20,14,9,2004
10030,24,6,12,8,0,9,4,0,18,23,2004
10031,13,0,0,0,0,0,0,0,0,0,2004
10033,0,10,0,0,0,0,0,0,0,0,2004
10034,0,0,0,0,0,0,0,0,0,0,2004
10035,0,0,0,0,0,0,0,0,0,0,2004
10036,0,13,17,0,0,0,0,0,28,17,2004
10037,35,10,35,15,14,21,12,10,10,0,2004
10038,22,33,0,17,41,0,19,43,28,11,2004
10039,10,47,6,17,22,15,11,27,19,25,2004
10040,0,0,0,0,0,15,0,0,0,12,2004
10041,0,8,25,14,23,30,20,31,11,9,2004
10042,17,15,16,19,0,13,29,14,24,20,2004
10043,10,0,37,27,0,0,0,0,0,0,2004
10044,0,0,0,0,0,0,0,7,2,0,2004
10045,0,0,0,0,0,0,0,0,0,9,2004
10046,0,0,0,0,20,0,0,0,0,0,2004
10047,0,0,0,0,0,0,0,0,0,0,2004
10048,0,12,0,0,0,0,0,0,0,13,2004
10049,0,0,0,0,0,0,15,0,0,0,2004
10050,0,17,0,16,0,9,21,23,0,28,2004
10051,28,0,0,0,0,0,0,0,0,0,2004
10052,29,8,20,15,15,4,23,20,14,8,2004
10053,0,21,12,0,0,0,0,0,0,0,2004
10055,13,30,24,14,3,4,15,24,7,11,2004
10056,0,0,9,0,10,0,0,0,0,0,2004
