A_AGE1,A_AGE2,A_AGE3,A_AGE4,A_AGE5,A_AGE6,A_AGE7,A_AGE8,A_AGE9,ST_CASE,VEH_NO,PER_NO,YEAR,A_PTYPE,A_REST,A_ALCTES,A_HISP,A_RCAT,A_HRACE,A_EJECT,A_PERINJ,A_LOC
2,3,6,3,3,3,5,2,2,10001,1,1,2014,1,1,2,1,1,2,1,1,1
3,4,7,4,4,4,6,3,2,10001,1,2,2014,2,1,3,0,0,0,1,6,1
3,5,9,6,6,6,8,5,2,10002,1,1,2014,1,2,2,1,1,2,1,1,1
2,3,6,3,3,3,5,2,2,10003,1,1,2014,1,2,3,0,0,0,1,6,1
2,3,6,3,3,3,5,2,2,10003,1,2,2014,2,1,3,0,0,0,1,6,1
2,2,5,2,2,2,4,1,2,10003,1,3,2014,2,1,3,0,0,0,1,6,1
2,2,5,2,2,2,4,1,2,10003,1,4,2014,2,1,3,0,0,0,1,6,1
2,2,5,2,2,2,4,2,2,10003,2,1,2014,1,1,1,1,2,3,1,1,1
3,5,9,6,6,6,8,4,2,10003,2,2,2014,2,1,2,1,2,3,1,1,1
2,3,6,3,3,3,5,2,2,10003,2,3,2014,2,2,3,0,0,0,2,6,1
4,5,12,7,9,9,11,6,2,10004,1,1,2014,1,2,1,1,1,2,1,1,1
3,4,7,4,4,4,6,2,2,10004,2,1,2014,1,1,3,0,0,0,1,6,1
3,4,7,4,4,4,6,3,2,10004,2,2,2014,2,2,3,0,0,0,1,6,1
2,2,5,2,2,2,4,1,2,10004,2,3,2014,2,2,3,0,0,0,1,6,1
4,5,10,6,7,7,9,6,2,10004,3,1,2014,1,1,3,0,0,0,1,6,1
3,5,9,6,6,6,8,4,2,10005,1,1,2014,1,2,3,1,1,2,1,1,1
3,5,9,6,6,6,8,5,2,10006,1,1,2014,1,1,1,1,2,3,1,1,1
3,5,8,5,5,5,7,3,2,10007,1,1,2014,1,1,3,0,0,0,1,6,1
3,4,7,4,4,4,6,3,2,10007,2,1,2014,1,2,2,1,2,3,1,1,1
3,5,8,5,5,5,7,3,2,10008,1,1,2014,1,1,1,0,0,0,1,6,1
3,4,7,4,4,4,6,2,2,10008,1,2,2014,2,2,3,0,0,0,1,6,1
3,5,9,6,6,6,8,4,2,10008,1,3,2014,2,2,1,1,1,2,1,1,1
3,5,8,5,5,5,7,4,2,10008,2,1,2014,1,1,3,0,0,0,1,6,1
