ST_CASE,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,ROUTE,TWAY_ID,TWAY_ID2,LATITUDE,LONGITUD,TYP_INT,WEATHER1,WEATHER2,WEATHER,CF1,CF2,CF3,FATALS
482247,4,181,0,26,8,2016,6,14,20,8,FM 406,,33.79923333,-96.6493,1,10,0,10,0,0,0,1
482248,8,157,6660,30,8,2016,3,18,46,8,FM 1876 ELDRIDGE RD,BOURNEWOOD DR,29.64001667,-95.6189,3,1,0,1,0,0,0,1
482249,7,121,1190,1,9,2016,5,8,23,6,SAM RAYBURN TOLLWAY,,33.01821667,-96.9375,1,10,0,10,0,0,0,1
482250,3,453,330,1,9,2016,5,11,14,6,8300 BURNET RD,,30.36358333,-97.7289,1,1,0,1,0,0,0,1
482251,4,1,0,2,9,2016,6,20,30,2,US-287,,31.87165,-95.8617,1,1,0,1,0,0,0,1
482252,4,399,0,3,9,2016,7,22,33,4,CR-332,,31.83591667,-99.9913,1,1,0,1,0,0,0,2
482253,3,113,1730,5,9,2016,2,4,12,2,US-67 MARVIN D. LOVE FWY,,32.66194167,-96.8699,1,1,0,1,19,0,0,1
482254,4,113,1730,5,9,2016,2,16,43,8,SL-12 LEDBETTER DR,HAMPTON RD,32.69129167,-96.8571,2,1,0,1,0,0,0,2
482255,1,355,0,9,9,2016,6,2,4,6,NAVIGATION BLVD,,27.82573333,-97.4482,1,1,0,1,0,0,0,1
482256,2,479,3899,23,6,2016,5,18,30,1,I-35,,27.61232778,-99.4929,1,1,0,1,0,0,0,1
482257,1,201,0,2,7,2016,7,2,15,4,CR-IDLELOCH DR,,30.07264722,-95.0973,1,1,0,1,0,0,0,1
482258,5,221,2780,5,8,2016,6,16,33,8,SL 567 DEPUTY LANCE MCLEAN ME,,32.44654167,-97.8251,1,1,0,1,14,0,0,2
482259,2,73,0,6,8,2016,7,4,30,8,FM 2138,,31.87195278,-95.2885,1,1,0,1,0,0,0,1
482260,3,215,0,7,8,2016,1,2,40,4,CR-MILE 16 N RD,MILE 4 W RD,26.28639722,-97.9769,2,10,0,10,0,0,0,1
482262,1,357,5300,29,8,2016,2,21,51,2,US-83 MAIN ST,19TH AVE,36.38138611,-100.803,3,2,0,2,0,0,0,1
482263,2,423,0,29,8,2016,2,9,1,3,SR-31,,32.35085278,-95.2346,1,1,0,1,0,0,0,1
482264,3,201,3280,30,8,2016,3,6,20,1,I-610 NORTH LOOP,,29.8143,-95.3789,1,10,0,10,0,0,0,1
482265,1,453,0,30,8,2016,3,19,0,4,CR-MCNEIL DR,MCNEIL RD,30.44903889,-97.726,3,1,0,1,19,0,0,1
482266,2,113,1730,1,9,2016,5,23,25,1,I-20 LBJ FWY,,32.66195556,-96.8961,1,1,0,1,0,0,0,1
482267,2,91,0,2,9,2016,6,16,39,2,US--281,,29.726425,-98.4412,1,1,0,1,0,0,0,1
482268,3,121,1645,2,9,2016,6,4,44,2,US-380,FM 424,33.22619444,-96.9892,2,1,0,1,14,0,0,1
482269,4,305,0,2,9,2016,6,5,48,8,FM 213,,33.01995,-101.682,1,10,0,10,0,0,0,1
482271,4,29,6090,3,9,2016,7,4,26,1,I-35,,29.44466944,-98.4334,1,1,0,1,0,0,0,2
482272,11,53,0,3,9,2016,7,9,23,2,US-281,,30.83520278,-98.2376,1,1,0,1,0,0,0,2
482273,3,21,0,4,9,2016,1,20,56,3,SR-71,FM1209,30.12221111,-97.4329,1,1,0,1,0,0,0,2
482274,5,115,0,4,9,2016,1,11,50,3,SR-137,,32.90549722,-102.104,1,1,0,1,0,0,0,1
482275,6,201,3280,4,9,2016,1,5,28,3,SR-6,WESTHEIMER RD,29.73538333,-95.6441,2,1,0,1,0,0,0,1
482276,3,113,1870,6,9,2016,3,15,12,6,PARKERVILLE RD,,32.57521667,-96.8575,1,1,0,1,0,0,0,1
482277,1,373,0,6,9,2016,3,15,30,4,CR-WILSON LAKE ESTATES RD,,30.64856111,-94.73299999999999,1,1,0,1,0,0,0,1
482278,5,55,0,7,9,2016,4,20,30,3,SR-21 CAMINO REAL,,29.99411667,-97.7494,1,1,0,1,0,0,0,1
482279,3,133,0,7,9,2016,4,8,4,8,FM570,,32.39746667,-98.7632,1,1,0,1,14,0,0,1
482280,1,201,3280,7,9,2016,4,10,45,7,I-69/US-59 SOUTHWEST FWY,BELLERIVE DR,29.7106,-95.5067,3,10,0,10,0,0,0,1
