COUNTY,MONTH,DAY,HOUR,MINUTE,PERSONS,ROAD_FNC,ROUTE,REL_JUNC,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,HIT_RUN,WEATHER,C_M_ZONE,CF1,CF2,CF3,FATALS,DAY_WEEK,ST_CASE,CITY,YEAR,TWAY_ID,latitude,longitud
1,1,1,0,25,3,4,8,1,1,2,55,2,1,2,1,0,0,0,1,0,0,0,0,1,4,480001,0,2003,FM320,31.766466667,-95.70086944
29,1,1,4,11,6,1,1,1,2,2,65,1,1,2,1,0,0,0,1,0,0,0,0,1,4,480002,0,2003,I-10,29.728511111,-98.67614167
29,1,1,1,11,5,11,1,1,3,3,60,1,1,2,1,0,0,1,1,1,0,0,0,1,4,480003,1209,2003,I-410,29.518777778,-98.52261944
113,1,1,21,55,3,16,5,2,2,2,40,1,1,1,1,20,3,0,1,0,0,0,0,1,4,480004,1730,2003,LAPRADA,32.813272221999995,-96.66531389
185,1,1,16,20,3,3,3,2,1,2,70,1,1,2,1,20,3,0,1,0,0,0,0,1,4,480005,9997,2003,SR-30,30.594680556,-96.07821667
201,1,1,13,25,4,13,8,8,5,4,45,1,1,1,1,0,0,0,1,1,0,0,0,1,4,480006,0,2003,FM1960,30.023541666999996,-95.39087778
201,1,1,1,30,1,13,8,1,1,2,55,2,1,2,1,0,0,0,1,0,0,0,0,1,4,480007,0,2003,BU90U,29.885880556,-95.06331389
257,1,1,18,33,14,1,1,1,3,2,65,1,1,2,1,0,0,0,1,0,0,0,0,1,4,480008,6830,2003,I-20,32.699533333000005,-96.27056111
271,1,1,7,10,2,2,2,1,1,2,70,2,1,2,1,0,0,0,1,0,0,0,0,1,4,480009,0,2003,US-90,29.331713889,-100.5205806
289,1,1,15,41,1,1,1,1,3,2,70,1,1,2,1,0,0,0,1,0,0,0,0,1,4,480010,0,2003,I-45,31.226497222,-95.99485
339,1,1,4,40,2,4,8,1,1,2,55,1,1,2,1,0,0,0,1,0,0,0,0,1,4,480011,4878,2003,LP494,30.130627778,-95.22000833
355,1,1,2,24,4,13,3,2,3,3,45,1,1,2,1,0,0,0,1,0,0,0,0,1,4,480012,1550,2003,SR-357,27.690975,-97.395075
455,1,1,2,7,2,3,8,1,1,2,55,1,1,2,1,0,0,2,1,0,0,0,0,1,4,480013,0,2003,FM356,30.908730556,-95.24819722
477,1,1,0,52,1,14,8,1,1,2,45,2,1,2,1,0,0,0,1,0,0,0,0,1,4,480014,0,2003,FM577,30.147,-96.36202222
29,1,2,8,20,6,14,2,2,2,2,65,1,1,2,1,20,3,0,1,0,0,0,0,1,5,480015,0,2003,US-281,29.709997222,-98.44879444
61,1,2,18,35,2,13,2,1,5,2,45,1,1,2,1,0,0,2,1,0,0,0,0,1,5,480016,940,2003,US-281,25.935119444,-97.53235556
223,1,2,10,50,3,3,3,1,1,2,70,2,1,2,1,0,0,0,1,0,0,0,0,2,5,480017,0,2003,SR-19,33.295052778,-95.58325833
389,1,2,11,0,3,1,1,1,2,9,75,2,1,2,1,0,0,0,1,0,0,0,0,1,5,480018,0,2003,I-20,31.263097222,-103.8587444
29,1,3,2,45,4,3,3,1,2,2,65,1,1,2,1,0,0,0,1,0,0,0,0,3,6,480019,0,2003,SR-16,29.606794444000002,-98.71111944
29,1,3,19,50,3,16,5,2,1,2,30,1,1,2,1,20,3,0,1,0,0,0,0,2,6,480020,6090,2003,34TH,29.443152778,-98.56608333
113,1,3,11,44,3,16,5,2,1,2,30,1,1,1,1,20,3,0,1,0,0,0,0,1,6,480021,1730,2003,BIGLOWST,32.710983333,-96.79998056
339,1,3,1,30,4,4,8,2,1,2,60,1,1,1,1,3,3,0,1,0,0,0,0,1,6,480022,0,2003,FM149,30.223116667,-95.68010833
359,1,3,3,45,2,1,1,1,2,2,70,1,1,2,1,0,0,0,1,0,0,0,0,1,6,480023,0,2003,I-40,35.239161111,-102.8309056
361,1,3,16,56,3,3,3,1,1,2,55,1,1,2,1,0,0,0,1,0,0,0,0,2,6,480024,0,2003,SR-62,30.220186111,-93.88050556
407,1,3,23,50,1,6,4,1,1,2,35,1,1,2,1,0,0,0,1,0,0,0,0,1,6,480025,0,2003,CEDARVALLEY,30.604886111,-95.05215833
409,1,3,2,9,3,4,3,1,1,2,50,2,1,2,1,0,0,0,1,0,0,0,0,1,6,480026,0,2003,SR-25,28.067122222,-97.88356389
27,1,4,6,25,1,1,1,1,3,2,65,1,1,2,1,0,0,0,1,0,0,0,0,1,7,480027,570,2003,I-35,30.982102778,-97.50737778
31,1,4,16,34,1,2,2,1,1,4,70,2,1,2,1,0,0,0,1,0,0,0,0,1,7,480028,0,2003,US-290,30.253386110999998,-98.52738611
61,1,4,11,51,3,2,8,1,5,2,35,1,1,2,1,0,0,0,1,0,0,0,0,1,7,480029,3780,2003,BU83S,26.162113889,-97.81341944
439,1,4,23,10,4,14,8,3,1,2,30,1,1,2,1,0,0,0,1,0,0,0,0,1,7,480030,2450,2003,FM1220,32.8073,-97.39042778
497,1,4,10,44,1,4,3,6,1,2,65,1,1,2,1,60,3,0,1,0,0,0,0,1,7,480031,0,2003,SR-101,33.285522222,-97.79401111
61,1,5,7,47,3,12,2,2,1,2,45,1,1,2,1,21,3,0,1,0,0,0,0,1,1,480032,1481,2003,US-77,26.252122221999997,-97.72903611
113,1,5,17,0,5,16,5,2,1,6,40,1,1,1,1,3,3,0,1,0,0,0,0,2,1,480033,5730,2003,BELTLINE,32.945325,-96.69129722
215,1,5,2,45,1,6,4,1,1,2,45,1,1,2,1,0,0,0,1,0,0,0,0,1,1,480034,0,2003,TOWER,26.203238889,-98.10765278
361,1,5,10,47,3,11,1,1,3,2,65,1,1,2,1,0,0,0,1,0,0,0,0,1,1,480035,5952,2003,I-10,30.105430555999998,-94.05478611
73,1,6,14,22,1,6,4,1,1,2,30,1,1,2,1,0,0,0,1,0,0,0,0,1,2,480036,0,2003,3405,32.052947222,-95.32494167
203,1,6,12,57,3,4,8,1,1,2,60,2,1,2,1,0,0,0,1,0,0,0,0,2,2,480037,0,2003,FM9,32.501616667,-94.06201667
367,1,6,19,20,3,4,8,1,1,2,60,1,3,2,1,0,0,0,1,0,0,0,0,1,2,480038,0,2003,FM920,32.83095,-97.854525
497,1,6,17,50,5,4,3,1,1,2,55,1,1,2,1,0,0,0,1,0,0,0,0,1,2,480039,329,2003,SR-114,33.066858333,-97.51934722
29,1,7,14,15,2,13,8,1,2,2,45,1,1,2,1,0,0,0,1,0,0,0,0,1,3,480040,6090,2003,FM1957,29.435875,-98.71000556
73,1,7,18,50,1,6,4,1,1,2,35,2,1,2,1,0,0,0,1,0,0,0,0,1,3,480041,0,2003,4102,32.009280556,-95.25811389
113,1,7,13,50,1,11,1,1,2,4,65,1,1,1,1,0,0,0,1,0,0,0,0,1,3,480042,1730,2003,I-20,32.654811111,-96.75126944
181,1,7,9,29,1,4,3,1,1,2,70,1,1,2,1,0,0,0,1,0,0,0,0,1,3,480043,0,2003,SR-160,33.411225,-96.40303611
355,1,7,14,4,2,2,3,2,2,2,70,1,1,2,1,20,3,0,1,0,0,0,0,1,3,480044,0,2003,SR-44,27.783077778000003,-97.61951667
361,1,7,8,3,4,1,1,1,2,2,70,1,1,2,1,0,0,0,1,0,0,0,0,3,3,480045,5100,2003,I-10,30.112897221999997,-93.81143889
491,1,7,17,5,4,3,3,1,1,2,65,1,1,2,1,0,0,0,1,0,0,0,0,1,3,480046,0,2003,SR-95,30.547636111,-97.40861667
