COUNTY,MONTH,DAY,HOUR,MINUTE,PERSONS,ROAD_FNC,ROUTE,REL_JUNC,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,HIT_RUN,WEATHER,C_M_ZONE,CF1,CF2,CF3,FATALS,DAY_WEEK,ST_CASE,CITY,YEAR,TWAY_ID,TWAY_ID2,latitude,longitud
439,1,7,14,17,4,13,3,2,2,2,40,1,1,1,1,3,3,0,1,0,0,0,0,1,7,480035,260,2006,SR-180,SR-360,32.74367778,-97.06354444
113,1,8,0,30,1,16,5,1,3,3,55,1,1,1,1,0,0,0,1,0,0,0,0,1,1,480036,1730,2006,DALLASNORTHTOLLWAY,99999999999999999999,32.85148611,-96.81311667
201,1,8,21,46,2,16,5,1,2,3,50,2,1,2,1,0,0,0,1,0,0,0,0,1,1,480037,5230,2006,REDBLUFF,99999999999999999999,29.64901667,-95.12005
311,1,8,11,0,3,3,3,1,1,2,75,2,1,2,1,0,0,0,1,0,0,0,0,2,1,480038,0,2006,SR-16,99999999999999999999,28.44408611,-98.55086389
113,1,9,23,0,1,16,5,1,2,2,35,1,1,2,1,0,0,0,1,0,0,0,0,1,2,480039,1730,2006,CORINTHST,99999999999999999999,32.76319167,-96.79146111
113,1,9,10,50,2,16,5,1,2,3,45,1,1,1,1,0,0,0,1,0,0,0,0,1,2,480040,3420,2006,BELTLINERD,99999999999999999999,32.88440556,-96.99121944
149,1,9,8,39,2,4,3,1,1,2,60,1,1,2,1,0,0,0,1,0,0,0,0,1,2,480041,2340,2006,SR-159,99999999999999999999,29.93069167,-96.70420278
215,1,9,7,30,2,6,4,1,1,2,45,1,1,2,1,0,0,0,1,0,0,0,0,1,2,480042,0,2006,BENTSENPALMDR,99999999999999999999,26.31884167,-98.35575278
309,1,9,21,30,1,14,8,1,1,2,60,2,1,1,1,0,0,0,8,0,0,0,0,1,2,480043,7210,2006,FM185,99999999999999999999,31.61471667,-97.28956944
439,1,9,11,3,4,4,8,3,1,2,60,1,1,2,1,0,0,0,1,0,0,0,0,1,2,480044,9997,2006,FM718,MEADOWLAND,32.98911389,-97.45889722
