COUNTY,MONTH,DAY,HOUR,MINUTE,PERSONS,ROAD_FNC,ROUTE,REL_JUNC,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,HIT_RUN,WEATHER1,WEATHER2,C_M_ZONE,CF1,CF2,CF3,FATALS,DAY_WEEK,ST_CASE,CITY,YEAR,TWAY_ID,TWAY_ID2,WEATHER,latitude,longitud
141,1,10,2,28,2,16,5,1,2,3,30,1,2,1,1,9,3,2,1,0,0,0,0,0,1,4,480034,2190,2007,MONROE,99999999999999999999,1,31.8121,-106.44435
279,1,10,15,24,2,14,8,1,1,2,65,1,1,2,1,0,0,0,1,0,0,0,0,0,1,4,480035,4010,2007,LP430,99999999999999999999,1,33.90476389,-102.2990556
439,1,10,8,50,2,11,7,8,4,2,40,1,1,1,1,0,0,0,1,0,0,0,0,0,1,4,480036,2450,2007,I-35,99999999999999999999,1,32.619225,-97.32116667
453,1,10,20,54,6,12,8,4,2,3,99,1,2,2,1,3,3,0,1,0,0,0,0,0,1,4,480037,330,2007,LP360,99999999999999999999,1,30.24103333,-97.8007
469,1,10,21,42,2,16,5,8,1,2,35,1,1,2,1,0,0,0,1,0,0,0,0,0,1,4,480038,7190,2007,HANSELMAN,99999999999999999999,1,28.79398611,-96.95738611
201,1,11,16,34,2,6,4,1,2,2,45,1,1,2,1,0,0,0,1,0,0,0,0,0,1,5,480039,0,2007,CLAY,99999999999999999999,1,29.83116111,-95.68308611
339,1,11,18,0,4,13,3,3,1,2,55,1,1,2,1,0,0,0,1,0,0,0,0,0,1,5,480040,1510,2007,SR-105,MAGNOLIA,1,30.31969444,-95.42483333
439,1,11,14,16,1,13,8,1,2,2,35,1,1,1,1,0,0,0,1,0,0,0,0,0,1,5,480041,2450,2007,SP580,99999999999999999999,1,32.72148333,-97.43357222
499,1,11,8,20,2,5,8,1,1,2,60,1,1,2,1,0,0,0,1,0,0,0,0,0,1,5,480042,0,2007,FM852,99999999999999999999,1,32.93263056,-95.25940833
61,1,12,20,16,4,12,2,1,3,2,50,1,1,1,2,0,0,0,1,0,4,0,0,0,1,6,480043,3030,2007,US-77,99999999999999999999,1,26.18735278,-97.71703333
113,1,12,7,0,2,16,5,3,2,3,35,1,1,1,1,98,3,2,1,0,0,0,0,0,1,6,480044,1730,2007,CORINTH,COCKRELL,1,32.76455278,-96.78986944
355,1,13,2,40,4,16,5,2,1,4,35,1,1,2,1,3,3,0,1,0,0,0,0,0,1,7,480045,1550,2007,PORT,LIPAN,1,27.79411111,-97.41696944
67,1,14,2,30,1,3,3,1,1,2,65,2,1,2,2,0,0,0,2,0,0,0,0,0,1,1,480046,0,2007,SR-49,99999999999999999999,2,32.97693889,-94.59766667
