ST_CASE,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,ROAD_FNC,ROUTE,TWAY_ID,TWAY_ID2,LATITUDE,LONGITUD,TYP_INT,WEATHER1,WEATHER2,WEATHER,CF1,CF2,CF3,FATALS
480001,2,113,1730,1,1,2013,3,7,36,16,5,MEANDERING WAY,,32.96073056,-96.7786,1,2,0,2,0,0,0,1
480002,1,127,0,1,1,2013,3,4,0,6,4,CR-MARTINEZ RD,,28.46109167,-99.7805,1,1,0,1,0,0,0,1
480003,2,157,6660,1,1,2013,3,5,50,12,8,UA90,SAVOY ST,29.62106389,-95.6298,2,2,0,2,0,0,0,1
480004,5,201,0,1,1,2013,3,22,45,6,4,CR-KINGSLAND BLVD,,29.77192222,-95.7863,1,1,0,1,0,0,0,1
480005,1,367,0,1,1,2013,3,23,50,6,4,CR-TIN TOP RD,,32.68593889,-97.7892,1,1,0,1,0,0,0,1
480006,1,439,260,1,1,2013,3,2,56,16,5,PARK SPRINGS BLVD,SHADY VALLEY DR,32.71785833,-97.1689,2,2,0,2,0,0,0,1
480007,2,453,330,1,1,2013,3,17,15,16,5,BERGER ST,,30.26975278,-97.6878,1,10,0,10,0,0,0,2
480008,13,201,3280,2,1,2013,4,16,33,13,3,SR-6,,29.74084722,-95.6442,1,1,0,1,0,0,0,1
480010,1,9,0,3,1,2013,5,6,0,4,8,FM172,,33.63244444,-98.4994,1,1,0,1,0,0,0,1
480011,1,201,3280,3,1,2013,5,2,45,12,2,US-59/SOUTHWEST FWY,,29.72987778,-95.4563,1,1,0,1,0,0,0,1
480012,6,229,0,3,1,2013,5,17,8,1,1,I-10,,31.20535833,-105.462,1,4,0,4,0,0,0,2
480013,3,363,0,3,1,2013,5,17,43,4,8,FM 2201,,32.61245556,-98.17299999999999,1,1,0,1,0,0,0,2
480014,1,409,3380,3,1,2013,5,2,7,14,3,SR-361,,27.88186944,-97.2102,1,10,0,10,0,0,0,1
480015,1,439,2990,3,1,2013,5,4,49,13,2,US-377/DENTON HWY,,32.81008333,-97.2645,1,1,0,1,0,0,0,1
480016,1,441,30,3,1,2013,5,7,4,14,8,BU 20,SEWELL,32.45026389,-99.7555,3,1,0,1,0,0,0,1
480017,2,453,330,3,1,2013,5,4,10,11,1,I-35,,30.11353056,-97.8063,1,1,0,1,0,0,0,1
480018,1,61,3030,4,1,2013,6,6,23,16,5,BUCHANAN AVE,D ST,26.18426111,-97.7,2,10,0,10,0,0,0,1
480019,7,203,4360,4,1,2013,6,18,0,13,2,US-80/GRAND AVE,SL-390/ERNEST SMITH PKWY,32.54873611,-94.3951,2,1,0,1,0,0,0,1
480020,4,409,0,4,1,2013,6,23,7,2,2,US-77,,27.98344167,-97.5529,1,10,0,10,0,0,0,1
480021,1,439,260,5,1,2013,7,2,45,16,5,NEW YORK AVE,,32.64500833,-97.0765,1,1,0,1,14,0,0,1
480022,2,439,2450,5,1,2013,7,13,18,11,1,I-35,,32.81660278,-97.3131,1,1,0,1,0,0,0,1
480023,1,121,3192,7,1,2013,2,16,28,13,8,FM 2499,,33.08408333,-97.0782,1,1,0,1,0,0,0,1
480024,3,201,3280,7,1,2013,2,8,40,12,2,US-90A,,29.63258611,-95.5025,1,1,0,1,0,0,0,1
480025,4,439,2450,7,1,2013,2,11,20,16,5,CAMPUS DR,JOE B. RUSHING RD,32.67222778,-97.2952,2,1,0,1,0,0,0,1
480026,2,21,460,8,1,2013,3,10,10,13,8,SL 150 CHESTNUT ST,PECAN ST,30.11055833,-97.3175,2,2,0,2,0,0,0,1
480027,1,113,1730,8,1,2013,3,9,45,11,1,I-35,,32.64186111,-96.8231,1,2,0,2,0,0,0,1
480028,1,183,0,8,1,2013,3,15,48,3,3,SR-149,,32.38959722,-94.6665,1,2,0,2,0,0,0,1
480029,2,201,3280,8,1,2013,3,5,35,12,8,LOOP 8,BOHEME DR,29.76706944,-95.5621,3,2,0,2,0,0,0,1
480030,5,249,0,8,1,2013,3,18,21,2,3,SR-359,,27.83892778,-98.014,1,10,0,10,0,0,0,1
480031,5,265,0,8,1,2013,3,16,10,3,3,SR-173/BANDERA HWY,,29.89444722,-99.1056,1,2,0,2,0,0,0,1
480032,1,303,4140,8,1,2013,3,11,23,13,2,US-84/AVENUE Q DR,,33.548425,-101.855,1,10,0,10,0,0,0,1
480033,3,317,0,8,1,2013,3,13,0,2,3,SR-349/TOM CRADDICK HWY,,32.09456944,-102.09899999999999,1,10,0,10,0,0,0,1
480034,1,453,330,8,1,2013,3,7,30,16,5,SARA DR,,30.2685,-97.6879,1,2,0,2,0,0,0,1
480035,2,453,4290,8,1,2013,3,14,22,2,2,US-290E/HWY 290E,OLD KIMBRO ROAD,30.350625,-97.5005,2,2,0,2,0,0,0,1
480036,1,113,1240,9,1,2013,4,14,8,12,7,US-67,,32.60996944,-96.9259,1,2,0,2,0,0,0,1
480037,2,287,0,9,1,2013,4,8,17,3,2,US-77,,30.34081111,-96.9734,1,2,0,2,0,0,0,1
480038,2,327,0,9,1,2013,4,12,20,4,2,US-83 RAMP,,30.88352778,-99.765,1,2,0,2,0,0,0,1
480039,1,355,1550,9,1,2013,4,18,20,16,5,AYERS ST,ROOSEVELT DR,27.75493889,-97.4154,3,10,0,10,0,0,0,1
