COUNTY,MONTH,DAY,HOUR,MINUTE,PERSONS,ROAD_FNC,ROUTE,REL_JUNC,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,HIT_RUN,WEATHER1,WEATHER2,C_M_ZONE,CF1,CF2,CF3,FATALS,DAY_WEEK,ST_CASE,CITY,YEAR,TWAY_ID,TWAY_ID2,LATITUDE,LONGITUD,WEATHER
29,1,6,1,36,1,16,5,1,3,2,60,2,1,1,1,0,0,0,1,0,0,0,0,0,1,1,480030,6090,2008,WURZBACH,99999999999999999999,29.53543889,-98.39565833,1
39,1,6,14,35,4,6,4,2,1,2,20,1,1,2,1,21,3,0,1,0,0,0,0,0,1,1,480031,0,2008,530,427,29.23718611,-95.34489167,1
113,1,6,14,53,2,11,1,1,3,4,60,2,2,2,1,0,0,1,1,0,0,0,0,0,1,1,480032,1730,2008,I-35,99999999999999999999,32.73851944,-96.82363333,1
183,1,6,23,22,2,13,8,1,5,4,55,2,1,2,1,0,0,0,1,0,0,0,0,0,1,1,480033,4080,2008,LP281,99999999999999999999,32.45301389,-94.73650278,1
363,1,6,6,40,1,4,3,1,1,2,65,2,1,2,2,0,0,0,1,0,0,0,0,0,1,1,480034,0,2008,SR-254,99999999999999999999,32.93683889,-98.15756389,1
401,1,6,6,40,2,14,3,1,1,4,55,1,1,2,2,0,0,0,1,0,0,0,0,0,1,1,480035,3680,2008,SR-42/135,99999999999999999999,32.36306944,-94.89389444,1
453,1,6,18,42,2,13,8,1,2,2,45,1,1,2,1,0,0,0,1,0,0,0,0,0,1,1,480036,330,2008,LP275,NEANS,30.37265278,-97.69160556,1
491,1,6,8,26,2,2,2,1,1,4,65,1,1,2,1,0,0,0,1,0,0,0,0,0,1,1,480037,0,2008,US-79,99999999999999999999,30.58210278,-97.34337222,1
199,1,7,9,20,3,2,2,1,1,2,65,1,1,2,1,0,0,0,1,0,0,0,0,0,1,2,480038,0,2008,US-69,99999999999999999999,30.33470278,-94.27029167,1
439,1,7,9,54,4,16,5,2,2,2,35,1,1,2,1,3,3,0,1,0,0,0,0,0,1,2,480039,260,2008,NEWYORK,ARKANSAS,32.70616944,-97.08036667,1
15,1,8,10,45,1,2,3,1,1,2,70,1,1,2,2,0,0,0,1,0,0,0,0,0,1,3,480040,0,2008,SR-36,99999999999999999999,29.81199444,-96.162975,1
55,1,8,3,30,4,3,3,1,1,4,65,1,2,2,1,0,0,0,1,0,0,0,0,0,1,3,480041,0,2008,SR-80,99999999999999999999,29.7787,-97.7854,1
131,1,8,11,4,4,2,2,1,1,2,75,1,1,2,1,0,0,0,1,0,0,0,0,0,3,3,480042,0,2008,US-59,99999999999999999999,28.00050278,-98.46170556,1
167,1,8,17,46,5,12,3,1,1,2,60,2,2,2,2,40,3,0,1,0,0,0,0,0,2,3,480043,6860,2008,SR-146,99999999999999999999,29.41257222,-94.95933889,1
201,1,8,23,46,1,11,1,1,3,5,60,1,1,1,1,0,0,0,1,0,0,0,0,0,1,3,480044,3280,2008,I-10,99999999999999999999,29.78486389,-95.69532778,1
113,1,9,18,12,5,6,5,1,3,3,55,1,2,2,1,0,0,0,1,0,0,0,0,0,1,4,480045,1730,2008,DALLASNORTHTOLLWAY,99999999999999999999,32.82732778,-96.81605,1
141,1,9,6,19,4,2,2,2,2,2,65,1,1,2,1,20,3,0,1,0,0,0,0,0,1,4,480046,2190,2008,US-54,EDGEOFTEXAS,32.00120556,-106.32666670000002,1
355,1,9,11,11,2,13,2,3,2,2,50,1,1,2,1,21,3,0,1,0,0,0,0,0,1,4,480047,5850,2008,US-77,INDUSTRIAL,27.77113333,-97.675125,1
459,1,9,17,55,1,4,8,1,1,2,55,2,2,2,1,0,0,0,1,0,0,0,0,0,1,4,480048,0,2008,FM1795,99999999999999999999,32.70131389,-95.05623611,1
247,1,10,17,33,1,6,4,6,1,2,30,1,1,2,1,70,3,0,1,0,0,0,0,0,1,5,480049,3080,2008,CEDAR,99999999999999999999,27.30545278,-98.67498611,1
309,1,10,21,16,5,11,1,1,3,3,65,1,2,2,1,0,0,0,1,0,0,14,0,0,1,5,480050,545,2008,I-35,99999999999999999999,31.60436944,-97.10633889,1
339,1,10,15,15,3,6,4,2,1,2,45,1,1,2,1,0,0,0,1,0,0,0,0,0,1,5,480051,0,2008,CALVARY,CONROE,30.46725833,-95.54421389,1
27,1,11,13,25,5,14,8,8,5,4,45,1,1,2,1,0,0,0,1,0,0,0,0,0,1,6,480052,3690,2008,FM3470,99999999999999999999,31.08026389,-97.76636944,1
143,1,11,11,12,1,3,2,1,1,3,70,1,2,2,1,0,0,0,1,0,0,0,0,0,1,6,480053,0,2008,US-281,99999999999999999999,32.26421111,-98.19410556,1
221,1,11,13,24,3,4,8,1,1,2,55,2,1,2,1,0,0,0,1,0,0,0,0,0,1,6,480054,0,2008,FM167,99999999999999999999,32.41975556,-97.67095556,1
419,1,11,18,5,8,3,3,2,1,4,55,1,2,2,1,20,3,0,1,0,0,0,0,0,1,6,480055,1270,2008,SR-7,LILLIAN,31.78111667,-94.19124167,1
27,1,12,19,3,2,6,4,1,1,2,45,1,1,2,1,0,0,0,1,0,0,0,0,0,1,7,480056,3690,2008,TWINCREEK,99999999999999999999,31.10226111,-97.68950833,1
189,1,12,6,42,2,4,8,1,1,2,65,2,1,2,1,0,0,0,1,0,0,0,0,0,1,7,480057,0,2008,FM1914,99999999999999999999,34.06494444,-101.98576109999999,1
215,1,12,2,9,5,13,8,2,5,4,35,1,1,2,1,3,3,0,1,0,0,0,0,0,1,7,480058,1970,2008,BU-83,SP433,26.17073056,-98.05424444,1
223,1,12,20,35,6,3,3,1,1,2,65,2,2,2,1,0,0,0,1,0,0,0,0,0,1,7,480059,0,2008,SR-19,99999999999999999999,33.18966111,-95.58813611,1
265,1,12,2,45,3,6,4,1,1,2,30,2,1,2,1,0,0,0,1,0,0,0,0,0,1,7,480060,0,2008,SCENICHILL,99999999999999999999,30.09738611,-99.11361111,1
425,1,12,15,58,1,5,8,1,1,2,45,2,2,8,1,0,0,0,1,0,0,0,0,0,1,7,480061,0,2008,FM51,99999999999999999999,32.23549167,-97.90470556,1
469,1,12,3,45,2,5,8,3,1,2,65,1,1,2,1,0,0,2,1,0,0,0,0,0,1,7,480062,0,2008,FM1090,KEMPER,28.68255833,-96.73771944,1
29,1,13,1,30,2,11,1,1,3,4,60,1,1,2,1,0,0,0,1,0,0,0,0,0,1,1,480063,6090,2008,I-35,99999999999999999999,29.43829167,-98.46182778,1
