ST_CASE,VEH_NO,PER_NO,YEAR,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
10001,1,1,1998,21,21,21,21,21,21,21,21,21,21
10001,2,1,1998,0,0,0,0,17,0,0,0,0,0
10002,1,1,1998,5,16,0,11,17,0,12,0,16,17
10003,1,1,1998,19,19,19,19,19,19,19,19,19,19
10004,1,1,1998,0,0,0,22,35,0,38,0,0,0
10005,1,1,1998,0,0,0,0,0,0,0,0,0,0
10006,1,1,1998,34,6,15,24,12,11,0,0,11,21
10007,1,1,1998,20,20,20,20,20,20,20,20,20,20
10008,1,1,1998,26,19,9,0,0,17,7,0,9,0
10009,1,1,1998,0,0,0,0,0,0,0,0,0,0
10009,2,1,1998,0,0,0,0,0,0,0,0,0,0
10010,1,1,1998,0,0,0,0,0,0,0,0,0,0
10011,1,1,1998,0,0,0,0,0,0,0,0,0,0
10012,1,1,1998,0,0,0,0,0,0,0,0,0,0
10012,2,1,1998,0,0,0,0,29,27,0,0,0,12
10013,1,1,1998,0,0,0,0,0,0,0,0,0,0
10013,2,1,1998,0,0,0,0,0,0,0,0,0,0
10014,1,1,1998,16,16,16,16,16,16,16,16,16,16
10015,1,1,1998,0,0,0,0,4,2,14,5,0,0
10016,1,1,1998,37,37,37,37,37,37,37,37,37,37
10017,1,1,1998,34,34,34,34,34,34,34,34,34,34
10017,2,1,1998,0,0,0,0,0,0,0,0,0,0
10017,3,1,1998,0,0,0,0,0,0,0,0,0,0
10018,1,1,1998,0,0,0,0,0,0,0,0,10,0
10018,2,1,1998,0,0,0,0,0,0,0,0,0,0
10019,1,1,1998,0,0,0,0,0,0,0,0,0,0
10019,2,1,1998,19,21,16,26,13,12,9,17,0,0
10020,1,1,1998,19,19,19,19,19,19,19,19,19,19
10020,2,1,1998,0,0,0,0,0,0,0,0,0,0
10021,1,1,1998,16,0,0,9,15,0,0,0,0,0
10022,1,1,1998,16,0,0,0,20,9,0,0,0,0
10022,2,1,1998,0,0,0,0,0,0,0,21,0,0
10023,1,1,1998,18,0,0,0,22,14,0,0,0,0
10023,2,1,1998,0,0,0,0,0,0,0,0,0,0
10024,1,1,1998,0,0,0,0,0,0,0,0,0,0
10024,2,1,1998,0,0,0,0,0,0,0,0,0,0
10025,1,1,1998,0,0,0,0,0,0,0,0,0,0
10026,1,1,1998,0,0,0,0,9,0,0,0,0,0
10026,2,1,1998,0,0,0,0,0,0,0,0,0,0
10027,1,1,1998,10,31,26,0,0,10,10,35,5,8
10028,1,1,1998,24,24,24,24,24,24,24,24,24,24
10029,1,1,1998,0,0,0,8,0,29,17,15,31,0
10030,1,1,1998,0,22,0,13,12,0,0,0,18,35
10031,1,1,1998,35,21,0,0,17,35,6,26,19,0
10032,1,1,1998,0,0,0,0,0,0,0,0,0,0
10032,2,1,1998,0,0,0,0,0,0,0,0,0,26
10033,1,1,1998,0,0,0,0,0,26,0,0,30,0
10034,0,1,1998,5,5,5,5,5,5,5,5,5,5
10034,1,1,1998,0,0,0,0,0,0,0,0,0,0
10035,1,1,1998,0,0,0,19,0,13,0,0,0,0
10036,1,1,1998,39,39,39,39,39,39,39,39,39,39
10037,1,1,1998,0,0,0,17,0,0,0,0,0,0
10038,1,1,1998,0,21,0,3,0,0,0,0,0,0
10039,1,1,1998,10,10,10,10,10,10,10,10,10,10
10040,0,1,1998,5,0,0,0,0,0,0,0,0,0
10040,1,1,1998,0,0,0,0,0,0,0,0,0,0
10041,1,1,1998,0,5,0,0,0,0,0,0,0,0
10041,2,1,1998,0,0,0,0,0,0,0,0,0,0
10042,1,1,1998,0,0,0,0,0,0,0,0,0,0
10042,2,1,1998,0,0,0,0,0,0,0,0,0,0
10043,1,1,1998,0,0,0,0,0,0,0,0,0,0
10043,2,1,1998,0,0,0,0,0,0,0,0,2,0
10044,1,1,1998,0,0,0,0,0,0,0,0,0,0
10044,2,1,1998,0,0,0,0,0,0,0,0,0,0
10045,1,1,1998,32,29,10,17,25,9,12,15,6,14
10046,1,1,1998,8,13,12,17,43,14,0,34,21,25
10047,1,1,1998,0,0,0,0,0,0,0,0,0,0
10048,1,1,1998,0,0,0,0,0,0,0,0,0,0
10048,2,1,1998,0,0,0,0,0,9,0,0,0,0
10048,3,1,1998,0,0,0,0,0,0,0,0,0,0
10049,1,1,1998,0,0,0,0,0,0,0,0,0,0
10049,2,1,1998,0,0,0,0,0,0,0,0,0,0
10049,3,1,1998,0,0,0,0,0,0,0,0,0,0
10050,1,1,1998,0,19,18,8,7,23,0,0,6,13
10051,1,1,1998,0,0,0,0,0,0,0,0,0,0
10051,2,1,1998,5,5,5,5,5,5,5,5,5,5
10052,1,1,1998,0,0,0,0,0,0,0,0,0,0
10052,2,1,1998,0,0,0,0,0,0,0,0,0,0
10053,1,1,1998,25,24,0,23,19,0,14,0,29,0
10053,2,1,1998,0,0,0,0,0,0,0,0,0,0
10053,3,1,1998,0,0,0,0,0,0,0,0,0,0
10054,0,1,1998,0,18,0,0,0,0,0,0,0,0
10054,1,1,1998,2,0,0,0,0,0,0,0,0,0
10055,1,1,1998,17,17,17,17,17,17,17,17,17,17
10056,1,1,1998,0,0,0,0,22,0,7,0,0,21
10057,1,1,1998,30,18,12,21,15,20,37,11,21,35
10057,2,1,1998,0,0,0,0,0,13,0,7,0,0
10058,1,1,1998,30,30,30,30,30,30,30,30,30,30
10059,1,1,1998,0,0,0,0,0,0,6,0,0,0
10059,2,1,1998,0,0,0,0,0,0,0,0,0,0
10059,3,1,1998,0,0,0,0,0,0,0,0,0,0
10059,4,1,1998,0,0,0,0,0,0,2,0,0,0
10060,1,1,1998,0,0,0,0,21,0,0,0,0,0
10060,2,1,1998,22,0,0,0,0,0,10,0,0,0
10060,3,1,1998,0,0,0,0,0,0,0,0,0,0
10061,1,1,1998,24,16,17,13,14,11,11,25,26,25
10061,2,1,1998,0,0,0,0,0,0,0,0,0,0
10062,1,1,1998,0,0,0,0,0,0,0,0,0,0
10062,2,1,1998,0,0,0,0,0,0,0,0,0,4
10063,1,1,1998,14,10,11,23,9,24,11,20,37,21
10064,1,1,1998,24,0,0,0,0,0,8,0,18,13
10065,1,1,1998,26,13,12,23,16,10,3,0,12,28
10066,0,1,1998,15,0,25,0,14,14,16,8,16,41
10066,1,1,1998,0,0,0,0,0,0,0,7,0,0
10067,1,1,1998,0,0,0,0,0,0,0,0,0,0
10067,2,1,1998,0,0,0,0,0,0,0,0,0,0
10067,3,1,1998,0,0,0,0,0,7,0,0,0,0
10068,1,1,1998,0,0,0,0,0,0,0,0,0,0
10068,2,1,1998,0,0,0,0,0,0,0,0,0,0
10069,1,1,1998,0,0,0,0,0,0,0,0,0,0
10069,2,1,1998,0,5,0,0,0,0,0,0,0,0
10069,3,1,1998,0,0,0,0,0,0,0,0,0,0
10070,1,1,1998,0,0,0,0,0,0,0,0,0,0
10070,2,1,1998,0,0,13,0,0,0,0,0,0,15
10071,1,1,1998,12,9,0,0,0,0,0,0,0,22
10071,2,1,1998,0,0,0,0,0,0,0,0,0,0
