YEAR,VEH_NO,ST_CASE,A_BODY,A_IMP1,A_IMP2,A_VROLL,A_LIC_S,A_LIC_C,A_CDL_S,A_MC_L_S,A_SPVEH,A_SBUS,A_MOD_YR,A_DRDIS,A_DRDRO
1998,1,10001,1,3,3,1,2,2,2,4,1,3,1988,2,2
1998,2,10001,1,2,2,2,1,1,2,4,2,3,1991,2,2
1998,1,10002,1,3,3,1,2,2,2,4,1,3,1987,2,2
1998,1,10003,1,3,5,2,1,1,1,4,1,3,1983,2,2
1998,1,10004,2,5,5,2,2,2,2,4,1,3,1969,2,2
1998,1,10005,6,2,2,1,1,1,1,4,1,3,1990,2,2
1998,1,10006,1,2,2,1,2,2,2,4,1,3,1979,2,2
1998,1,10007,1,2,2,1,1,1,2,4,1,3,1968,2,2
1998,1,10008,1,2,2,2,1,1,2,4,1,3,1997,2,2
1998,1,10009,1,2,2,2,1,1,2,4,2,3,1990,2,2
1998,2,10009,2,2,2,2,1,1,2,4,2,3,1996,2,2
1998,1,10010,1,2,2,2,1,1,2,4,1,3,1998,2,2
1998,1,10011,6,2,2,1,1,1,1,4,2,3,1990,2,1
1998,1,10012,6,4,4,2,1,1,1,4,2,3,1992,2,2
1998,2,10012,1,2,2,2,1,1,2,4,2,3,1988,2,2
1998,1,10013,1,3,3,2,1,1,2,4,2,3,1991,2,2
1998,2,10013,6,2,2,2,1,1,1,4,2,3,1997,2,2
1998,1,10014,1,3,3,2,2,2,2,4,1,3,1991,2,2
1998,1,10015,1,3,3,1,1,1,1,4,1,3,1995,2,2
1998,1,10016,1,2,2,2,2,2,2,4,1,3,1982,2,2
1998,1,10017,2,2,2,2,1,1,2,4,2,3,1969,2,2
1998,2,10017,6,2,2,2,1,1,1,4,2,3,1996,2,2
1998,3,10017,2,4,4,2,1,1,2,4,2,3,1986,2,2
1998,1,10018,2,2,2,2,1,1,2,4,2,3,1973,2,2
1998,2,10018,1,2,2,2,1,1,2,4,2,3,1993,2,2
1998,1,10019,2,2,2,2,1,1,2,4,2,3,1987,2,2
1998,2,10019,1,3,3,2,2,2,2,4,2,3,1984,2,2
1998,1,10020,1,5,5,2,1,1,2,4,1,3,1994,2,2
1998,2,10020,6,4,4,1,1,1,2,4,2,3,1965,2,2
1998,1,10021,1,2,2,1,2,2,2,4,1,3,1991,2,2
1998,1,10022,2,2,2,2,1,1,2,4,2,3,1980,2,2
1998,2,10022,4,2,2,2,1,1,2,4,2,3,1994,2,2
1998,1,10023,1,3,3,2,1,1,2,4,2,3,1988,2,2
1998,2,10023,2,2,2,2,1,1,2,4,2,3,1989,2,2
1998,1,10024,1,3,3,2,1,1,2,4,2,3,1981,2,2
1998,2,10024,1,2,2,2,1,1,2,4,1,3,1991,2,2
1998,1,10025,2,2,2,2,1,1,2,4,1,3,1994,2,1
1998,1,10026,1,2,2,2,1,1,2,4,2,3,1996,2,2
1998,2,10026,1,5,5,2,1,1,2,4,2,3,1984,2,2
1998,1,10027,1,2,2,2,2,2,2,4,1,3,1992,2,2
1998,1,10028,1,1,1,1,2,2,2,4,2,3,1989,2,1
1998,1,10029,2,2,2,2,2,2,2,4,2,3,1985,2,1
1998,1,10030,1,2,2,2,1,1,2,4,2,3,1989,2,2
1998,1,10031,2,2,2,1,2,2,2,4,2,3,1986,2,2
1998,1,10032,2,2,2,2,1,1,2,4,2,3,1993,2,2
1998,2,10032,2,2,2,2,1,1,2,4,2,3,1981,2,2
1998,1,10033,1,2,2,2,1,1,2,4,2,3,1974,2,2
1998,1,10034,1,2,2,2,1,1,2,4,2,3,1991,2,2
1998,1,10035,1,6,6,1,1,1,2,4,2,3,1987,2,2
1998,1,10036,2,3,3,1,2,2,2,4,2,3,1985,2,2
1998,1,10037,1,3,3,1,2,2,2,4,1,3,1990,2,2
1998,1,10038,1,1,1,1,2,2,2,4,2,3,1985,2,2
1998,1,10039,1,4,4,2,1,1,2,4,1,3,1993,2,2
1998,1,10040,1,2,2,2,2,2,2,4,2,3,1984,2,2
