YEAR,VEH_NO,ST_CASE,A_BODY,A_IMP1,A_IMP2,A_VROLL,A_LIC_S,A_LIC_C,A_CDL_S,A_MC_L_S,A_SPVEH,A_SBUS,A_MOD_YR,A_DRDIS,A_DRDRO
2006,1,10001,7,2,2,2,4,2,2,2,2,3,1979,2,2
2006,1,10002,3,2,2,2,1,1,2,4,1,3,1996,2,2
2006,1,10003,1,2,2,2,1,1,2,4,2,3,2003,2,2
2006,2,10003,6,5,5,2,1,1,1,4,2,3,1998,2,2
2006,1,10004,2,4,6,1,1,1,2,4,2,3,2003,2,2
2006,2,10004,8,2,2,2,1,2,2,4,2,1,1997,2,2
2006,1,10005,2,2,2,1,1,1,2,4,1,3,1997,2,2
2006,2,10005,1,2,2,2,1,1,2,4,2,3,1989,2,2
2006,1,10006,1,2,2,2,1,1,2,4,2,3,1987,2,2
2006,2,10006,2,5,4,2,1,1,2,4,2,3,1986,2,2
2006,3,10006,1,2,2,2,1,1,2,4,2,3,1996,2,2
2006,1,10007,2,2,2,2,1,1,2,4,2,3,1988,2,2
2006,2,10007,6,5,5,2,1,1,1,4,2,3,1996,2,2
2006,1,10008,7,1,1,2,4,2,2,2,2,3,1998,2,2
2006,1,10009,1,2,2,2,1,1,2,4,2,3,1996,2,2
2006,2,10009,1,4,3,2,1,1,2,4,2,3,1994,2,2
2006,3,10009,2,2,6,1,1,1,2,4,2,3,2001,2,2
2006,4,10009,1,2,2,2,1,1,2,4,2,3,2001,2,2
2006,1,10010,2,2,3,1,2,2,2,4,2,3,1986,2,2
2006,1,10011,1,1,1,1,2,2,2,4,2,3,2000,2,2
2006,1,10012,1,2,2,2,1,1,2,4,1,3,1989,2,2
2006,1,10013,2,2,2,2,2,2,2,4,2,3,2001,2,2
2006,2,10013,2,4,2,2,1,1,2,4,2,3,2005,2,2
2006,1,10014,1,2,6,1,2,2,2,4,1,3,1997,2,2
2006,1,10015,2,3,2,2,2,2,2,4,1,3,1995,2,2
2006,1,10016,3,2,6,1,1,1,2,4,1,3,2000,2,2
2006,1,10017,2,2,2,2,1,1,1,4,2,3,1997,2,2
2006,1,10018,7,2,2,2,4,1,2,1,2,3,2003,2,2
2006,1,10019,2,2,2,2,1,1,2,4,1,3,1999,2,2
