VIN,VIN_1,VIN_2,VIN_3,VIN_4,VIN_5,VIN_6,VIN_7,VIN_8,VIN_9,VIN_10,VIN_11,VIN_12,STATE,VEH_NO,OCUPANTS,MAKE,MODEL,BODY_TYP,REG_STAT,OWNER,ROLLOVER,J_KNIFE,TRAV_SP,HAZ_CARG,TOW_VEH,V_CONFIG,AXLES,CARGO_BT,SPEC_USE,EMER_USE,IMPACT1,IMPACT2,UNDERIDE,DEFORMED,IMPACTS,TOWAWAY,FIRE_EXP,VEH_CF1,VEH_CF2,VEH_MAN,AVOID,M_HARM,DEATHS,SEQ1,SEQ2,SEQ3,SEQ4,SEQ5,SEQ6,VIN_LNGT,BUS_USE,GVWR,UNITTYPE,ST_CASE,MAK_MOD,MOD_YEAR,VINA_MOD,SER_TR,VIN_BT,MCARR_ID,FLDCD_TR,WHLBS_SH,WHLBS_LG,MCYCL_DS,VIN_WGT,WGTCD_TR,DR_PRES,DR_DRINK,L_STATE,L_TYPE,L_STATUS,CDL_STAT,L_ENDORS,L_COMPL,L_RESTRI,VIOLCHG1,VIOLCHG2,VIOLCHG3,PREV_ACC,PREV_SUS,PREV_DWI,PREV_SPD,PREV_OTH,LAST_MO,FIRST_MO,DR_CF1,DR_CF2,DR_CF3,DR_CF4,DR_WGT,DR_HGT,LAST_YR,FIRST_YR,DR_ZIP,MONTH,HARM_EV,MAN_COLL,HIT_RUN,VE_FORMS
1G2ZF55B2641,1,G,2,Z,F,5,5,B,2,6,4,1,12,3,0,22,22,4,92,6,0,0,99,0,0,0,0,0,0,0,12,12,0,4,2,9,0,0,0,99,8,54,0,99,99,99,99,99,99,17,0,0,3,121650,22022,2006,G6E,***,4D,00000000000,*,1123,0,,3419,,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,3,25,0,0,1
WDBRF64J23F3,W,D,B,R,F,6,4,J,2,3,F,3,12,4,0,42,42,4,92,6,0,0,99,0,0,0,0,0,0,0,12,12,0,4,2,9,0,0,0,99,8,54,0,99,99,99,99,99,99,17,0,0,3,121650,42042,2003,C32,***,4D,00000000000,*,1068,0,,3330,,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,3,25,0,0,1
WBANA73555CR,W,B,A,N,A,7,3,5,5,5,C,R,12,5,0,34,35,4,92,6,0,0,99,0,0,0,0,0,0,0,12,12,0,4,2,9,0,0,0,99,8,54,0,99,99,99,99,99,99,17,0,0,3,121650,34035,2005,53I,***,4D,00000000000,*,1114,0,,3461,,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,3,25,0,0,1
2D4FV48T75H6,2,D,4,F,V,4,8,T,7,5,H,6,12,6,0,7,21,6,92,6,0,0,99,0,0,0,0,0,0,0,12,12,0,4,2,9,0,0,0,99,8,54,0,99,99,99,99,99,99,17,0,0,3,121650,7021,2005,MGN,***,UT,00000000000,*,1200,0,,3763,,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,3,25,0,0,1
3VWXJ81K76M6,3,V,W,X,J,8,1,K,7,6,M,6,12,7,0,30,40,4,92,6,0,0,99,0,0,0,0,0,0,0,12,12,0,4,2,9,0,0,0,99,8,54,0,99,99,99,99,99,99,17,0,0,3,121650,30040,2006,JL2,***,4D,00000000000,*,1015,0,,3215,,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,3,25,0,0,1
3N1CB51D04L8,3,N,1,C,B,5,1,D,0,4,L,8,12,2,0,35,43,4,12,6,0,0,99,0,0,0,0,0,0,0,6,6,0,6,2,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,0,2,121701,35043,2004,S18,***,4D,00000000000,*,998,0,,2387,,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,4,8,0,0,1
1C3BJ55E3JG3,1,C,3,B,J,5,5,E,3,J,G,3,12,3,0,6,16,1,12,6,0,0,99,0,0,0,0,0,0,0,2,2,0,6,2,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,0,3,121730,6016,1988,LEP,***,CV,00000000000,*,1003,0,,2922,,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,9,12,6,0,2
4TAWM72N9TZ1,4,T,A,W,M,7,2,N,9,T,Z,1,12,4,0,49,472,30,12,6,0,0,99,0,0,0,0,0,0,0,12,12,0,4,3,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,0,3,121730,49472,1996,XTR,TAC,PC,00000000000,G,1219,0,,,1,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,9,12,6,0,2
1GCCS1448X81,1,G,C,C,S,1,4,4,8,X,8,1,12,5,0,20,471,30,12,6,0,0,99,0,0,0,0,0,0,0,8,8,0,4,2,9,0,0,0,99,8,54,0,99,99,99,99,99,99,17,0,0,3,121730,20471,1999,S14,S,PK,00000000000,G,1083,1179,,,1,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,9,12,6,0,2
5TEWM72N11Z7,5,T,E,W,M,7,2,N,1,1,Z,7,12,6,0,49,472,30,12,6,0,0,99,0,0,0,0,0,0,0,13,13,0,4,2,9,0,0,0,99,8,54,0,99,99,99,99,99,99,17,0,0,3,121730,49472,2001,XTR,TAC,PC,00000000000,G,1219,0,,,1,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,9,12,6,0,2
