ST_CASE,YEAR,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10001,2001,0,23,22,11,9,21,13,28,27,29
10002,2001,22,17,16,0,0,0,0,13,0,0
10003,2001,16,0,31,0,0,28,0,0,16,0
10004,2001,16,12,0,27,14,8,0,0,10,0
10005,2001,0,0,0,0,0,0,0,0,0,0
10006,2001,0,0,0,0,0,0,0,0,0,0
10007,2001,0,0,0,0,22,0,4,0,0,0
10008,2001,0,0,0,0,0,0,0,0,0,0
10009,2001,0,0,0,0,0,0,0,0,0,0
10010,2001,0,0,0,0,0,0,0,9,0,0
10011,2001,0,0,0,0,0,0,0,0,0,0
10012,2001,0,0,0,36,0,0,0,0,0,0
10013,2001,18,19,21,15,25,17,0,0,0,23
10014,2001,17,10,11,17,0,24,0,22,20,0
10015,2001,11,0,22,3,11,6,4,7,8,0
10016,2001,24,20,28,21,8,12,19,15,31,32
10017,2001,0,0,0,0,0,0,0,0,0,0
10018,2001,10,5,14,31,16,0,22,13,16,0
10019,2001,37,25,17,16,9,12,0,19,16,17
10020,2001,13,19,0,7,27,21,0,22,7,0
10021,2001,0,0,0,0,0,0,0,0,0,0
10022,2001,4,4,4,4,4,4,4,4,4,4
10023,2001,17,0,0,0,0,0,25,17,0,0
10024,2001,5,27,13,12,13,11,14,13,0,11
10025,2001,0,0,0,0,0,0,0,0,0,0
10026,2001,19,0,0,0,0,0,0,0,0,9
10027,2001,41,8,28,26,12,12,31,10,9,23
10028,2001,0,17,15,0,0,0,0,21,0,0
10029,2001,0,0,0,0,0,0,0,0,0,0
10030,2001,0,0,0,0,14,0,0,0,0,0
10031,2001,0,0,13,0,0,0,0,0,0,0
10032,2001,8,0,0,4,0,16,0,0,11,0
10033,2001,12,6,8,5,13,6,0,0,12,0
10034,2001,0,0,0,0,0,0,0,0,0,0
10035,2001,0,0,0,0,0,0,0,0,0,0
10036,2001,13,0,0,0,0,0,0,0,0,0
10037,2001,0,0,13,0,0,0,22,0,0,0
10038,2001,17,0,18,25,21,0,18,21,0,0
10039,2001,0,0,27,0,0,0,0,0,23,0
10040,2001,0,0,0,0,0,0,0,0,0,0
10041,2001,14,10,0,14,13,21,0,7,23,15
10042,2001,17,3,14,16,0,26,21,19,0,24
10043,2001,0,0,0,0,0,8,20,0,11,0
10044,2001,20,11,0,0,21,0,0,0,0,0
10045,2001,0,0,0,0,0,0,0,0,0,0
10046,2001,21,0,0,0,28,0,0,21,0,0
10047,2001,0,0,0,0,0,0,0,0,0,0
10048,2001,0,0,0,0,0,0,0,0,0,0
10049,2001,0,13,0,0,0,0,20,8,0,17
10050,2001,23,16,12,14,21,7,5,22,6,9
10051,2001,0,0,0,0,0,0,0,0,0,8
10052,2001,0,0,0,0,0,0,0,0,0,0
10053,2001,0,0,0,0,0,0,0,0,0,0
10054,2001,0,0,0,0,0,0,0,0,0,0
10055,2001,0,0,0,0,0,0,21,11,0,0
10056,2001,0,38,14,4,27,29,16,19,14,18
10057,2001,0,0,31,26,0,0,0,0,0,0
10058,2001,22,21,0,0,0,0,26,0,0,0
10059,2001,6,10,0,19,12,14,0,0,15,10
10060,2001,0,0,0,0,0,0,0,0,0,0
10061,2001,0,0,0,0,0,16,0,0,0,0
10062,2001,0,0,0,23,0,0,0,0,0,0
10063,2001,0,0,0,0,0,0,0,0,0,0
10064,2001,0,0,0,0,0,0,0,0,0,0
10065,2001,0,0,0,0,17,0,0,0,0,0
10066,2001,12,18,14,0,13,4,25,0,18,15
10067,2001,0,0,14,20,0,11,24,0,35,17
10068,2001,0,0,0,0,0,0,0,0,0,0
10069,2001,0,0,0,0,15,0,0,0,0,0
10070,2001,25,26,10,23,14,17,0,28,14,22
10071,2001,0,17,0,12,15,0,23,2,0,9
10072,2001,15,22,0,4,19,0,11,11,0,25
10073,2001,0,8,0,0,0,0,0,0,16,0
10074,2001,17,0,5,33,0,0,0,0,0,0
10075,2001,0,0,0,0,0,0,0,0,0,0
10076,2001,0,0,0,0,0,0,0,0,0,0
10077,2001,0,0,0,0,0,0,0,0,0,0
10078,2001,0,0,0,0,0,0,0,0,0,0
10079,2001,26,31,0,15,24,17,18,29,7,18
10080,2001,24,0,0,0,0,0,11,0,0,14
10081,2001,30,24,13,6,13,0,12,30,23,15
10082,2001,8,23,18,22,13,20,11,12,16,20
10083,2001,13,0,0,0,0,0,0,0,0,0
10084,2001,7,20,16,28,20,19,16,27,10,19
10085,2001,0,29,0,10,21,33,17,0,28,22
10086,2001,15,7,23,13,9,11,7,4,19,16
10087,2001,0,0,0,0,0,0,0,0,0,0
10088,2001,17,0,0,0,0,0,0,0,0,0
10089,2001,0,0,0,0,0,0,0,0,0,0
10090,2001,19,0,0,0,0,0,0,0,0,0
10091,2001,0,0,0,21,0,0,0,0,0,0
10092,2001,11,0,10,26,23,18,0,0,14,0
10093,2001,0,0,0,0,0,0,0,0,0,0
10094,2001,16,0,17,0,4,0,22,0,0,0
10095,2001,9,18,30,13,15,25,7,10,15,15
10096,2001,16,0,0,14,0,13,16,17,0,22
10097,2001,0,0,0,0,0,0,0,0,0,0
10098,2001,0,0,0,0,0,0,0,0,0,0
10099,2001,0,0,0,0,0,0,0,0,0,0
10100,2001,11,5,0,0,0,15,20,25,9,11
10101,2001,0,0,0,0,0,0,0,0,0,0
10102,2001,0,0,0,0,0,0,0,0,0,0
10103,2001,0,0,0,0,0,0,0,0,0,0
10104,2001,19,20,21,0,0,0,6,19,11,28
10105,2001,16,23,25,34,18,8,24,9,19,17
10106,2001,0,0,0,0,0,0,16,0,0,15
10107,2001,0,0,0,0,0,0,0,0,0,0
10108,2001,0,0,0,0,0,20,0,0,0,0
10109,2001,0,0,7,0,0,9,23,7,14,0
10110,2001,0,0,0,0,0,0,0,0,0,0
10111,2001,0,0,11,11,25,16,23,0,14,0
10112,2001,0,0,2,0,0,0,0,0,0,0
10113,2001,20,21,18,17,15,25,24,27,41,14
10114,2001,0,0,0,0,8,0,10,0,0,0
10115,2001,0,29,15,0,0,0,0,0,0,0
10116,2001,0,0,29,0,0,0,0,0,0,0
10117,2001,0,0,0,0,0,0,0,0,0,0
10118,2001,12,0,0,0,0,0,0,0,0,0
10119,2001,0,0,0,0,0,0,12,0,0,0
10120,2001,0,0,0,0,0,0,0,0,0,0
10121,2001,0,19,0,0,19,0,0,13,0,0
10122,2001,0,0,0,0,0,0,0,0,0,0
10123,2001,0,0,4,0,0,0,0,0,0,0
10124,2001,23,23,23,23,23,23,23,23,23,23
10125,2001,0,0,0,0,0,0,11,0,12,0
10126,2001,0,0,8,5,17,4,18,8,3,27
10127,2001,0,0,0,0,0,0,0,0,0,0
10128,2001,0,24,8,0,0,9,0,33,0,0
10129,2001,0,0,0,0,0,0,0,0,0,0
10130,2001,0,0,0,0,0,0,0,0,16,0
10131,2001,0,0,0,0,13,0,0,0,0,0
10132,2001,0,0,0,0,0,0,0,0,0,0
10133,2001,7,0,9,4,34,4,11,12,8,6
10134,2001,32,23,24,18,0,11,13,16,8,11
10135,2001,0,0,0,0,0,0,0,0,0,0
10136,2001,27,27,27,27,27,27,27,27,27,27
10137,2001,37,0,7,15,0,0,0,0,0,9
10138,2001,0,0,5,0,9,0,20,0,0,0
10139,2001,0,0,0,0,16,0,12,0,0,0
10140,2001,11,22,14,0,14,6,0,0,0,29
10141,2001,0,0,0,0,39,0,7,18,31,27
10142,2001,0,0,0,0,0,0,0,0,0,0
10143,2001,0,0,0,0,0,0,0,0,0,0
10144,2001,0,0,0,0,0,0,0,0,0,0
10145,2001,21,21,21,21,21,21,21,21,21,21
10146,2001,0,0,0,0,0,0,0,0,0,0
10147,2001,0,0,0,0,9,0,0,0,0,0
10148,2001,18,18,18,18,18,18,18,18,18,18
10149,2001,0,0,0,0,0,0,0,0,0,0
10150,2001,18,27,42,10,13,14,14,8,12,18
10151,2001,0,0,0,0,0,0,0,0,12,0
10152,2001,0,0,0,0,0,0,0,0,0,0
10153,2001,0,0,0,28,15,0,30,0,33,15
10154,2001,0,0,0,0,0,0,0,0,0,18
10155,2001,0,0,0,0,15,17,0,0,0,0
10156,2001,12,0,0,0,0,10,0,12,0,0
10157,2001,16,11,29,28,20,17,9,26,15,18
10158,2001,20,20,20,20,20,20,20,20,20,20
10159,2001,0,0,0,0,0,0,0,0,0,0
10160,2001,0,13,27,24,8,15,34,19,25,0
10161,2001,0,0,0,24,0,0,0,0,0,0
10162,2001,0,13,0,5,0,4,0,12,0,0
10163,2001,13,13,13,13,13,13,13,13,23,13
10164,2001,19,20,19,28,14,23,13,13,16,21
10165,2001,0,0,0,13,17,0,0,0,0,29
10166,2001,0,0,0,0,0,0,0,0,0,0
10167,2001,0,0,0,0,0,0,0,0,0,0
10168,2001,0,0,0,0,0,0,0,0,0,0
10169,2001,0,0,0,0,0,0,0,0,0,0
10170,2001,0,0,0,0,0,0,0,0,0,0
10171,2001,0,0,0,0,6,21,0,0,0,0
10172,2001,12,14,21,25,14,12,15,25,15,16
10173,2001,24,24,12,13,18,13,7,18,11,28
10174,2001,0,0,0,0,0,0,0,0,9,0
10175,2001,0,2,9,0,0,0,0,0,0,16
10176,2001,20,5,5,23,8,17,10,25,15,29
10177,2001,0,3,0,0,0,0,0,0,0,0
10178,2001,0,0,0,19,0,0,0,0,0,0
10179,2001,27,9,28,31,3,26,6,17,0,18
10180,2001,0,8,18,0,0,0,0,0,0,0
10181,2001,0,0,0,0,0,0,0,0,0,0
10182,2001,0,0,0,0,0,0,0,0,0,0
10183,2001,17,0,19,0,0,0,0,0,0,0
10184,2001,0,18,0,11,0,0,17,14,14,0
10185,2001,21,21,21,21,21,21,21,21,21,21
10186,2001,0,0,0,0,0,0,0,0,0,0
10187,2001,0,0,0,0,0,0,0,0,0,0
10188,2001,0,0,35,0,0,0,0,0,0,0
10189,2001,0,0,0,0,0,0,0,0,0,0
10190,2001,0,17,0,18,0,0,0,15,0,0
10191,2001,0,0,0,0,0,0,0,0,0,0
10192,2001,17,14,0,0,18,0,11,7,0,20
10193,2001,0,0,0,0,0,0,0,0,0,0
10194,2001,0,0,0,0,0,0,0,0,0,15
10195,2001,0,0,0,0,0,0,12,0,0,0
10196,2001,18,0,0,0,0,0,0,30,13,0
10197,2001,0,0,0,16,0,0,0,0,0,0
10198,2001,17,2,11,9,18,14,0,25,15,0
10199,2001,0,10,0,5,0,0,0,0,0,0
10200,2001,23,20,10,10,24,26,18,18,45,32
10201,2001,10,7,12,14,23,11,8,11,12,10
10202,2001,0,0,0,0,0,0,0,0,0,0
10203,2001,0,0,0,2,0,0,0,0,7,0
10204,2001,19,0,10,0,0,0,8,0,0,0
10205,2001,0,0,0,0,0,0,0,0,16,0
10206,2001,19,19,19,19,19,19,19,19,19,19
10207,2001,0,20,0,0,0,0,11,0,0,0
10208,2001,0,0,0,0,0,0,12,11,0,0
10209,2001,0,0,0,0,0,0,0,0,0,0
10210,2001,0,0,13,0,0,6,0,0,0,0
10211,2001,9,0,9,0,0,0,10,25,0,0
10212,2001,13,23,29,21,30,14,23,35,13,12
10213,2001,0,0,0,0,0,0,0,0,0,0
10214,2001,0,0,0,17,0,0,0,0,0,0
10215,2001,0,0,0,18,0,0,0,5,0,5
10216,2001,32,15,31,11,11,45,15,17,13,5
10217,2001,20,0,17,34,0,5,28,0,9,12
10218,2001,0,19,17,0,6,20,0,14,0,27
10219,2001,0,0,0,0,0,0,0,0,0,0
10220,2001,0,0,0,0,0,0,0,0,0,0
10221,2001,0,0,0,0,0,0,0,0,0,0
10222,2001,25,25,25,25,25,25,25,25,25,25
10223,2001,0,11,0,9,0,18,28,0,28,0
10224,2001,0,0,0,0,0,0,0,0,0,0
10225,2001,27,27,27,27,27,27,27,27,27,27
10226,2001,0,0,0,0,0,0,0,0,0,0
10227,2001,0,0,0,0,0,0,0,0,0,0
10228,2001,0,0,0,0,0,0,42,0,0,0
10229,2001,0,13,24,0,16,9,11,33,22,12
10230,2001,0,0,0,0,22,0,0,0,0,0
10231,2001,31,18,21,0,21,18,9,18,27,18
10232,2001,0,0,0,0,0,0,0,0,0,0
10233,2001,0,17,0,21,27,40,14,13,10,12
10234,2001,0,23,0,0,0,0,0,0,0,0
10235,2001,0,0,0,0,0,0,0,0,0,0
10236,2001,11,10,0,23,15,4,20,24,0,18
10237,2001,20,13,31,0,24,36,23,0,26,24
10238,2001,0,0,0,0,0,0,0,0,0,0
10239,2001,33,16,11,27,0,0,17,19,0,0
10240,2001,0,0,0,0,13,13,0,0,0,0
10241,2001,14,8,14,24,14,6,9,11,8,15
10242,2001,0,0,7,0,0,0,0,0,0,0
10243,2001,8,14,8,9,0,7,19,25,8,16
10244,2001,0,0,0,16,0,0,0,0,0,0
10245,2001,0,0,0,0,0,0,0,0,0,0
10246,2001,19,19,0,0,9,6,12,15,16,17
10247,2001,24,18,24,20,11,11,20,4,16,9
10248,2001,22,20,31,34,32,16,7,25,8,37
10249,2001,0,0,0,0,0,0,0,0,0,0
10250,2001,0,4,0,0,0,0,0,0,0,16
10251,2001,0,0,0,0,0,0,0,0,0,0
10252,2001,19,19,19,19,19,19,19,19,19,19
10253,2001,0,0,0,0,0,0,0,4,0,0
10254,2001,27,27,27,27,27,27,27,27,27,27
10255,2001,0,0,0,0,0,0,0,0,0,0
10256,2001,0,0,0,0,0,26,0,0,0,0
10257,2001,0,30,0,16,0,0,0,0,0,0
10258,2001,14,14,14,14,14,14,14,14,14,14
10259,2001,0,0,0,0,0,0,0,0,0,0
10260,2001,3,23,31,4,31,19,0,22,16,0
10261,2001,0,13,0,0,0,0,14,0,12,0
10262,2001,16,16,16,16,16,16,16,16,16,16
10263,2001,25,14,28,10,15,17,19,0,12,30
10264,2001,0,19,0,0,0,0,0,0,0,0
10265,2001,0,0,11,0,16,0,0,0,0,0
10266,2001,0,0,0,0,0,0,0,19,0,0
10267,2001,0,0,0,0,0,0,0,0,0,0
10268,2001,0,0,0,0,0,0,0,0,0,0
10269,2001,8,2,18,17,17,9,12,36,17,27
10270,2001,0,0,0,0,0,0,0,0,0,0
10271,2001,0,0,0,0,0,0,0,0,0,0
10272,2001,0,0,0,0,0,0,0,0,0,0
10273,2001,0,0,0,0,0,0,0,0,0,0
10274,2001,25,25,25,25,25,25,25,25,25,25
10275,2001,13,13,13,13,13,13,13,13,13,13
10276,2001,0,0,0,0,0,0,0,0,0,0
10277,2001,0,13,0,0,0,0,0,0,0,0
10278,2001,0,0,0,0,0,0,0,0,0,0
10279,2001,0,0,0,0,0,0,0,0,0,0
10280,2001,0,0,0,0,0,0,0,0,0,0
10281,2001,0,0,0,10,0,0,0,0,0,0
10282,2001,28,15,22,15,16,16,16,19,32,15
10283,2001,0,10,0,0,0,17,0,0,0,0
10284,2001,0,0,0,0,0,18,0,0,0,0
10285,2001,0,0,10,0,0,0,0,0,0,0
10287,2001,21,19,0,26,0,0,43,8,20,0
10288,2001,21,18,20,15,35,17,10,16,9,4
10289,2001,0,27,0,24,12,27,0,0,16,29
10290,2001,0,0,0,0,0,0,0,0,0,0
10291,2001,0,0,0,0,0,0,0,0,5,0
10292,2001,0,7,18,8,16,21,14,8,15,14
10293,2001,0,0,0,0,21,0,21,0,0,0
10294,2001,0,0,0,0,0,0,0,0,0,0
10295,2001,17,17,17,17,17,17,17,17,17,17
10296,2001,0,0,0,0,0,0,0,0,23,0
10297,2001,22,26,32,13,0,34,0,19,23,26
10298,2001,14,14,14,14,14,14,14,14,14,14
10299,2001,5,5,5,5,5,5,5,5,5,5
10300,2001,11,28,17,23,12,14,14,16,9,13
10301,2001,11,0,18,7,0,0,0,0,24,0
10302,2001,34,0,0,29,0,0,0,19,0,0
10303,2001,0,0,0,0,0,0,0,0,0,0
10304,2001,0,0,0,0,0,0,0,0,0,0
10305,2001,0,0,17,0,4,6,0,0,0,11
10306,2001,0,0,0,0,0,0,0,0,0,0
10307,2001,0,0,0,21,0,0,0,0,0,0
10308,2001,25,18,22,23,24,16,11,21,14,3
10309,2001,0,0,0,0,0,0,0,0,0,0
10310,2001,19,0,0,0,0,0,0,0,0,20
10311,2001,0,0,0,0,0,0,0,0,0,0
10312,2001,15,19,20,39,21,9,19,22,7,16
10313,2001,14,23,7,14,24,19,27,15,29,20
10314,2001,0,0,0,0,0,0,0,0,0,0
10315,2001,0,0,15,0,19,27,10,21,8,30
10316,2001,20,18,13,9,23,7,11,20,0,14
10317,2001,0,0,0,0,0,0,0,0,0,0
10318,2001,0,0,0,0,0,0,0,0,0,0
10319,2001,0,0,0,0,0,0,0,0,0,0
10320,2001,0,0,0,0,0,0,0,0,0,0
10321,2001,22,22,22,22,22,22,22,22,23,22
10322,2001,0,0,0,0,0,0,0,0,0,0
10323,2001,0,0,0,0,0,0,0,0,0,0
10324,2001,0,0,0,0,0,0,0,0,0,0
10325,2001,0,0,0,0,0,0,0,0,0,0
10326,2001,18,0,0,5,0,0,0,0,0,12
10327,2001,5,0,20,0,0,0,43,3,0,0
10328,2001,0,0,0,0,0,0,0,0,0,18
10329,2001,0,0,0,26,12,0,0,14,0,0
10330,2001,0,0,0,25,0,0,0,0,0,0
10331,2001,33,39,33,19,19,27,10,18,8,15
10332,2001,18,18,18,18,18,18,18,18,18,18
10333,2001,13,20,32,24,21,0,17,5,0,0
10334,2001,0,0,0,22,0,0,0,0,0,0
10335,2001,0,0,2,0,0,0,0,0,22,0
10336,2001,0,0,0,0,0,0,0,9,34,0
10337,2001,0,0,0,0,0,0,0,0,0,0
10338,2001,0,0,20,0,19,0,0,6,0,0
10339,2001,0,0,0,0,0,0,0,35,0,10
10340,2001,0,0,0,0,0,0,0,0,0,0
10341,2001,30,0,9,5,28,19,30,13,0,20
10342,2001,0,0,0,0,0,0,0,0,0,0
10343,2001,23,23,23,23,23,23,23,23,23,23
10344,2001,14,14,14,14,14,14,14,14,14,14
10345,2001,0,20,23,0,0,0,10,30,0,0
10346,2001,0,0,0,0,0,0,0,0,0,0
10347,2001,0,0,0,0,0,0,0,0,0,0
10348,2001,0,15,20,24,0,0,29,18,0,9
10349,2001,15,0,0,0,0,0,0,0,0,0
10350,2001,0,10,0,0,0,9,0,0,0,0
10351,2001,0,25,0,0,14,11,0,0,0,0
10352,2001,0,0,11,0,0,8,13,24,0,22
10353,2001,0,0,0,0,0,0,11,0,36,0
10354,2001,0,0,0,14,0,0,0,0,0,0
10355,2001,16,19,6,15,12,15,27,8,25,7
10356,2001,0,0,0,0,25,0,0,0,0,0
10357,2001,0,0,0,0,0,0,0,0,0,0
10358,2001,0,0,0,0,8,0,0,0,0,0
10359,2001,0,35,8,0,16,23,0,9,15,5
10360,2001,0,0,0,0,0,0,0,0,0,0
10361,2001,0,0,0,0,0,0,0,0,0,20
10362,2001,0,0,0,0,0,0,0,0,0,0
10363,2001,10,12,32,17,15,20,22,43,24,38
10364,2001,0,0,0,6,0,0,0,0,0,0
10365,2001,0,14,21,28,16,3,28,11,17,0
10366,2001,10,15,0,22,0,0,22,20,25,18
10367,2001,0,0,0,0,0,0,0,0,0,0
10368,2001,0,0,0,0,0,0,0,0,0,0
10369,2001,0,25,26,0,13,9,12,14,18,0
10370,2001,0,0,0,0,8,0,0,0,0,0
10371,2001,17,17,17,17,17,17,17,17,17,17
10372,2001,0,0,0,0,0,0,0,0,0,0
10373,2001,0,0,0,0,0,0,0,0,0,0
10374,2001,22,13,0,0,0,0,13,0,16,0
10375,2001,11,5,15,14,17,31,25,20,27,12
10376,2001,0,0,0,0,5,0,0,0,0,0
10377,2001,0,0,0,0,0,0,0,0,0,0
10378,2001,0,0,0,0,0,0,0,0,0,0
10379,2001,5,5,5,5,5,5,5,5,5,5
10380,2001,0,0,0,0,0,0,0,0,0,0
10381,2001,0,0,0,0,0,0,0,0,0,0
10382,2001,19,19,19,19,19,19,19,19,19,19
10383,2001,22,0,0,0,0,0,0,0,0,0
10384,2001,0,0,0,0,0,0,0,0,0,0
10385,2001,0,6,7,0,0,0,19,33,10,5
10386,2001,0,22,25,18,24,10,26,17,0,13
10387,2001,0,0,0,0,0,0,0,0,0,0
10388,2001,0,0,0,13,1,0,6,0,5,0
10389,2001,36,24,37,14,12,6,33,22,10,23
10390,2001,7,5,5,8,5,13,16,12,7,15
10391,2001,0,7,18,0,0,0,0,0,0,0
10392,2001,0,0,0,0,0,0,0,0,0,0
10393,2001,0,0,0,0,0,0,0,0,0,0
10394,2001,29,22,0,30,17,18,10,13,7,24
10395,2001,14,0,7,6,25,15,12,9,18,9
10396,2001,22,22,22,22,22,22,22,22,22,22
10397,2001,0,0,0,0,0,0,14,0,0,0
10398,2001,0,0,9,29,0,36,18,18,21,6
10399,2001,0,0,0,0,0,0,0,0,0,0
10400,2001,0,0,0,0,0,0,0,0,0,0
10401,2001,24,24,24,24,24,24,24,24,24,24
10402,2001,0,0,0,0,0,0,0,0,0,0
