ST_CASE,YEAR,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10001,1999,19,26,11,26,12,18,8,18,4,21
10002,1999,20,17,31,28,15,32,18,24,8,32
10003,1999,0,0,0,33,0,0,0,0,0,0
10004,1999,0,26,0,0,0,2,17,0,0,18
10005,1999,0,0,0,0,0,0,0,0,0,0
10006,1999,22,22,22,22,22,22,22,22,22,22
10007,1999,0,0,0,29,0,0,0,0,0,0
10008,1999,0,8,0,0,0,7,24,15,0,9
10009,1999,0,0,0,0,0,0,0,0,0,0
10010,1999,8,0,0,12,17,24,0,0,0,3
10011,1999,0,0,0,0,0,0,9,0,0,0
10012,1999,8,6,15,0,3,9,18,23,0,14
10013,1999,0,10,0,0,0,0,0,0,0,0
10014,1999,27,27,27,27,27,27,27,27,27,27
10015,1999,0,0,0,0,0,0,0,0,9,0
10016,1999,12,17,8,13,22,20,17,0,26,15
10017,1999,0,0,0,0,0,0,9,0,0,0
10018,1999,0,0,16,0,14,13,0,22,10,12
10019,1999,0,0,0,0,0,0,0,0,0,0
10020,1999,0,0,0,0,0,0,0,0,0,0
10021,1999,22,22,22,22,22,22,22,22,22,22
10022,1999,0,0,0,0,0,0,0,0,0,0
10023,1999,0,0,0,14,0,0,0,0,0,0
10024,1999,0,0,0,23,0,0,0,16,23,0
10025,1999,13,0,0,0,0,0,0,0,0,0
10026,1999,10,12,26,23,0,16,22,26,19,14
10027,1999,8,27,41,26,0,12,15,18,20,23
10028,1999,14,0,0,0,0,0,0,0,0,0
10029,1999,0,0,0,0,0,0,0,0,0,0
10030,1999,20,20,20,20,20,20,20,20,20,20
10031,1999,0,0,0,0,0,0,0,0,0,26
10032,1999,22,0,0,0,0,0,0,0,15,0
10033,1999,31,31,31,31,31,31,31,31,31,31
10034,1999,0,0,9,0,0,0,0,0,0,0
10035,1999,0,0,0,0,0,0,0,19,0,0
10036,1999,0,16,0,0,0,0,0,0,0,0
10037,1999,14,14,14,14,14,14,14,14,14,14
10038,1999,0,0,0,0,0,0,0,22,0,0
10039,1999,0,0,0,0,0,0,0,0,0,0
10040,1999,0,0,0,16,0,0,0,0,0,0
10041,1999,0,34,0,0,0,18,0,0,0,0
10042,1999,0,0,0,0,0,0,0,0,0,0
10043,1999,0,0,0,0,0,0,0,0,0,0
10044,1999,4,23,23,18,13,14,23,21,15,17
10045,1999,37,16,14,37,14,31,17,24,19,22
10046,1999,0,0,0,0,0,0,0,0,0,8
10047,1999,0,11,12,0,0,0,23,0,0,19
10048,1999,0,0,11,0,0,0,0,0,0,0
10049,1999,18,18,18,18,18,18,18,18,18,18
10050,1999,34,34,34,34,34,34,34,34,34,34
10051,1999,39,39,39,39,39,39,39,39,39,39
10052,1999,0,0,0,7,10,22,0,0,0,0
10053,1999,11,0,0,0,0,0,0,13,0,0
10054,1999,0,0,0,0,0,0,0,0,0,0
10055,1999,15,0,17,10,14,0,17,22,0,0
10056,1999,0,0,0,0,0,0,0,0,0,0
10057,1999,48,15,17,15,20,26,12,0,9,0
10058,1999,0,7,15,0,0,26,0,0,0,29
10059,1999,0,0,0,0,0,0,0,0,0,0
10060,1999,11,12,38,27,19,16,24,9,18,19
10061,1999,0,0,0,0,0,0,0,0,0,0
10062,1999,8,8,8,8,8,8,8,8,8,8
10063,1999,6,14,24,28,8,13,16,13,28,17
10064,1999,0,0,0,0,48,0,0,0,0,0
10065,1999,17,31,0,4,12,18,4,14,19,36
10066,1999,0,0,0,0,0,0,0,0,0,0
10067,1999,11,14,18,27,16,0,21,0,0,0
10068,1999,0,0,0,0,0,20,0,0,0,0
10069,1999,7,7,7,7,7,7,7,7,7,7
10070,1999,20,24,22,22,29,32,8,17,19,17
10071,1999,25,25,25,25,25,25,25,25,25,25
10072,1999,0,0,0,0,0,0,0,0,0,0
10073,1999,0,0,0,0,0,0,0,0,6,0
10074,1999,16,16,0,0,18,19,13,25,0,0
10075,1999,20,0,0,0,15,17,0,0,0,0
10076,1999,19,20,27,11,0,0,9,17,14,13
10077,1999,7,24,0,23,11,0,8,0,2,17
10078,1999,0,33,0,15,9,20,34,17,18,14
10079,1999,4,31,13,4,0,21,12,0,0,5
10080,1999,0,0,0,0,7,0,0,0,0,0
10081,1999,19,12,20,16,12,13,16,26,0,13
10082,1999,28,42,6,21,21,12,8,9,19,26
10083,1999,10,2,16,6,7,12,17,8,23,0
10084,1999,0,0,0,0,13,0,0,0,0,0
10085,1999,0,0,18,11,0,0,7,0,0,0
10086,1999,14,18,0,12,14,8,21,11,28,19
10087,1999,0,5,34,0,26,32,6,0,36,0
