ST_CASE,VEH_NO,PER_NO,YEAR,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
10069,3,1,1999,0,0,0,0,0,0,0,0,0,0
10070,0,1,1999,0,24,22,22,29,17,8,14,19,17
10070,1,1,1999,20,18,19,7,5,32,3,17,0,0
10071,0,1,1999,25,25,25,25,25,25,25,25,25,25
10071,1,1,1999,0,0,0,0,0,0,0,0,0,0
10072,1,1,1999,0,0,0,0,0,0,0,0,0,0
10072,2,1,1999,0,0,0,0,0,0,0,0,0,0
10073,1,1,1999,0,0,0,0,0,0,0,0,6,0
10073,2,1,1999,0,0,0,0,0,0,0,0,0,0
10074,1,1,1999,16,16,0,0,18,19,13,25,0,0
10075,1,1,1999,20,0,0,0,15,17,0,0,0,0
10076,1,1,1999,19,20,27,11,0,0,9,17,14,13
10077,1,1,1999,7,24,0,23,11,0,8,0,2,17
10078,1,1,1999,0,33,0,15,9,20,34,17,18,14
10079,1,1,1999,0,31,0,0,0,0,0,0,0,0
10079,2,1,1999,4,15,13,4,0,21,12,0,0,5
10080,1,1,1999,0,0,0,0,7,0,0,0,0,0
10081,1,1,1999,19,12,20,16,12,13,16,26,0,13
10081,2,1,1999,0,0,0,0,0,0,0,0,0,0
10082,1,1,1999,28,42,6,21,21,12,8,9,19,26
10083,1,1,1999,10,2,16,6,7,12,17,8,23,0
10084,1,1,1999,0,0,0,0,0,0,0,0,0,0
10084,2,1,1999,0,0,0,0,13,0,0,0,0,0
10085,1,1,1999,0,0,18,11,0,0,7,0,0,0
10085,2,1,1999,0,0,0,0,0,0,0,0,0,0
10085,3,1,1999,0,0,0,0,0,0,0,0,0,0
10085,4,1,1999,0,0,0,0,0,0,0,0,0,0
10085,5,1,1999,0,0,0,0,0,0,0,0,0,0
10085,6,1,1999,0,0,0,0,0,0,0,0,0,0
10085,7,1,1999,0,0,0,0,0,0,0,0,0,0
10086,1,1,1999,14,18,0,12,8,8,21,11,28,19
10086,2,1,1999,0,0,0,0,14,0,0,0,0,0
10087,1,1,1999,0,5,34,0,26,32,6,0,36,0
10087,2,1,1999,0,0,0,0,0,0,0,0,0,0
10088,0,1,1999,0,15,12,21,15,35,14,12,18,10
10088,1,1,1999,0,0,0,0,0,0,0,5,0,0
10088,2,1,1999,12,0,15,0,0,0,13,0,0,0
10089,1,1,1999,19,25,22,0,0,23,22,0,0,12
10090,1,1,1999,0,28,22,0,0,11,27,23,17,23
10091,0,1,1999,0,0,0,0,0,0,0,50,0,0
10091,1,1,1999,0,0,0,0,0,0,0,0,0,0
10091,2,1,1999,0,0,0,0,0,0,0,0,0,0
10092,1,1,1999,0,0,0,0,0,21,0,0,0,0
10092,2,1,1999,0,0,0,0,0,0,0,0,0,0
10092,3,1,1999,0,0,0,0,0,0,0,0,0,0
10093,1,1,1999,20,20,20,20,20,20,20,20,20,20
10094,1,1,1999,0,0,0,0,0,0,0,0,0,0
10095,1,1,1999,0,0,0,0,0,17,0,0,0,0
10096,1,1,1999,0,0,0,0,0,0,0,0,0,0
10096,2,1,1999,0,0,0,0,0,21,0,24,0,0
10097,0,1,1999,18,0,24,0,0,0,0,0,0,0
10097,1,1,1999,0,0,0,0,0,0,0,0,0,0
10098,1,1,1999,0,0,19,0,0,0,0,0,0,0
10099,1,1,1999,11,22,17,2,23,26,9,21,32,18
10100,1,1,1999,5,5,5,5,5,5,5,5,5,5
10101,1,1,1999,0,0,0,0,0,0,0,0,0,8
10101,2,1,1999,0,0,0,0,0,0,0,0,0,0
10101,3,1,1999,0,0,0,0,0,0,0,0,0,0
10102,1,1,1999,18,10,18,0,0,0,0,0,28,0
10103,1,1,1999,0,0,0,0,0,0,0,0,0,0
10103,2,1,1999,0,0,0,0,0,0,0,0,0,0
10104,1,1,1999,0,0,0,0,0,0,0,0,0,0
10105,1,1,1999,0,10,16,0,0,0,0,0,0,0
10106,1,1,1999,0,0,0,0,0,0,0,0,17,0
10107,1,1,1999,0,0,0,0,0,0,0,0,0,0
10107,2,1,1999,0,0,0,0,0,0,0,0,0,0
