ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,YEAR
10001,16,0,0,0,15,0,0,20,0,0,2003
10002,41,41,41,41,41,41,41,41,41,41,2003
10003,22,22,22,22,22,22,22,22,22,22,2003
10004,0,0,0,0,0,0,0,0,0,0,2003
10005,0,0,0,0,0,0,0,0,0,0,2003
10006,20,21,0,0,0,4,0,0,0,0,2003
10007,13,13,13,13,13,13,13,13,13,13,2003
10008,25,8,0,0,6,0,0,0,0,19,2003
10009,0,0,0,0,0,0,0,0,0,0,2003
10010,0,0,0,0,0,0,0,0,0,0,2003
10011,19,19,19,19,19,19,19,19,19,19,2003
10012,12,12,12,12,12,12,12,12,12,12,2003
10013,11,0,9,0,27,0,13,22,14,0,2003
10014,0,0,0,0,0,0,0,0,0,0,2003
10015,0,0,0,0,0,0,0,0,0,0,2003
10016,10,10,10,10,10,10,10,10,10,10,2003
10017,12,12,12,12,12,12,12,12,12,12,2003
10018,8,8,8,8,8,8,8,8,8,8,2003
10019,27,27,27,27,27,27,27,27,27,27,2003
10020,11,20,8,17,15,13,20,0,24,15,2003
10021,0,10,0,0,0,0,0,0,0,0,2003
10022,16,16,16,16,16,16,16,16,16,16,2003
10023,23,23,23,23,23,23,23,23,23,23,2003
10024,17,17,17,17,17,17,17,17,17,17,2003
10025,0,0,0,0,0,0,0,0,0,0,2003
10026,26,26,26,26,26,26,26,26,26,26,2003
10027,0,0,0,0,0,16,0,0,23,0,2003
10028,12,11,8,32,23,0,18,14,0,10,2003
10029,22,39,8,16,0,23,15,0,27,14,2003
10030,0,0,0,0,0,0,0,0,0,0,2003
10031,0,14,26,0,0,18,0,0,7,0,2003
10032,21,21,21,21,21,21,21,21,21,21,2003
10033,23,0,0,0,0,0,0,0,0,16,2003
10034,0,0,0,0,0,0,0,0,0,0,2003
10035,0,0,0,0,0,0,0,0,0,0,2003
10036,0,0,0,0,0,0,0,0,0,0,2003
10037,11,11,11,11,11,11,11,11,11,11,2003
