YEAR,ST_CASE,veh_no,per_no,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
2003,10001,1,1,16,0,0,0,15,0,0,20,0,0
2003,10002,1,1,41,41,41,41,41,41,41,41,41,41
2003,10003,1,1,22,22,22,22,22,22,22,22,22,22
2003,10004,1,1,0,0,0,0,0,0,0,0,0,0
2003,10005,1,1,0,0,0,0,0,0,0,0,0,0
2003,10005,2,1,0,0,0,0,0,0,0,0,0,0
2003,10006,1,1,20,21,0,0,0,4,0,0,0,0
2003,10007,1,1,13,13,13,13,13,13,13,13,13,13
2003,10007,2,1,0,0,0,4,0,0,0,0,0,0
2003,10008,1,1,25,8,0,0,6,0,0,0,0,19
2003,10009,1,1,0,0,0,0,0,0,0,0,0,0
2003,10009,2,1,0,0,0,0,0,0,0,0,0,0
2003,10010,1,1,0,0,0,0,0,0,0,0,0,0
2003,10011,1,1,19,19,19,19,19,19,19,19,19,19
2003,10012,1,1,12,12,12,12,12,12,12,12,12,12
2003,10013,1,1,10,0,0,0,0,0,0,22,0,0
2003,10013,2,1,11,0,9,0,27,0,13,0,14,0
2003,10014,2,1,0,0,0,0,0,0,0,0,0,0
2003,10015,1,1,0,0,0,0,0,0,0,0,0,0
2003,10016,0,1,0,0,0,0,0,0,0,0,0,0
2003,10016,1,1,10,10,10,10,10,10,10,10,10,10
2003,10017,1,1,12,12,12,12,12,12,12,12,12,12
2003,10018,1,1,8,8,8,8,8,8,8,8,8,8
2003,10019,1,1,27,27,27,27,27,27,27,27,27,27
2003,10019,2,1,0,0,0,0,0,0,0,0,0,0
2003,10020,1,1,11,20,8,17,15,13,20,0,24,15
2003,10021,1,1,0,10,0,0,0,0,0,0,0,0
2003,10021,2,1,0,0,0,0,0,0,0,0,0,0
2003,10022,1,1,16,16,16,16,16,16,16,16,16,16
2003,10023,1,1,9,9,9,9,9,9,9,9,9,9
2003,10023,2,1,23,23,23,23,23,23,23,23,23,23
2003,10024,1,1,17,17,17,17,17,17,17,17,17,17
2003,10024,2,1,0,0,0,0,0,0,0,0,0,0
2003,10025,1,1,0,0,0,0,0,0,0,0,0,0
2003,10025,2,1,0,0,0,0,0,0,0,0,0,0
2003,10026,1,1,26,26,26,26,26,26,26,26,26,26
2003,10027,1,1,0,0,0,0,0,0,0,0,23,0
2003,10027,2,1,0,0,0,0,0,0,0,0,0,0
2003,10027,3,1,0,0,0,0,0,0,0,0,0,0
2003,10027,4,1,0,0,0,0,0,16,0,0,0,0
2003,10027,5,1,0,0,0,0,0,0,0,0,0,0
2003,10027,6,1,0,0,0,0,0,0,0,0,0,0
2003,10027,7,1,0,0,0,0,0,10,0,0,0,0
2003,10028,1,1,12,11,8,32,23,0,18,14,0,10
2003,10029,1,1,22,39,8,16,0,23,15,0,27,14
2003,10030,1,1,0,0,0,0,0,0,0,0,0,0
2003,10030,2,1,0,0,0,0,0,0,0,0,0,0
2003,10031,1,1,0,14,26,0,0,18,0,0,7,0
2003,10031,2,1,0,0,0,0,0,0,0,0,0,0
2003,10032,1,1,21,21,21,21,21,21,21,21,21,21
2003,10032,2,1,0,0,0,0,0,0,0,0,0,0
2003,10033,1,1,23,0,0,0,0,0,0,0,0,16
2003,10034,1,1,0,0,0,0,0,0,0,0,0,0
2003,10035,1,1,0,0,0,0,0,0,0,0,0,0
2003,10035,2,1,0,0,0,0,0,0,0,0,0,0
2003,10036,1,1,0,0,0,0,0,0,0,0,0,0
2003,10037,1,1,11,11,11,11,11,11,11,11,11,11
2003,10037,2,1,0,0,0,0,0,0,0,0,0,0
2003,10038,1,1,0,0,0,0,0,0,0,0,0,0
2003,10039,0,1,0,12,8,21,18,21,20,3,10,0
