ST_CASE,YEAR,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10001,2003,16,0,0,0,15,0,0,20,0,0
10002,2003,41,41,41,41,41,41,41,41,41,41
10003,2003,22,22,22,22,22,22,22,22,22,22
10004,2003,0,0,0,0,0,0,0,0,0,0
10005,2003,0,0,0,0,0,0,0,0,0,0
10006,2003,20,21,0,0,0,4,0,0,0,0
10007,2003,13,13,13,13,13,13,13,13,13,13
10008,2003,25,8,0,0,6,0,0,0,0,19
10009,2003,0,0,0,0,0,0,0,0,0,0
10010,2003,0,0,0,0,0,0,0,0,0,0
10011,2003,19,19,19,19,19,19,19,19,19,19
10012,2003,12,12,12,12,12,12,12,12,12,12
10013,2003,11,0,9,0,27,0,13,22,14,0
10014,2003,0,0,0,0,0,0,0,0,0,0
10015,2003,0,0,0,0,0,0,0,0,0,0
10016,2003,10,10,10,10,10,10,10,10,10,10
10017,2003,12,12,12,12,12,12,12,12,12,12
10018,2003,8,8,8,8,8,8,8,8,8,8
10019,2003,27,27,27,27,27,27,27,27,27,27
10020,2003,11,20,8,17,15,13,20,0,24,15
10021,2003,0,10,0,0,0,0,0,0,0,0
10022,2003,16,16,16,16,16,16,16,16,16,16
10023,2003,23,23,23,23,23,23,23,23,23,23
10024,2003,17,17,17,17,17,17,17,17,17,17
10025,2003,0,0,0,0,0,0,0,0,0,0
10026,2003,26,26,26,26,26,26,26,26,26,26
10027,2003,0,0,0,0,0,16,0,0,23,0
10028,2003,12,11,8,32,23,0,18,14,0,10
10029,2003,22,39,8,16,0,23,15,0,27,14
10030,2003,0,0,0,0,0,0,0,0,0,0
10031,2003,0,14,26,0,0,18,0,0,7,0
10032,2003,21,21,21,21,21,21,21,21,21,21
10033,2003,23,0,0,0,0,0,0,0,0,16
10034,2003,0,0,0,0,0,0,0,0,0,0
10035,2003,0,0,0,0,0,0,0,0,0,0
10036,2003,0,0,0,0,0,0,0,0,0,0
10037,2003,11,11,11,11,11,11,11,11,11,11
10038,2003,0,0,0,0,0,0,0,0,0,0
10039,2003,0,0,15,0,0,0,0,0,0,0
10040,2003,0,0,0,0,0,0,0,0,0,0
10041,2003,0,0,0,0,0,0,0,0,0,0
10042,2003,17,17,17,17,17,17,17,17,17,17
10043,2003,7,7,7,7,7,7,7,7,7,7
10044,2003,2,30,0,8,9,12,18,6,20,35
10045,2003,15,15,15,15,15,15,15,15,15,15
10046,2003,25,25,25,25,25,25,25,25,25,25
10047,2003,0,0,0,0,0,0,0,0,0,0
10048,2003,0,0,0,0,0,0,0,0,0,0
10049,2003,0,0,0,0,0,0,0,0,0,0
10050,2003,34,34,34,34,34,34,34,34,34,34
10051,2003,0,0,0,0,0,0,0,0,0,0
10052,2003,11,11,11,11,11,11,11,11,11,11
10053,2003,0,0,0,0,0,0,0,0,0,0
10054,2003,0,0,0,0,0,0,0,0,0,0
10055,2003,0,0,0,0,0,0,0,0,0,0
10056,2003,0,0,0,0,0,0,0,0,0,0
10057,2003,23,23,23,23,23,23,23,23,23,23
10058,2003,0,8,0,0,0,0,0,0,0,0
10059,2003,0,0,0,0,0,0,0,0,0,0
10060,2003,0,0,0,0,0,0,0,0,0,0
10061,2003,0,0,0,0,0,0,0,0,0,0
10062,2003,0,0,0,0,0,0,0,0,0,0
10063,2003,0,0,0,14,0,0,0,0,0,0
10064,2003,0,0,0,0,28,21,0,0,20,0
10065,2003,0,0,0,0,0,0,6,0,0,25
10066,2003,0,0,0,0,0,0,0,0,0,0
10067,2003,0,0,0,0,0,0,0,0,0,0
10068,2003,0,0,0,0,0,0,0,0,0,0
10069,2003,0,0,0,0,0,0,0,0,0,0
10070,2003,17,17,17,17,17,17,17,17,17,17
10071,2003,10,10,10,10,10,10,10,10,10,10
10072,2003,0,0,0,0,0,0,0,0,0,0
10073,2003,0,0,0,0,0,0,0,0,0,0
10074,2003,17,17,17,17,17,17,17,17,17,17
10075,2003,14,18,22,10,10,15,19,22,17,20
10076,2003,25,25,25,25,25,25,25,25,25,25
10077,2003,0,0,0,0,0,0,0,0,0,0
10078,2003,0,0,0,0,0,0,0,0,0,0
10079,2003,0,0,0,0,0,0,0,0,0,0
10080,2003,0,10,8,9,26,0,18,19,25,17
10081,2003,0,0,0,0,0,0,0,18,0,0
10082,2003,2,8,2,2,2,2,2,2,2,2
10083,2003,0,0,0,0,0,0,0,0,0,0
10084,2003,0,0,0,0,0,0,0,0,0,0
10085,2003,0,0,0,0,0,0,0,0,0,0
10086,2003,0,0,6,0,0,0,0,0,0,0
10087,2003,0,0,0,0,0,0,0,0,0,0
10088,2003,17,17,17,17,17,17,17,17,17,17
10089,2003,0,0,0,0,0,0,0,0,0,0
10090,2003,19,19,19,19,19,19,19,19,19,19
10091,2003,0,0,0,0,0,0,0,0,0,0
10092,2003,0,0,0,0,0,0,0,0,0,0
10093,2003,0,0,0,0,0,0,0,0,0,0
10094,2003,0,0,0,0,0,0,0,0,6,0
10095,2003,8,0,0,0,31,0,0,0,0,0
10096,2003,0,0,0,0,0,0,0,0,10,0
10097,2003,0,0,0,0,0,0,0,0,0,22
10098,2003,12,0,0,40,5,36,0,18,19,9
10099,2003,0,0,0,0,0,0,0,0,0,0
10100,2003,26,26,26,26,26,26,26,26,26,26
10101,2003,10,10,10,10,10,10,10,10,10,10
10102,2003,25,25,25,25,25,25,25,25,25,25
10103,2003,0,0,0,0,0,0,0,0,0,0
10104,2003,0,0,0,0,0,0,0,0,0,0
10105,2003,6,0,9,10,18,4,0,18,0,0
10106,2003,0,0,0,0,0,31,0,0,0,0
10107,2003,0,0,0,0,19,0,19,0,0,0
10108,2003,0,0,0,0,0,0,0,0,0,0
10109,2003,17,17,17,17,17,17,17,17,17,17
10110,2003,17,17,17,17,17,17,17,17,17,17
10111,2003,0,0,0,0,0,0,0,0,0,0
10112,2003,0,0,0,0,0,0,0,0,0,0
10113,2003,19,19,19,19,19,19,19,19,19,19
10114,2003,0,0,0,0,0,0,0,0,0,0
10115,2003,0,0,0,0,0,0,0,0,0,0
10116,2003,25,21,30,11,18,5,33,28,12,17
10117,2003,0,0,0,0,0,12,14,0,16,0
10118,2003,16,13,14,0,10,31,0,9,14,9
10119,2003,0,0,0,0,0,0,0,0,0,0
10120,2003,0,0,0,0,0,0,0,4,0,0
10121,2003,0,0,0,0,34,0,0,0,0,0
10122,2003,0,0,0,0,0,0,6,0,0,0
10123,2003,0,0,0,0,0,16,0,0,0,23
10124,2003,25,18,8,19,15,26,11,14,9,12
10125,2003,0,0,0,0,0,0,0,0,0,0
10126,2003,0,0,7,0,0,0,0,0,0,0
10127,2003,0,0,0,0,0,0,0,0,0,0
10128,2003,0,0,0,0,0,0,0,0,0,0
10129,2003,0,0,0,0,0,0,0,0,0,0
10130,2003,0,7,12,0,20,0,0,0,0,0
10131,2003,0,0,0,0,0,0,0,0,0,0
10132,2003,19,0,14,0,0,9,13,0,0,4
10133,2003,0,0,0,0,0,0,0,0,0,0
10134,2003,14,14,14,14,14,14,14,14,14,14
10135,2003,0,0,0,0,0,0,0,0,0,0
10136,2003,0,0,0,0,0,0,0,0,0,0
10137,2003,0,0,0,0,0,0,0,0,0,0
10138,2003,0,0,0,0,0,0,0,0,0,0
10139,2003,0,0,0,0,0,0,0,0,0,0
10140,2003,27,18,16,17,12,15,10,6,20,23
10141,2003,0,0,0,0,0,0,0,0,0,0
10142,2003,0,0,0,0,13,0,0,0,0,0
10143,2003,24,24,24,24,24,24,24,24,24,24
10144,2003,8,8,8,8,8,8,8,8,8,8
10145,2003,0,0,0,0,23,0,0,18,0,0
10146,2003,21,21,21,21,21,21,21,21,21,21
10147,2003,15,15,15,15,15,15,15,15,15,15
10148,2003,0,0,17,0,0,0,6,0,27,0
10149,2003,5,5,5,5,5,5,5,5,5,5
10150,2003,0,0,0,0,0,0,0,0,0,0
10151,2003,0,0,0,0,0,0,0,0,0,0
10152,2003,20,20,20,20,20,20,20,20,20,20
10153,2003,0,18,0,0,0,0,32,0,0,0
10154,2003,0,0,0,0,0,0,0,0,0,0
10155,2003,0,0,0,0,0,0,0,0,0,0
10156,2003,0,0,0,0,0,0,0,0,0,0
10157,2003,24,24,24,24,24,24,24,24,24,24
10158,2003,0,0,0,0,0,0,0,0,0,0
10159,2003,0,0,0,0,0,0,0,0,0,0
10160,2003,0,0,3,0,0,0,0,0,0,0
10161,2003,0,0,0,0,0,0,0,0,0,0
10162,2003,0,0,0,0,0,0,0,0,0,0
10163,2003,0,0,0,0,0,0,0,0,0,0
10164,2003,0,0,0,0,15,0,0,0,0,0
10165,2003,2,2,2,2,2,2,2,2,2,2
10166,2003,0,0,0,0,0,0,0,0,0,17
10167,2003,25,25,25,25,25,25,25,25,25,25
10168,2003,0,0,0,0,0,0,0,0,0,0
10169,2003,0,0,0,0,0,0,0,0,0,0
10170,2003,0,0,0,0,0,0,0,0,0,0
10171,2003,0,0,0,0,0,0,0,0,0,0
