VEH_NO,PER_NO,ST_CASE,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
1,1,10001,13,20,0,0,18,5,10,26,29,25
1,1,10002,0,0,0,0,0,0,0,0,0,0
2,1,10002,0,0,0,0,0,0,0,0,0,0
3,1,10002,0,0,0,0,0,0,0,0,0,0
1,1,10003,0,0,0,0,0,0,0,0,0,0
2,1,10003,0,0,0,0,0,0,0,0,0,0
1,1,10004,0,0,0,0,0,0,0,0,0,0
2,1,10004,0,0,0,0,0,0,5,0,0,0
1,1,10005,0,0,0,0,0,0,0,0,0,9
2,1,10005,0,0,0,0,0,0,0,0,0,0
1,1,10006,7,7,7,7,7,7,7,7,7,7
1,1,10007,0,0,0,0,0,0,0,0,0,0
2,1,10007,0,0,0,0,0,0,0,0,0,0
1,1,10008,0,0,0,0,0,0,0,0,0,0
2,1,10008,0,0,18,0,0,0,0,16,0,0
1,1,10009,0,0,0,0,0,0,0,0,0,0
2,1,10009,0,0,0,0,0,0,0,0,0,0
1,1,10010,0,0,0,0,0,0,0,0,0,0
2,1,10010,0,0,0,0,0,0,0,0,0,0
1,1,10011,22,22,22,22,22,22,22,22,22,22
1,1,10012,0,0,0,0,0,0,0,0,0,0
2,1,10012,0,0,0,0,0,0,0,0,0,0
3,1,10012,0,0,0,0,0,0,0,0,0,0
1,1,10013,0,0,0,0,0,0,0,0,0,0
1,1,10014,0,0,0,0,0,0,0,0,0,0
0,1,10015,0,0,0,0,0,0,0,0,0,0
1,1,10015,0,6,0,0,0,0,0,0,0,0
2,1,10015,0,0,0,11,0,0,0,0,0,0
1,1,10016,0,0,0,0,0,0,0,0,0,0
1,1,10017,0,0,30,2,11,0,0,0,0,5
1,1,10018,0,22,0,13,8,21,0,0,15,0
1,1,10019,0,3,0,0,0,0,12,0,0,0
2,1,10019,0,0,0,0,0,0,0,0,0,0
1,1,10020,0,0,0,0,0,0,0,0,0,0
2,1,10020,0,0,0,0,0,0,0,0,0,0
1,1,10021,8,12,7,0,3,26,0,9,18,0
2,1,10021,0,0,0,0,0,0,0,0,0,0
3,1,10021,0,0,0,0,0,0,5,0,0,0
1,1,10022,0,0,0,0,0,0,0,0,0,0
2,1,10022,12,0,0,0,0,0,0,0,0,0
1,1,10023,4,4,4,4,4,4,4,4,4,4
1,1,10024,0,0,0,0,0,0,0,0,0,26
1,1,10025,9,9,9,9,9,9,9,9,9,9
1,1,10026,0,0,0,0,0,0,0,0,0,0
2,1,10026,0,0,0,17,0,0,0,0,0,0
3,1,10026,0,0,0,0,0,0,0,0,0,0
1,1,10027,0,0,0,0,0,0,0,0,0,0
2,1,10027,0,0,0,0,0,0,0,0,0,0
1,1,10028,0,0,0,0,0,0,0,0,0,0
