ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10001,13,20,0,0,18,5,10,26,29,25
10002,0,0,0,0,0,0,0,0,0,0
10003,0,0,0,0,0,0,0,0,0,0
10004,0,0,0,0,0,0,5,0,0,0
10005,0,0,0,0,0,0,0,0,0,9
10006,7,7,7,7,7,7,7,7,7,7
10007,0,0,0,0,0,0,0,0,0,0
10008,0,0,18,0,0,0,0,16,0,0
10009,0,0,0,0,0,0,0,0,0,0
10010,0,0,0,0,0,0,0,0,0,0
10011,22,22,22,22,22,22,22,22,22,22
10012,0,0,0,0,0,0,0,0,0,0
10013,0,0,0,0,0,0,0,0,0,0
10014,0,0,0,0,0,0,0,0,0,0
10015,0,6,0,11,0,0,0,0,0,0
10016,0,0,0,0,0,0,0,0,0,0
10017,0,0,30,2,11,0,0,0,0,5
10018,0,22,0,13,8,21,0,0,15,0
10019,0,3,0,0,0,0,12,0,0,0
10020,0,0,0,0,0,0,0,0,0,0
10021,8,12,7,0,3,26,5,9,18,0
10022,12,0,0,0,0,0,0,0,0,0
10023,4,4,4,4,4,4,4,4,4,4
10024,0,0,0,0,0,0,0,0,0,26
10025,9,9,9,9,9,9,9,9,9,9
10026,0,0,0,17,0,0,0,0,0,0
10027,0,0,0,0,0,0,0,0,0,0
10028,0,0,0,0,0,0,0,0,0,0
10029,0,18,0,0,0,0,34,0,0,35
10030,0,0,0,0,0,0,0,0,0,0
10031,0,0,0,0,0,0,0,0,0,0
10032,20,0,0,0,0,16,21,17,4,10
10033,0,0,0,0,0,0,0,0,0,0
10034,10,10,10,10,10,10,10,10,10,10
10035,11,10,16,21,16,17,16,22,14,11
10036,0,0,0,0,0,0,0,14,0,0
10037,0,0,0,0,0,0,0,0,0,0
10038,11,0,0,0,15,23,0,0,0,0
10039,0,0,0,0,0,0,0,0,0,0
10040,0,0,0,0,0,0,0,0,0,0
10041,20,0,0,7,0,0,0,0,0,0
10042,18,18,18,18,18,18,18,18,18,18
10043,19,19,19,19,19,19,19,19,19,19
10044,0,0,0,0,0,0,0,0,16,0
10045,8,3,14,13,17,12,4,9,14,13
10046,30,13,19,24,10,23,16,22,7,20
10047,0,0,0,0,0,0,0,0,0,0
10048,0,21,23,0,18,0,9,14,0,20
10049,0,0,0,5,13,0,0,17,0,0
10050,16,0,12,0,0,0,0,0,0,0
10051,0,0,0,0,0,10,0,0,0,0
10052,0,0,0,0,0,0,0,0,0,0
10053,0,0,0,0,0,0,0,0,0,0
10054,0,0,0,0,0,0,0,0,0,0
10055,18,18,18,18,18,18,18,18,18,18
10056,0,0,0,0,0,0,0,0,0,0
10057,0,0,0,0,0,0,0,0,0,0
10058,0,0,0,0,0,0,0,0,0,0
10059,0,0,0,0,0,0,0,0,0,0
10060,0,15,15,15,7,13,21,13,26,8
10061,21,0,13,14,7,9,0,17,22,0
10062,0,0,0,0,0,0,0,0,0,0
10063,18,21,20,10,9,13,5,24,20,11
10064,5,5,5,5,5,5,5,5,5,5
10065,10,10,10,10,10,10,10,10,10,10
10066,0,0,0,0,0,0,0,0,0,0
10067,0,0,0,0,0,0,0,0,0,0
10068,0,0,0,0,0,0,0,0,0,0
10069,31,0,0,28,8,19,0,0,11,0
10070,20,20,20,20,20,20,20,20,20,20
10071,0,24,6,0,0,0,0,0,21,0
10072,3,5,15,0,16,13,9,21,0,8
10073,0,0,26,32,0,0,0,0,0,0
10074,4,10,0,12,0,32,18,22,16,12
10075,0,0,0,0,0,0,0,0,0,0
10076,8,13,22,16,0,17,22,15,0,31
10077,25,6,17,17,10,28,55,23,21,9
10078,19,16,0,0,0,23,0,0,0,0
10079,2,0,23,0,26,0,12,0,28,0
10080,2,2,2,2,2,2,2,2,2,2
10081,0,0,0,0,0,0,0,0,0,0
10082,0,0,0,0,0,0,0,0,0,0
10083,0,0,0,0,0,0,0,0,0,0
10084,12,19,0,19,18,0,0,14,9,9
10085,0,15,0,0,0,7,0,5,0,0
10086,26,26,26,26,26,26,26,26,26,26
10087,23,23,23,23,23,23,23,23,23,23
10088,0,0,0,0,0,0,0,0,0,0
10089,0,0,0,0,0,0,0,0,0,0
10090,0,0,0,0,0,0,0,0,0,0
10091,21,0,0,0,0,0,11,0,11,7
10092,0,0,0,0,0,0,0,0,0,0
10093,0,29,20,14,0,20,0,0,0,0
10094,0,0,0,0,0,0,0,0,0,13
10095,0,0,0,0,0,0,0,0,0,0
10096,0,0,25,0,0,0,0,12,11,0
10097,0,0,0,0,0,0,0,0,15,0
10098,12,25,13,24,22,23,23,34,29,10
10099,14,14,14,14,14,14,14,14,14,14
10100,22,22,22,22,22,22,22,22,22,22
10101,22,11,15,10,9,26,10,14,6,35
10102,0,0,0,0,0,0,0,0,0,0
10103,20,20,20,20,20,20,20,20,20,20
10104,10,13,15,11,15,13,10,0,7,23
10105,0,0,0,0,0,0,0,0,0,0
10106,1,1,1,1,1,1,1,1,1,1
10107,0,0,0,0,0,0,0,14,0,0
10108,0,0,0,0,0,0,0,0,0,0
10109,0,11,0,0,0,0,0,0,0,16
10110,12,0,17,10,10,0,5,14,0,17
10111,18,18,18,18,18,18,18,18,18,18
10112,23,23,23,23,23,23,23,23,23,23
10113,14,11,14,34,35,19,4,12,24,18
10114,0,0,0,0,0,0,0,0,0,0
10115,17,16,0,0,0,0,0,9,0,11
10116,0,0,9,0,0,0,20,0,0,0
10117,19,11,3,12,12,14,10,0,15,26
10118,0,11,0,16,9,18,21,27,16,0
10119,0,0,0,0,0,0,0,0,0,0
10120,0,0,0,0,0,0,0,0,0,0
10121,13,30,4,28,22,7,9,32,39,18
10122,0,0,0,0,0,0,0,0,0,0
10123,18,25,14,34,6,14,21,22,15,9
10124,0,0,0,0,0,0,0,0,0,0
10125,0,0,0,0,0,0,0,0,0,0
10126,26,45,16,5,24,13,28,28,25,27
10127,0,22,0,0,11,11,24,12,26,0
10128,0,15,14,0,0,19,8,0,0,0
10129,0,0,0,0,0,0,0,0,0,0
10130,11,0,0,0,0,0,0,0,0,0
10131,30,39,3,15,6,24,19,25,24,18
10132,0,25,8,0,13,15,10,23,16,17
10133,0,0,0,0,0,0,0,0,0,0
10134,0,0,0,0,0,0,0,0,0,0
10135,7,5,0,0,5,0,0,21,11,22
10136,15,11,0,0,13,13,0,10,0,11
10137,0,0,0,7,15,0,15,0,0,13
10138,0,0,0,0,11,0,23,14,13,0
10139,38,17,13,20,27,30,14,26,17,31
10140,0,0,0,0,0,0,0,0,0,0
10141,0,0,0,0,0,0,9,0,0,0
10142,22,20,23,25,15,0,0,0,20,0
10143,0,0,0,39,0,0,0,0,0,22
10144,20,20,20,20,20,20,20,20,20,20
10145,0,0,0,0,0,0,0,0,0,0
10146,0,0,0,0,0,0,0,0,0,0
10147,0,0,0,0,0,0,21,0,0,0
10148,0,0,0,28,6,0,20,42,0,9
10149,12,13,21,19,35,0,14,12,18,11
10150,0,0,0,0,0,0,0,0,0,0
10151,0,0,0,0,0,0,0,0,0,0
10152,15,15,15,18,15,15,15,15,15,15
10153,0,0,16,0,0,0,0,0,0,0
10154,23,23,23,23,23,23,23,23,23,23
10155,0,0,0,14,0,23,0,0,0,0
10156,0,0,16,0,0,0,0,0,0,9
10157,0,0,6,0,0,0,0,0,0,0
10158,0,0,0,0,0,0,0,0,0,0
10159,15,15,15,15,15,15,15,15,15,15
10160,23,23,23,23,23,23,23,23,23,23
10161,8,8,8,8,8,8,8,8,8,8
10162,14,14,14,14,14,14,14,14,14,14
10163,25,25,25,25,25,25,25,25,25,25
10164,0,0,0,0,0,0,0,0,0,0
