ST_CASE,VEH_NO,PER_NO,YEAR,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
10001,0,1,2000,24,0,15,24,18,28,30,17,0,0
10001,1,1,2000,27,31,0,15,27,10,0,0,0,0
10002,1,1,2000,20,20,20,20,20,20,20,20,20,20
10003,1,1,2000,0,0,0,0,0,0,0,0,0,0
10004,1,1,2000,24,15,11,18,37,15,29,21,21,30
10005,1,1,2000,0,0,0,0,0,0,0,0,0,0
10005,2,1,2000,0,0,0,0,0,0,0,0,0,0
10005,3,1,2000,0,0,0,0,0,0,0,0,0,0
10006,0,1,2000,0,0,0,0,0,0,0,0,0,0
10006,1,1,2000,0,0,0,0,0,0,0,0,0,0
10007,1,1,2000,0,0,0,0,0,0,11,0,0,0
10008,1,1,2000,0,0,0,0,0,0,0,0,0,0
10009,1,1,2000,8,8,8,8,8,8,8,8,8,8
10010,1,1,2000,0,31,0,20,14,12,0,0,0,0
10011,1,1,2000,0,0,0,9,0,0,0,11,0,0
10012,1,1,2000,14,18,29,15,3,11,10,40,16,18
10013,1,1,2000,0,0,0,0,0,0,0,0,0,0
10013,2,1,2000,0,0,0,0,0,0,0,0,0,0
10014,1,1,2000,10,10,10,10,10,10,10,10,10,10
10015,1,1,2000,13,13,13,13,13,13,13,13,13,13
10016,1,1,2000,0,0,0,0,0,18,3,0,22,0
10016,2,1,2000,0,11,0,0,8,0,14,0,0,0
10017,1,1,2000,23,23,23,23,23,23,23,23,23,23
10018,1,1,2000,0,0,0,0,0,0,0,0,0,0
10019,0,1,2000,0,0,0,0,0,0,0,0,0,0
10019,1,1,2000,0,0,0,0,0,0,0,0,0,0
10020,1,1,2000,0,0,0,0,0,0,0,0,0,0
10021,1,1,2000,0,0,0,0,0,0,0,0,0,0
10021,2,1,2000,0,0,0,0,0,0,0,0,0,0
10022,1,1,2000,0,0,0,0,0,0,0,0,0,0
10022,2,1,2000,0,0,0,0,0,0,0,0,0,0
10023,1,1,2000,22,22,22,22,22,22,22,22,22,22
10024,1,1,2000,17,17,17,17,17,17,17,17,17,17
10025,0,1,2000,0,0,0,0,0,0,0,0,0,0
10025,1,1,2000,0,0,0,0,22,0,19,0,0,0
