ST_CASE,YEAR,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10122,2000,13,13,13,13,13,13,13,13,13,13
10123,2000,22,22,22,22,22,22,22,22,22,22
10124,2000,14,14,14,14,14,14,14,14,14,14
10125,2000,0,0,0,0,0,0,0,0,0,0
10126,2000,0,0,0,0,0,0,0,0,0,0
10127,2000,16,7,0,0,0,8,15,0,22,11
10128,2000,0,0,0,0,0,0,0,0,0,0
10129,2000,0,0,0,0,0,0,0,0,0,0
10130,2000,0,0,0,0,0,0,0,0,0,0
10131,2000,0,0,0,0,0,0,0,0,0,0
10132,2000,6,26,7,6,14,21,15,26,20,42
10133,2000,0,15,0,8,10,0,0,0,31,9
10134,2000,0,0,0,0,0,0,0,0,0,0
10135,2000,6,6,6,6,6,6,6,6,6,6
10136,2000,0,0,0,0,0,0,0,0,0,0
10137,2000,20,29,14,32,4,17,21,33,10,21
10138,2000,16,16,16,16,16,16,16,16,16,16
10139,2000,0,0,0,0,0,0,0,0,0,0
10140,2000,0,0,0,0,0,0,15,0,19,0
10141,2000,8,0,0,0,0,0,0,25,0,0
10142,2000,19,23,0,7,5,0,10,29,10,0
10143,2000,9,9,9,9,9,9,9,9,9,9
10144,2000,0,0,0,0,0,0,0,12,0,0
10145,2000,0,0,0,0,0,0,0,0,0,0
10146,2000,12,0,0,0,0,0,0,0,0,0
10147,2000,19,12,20,10,24,23,14,19,7,17
10148,2000,0,0,0,0,0,0,0,0,0,0
10149,2000,0,0,0,18,0,0,0,0,0,0
10150,2000,23,23,23,23,23,23,23,23,23,23
10151,2000,22,0,0,6,16,28,0,13,0,20
10152,2000,4,4,4,4,4,4,4,4,4,4
10153,2000,21,21,21,21,21,21,21,21,21,21
10154,2000,23,23,23,23,23,23,23,23,23,23
10155,2000,17,23,19,0,31,0,6,11,20,9
10156,2000,25,25,25,25,25,25,25,25,25,25
10157,2000,9,9,9,9,9,9,9,9,9,9
10158,2000,0,0,0,0,0,0,0,0,0,0
10159,2000,0,0,0,0,0,0,0,0,0,0
10160,2000,0,0,0,0,0,0,0,0,0,0
10161,2000,21,21,21,21,21,21,21,21,21,21
10162,2000,0,0,0,0,0,0,0,0,0,0
10163,2000,0,0,0,0,0,0,0,0,0,0
10164,2000,18,18,18,18,18,18,18,18,18,18
10165,2000,0,0,0,0,0,0,0,0,0,0
10166,2000,15,15,15,15,15,15,15,15,15,15
10167,2000,0,16,25,37,25,0,15,21,11,0
10168,2000,24,20,20,20,20,20,20,20,20,20
10169,2000,0,0,0,0,0,0,0,0,0,0
10170,2000,0,36,0,25,7,25,11,23,46,0
10171,2000,0,0,0,0,0,0,0,0,0,0
10172,2000,0,0,0,0,0,0,0,0,0,0
10173,2000,0,0,0,0,0,0,0,18,0,0
10174,2000,0,0,0,0,0,0,0,0,0,0
10175,2000,0,0,0,0,0,0,0,0,0,0
10176,2000,0,0,0,0,0,0,0,0,0,0
10177,2000,7,7,7,7,7,7,7,7,7,7
10178,2000,0,0,13,0,0,0,0,0,0,9
10179,2000,0,0,0,0,0,0,0,0,0,17
10180,2000,0,3,26,0,12,0,15,0,19,0
10181,2000,22,22,22,22,22,22,22,22,22,22
10182,2000,2,2,2,2,2,14,2,2,2,2
10183,2000,15,22,12,19,0,0,0,0,13,12
10184,2000,20,20,20,20,20,20,20,20,20,20
10185,2000,0,0,0,0,0,0,0,0,0,0
10186,2000,0,0,0,0,0,0,0,0,0,0
10187,2000,2,2,2,2,2,2,2,2,2,2
10188,2000,0,0,0,0,0,0,0,0,0,0
10189,2000,0,0,0,0,0,0,0,0,0,0
10190,2000,0,0,0,0,0,0,0,0,0,0
10191,2000,0,9,0,0,0,0,0,0,17,0
10192,2000,25,9,0,0,0,0,0,0,0,0
10193,2000,0,0,0,15,0,0,0,0,0,0
10194,2000,0,0,0,17,0,0,0,0,0,11
10195,2000,0,0,0,0,0,9,0,0,0,0
10196,2000,0,0,0,0,0,0,28,0,11,0
