VEH_NO,NUMOCCS,BODY_TYP,TRAV_SP,DEFORMED,DEATHS,ST_CASE,DR_DRINK,L_STATE,PREV_ACC,PREV_DWI,PREV_SPD,MONTH,Year
1,1,80,98,6,1,480020,1,48.0,0.0,0.0,0.0,1,2006
2,1,80,98,2,1,480024,0,48.0,0.0,0.0,0.0,1,2006
2,1,80,98,9,1,480030,0,48.0,0.0,0.0,1.0,1,2006
1,2,80,98,2,1,480037,0,48.0,0.0,0.0,2.0,1,2006
1,1,80,98,4,1,480043,0,48.0,0.0,0.0,0.0,1,2006
1,1,80,98,9,1,480054,0,48.0,0.0,0.0,0.0,1,2006
1,1,80,98,4,1,480069,0,48.0,2.0,0.0,1.0,1,2006
1,1,80,98,2,1,480070,0,48.0,0.0,0.0,0.0,1,2006
1,1,80,98,6,1,480071,0,48.0,0.0,0.0,0.0,1,2006
1,1,80,98,9,1,480118,0,48.0,0.0,0.0,0.0,1,2006
1,1,80,98,2,1,480129,1,48.0,0.0,0.0,0.0,1,2006
1,1,80,98,2,1,480151,0,48.0,1.0,0.0,0.0,1,2006
1,1,80,98,9,1,480153,1,48.0,0.0,0.0,0.0,1,2006
1,1,80,98,2,1,480164,0,48.0,0.0,0.0,0.0,1,2006
1,2,80,98,4,2,480183,1,48.0,0.0,0.0,0.0,1,2006
1,1,80,97,6,1,480195,0,48.0,0.0,0.0,2.0,2,2006
2,1,80,98,6,1,480198,0,48.0,0.0,0.0,0.0,2,2006
1,1,80,98,9,1,480202,0,30.0,98.0,0.0,0.0,2,2006
2,1,80,98,2,1,480203,0,48.0,2.0,0.0,1.0,2,2006
1,1,80,98,9,1,480208,0,48.0,0.0,0.0,1.0,2,2006
1,1,80,98,9,1,480216,1,48.0,0.0,0.0,0.0,2,2006
2,2,80,98,2,1,480217,1,48.0,0.0,0.0,4.0,2,2006
1,1,80,98,6,1,480222,0,48.0,0.0,0.0,1.0,2,2006
1,1,80,98,4,1,480230,1,48.0,0.0,0.0,0.0,2,2006
1,1,80,88,4,1,480246,0,36.0,0.0,0.0,0.0,2,2006
1,1,80,98,6,1,480264,0,48.0,0.0,0.0,0.0,2,2006
1,1,80,97,6,1,480296,0,48.0,0.0,0.0,1.0,2,2006
1,2,80,98,9,1,480309,0,48.0,0.0,0.0,0.0,2,2006
1,1,80,98,4,1,480317,0,48.0,0.0,0.0,0.0,2,2006
2,1,80,98,2,1,480345,1,48.0,0.0,0.0,1.0,2,2006
1,1,80,98,2,1,480359,1,48.0,1.0,1.0,0.0,2,2006
2,1,80,98,2,1,480403,0,48.0,1.0,0.0,1.0,2,2006
2,1,80,98,9,1,480409,0,48.0,0.0,0.0,0.0,2,2006
2,1,80,98,2,1,480428,0,48.0,0.0,0.0,0.0,3,2006
1,1,80,98,2,1,480429,0,48.0,0.0,0.0,0.0,3,2006
1,1,80,98,4,1,480439,0,48.0,1.0,0.0,0.0,3,2006
2,1,80,98,4,1,480448,0,48.0,0.0,0.0,9.0,3,2006
1,1,80,98,2,1,480460,0,48.0,3.0,0.0,0.0,3,2006
1,1,80,98,4,1,480464,0,48.0,0.0,0.0,0.0,3,2006
1,1,80,98,2,1,480465,0,48.0,0.0,0.0,1.0,3,2006
1,1,80,98,2,1,480473,0,48.0,0.0,0.0,0.0,3,2006
1,1,80,98,2,1,480476,0,48.0,0.0,0.0,0.0,3,2006
1,1,80,98,4,1,480484,1,48.0,0.0,0.0,0.0,3,2006
1,1,80,98,2,1,480502,0,48.0,0.0,0.0,0.0,3,2006
1,1,80,98,2,1,480532,0,48.0,0.0,0.0,0.0,3,2006
1,1,80,98,2,1,480535,0,48.0,0.0,0.0,0.0,3,2006
2,1,80,98,2,1,480544,1,48.0,1.0,1.0,1.0,3,2006
1,1,80,98,2,1,480546,0,48.0,0.0,0.0,0.0,3,2006
2,1,80,98,9,1,480565,0,48.0,0.0,0.0,1.0,2,2006
1,1,80,98,6,1,480643,0,48.0,0.0,0.0,0.0,4,2006
1,1,80,98,2,1,480646,1,48.0,0.0,0.0,0.0,4,2006
2,1,80,98,2,1,480647,0,48.0,0.0,0.0,0.0,4,2006
2,1,80,98,9,1,480649,0,48.0,1.0,0.0,0.0,4,2006
1,1,80,98,2,1,480651,0,48.0,2.0,0.0,0.0,4,2006
1,1,80,98,2,1,480658,0,48.0,0.0,0.0,0.0,4,2006
