ST_CASE,VEH_NO,NUMOCCS,DAY,MONTH,HOUR,MINUTE,BODY_TYP,TRAV_SP,DEFORMED,L_STATE,PREV_ACC,PREV_DWI,PREV_SPD,VNUM_LAN,VSPD_LIM,ACC_TYPE,DEATHS,DR_DRINK,Year
480700,1,1,19,3,4,0,80,998,8,48,1,0,0,2,45,1,1,0,2014
480706,1,1,26,3,13,40,80,998,8,48,0,0,0,2,30,2,1,1,2014
480713,2,1,30,3,15,38,80,998,8,48,0,0,0,2,75,98,1,0,2014
480721,2,1,1,4,4,20,80,998,2,48,0,0,0,2,75,83,1,0,2014
480748,1,2,5,4,3,47,80,998,8,48,0,0,0,2,35,1,1,1,2014
480779,1,1,10,4,0,8,80,998,6,48,0,0,0,2,65,7,1,1,2014
480785,1,1,11,4,16,58,80,998,8,48,0,0,0,2,75,98,1,0,2014
480790,1,1,12,4,14,10,80,998,8,48,0,0,0,2,60,1,1,0,2014
480792,1,2,12,4,21,29,80,998,8,48,0,0,0,3,65,25,1,0,2014
480794,1,1,12,4,21,0,80,998,8,48,0,0,1,2,45,6,1,1,2014
480799,1,2,12,4,22,50,80,998,8,48,0,0,0,2,70,6,1,1,2014
480810,1,1,15,3,2,29,80,998,8,48,0,0,0,3,40,69,1,1,2014
480811,1,1,29,3,1,18,80,998,8,48,0,0,0,2,40,1,1,1,2014
480814,3,1,14,4,20,16,80,998,8,48,0,0,0,3,55,98,1,0,2014
480828,1,1,16,4,5,25,80,998,8,48,0,0,0,3,45,1,1,1,2014
480845,1,1,18,4,16,55,80,998,8,48,0,0,1,2,35,74,1,0,2014
480845,3,1,18,4,16,55,80,998,8,48,0,0,0,2,35,98,0,0,2014
480848,2,1,18,4,14,20,80,998,4,48,0,0,0,4,75,30,1,0,2014
480855,1,1,19,4,15,36,80,998,8,48,0,0,2,2,55,1,1,0,2014
480859,1,1,19,4,9,0,80,998,8,48,0,0,0,2,60,6,1,1,2014
480865,1,1,20,4,18,10,80,998,8,48,0,0,0,2,40,1,1,0,2014
480868,1,1,20,4,2,12,80,998,8,48,0,0,0,3,45,79,1,1,2014
480872,1,2,20,4,13,50,80,998,8,48,0,0,0,2,70,1,1,0,2014
480885,1,1,22,4,23,24,80,998,8,48,0,0,0,2,40,49,1,1,2014
480885,2,1,22,4,23,24,80,998,8,48,0,0,1,2,40,49,0,0,2014
480905,1,1,10,4,11,45,80,998,8,48,0,0,0,2,35,6,1,0,2014
480906,1,1,12,4,12,8,80,998,4,48,0,0,0,2,60,1,1,0,2014
480907,2,2,12,4,16,35,80,998,8,48,0,0,0,2,75,48,2,0,2014
480907,3,1,12,4,16,35,80,998,8,48,0,0,0,2,75,98,0,0,2014
480907,4,2,12,4,16,35,80,998,8,48,0,0,0,2,75,98,0,0,2014
480936,2,1,28,4,17,45,80,998,8,48,0,0,0,3,30,68,1,0,2014
480938,1,1,29,4,22,47,80,998,8,48,0,0,0,2,35,98,1,1,2014
480941,1,1,30,4,19,54,80,998,4,12,0,0,0,7,45,98,1,0,2014
480948,1,1,26,4,2,3,80,998,8,48,3,0,0,3,60,32,1,1,2014
480949,1,1,26,4,17,12,80,70,2,48,0,0,0,2,45,1,1,1,2014
480950,2,2,26,4,13,52,80,998,4,48,0,0,0,5,40,83,1,0,2014
480955,1,1,30,4,12,45,80,998,9,48,0,0,0,2,45,50,1,0,2014
480959,1,1,18,4,9,49,80,998,8,48,1,0,0,3,65,1,1,0,2014
480963,2,1,29,4,13,40,80,998,4,48,0,0,1,4,35,69,1,0,2014
480967,2,1,13,3,23,33,80,998,8,48,0,0,0,4,55,24,1,0,2014
480970,2,1,1,4,13,0,80,998,8,48,0,0,1,5,35,51,1,0,2014
480977,1,1,26,4,16,25,80,998,8,48,0,0,0,2,40,6,1,0,2014
480979,1,1,26,4,2,4,80,998,8,48,0,0,1,2,30,6,1,1,2014
480981,1,1,1,5,22,48,80,998,8,48,1,0,0,4,35,65,1,0,2014
480984,2,1,1,5,15,28,80,998,8,48,0,0,0,6,60,69,1,0,2014
480997,1,1,2,5,21,55,80,998,8,48,0,0,0,3,55,48,1,0,2014
480998,1,1,2,5,19,35,80,998,2,48,0,0,0,2,50,11,1,1,2014
481008,1,2,3,5,10,33,80,998,8,48,0,0,0,2,60,73,1,0,2014
481009,1,1,3,5,13,0,80,998,8,48,0,0,0,2,55,1,1,0,2014
481010,1,1,3,5,12,12,80,998,8,48,0,0,1,2,70,6,1,0,2014
481020,1,1,5,5,15,4,80,998,8,48,0,0,0,2,60,6,1,0,2014
