ST_CASE,TRAV_SP,PREV_ACC,PREV_DWI,PREV_SPD,Year
480011,998,0,0,0,2011
480043,998,0,0,2,2011
480076,100,0,0,0,2011
480086,998,0,0,0,2011
480094,998,0,0,0,2011
480094,998,1,0,1,2011
480095,998,0,0,0,2011
480095,998,0,0,0,2011
480099,998,0,0,0,2011
480101,998,0,0,1,2011
480108,998,0,0,0,2011
480124,998,1,0,0,2011
480125,998,0,0,2,2011
480134,998,0,0,0,2011
480166,998,0,0,0,2011
480206,998,0,0,0,2011
480206,998,0,0,0,2011
480214,998,0,0,0,2011
480216,50,1,0,0,2011
480220,998,0,0,0,2011
480222,998,0,0,0,2011
480236,998,0,0,1,2011
480257,998,0,0,0,2011
480264,94,0,0,1,2011
480266,998,0,1,1,2011
480268,998,0,0,0,2011
480281,998,0,0,0,2011
480296,998,0,0,0,2011
480302,998,0,0,2,2011
480304,998,0,0,1,2011
480305,998,0,0,0,2011
480314,998,0,0,0,2011
480316,998,0,0,0,2011
480318,998,0,0,0,2011
480319,998,0,0,0,2011
480322,998,0,0,2,2011
480324,998,0,0,1,2011
480325,998,0,0,0,2011
480330,998,0,0,0,2011
480349,998,0,0,0,2011
480360,998,0,0,0,2011
480367,998,0,0,0,2011
480372,0,998,998,998,2011
480379,998,1,0,0,2011
480394,998,1,0,0,2011
480396,998,0,0,0,2011
480397,998,0,0,1,2011
480403,998,1,0,0,2011
480407,998,0,0,1,2011
480435,998,0,0,1,2011
480437,998,0,0,0,2011
480442,998,0,0,0,2011
480443,998,0,0,0,2011
480456,998,0,0,1,2011
480457,998,0,0,1,2011
480466,998,0,0,1,2011
480469,998,0,0,0,2011
480471,998,0,0,0,2011
480480,998,0,0,0,2011
480482,998,2,0,3,2011
480487,998,1,0,1,2011
480499,998,0,0,0,2011
480501,998,0,0,1,2011
480502,998,0,0,0,2011
480504,998,1,0,1,2011
480507,998,0,0,0,2011
480512,998,0,0,0,2011
480516,998,0,0,1,2011
480523,998,0,0,0,2011
480537,998,0,0,0,2011
480543,998,0,0,0,2011
480544,998,0,0,0,2011
480546,998,0,0,1,2011
480548,998,0,0,0,2011
480557,998,0,0,0,2011
480561,80,0,0,0,2011
480565,998,0,0,0,2011
480571,998,0,0,0,2011
480580,998,0,0,0,2011
