TRAV_SP,ST_CASE,PREV_ACC,PREV_DWI,PREV_SPD,Year
98,480047,1.0,0.0,3.0,2002
98,480055,0.0,0.0,0.0,2002
98,480059,0.0,0.0,0.0,2002
98,480131,0.0,0.0,0.0,2002
98,480145,0.0,0.0,0.0,2002
98,480150,0.0,0.0,0.0,2002
98,480173,0.0,0.0,1.0,2002
98,480177,0.0,0.0,0.0,2002
98,480204,0.0,0.0,1.0,2002
98,480214,0.0,0.0,0.0,2002
98,480237,0.0,0.0,0.0,2002
98,480238,0.0,0.0,0.0,2002
98,480271,0.0,0.0,1.0,2002
98,480290,0.0,0.0,0.0,2002
98,480291,1.0,0.0,0.0,2002
98,480314,0.0,0.0,0.0,2002
98,480323,0.0,0.0,0.0,2002
98,480331,0.0,0.0,0.0,2002
98,480350,0.0,0.0,1.0,2002
98,480351,1.0,0.0,0.0,2002
98,480363,0.0,0.0,0.0,2002
98,480369,0.0,0.0,0.0,2002
98,480446,0.0,0.0,0.0,2002
98,480462,0.0,0.0,1.0,2002
98,480492,4.0,0.0,0.0,2002
98,480494,0.0,0.0,2.0,2002
98,480500,0.0,0.0,1.0,2002
98,480519,0.0,0.0,0.0,2002
98,480547,2.0,0.0,5.0,2002
98,480559,0.0,0.0,0.0,2002
98,480559,0.0,0.0,1.0,2002
98,480568,3.0,0.0,1.0,2002
55,480569,0.0,0.0,0.0,2002
98,480586,0.0,0.0,1.0,2002
98,480600,2.0,0.0,1.0,2002
98,480622,1.0,0.0,1.0,2002
98,480624,0.0,0.0,0.0,2002
98,480632,0.0,0.0,0.0,2002
98,480638,2.0,0.0,0.0,2002
98,480655,0.0,0.0,0.0,2002
98,480672,0.0,0.0,0.0,2002
81,480699,1.0,0.0,0.0,2002
98,480723,0.0,0.0,0.0,2002
98,480723,0.0,0.0,1.0,2002
98,480740,0.0,0.0,0.0,2002
98,480751,0.0,0.0,0.0,2002
98,480758,0.0,1.0,3.0,2002
98,480778,0.0,0.0,1.0,2002
98,480779,0.0,0.0,0.0,2002
98,480830,1.0,0.0,3.0,2002
97,480839,1.0,0.0,0.0,2002
97,480839,0.0,0.0,0.0,2002
30,480847,2.0,0.0,0.0,2002
98,480849,0.0,0.0,2.0,2002
98,480883,0.0,0.0,0.0,2002
98,480890,0.0,0.0,1.0,2002
98,480913,0.0,0.0,0.0,2002
98,480919,0.0,0.0,0.0,2002
98,480925,0.0,0.0,0.0,2002
98,480934,0.0,0.0,1.0,2002
98,480935,0.0,1.0,0.0,2002
60,480938,0.0,0.0,0.0,2002
98,480953,0.0,0.0,2.0,2002
98,480969,0.0,0.0,1.0,2002
98,480989,0.0,0.0,0.0,2002
98,480991,0.0,0.0,0.0,2002
98,480995,0.0,0.0,0.0,2002
98,480995,1.0,0.0,2.0,2002
98,480998,1.0,0.0,2.0,2002
98,480998,0.0,0.0,0.0,2002
98,481016,1.0,0.0,0.0,2002
98,481022,0.0,0.0,2.0,2002
98,481034,0.0,0.0,0.0,2002
98,481035,0.0,0.0,2.0,2002
98,481037,0.0,0.0,0.0,2002
98,481059,0.0,0.0,0.0,2002
98,481063,99.0,99.0,99.0,2002
98,481067,1.0,0.0,0.0,2002
98,481077,0.0,0.0,0.0,2002
98,481087,0.0,0.0,0.0,2002
98,481092,0.0,0.0,1.0,2002
98,481103,0.0,0.0,0.0,2002
98,481109,0.0,0.0,0.0,2002
98,481116,1.0,0.0,0.0,2002
98,481116,0.0,0.0,10.0,2002
98,481136,0.0,0.0,0.0,2002
98,481137,1.0,0.0,0.0,2002
98,481172,0.0,0.0,0.0,2002
98,481175,0.0,0.0,2.0,2002
98,481180,2.0,0.0,0.0,2002
98,481196,1.0,0.0,4.0,2002
98,481196,0.0,0.0,0.0,2002
98,481204,0.0,0.0,0.0,2002
98,481213,0.0,0.0,0.0,2002
98,481218,2.0,0.0,0.0,2002
98,481227,0.0,0.0,0.0,2002
98,481244,0.0,0.0,1.0,2002
98,481276,2.0,0.0,1.0,2002
98,481296,0.0,0.0,1.0,2002
98,481299,1.0,0.0,1.0,2002
98,481328,0.0,0.0,0.0,2002
98,481332,0.0,0.0,1.0,2002
98,481340,0.0,0.0,0.0,2002
98,481352,0.0,0.0,1.0,2002
98,481376,1.0,0.0,2.0,2002
98,481383,2.0,0.0,1.0,2002
98,481394,0.0,0.0,0.0,2002
98,481396,0.0,0.0,0.0,2002
98,481403,0.0,0.0,0.0,2002
98,481413,0.0,0.0,0.0,2002
98,481428,1.0,0.0,0.0,2002
98,481463,2.0,0.0,0.0,2002
98,481472,0.0,0.0,0.0,2002
98,481480,1.0,0.0,0.0,2002
98,481490,2.0,0.0,0.0,2002
98,481501,1.0,0.0,0.0,2002
98,481518,0.0,0.0,1.0,2002
98,481545,0.0,0.0,3.0,2002
98,481563,0.0,0.0,1.0,2002
