ST_CASE,VEH_NO,NUMOCCS,DAY,MONTH,HOUR,MINUTE,BODY_TYP,TRAV_SP,DEFORMED,L_STATE,PREV_ACC,PREV_DWI,PREV_SPD,VNUM_LAN,VSPD_LIM,ACC_TYPE,DEATHS,DR_DRINK,Year
480024,1,1,4,1,18,6,80,998,8,48,0,0,3,2,55,69,1,0,2018
480041,2,1,5,1,20,35,80,998,8,48,0,0,0,2,40,69,1,0,2018
480044,1,1,6,1,20,8,80,998,8,48,0,0,0,3,35,24,1,1,2018
480044,2,1,6,1,20,8,80,998,8,48,0,0,1,3,35,25,0,0,2018
480052,1,1,6,1,18,8,80,998,6,48,0,0,1,8,40,98,1,0,2018
480058,1,1,7,1,16,18,80,998,8,48,2,0,2,3,40,45,1,0,2018
480077,1,1,9,1,16,40,80,998,6,48,1,0,0,2,65,1,1,0,2018
480093,1,1,10,1,1,5,80,998,8,48,1,0,0,3,45,7,1,0,2018
480094,1,1,10,1,13,37,80,107,8,48,0,0,1,2,40,2,1,0,2018
480103,1,1,12,1,1,23,80,998,6,48,0,0,0,2,45,13,0,0,2018
480108,1,1,12,1,19,55,80,998,8,48,1,0,1,2,65,6,1,0,2018
480132,2,1,15,1,16,25,80,998,6,48,1,0,0,5,55,93,1,0,2018
480152,1,1,18,1,19,41,80,998,8,48,2,0,2,7,40,13,0,1,2018
480167,2,1,20,1,21,17,80,998,8,48,0,0,0,6,98,87,1,0,2018
480176,1,1,21,1,22,5,80,998,8,6,0,0,0,2,75,0,1,0,2018
480180,1,1,21,1,17,9,80,998,8,48,0,0,0,2,35,6,1,1,2018
480186,1,1,21,1,9,34,80,998,8,48,0,0,0,4,35,73,1,0,2018
480198,1,1,23,1,17,13,80,998,8,48,1,0,0,2,30,98,1,0,2018
480210,1,1,24,1,12,46,80,998,6,48,1,0,2,5,35,69,1,0,2018
480212,1,1,24,1,18,31,80,998,8,48,0,0,0,0,0,89,1,0,2018
480230,2,1,26,1,18,30,80,998,8,48,0,0,1,2,70,28,1,0,2018
480241,1,1,27,1,0,25,80,998,6,48,0,0,0,2,65,28,1,0,2018
480248,1,1,28,1,12,30,80,998,8,48,0,0,0,6,40,69,1,0,2018
480263,2,1,29,1,13,39,80,998,8,48,0,0,0,5,50,83,1,0,2018
480277,2,1,31,1,17,14,80,998,8,48,0,0,0,2,30,98,1,0,2018
480281,2,1,30,1,7,11,80,998,8,48,0,0,1,3,45,69,1,0,2018
480299,1,1,15,1,19,47,80,998,8,48,0,0,1,5,35,69,1,0,2018
480308,1,1,5,2,0,24,80,998,8,48,0,0,0,2,45,6,1,0,2018
480337,1,1,9,2,19,15,80,998,8,48,0,0,0,2,75,1,1,1,2018
480362,1,1,14,2,18,32,80,998,8,48,0,0,0,4,35,88,1,0,2018
480368,1,1,17,2,2,29,80,150,8,48,0,0,2,5,65,24,1,1,2018
480372,1,1,19,2,2,36,80,998,8,48,0,0,0,4,60,98,1,0,2018
480375,1,1,20,2,19,19,80,998,8,48,0,0,0,5,50,28,1,0,2018
480381,2,1,2,2,11,6,80,998,8,48,0,0,0,2,70,45,1,0,2018
480388,1,1,3,2,2,6,80,998,8,48,0,0,0,2,40,1,1,1,2018
480391,1,1,4,2,16,45,80,998,8,48,0,0,5,2,30,1,1,0,2018
480409,1,1,10,2,20,43,80,998,8,48,0,0,0,2,40,1,1,0,2018
480443,1,2,18,2,4,8,80,998,8,37,1,0,2,5,70,32,1,1,2018
480446,1,1,19,2,19,13,80,998,6,48,0,0,0,2,40,6,1,0,2018
480448,2,2,19,2,11,55,80,72,8,48,1,0,1,5,65,45,1,1,2018
480467,2,1,23,2,23,15,80,998,0,48,1,0,0,3,40,98,1,0,2018
480471,1,1,24,2,19,26,80,998,8,48,0,0,0,2,30,1,1,1,2018
480488,1,1,26,2,22,42,80,998,8,48,0,0,0,2,45,6,1,0,2018
480489,1,2,26,2,19,16,80,998,8,48,1,0,1,3,35,32,1,1,2018
480490,2,1,26,2,21,24,80,998,8,48,1,0,1,2,60,25,1,0,2018
480510,2,1,24,2,19,5,80,998,2,48,1,0,0,4,30,69,1,1,2018
480521,1,1,3,2,20,55,80,998,8,48,0,0,0,2,98,76,1,0,2018
480542,1,1,4,3,0,56,80,998,8,48,0,0,0,2,70,6,1,1,2018
480548,2,1,5,3,15,30,80,998,8,48,0,0,1,2,60,98,1,0,2018
480555,2,1,7,3,10,50,80,998,6,48,0,0,0,3,30,87,1,0,2018
480563,1,1,10,3,16,57,80,998,6,48,1,0,2,2,35,24,1,0,2018
480565,2,1,10,3,22,22,80,998,6,48,0,0,6,2,75,73,1,0,2018
480565,3,1,10,3,22,22,80,998,8,48,0,0,0,2,75,98,1,0,2018
480574,1,1,13,3,21,58,80,998,8,48,0,0,0,4,65,24,1,0,2018
480577,1,1,14,3,12,52,80,998,8,48,0,0,1,5,45,90,1,0,2018
480590,1,1,2,3,9,1,80,998,8,48,0,0,0,2,45,98,1,0,2018
480600,1,1,28,2,20,26,80,998,8,48,2,0,0,2,50,1,1,0,2018
480611,1,1,7,3,18,23,80,998,2,48,0,0,0,4,50,69,1,0,2018
480620,2,1,9,3,11,44,80,998,6,48,1,0,0,2,45,98,1,0,2018
480625,1,1,10,3,18,15,80,998,6,48,0,0,0,2,70,50,1,1,2018
480628,1,1,10,3,18,56,80,998,6,48,2,0,1,1,40,6,1,1,2018
480631,2,1,10,3,17,53,80,998,6,48,0,0,0,4,35,69,1,1,2018
480634,1,1,10,3,19,26,80,998,8,48,0,0,0,5,40,74,1,0,2018
480640,2,1,12,3,11,12,80,998,8,48,0,0,0,3,45,98,1,0,2018
480643,2,1,12,3,8,10,80,998,8,48,0,0,0,2,60,69,1,0,2018
480647,1,1,13,3,23,3,80,998,6,48,0,0,1,4,55,83,1,0,2018
480650,2,1,14,3,22,15,80,998,8,13,98,0,2,2,45,98,1,0,2018
480653,1,1,15,3,10,37,80,998,8,48,1,0,0,2,65,1,1,0,2018
480665,1,1,17,3,5,14,80,998,6,48,0,0,0,2,98,45,1,0,2018
480672,1,1,17,3,1,46,80,998,8,48,0,0,0,2,45,1,1,1,2018
480681,1,1,19,3,20,53,80,998,2,48,0,0,0,4,65,24,1,1,2018
480691,2,1,25,3,18,55,80,998,8,48,0,0,1,2,50,98,1,0,2018
480692,1,1,25,3,22,58,80,998,8,48,0,1,0,2,30,32,1,1,2018
480721,1,1,15,3,12,38,80,998,8,48,0,0,0,1,60,28,1,0,2018
480722,2,1,15,3,20,57,80,998,8,48,0,0,0,4,40,69,1,0,2018
480727,2,1,18,3,16,40,80,998,8,48,0,0,0,5,55,69,1,0,2018
480732,1,1,20,3,1,52,80,998,8,48,0,0,0,2,70,32,1,0,2018
480737,1,1,21,3,18,0,80,998,6,48,0,0,0,2,55,69,1,0,2018
480742,2,1,23,3,6,47,80,998,8,48,1,0,0,2,55,83,1,0,2018
480746,2,1,24,3,16,41,80,998,8,48,0,0,0,4,30,69,1,0,2018
480746,3,1,24,3,16,41,80,998,8,48,0,0,0,4,30,98,0,0,2018
480750,1,2,25,3,0,30,80,998,6,48,0,0,3,2,35,1,1,1,2018
480751,2,1,26,3,20,20,80,998,6,48,0,0,2,7,40,69,1,1,2018
480761,1,1,29,3,10,50,80,998,8,48,0,0,0,3,45,45,1,0,2018
480768,2,1,31,3,20,30,80,0,8,48,0,0,0,2,70,22,1,0,2018
480773,2,1,30,3,23,25,80,998,6,48,0,0,1,4,55,32,1,0,2018
480774,2,1,30,3,21,20,80,998,6,48,0,0,0,3,50,69,1,0,2018
480778,1,1,31,3,12,2,80,998,2,48,0,0,0,2,55,1,1,0,2018
480790,1,1,22,3,23,20,80,998,8,48,1,0,0,5,65,7,1,1,2018
480797,1,1,25,3,20,53,80,998,8,5,0,0,0,2,30,14,1,0,2018
480800,1,2,29,3,22,30,80,998,6,48,1,0,1,6,45,20,2,1,2018
480801,1,1,29,3,11,57,80,998,2,5,0,0,0,2,30,0,1,0,2018
480813,1,1,1,4,0,37,80,998,6,48,0,0,0,2,60,1,1,1,2018
