VEH_NO,NUMOCCS,BODY_TYP,TRAV_SP,DEFORMED,DEATHS,ST_CASE,DR_DRINK,L_STATE,PREV_ACC,PREV_DWI,PREV_SPD,MONTH,Year
2,1,80,98,9,1,480003,0,48.0,0.0,0.0,0.0,1,2004
1,1,80,98,9,1,480029,0,48.0,1.0,0.0,2.0,1,2004
1,1,80,98,9,1,480080,0,48.0,0.0,0.0,0.0,1,2004
2,1,80,98,9,0,480080,0,48.0,0.0,0.0,0.0,1,2004
2,1,80,98,9,1,480154,1,48.0,0.0,0.0,0.0,1,2004
1,1,80,98,2,1,480157,0,48.0,0.0,0.0,0.0,1,2004
1,2,80,98,6,1,480173,0,48.0,0.0,0.0,0.0,1,2004
1,1,80,98,2,1,480174,0,48.0,0.0,0.0,1.0,1,2004
2,1,80,98,9,1,480189,0,48.0,0.0,0.0,0.0,1,2004
1,1,80,98,2,1,480218,1,48.0,0.0,0.0,0.0,2,2004
1,1,80,97,6,1,480232,1,48.0,0.0,1.0,3.0,2,2004
1,1,80,98,9,1,480297,1,48.0,0.0,0.0,0.0,2,2004
2,1,80,98,4,1,480299,0,48.0,0.0,0.0,0.0,2,2004
1,1,80,98,4,1,480304,0,48.0,0.0,0.0,0.0,2,2004
1,1,80,98,6,1,480307,0,48.0,2.0,0.0,0.0,2,2004
1,1,80,98,2,1,480317,1,48.0,0.0,0.0,0.0,2,2004
2,1,80,98,6,1,480322,0,48.0,1.0,0.0,1.0,2,2004
2,1,80,98,6,1,480350,1,48.0,1.0,0.0,0.0,2,2004
1,1,80,98,2,1,480380,0,48.0,2.0,0.0,0.0,2,2004
3,1,80,98,6,1,480389,0,48.0,2.0,0.0,1.0,1,2004
1,1,80,98,4,1,480401,1,48.0,1.0,0.0,0.0,2,2004
1,1,80,98,2,1,480420,0,48.0,0.0,0.0,0.0,2,2004
1,1,80,98,6,1,480430,1,48.0,0.0,0.0,0.0,2,2004
1,1,80,98,6,1,480463,0,48.0,0.0,0.0,0.0,3,2004
1,1,80,98,4,1,480466,0,48.0,0.0,0.0,0.0,3,2004
2,2,80,98,4,1,480472,1,48.0,0.0,0.0,0.0,3,2004
2,1,80,98,9,1,480492,0,48.0,0.0,0.0,0.0,3,2004
2,1,80,98,4,1,480523,0,48.0,0.0,0.0,0.0,3,2004
1,1,80,98,6,1,480526,0,48.0,0.0,0.0,1.0,3,2004
2,1,80,98,9,1,480534,0,48.0,1.0,0.0,0.0,3,2004
1,1,80,98,9,1,480553,0,48.0,0.0,0.0,1.0,3,2004
1,2,80,98,2,1,480563,0,48.0,0.0,0.0,1.0,1,2004
2,1,80,98,2,0,480563,0,48.0,0.0,0.0,0.0,1,2004
3,1,80,98,2,0,480563,0,48.0,0.0,0.0,0.0,1,2004
2,1,80,98,9,1,480593,1,48.0,0.0,0.0,1.0,3,2004
1,2,80,98,4,1,480595,1,48.0,0.0,0.0,0.0,3,2004
1,1,80,98,9,1,480596,0,48.0,0.0,0.0,0.0,3,2004
1,1,80,98,6,1,480604,1,48.0,0.0,0.0,0.0,3,2004
1,1,80,98,9,1,480615,0,48.0,0.0,0.0,0.0,3,2004
1,1,80,98,9,1,480620,0,48.0,1.0,0.0,0.0,3,2004
2,1,80,98,6,1,480621,0,48.0,0.0,0.0,0.0,3,2004
1,1,80,98,2,1,480664,0,48.0,0.0,0.0,0.0,3,2004
1,1,80,98,6,1,480665,1,48.0,0.0,0.0,0.0,3,2004
1,1,80,98,4,1,480675,0,48.0,2.0,0.0,0.0,3,2004
1,1,80,98,9,1,480687,0,48.0,0.0,0.0,0.0,4,2004
1,1,80,97,9,1,480694,1,48.0,2.0,0.0,1.0,4,2004
2,2,80,98,4,2,480699,1,48.0,0.0,0.0,1.0,4,2004
1,1,80,98,6,1,480703,0,48.0,0.0,0.0,0.0,4,2004
2,1,80,98,9,1,480711,1,48.0,1.0,0.0,1.0,4,2004
1,1,80,98,2,1,480727,1,48.0,0.0,1.0,0.0,4,2004
1,1,80,98,4,1,480735,0,48.0,0.0,0.0,0.0,4,2004
2,1,80,58,9,1,480737,0,48.0,1.0,0.0,1.0,4,2004
1,1,80,98,6,1,480773,0,48.0,0.0,0.0,0.0,4,2004
1,1,80,98,6,1,480778,1,48.0,0.0,1.0,3.0,4,2004
1,2,80,98,4,2,480789,1,48.0,0.0,0.0,0.0,4,2004
2,1,80,98,6,1,480793,0,48.0,0.0,0.0,1.0,4,2004
1,1,80,98,4,1,480812,1,48.0,0.0,0.0,0.0,4,2004
2,1,80,98,4,1,480822,0,48.0,0.0,0.0,2.0,4,2004
1,1,80,98,2,1,480855,0,32.0,0.0,0.0,1.0,4,2004
1,1,80,98,2,1,480867,1,48.0,1.0,0.0,0.0,4,2004
1,1,80,98,9,1,480877,0,48.0,0.0,0.0,0.0,4,2004
1,1,80,98,2,1,480879,0,48.0,0.0,0.0,0.0,4,2004
2,1,80,98,9,1,480889,0,48.0,0.0,0.0,1.0,4,2004
2,1,80,98,9,1,480903,0,48.0,1.0,0.0,0.0,4,2004
1,2,80,98,9,1,480932,1,48.0,0.0,0.0,0.0,5,2004
2,1,80,98,6,1,480933,0,48.0,0.0,0.0,0.0,5,2004
1,2,80,98,6,1,480950,0,48.0,0.0,0.0,0.0,5,2004
1,1,80,98,4,1,480951,0,48.0,0.0,0.0,0.0,5,2004
1,1,80,98,9,1,480959,1,48.0,0.0,0.0,0.0,5,2004
2,1,80,98,2,0,480960,0,48.0,0.0,0.0,1.0,5,2004
2,1,80,98,9,0,480975,0,48.0,0.0,0.0,0.0,5,2004
