ST_CASE,VEH_NO,NUMOCCS,DAY,MONTH,HOUR,MINUTE,BODY_TYP,TRAV_SP,DEFORMED,L_STATE,PREV_ACC,PREV_DWI,PREV_SPD,VNUM_LAN,VSPD_LIM,ACC_TYPE,DEATHS,DR_DRINK,Year
480058,2,2,21,1,19,29,80,998,9,48.0,0.0,0.0,1.0,4,40,83,1,0,2010
480101,2,1,18,1,19,7,80,998,9,48.0,0.0,0.0,0.0,2,65,66,1,0,2010
480107,1,1,27,1,22,10,80,998,9,48.0,0.0,0.0,0.0,5,60,32,1,1,2010
480111,2,1,30,1,10,51,80,998,6,48.0,0.0,0.0,0.0,4,35,69,1,0,2010
480112,1,1,30,1,16,4,80,998,2,48.0,0.0,0.0,0.0,2,60,98,1,1,2010
480133,2,1,6,2,13,14,80,998,9,48.0,0.0,0.0,0.0,2,99,68,1,0,2010
480147,2,1,15,2,17,3,80,998,9,48.0,0.0,1.0,0.0,6,45,15,1,1,2010
480155,1,1,20,2,14,0,80,998,2,48.0,0.0,0.0,0.0,2,35,1,1,1,2010
480175,1,1,28,2,15,55,80,998,9,48.0,0.0,0.0,0.0,2,70,50,1,1,2010
480178,1,1,28,2,2,28,80,998,9,48.0,0.0,0.0,2.0,2,40,2,1,1,2010
480203,2,1,14,2,14,29,80,998,4,48.0,1.0,0.0,0.0,2,98,64,1,0,2010
480209,1,2,27,2,18,34,80,998,9,48.0,0.0,0.0,0.0,6,40,20,1,0,2010
480231,1,1,20,1,1,5,80,998,6,48.0,2.0,1.0,0.0,4,40,98,1,1,2010
480276,2,1,5,3,19,57,80,998,2,48.0,0.0,0.0,0.0,2,98,83,1,1,2010
480277,1,2,5,3,21,10,80,998,2,48.0,0.0,0.0,0.0,4,30,1,1,0,2010
480279,1,1,6,3,20,10,80,998,2,48.0,0.0,0.0,0.0,2,55,6,1,1,2010
480281,1,1,6,3,0,41,80,998,9,48.0,0.0,0.0,0.0,2,60,6,1,1,2010
480298,1,1,10,3,10,15,80,998,9,48.0,0.0,0.0,0.0,2,45,50,1,0,2010
480306,2,1,12,3,17,44,80,998,9,48.0,0.0,0.0,0.0,4,70,83,1,0,2010
480310,2,1,13,3,9,55,80,998,4,48.0,0.0,0.0,1.0,4,55,69,1,0,2010
480313,1,1,14,3,19,56,80,998,9,48.0,0.0,0.0,1.0,2,50,98,1,0,2010
