ST_CASE,VEH_NO,NUMOCCS,DAY,MONTH,HOUR,MINUTE,BODY_TYP,TRAV_SP,DEFORMED,L_STATE,PREV_ACC,PREV_DWI,PREV_SPD,VNUM_LAN,VSPD_LIM,ACC_TYPE,DEATHS,DR_DRINK,Year
480010,1,1,2,1,15,28,80,998,8,48,0,0,0,3,60,98,1,0,2016
480029,2,1,4,1,15,57,80,998,8,48,0,0,3,4,50,83,1,0,2016
480037,2,1,6,1,18,5,80,998,8,48,1,0,1,3,55,69,1,0,2016
480043,2,1,7,1,21,19,80,998,8,48,1,0,2,2,30,98,1,1,2016
480059,2,2,9,1,16,52,80,998,6,48,0,0,0,3,45,69,1,0,2016
480080,1,2,13,1,17,58,80,998,8,48,0,0,0,2,60,1,1,1,2016
480091,1,1,17,1,20,3,80,998,8,48,1,0,0,7,50,12,1,1,2016
480092,1,1,17,1,18,18,80,998,6,48,1,0,0,2,98,87,1,0,2016
480093,1,1,18,1,15,5,80,998,8,48,1,0,0,5,65,6,1,0,2016
480107,2,1,9,1,5,7,80,998,8,48,1,0,0,2,55,88,1,0,2016
480136,1,1,19,1,16,46,80,998,8,48,0,0,0,4,35,69,1,0,2016
480166,1,1,13,1,16,48,80,998,6,48,0,0,0,2,55,20,1,0,2016
480207,1,1,29,1,8,53,80,998,6,48,2,0,0,5,70,47,1,0,2016
480211,1,1,30,1,12,40,80,998,8,48,0,0,1,2,50,0,1,0,2016
480223,1,1,31,1,14,11,80,998,2,48,0,0,1,2,70,98,1,0,2016
480224,2,1,31,1,13,23,80,998,8,48,0,0,0,2,55,51,1,0,2016
480225,1,1,31,1,14,13,80,998,8,48,2,0,0,2,60,1,1,0,2016
480238,1,1,31,1,15,5,80,998,8,48,0,0,0,2,55,98,1,0,2016
480242,1,1,31,1,15,18,80,998,6,48,0,0,0,3,65,28,1,0,2016
480242,2,1,31,1,15,18,80,998,2,32,0,0,0,3,65,29,0,0,2016
480256,1,1,3,2,21,38,80,998,2,48,0,0,0,4,65,98,1,0,2016
480267,2,1,5,2,11,30,80,998,8,48,0,0,3,2,30,77,1,0,2016
480272,1,2,6,2,23,26,80,55,8,48,0,0,0,3,45,6,1,0,2016
480276,1,1,6,2,15,32,80,998,2,48,0,0,0,2,45,1,1,0,2016
480279,1,1,6,2,15,44,80,998,8,48,0,0,0,2,60,1,1,1,2016
