ST_CASE,VEH_NO,NUMOCCS,DAY,MONTH,HOUR,MINUTE,BODY_TYP,TRAV_SP,DEFORMED,L_STATE,PREV_ACC,PREV_DWI,PREV_SPD,VNUM_LAN,VSPD_LIM,ACC_TYPE,DEATHS,DR_DRINK,Year
480013,1,1,3,1,1,0,80,998,9,48,0,0,1,2,55,1,1,1,2012
480023,1,1,5,1,18,37,80,998,2,48,0,0,1,4,50,1,1,0,2012
480025,1,1,5,1,18,19,80,998,2,48,0,0,0,2,30,0,1,1,2012
480043,1,1,8,1,15,22,80,998,6,48,0,0,0,4,60,49,1,0,2012
480065,4,2,15,1,13,27,80,998,9,48,0,0,0,2,60,98,1,0,2012
480077,1,1,19,1,22,5,80,998,9,48,0,0,2,2,45,6,1,1,2012
480105,1,1,18,1,9,52,80,998,9,48,0,1,0,3,50,1,1,1,2012
480109,2,1,20,1,12,26,80,998,9,48,0,0,0,2,30,51,1,0,2012
480110,1,2,22,1,23,10,80,998,9,48,1,0,0,1,60,98,1,0,2012
480114,1,1,23,1,11,44,80,998,6,48,0,0,3,2,55,64,1,0,2012
480118,2,1,26,1,19,58,80,998,4,48,2,0,1,3,35,98,1,0,2012
480119,1,1,27,1,13,1,80,998,6,22,0,0,0,4,50,69,1,1,2012
480136,1,2,13,1,22,51,80,998,4,48,1,0,1,4,45,71,1,0,2012
480158,2,1,27,1,21,11,80,998,9,48,0,0,0,2,30,69,1,0,2012
480165,1,1,31,1,18,45,80,998,9,22,0,0,1,4,65,98,1,0,2012
480173,1,1,28,1,18,20,80,40,2,48,1,0,1,4,50,2,1,1,2012
480186,1,2,19,1,13,23,80,998,2,48,0,0,0,2,98,86,1,0,2012
480216,1,1,20,1,18,13,80,100,6,48,0,0,4,4,35,88,1,0,2012
480228,2,1,5,2,22,16,88,998,2,48,0,0,0,4,70,25,1,1,2012
480231,2,1,6,2,15,20,80,998,6,48,0,0,0,3,98,89,1,0,2012
480251,1,1,21,2,0,58,80,120,9,48,0,0,2,4,50,83,1,1,2012
480258,1,1,4,2,22,50,80,998,9,48,0,0,1,2,35,1,1,1,2012
480259,1,1,4,2,16,52,80,998,9,48,0,0,0,4,75,98,1,1,2012
480278,2,1,23,2,1,54,80,998,9,48,0,0,0,0,0,98,1,1,2012
480280,1,1,26,2,17,30,80,45,9,48,0,0,1,1,55,0,1,0,2012
480284,1,1,10,2,21,45,80,998,2,35,98,0,0,4,40,2,1,1,2012
480287,1,1,12,2,2,44,80,998,2,48,0,0,0,4,65,98,1,1,2012
480300,1,1,6,2,16,6,80,998,2,48,1,0,1,2,60,3,1,0,2012
480330,1,1,25,2,12,53,80,998,9,55,0,0,0,3,60,2,1,0,2012
480334,1,1,26,2,18,49,80,998,2,48,0,0,0,2,55,64,1,1,2012
480339,1,1,29,2,8,52,80,998,2,48,0,0,1,1,98,98,1,0,2012
480344,2,1,2,2,7,0,80,998,9,48,0,0,0,2,55,28,1,0,2012
480362,1,1,25,2,18,18,80,998,9,48,0,0,0,2,60,1,1,1,2012
480372,1,1,3,3,0,52,80,998,2,48,0,0,0,2,45,6,1,1,2012
480373,1,1,4,3,15,11,80,998,8,48,0,0,0,2,30,98,1,1,2012
480375,2,1,4,3,17,48,80,998,8,48,0,0,1,4,45,69,1,0,2012
480380,2,1,5,3,17,45,80,998,4,48,0,0,0,4,40,98,1,0,2012
480381,1,1,5,3,14,47,80,998,9,48,0,0,0,1,99,98,1,0,2012
480393,1,1,22,2,17,25,80,998,9,48,0,0,0,2,45,69,1,0,2012
480395,2,1,1,2,16,14,80,998,9,48,0,0,0,2,30,69,1,0,2012
480417,2,1,28,2,6,30,80,998,2,48,0,1,0,2,50,69,1,0,2012
480420,1,1,2,2,22,30,80,998,2,48,0,0,0,4,40,6,1,1,2012
480430,1,2,25,2,16,10,80,998,9,48,0,0,0,2,50,98,1,0,2012
480443,2,1,23,2,20,14,80,998,9,48,0,0,0,2,50,51,1,0,2012
480458,1,1,10,3,13,14,80,998,8,48,0,0,0,2,70,7,1,0,2012
480462,1,1,11,3,19,53,80,998,4,48,0,0,0,2,55,50,1,0,2012
480473,1,1,15,3,7,7,80,998,6,48,0,0,0,2,50,69,1,0,2012
480475,1,1,15,3,3,15,80,998,8,48,0,0,0,2,30,7,1,0,2012
480478,1,1,16,3,12,38,80,998,8,48,0,0,0,2,30,2,1,0,2012
480495,2,1,21,3,23,59,80,998,6,48,0,0,0,4,45,69,1,1,2012
480505,1,1,24,3,21,51,80,998,9,48,0,0,0,2,40,24,1,1,2012
480518,2,1,2,3,17,32,80,76,8,48,1,0,0,2,60,98,1,0,2012
480528,1,1,28,3,3,18,80,0,8,48,1,0,0,4,45,21,1,1,2012
480530,1,1,6,3,5,28,80,998,8,48,0,0,2,3,45,7,1,0,2012
480531,1,1,6,3,17,57,80,998,4,48,0,0,0,2,35,6,1,1,2012
480548,2,1,16,3,15,8,80,998,9,48,0,0,0,2,60,65,1,0,2012
480556,1,1,24,3,19,36,80,998,4,48,0,0,1,2,45,98,1,0,2012
480556,3,1,24,3,19,36,80,998,2,48,0,0,0,2,45,98,0,0,2012
480557,1,2,24,3,22,15,80,998,8,48,0,0,2,2,20,6,1,1,2012
480570,1,1,31,3,12,23,80,998,9,40,0,0,0,2,60,28,1,0,2012
480572,1,1,16,3,7,40,80,998,8,48,1,0,0,2,35,69,1,0,2012
480573,1,1,29,2,2,41,80,998,4,48,0,0,0,2,55,13,1,1,2012
480607,1,1,15,3,14,0,80,998,9,48,0,0,1,2,35,69,1,0,2012
480613,2,1,17,3,22,9,80,998,9,48,0,0,0,2,40,69,1,0,2012
480614,2,1,17,3,20,23,80,998,8,48,0,0,0,2,60,51,1,0,2012
480616,1,1,22,3,17,5,80,998,8,48,0,0,0,2,75,98,1,0,2012
480622,1,2,24,3,16,28,80,0,9,48,0,0,0,2,55,98,1,0,2012
480628,1,1,27,3,20,20,80,998,9,48,0,0,0,1,99,6,1,0,2012
480632,1,2,30,3,0,40,80,998,8,48,0,0,0,2,40,98,1,1,2012
480633,1,2,30,3,15,35,80,998,8,48,0,0,0,2,55,98,1,1,2012
480634,1,2,30,3,15,15,80,998,8,48,0,0,0,2,50,1,1,0,2012
480638,2,1,25,3,14,19,80,998,4,48,0,0,0,4,50,83,1,0,2012
480645,1,1,26,3,17,41,80,998,8,48,0,0,0,2,55,1,1,1,2012
480648,2,1,2,3,16,22,80,998,8,48,0,0,0,4,45,69,1,0,2012
480651,2,1,17,3,16,13,80,998,4,48,0,0,0,4,45,83,1,0,2012
480656,1,1,23,3,22,35,80,998,9,48,2,0,0,4,99,98,1,0,2012
480658,1,1,25,3,23,10,80,998,9,48,0,0,0,2,60,6,1,1,2012
480659,2,1,26,3,18,4,80,998,9,48,0,0,0,2,65,69,1,0,2012
480665,3,2,1,4,13,48,80,998,8,48,0,0,0,2,70,98,1,0,2012
480665,4,1,1,4,13,48,80,998,8,48,0,0,0,2,70,98,0,0,2012
480672,1,1,1,4,1,18,80,998,4,48,1,0,0,2,70,30,1,1,2012
480677,1,1,2,4,20,53,80,998,8,48,0,0,0,4,40,98,1,0,2012
480680,2,1,2,4,15,42,80,63,2,48,0,0,0,4,45,69,1,0,2012
480683,1,2,3,4,3,0,80,998,9,39,0,0,0,2,30,98,2,1,2012
480686,1,1,3,4,7,15,80,998,9,48,0,0,2,3,40,69,1,0,2012
480692,1,1,4,4,22,5,80,998,4,48,0,0,2,6,40,11,1,1,2012
480693,1,1,4,4,5,15,80,998,8,48,0,0,1,4,40,88,1,0,2012
480695,2,1,5,4,23,32,80,998,2,48,0,0,0,3,98,88,1,1,2012
480705,2,1,6,4,21,50,80,998,6,48,0,0,0,1,35,69,1,0,2012
480708,2,2,7,4,16,41,80,998,6,48,0,0,0,2,40,69,1,0,2012
480709,1,1,7,4,12,26,80,998,8,48,1,0,1,2,70,98,1,0,2012
480710,1,1,7,4,14,30,80,998,8,48,0,0,0,2,35,2,1,0,2012
480711,1,1,7,4,8,42,80,998,8,48,0,0,0,2,50,98,1,0,2012
480713,1,2,7,4,20,6,80,998,6,48,1,0,0,2,30,14,1,1,2012
480729,1,1,9,4,23,0,80,998,8,48,0,0,0,2,55,1,1,1,2012
480733,1,1,6,3,15,58,80,998,4,48,0,0,1,2,35,1,1,0,2012
480736,1,1,11,4,17,30,80,998,8,48,0,0,1,4,70,7,1,0,2012
480740,1,1,12,4,21,26,80,998,8,48,0,0,0,2,55,64,1,1,2012
480742,1,1,13,4,22,48,80,998,9,48,0,0,0,4,35,1,1,1,2012
480743,1,1,13,4,1,39,80,998,9,48,0,0,0,2,30,1,1,1,2012
480755,1,2,15,4,13,43,80,998,8,48,1,0,0,2,20,69,1,1,2012
480779,1,1,19,4,22,49,80,998,2,48,0,0,1,2,35,77,1,1,2012
480781,1,1,22,1,15,58,80,998,9,48,0,0,1,3,40,6,1,0,2012
480797,3,1,20,4,21,23,80,998,9,48,0,0,1,2,70,98,0,0,2012
480798,2,1,20,4,15,35,80,998,9,48,0,0,0,2,75,98,1,0,2012
480804,1,1,21,4,16,51,80,998,6,48,0,1,1,2,55,1,1,1,2012
480812,2,1,23,4,0,47,80,998,8,48,0,0,0,6,45,69,1,0,2012
480818,1,1,24,4,6,40,80,998,6,48,0,0,0,4,45,69,1,0,2012
480822,2,1,24,4,6,48,80,998,9,48,1,0,1,4,99,89,1,0,2012
480823,1,1,24,4,8,53,80,998,9,48,0,0,0,0,0,98,1,0,2012
480827,1,1,25,4,22,55,80,998,9,48,1,0,0,2,35,24,1,1,2012
480829,1,1,26,4,6,20,80,998,4,48,0,0,0,2,30,83,1,0,2012
480835,1,1,28,4,0,52,80,998,6,13,98,0,1,4,50,24,1,1,2012
480836,1,1,28,4,5,35,80,998,8,48,0,0,1,2,70,98,1,0,2012
480837,1,2,28,4,1,7,80,998,6,48,0,0,0,2,60,0,2,1,2012
480838,1,1,28,4,2,32,80,998,8,48,1,0,1,2,35,1,1,1,2012
480840,2,1,29,4,3,31,80,998,6,48,0,0,0,2,70,32,1,1,2012
480845,2,1,28,3,6,24,80,998,4,48,0,0,0,2,98,83,1,0,2012
480850,1,1,24,4,13,57,80,998,8,48,0,0,0,4,50,6,1,0,2012
480855,1,1,7,4,1,30,80,998,9,48,0,0,0,2,45,1,1,1,2012
480857,1,1,21,4,16,50,80,998,9,48,1,0,0,2,50,1,1,0,2012
480858,1,1,21,4,0,3,80,998,9,48,0,0,0,2,70,1,1,1,2012
480867,1,1,29,4,15,15,80,998,9,48,0,0,0,2,60,1,1,0,2012
480873,2,1,28,4,2,29,80,998,4,48,1,0,1,6,40,98,1,0,2012
480882,1,1,26,4,13,10,80,998,8,48,0,0,1,3,70,6,1,0,2012
480884,1,1,27,4,17,55,80,998,8,48,0,0,0,2,60,74,1,0,2012
480890,1,1,22,4,14,41,80,998,8,35,0,0,0,2,70,1,1,0,2012
480894,1,1,8,3,12,50,80,998,8,48,0,0,0,4,40,98,1,0,2012
480897,2,1,25,4,21,4,80,998,6,48,0,0,1,4,55,69,1,0,2012
480899,1,1,3,5,20,45,80,998,8,48,1,0,0,3,70,24,1,0,2012
480899,2,1,3,5,20,45,80,998,8,48,1,0,1,3,70,25,0,0,2012
480900,1,1,3,5,10,42,80,998,8,48,0,0,0,2,50,74,1,0,2012
480911,1,1,5,5,21,40,80,998,8,48,0,0,0,2,30,1,1,1,2012
480913,2,1,5,5,22,22,80,998,8,48,0,0,1,4,45,25,1,0,2012
480928,1,1,8,5,17,35,80,998,9,48,2,0,0,2,60,6,1,1,2012
480931,1,1,9,5,21,27,80,998,2,48,0,0,0,2,60,28,1,0,2012
480934,1,1,9,5,14,7,80,998,8,48,1,0,4,4,40,6,1,0,2012
480944,2,1,6,5,17,35,80,998,9,48,0,0,0,3,35,69,1,0,2012
480945,1,1,10,5,5,47,80,39,9,48,0,0,0,3,40,69,1,0,2012
480949,2,1,11,5,14,24,80,998,9,35,98,0,0,2,70,98,1,0,2012
480960,1,1,14,5,21,39,80,998,6,48,0,0,0,2,40,69,1,1,2012
480973,2,1,18,5,15,55,80,998,2,48,0,0,0,5,60,20,1,0,2012
480988,1,1,22,5,8,8,80,998,9,48,0,0,0,2,99,98,1,0,2012
480990,1,1,23,5,21,58,80,998,9,48,0,0,0,2,65,6,1,1,2012
480993,3,1,24,5,0,46,80,0,9,48,0,0,0,1,45,98,1,1,2012
481000,1,1,25,5,22,51,80,998,9,48,1,0,0,1,40,6,1,1,2012
481003,1,1,25,5,18,32,80,998,8,48,1,0,1,2,30,1,1,0,2012
481011,2,2,28,5,17,21,80,998,8,22,0,0,0,3,55,69,2,0,2012
481012,1,1,29,5,21,33,80,998,8,48,1,0,0,2,45,6,1,1,2012
481013,1,1,31,5,18,55,80,998,6,48,1,0,1,4,30,7,1,0,2012
481067,1,1,19,5,12,24,80,998,9,48,1,0,0,2,40,1,1,0,2012
481068,2,1,20,5,0,10,80,998,6,48,0,0,1,2,70,69,1,0,2012
481070,1,1,20,5,18,36,80,998,9,48,0,0,2,2,30,1,1,0,2012
481073,1,1,23,5,20,48,80,64,2,48,0,0,0,1,98,6,1,1,2012
481089,2,1,26,5,9,48,80,998,9,48,0,0,0,2,70,69,1,0,2012
481091,1,1,27,5,23,41,80,998,8,53,0,0,0,2,50,1,1,1,2012
481093,1,1,28,5,14,0,80,998,8,48,0,0,0,3,55,98,1,0,2012
481094,1,1,28,5,23,40,80,998,8,48,1,0,1,2,55,7,1,0,2012
481105,1,1,6,5,2,30,80,998,9,48,0,0,0,3,35,6,1,1,2012
481108,1,1,12,5,20,59,80,998,9,8,0,0,0,2,70,13,1,0,2012
481109,1,2,19,5,15,30,80,998,9,48,1,0,0,2,75,7,1,0,2012
481113,1,1,26,5,19,9,80,998,8,48,0,0,1,2,40,6,1,1,2012
481128,1,1,2,5,3,10,80,998,6,48,0,0,0,2,30,69,1,0,2012
481133,1,2,3,5,19,16,80,998,8,48,0,0,1,2,40,1,1,1,2012
481135,1,1,18,5,23,0,80,998,8,48,0,0,0,2,70,0,1,1,2012
481136,1,1,20,5,17,0,80,998,8,48,0,0,0,2,55,98,1,0,2012
481142,1,1,26,5,14,52,80,998,9,48,0,0,0,2,60,1,1,0,2012
481147,1,1,18,5,18,44,80,998,4,48,0,0,1,4,55,88,1,0,2012
