VEH_NO,NUMOCCS,BODY_TYP,TRAV_SP,DEFORMED,DEATHS,ST_CASE,DR_DRINK,L_STATE,PREV_ACC,PREV_DWI,PREV_SPD,MONTH,DAY,HOUR,MINUTE,Year
1,1,80,998,9,1,480557,1,48.0,0.0,0.0,0.0,3,22,19,15,2009
1,2,80,998,6,2,480558,1,48.0,0.0,0.0,0.0,3,22,19,44,2009
1,1,80,998,2,1,480560,0,48.0,0.0,0.0,1.0,3,22,18,48,2009
1,1,80,998,2,1,480565,1,56.0,1.0,0.0,3.0,3,24,19,18,2009
1,1,80,998,6,1,480569,1,48.0,0.0,0.0,1.0,2,27,2,17,2009
1,1,80,60,6,1,480573,0,48.0,0.0,0.0,0.0,3,27,14,28,2009
1,1,80,998,6,1,480574,0,48.0,2.0,0.0,0.0,3,27,17,37,2009
1,1,80,998,6,1,480584,0,48.0,99.0,99.0,99.0,3,29,18,28,2009
1,1,80,998,2,1,480586,0,48.0,0.0,0.0,1.0,3,29,20,0,2009
1,1,80,998,2,1,480589,0,48.0,0.0,0.0,0.0,3,31,17,57,2009
1,1,80,998,4,1,480595,1,48.0,0.0,0.0,1.0,4,4,2,34,2009
1,2,80,998,6,2,480615,0,48.0,0.0,0.0,0.0,3,29,13,23,2009
2,1,80,998,6,1,480617,0,48.0,0.0,0.0,0.0,3,31,10,0,2009
2,1,80,998,6,1,480623,1,48.0,0.0,0.0,0.0,3,8,3,58,2009
1,1,80,998,2,1,480637,1,48.0,0.0,0.0,0.0,4,2,21,50,2009
4,1,80,998,4,1,480646,0,48.0,0.0,0.0,0.0,4,4,12,44,2009
3,2,80,998,6,2,480655,0,48.0,0.0,0.0,0.0,4,5,1,46,2009
4,1,80,998,6,1,480655,0,48.0,0.0,0.0,1.0,4,5,1,46,2009
5,1,80,998,4,0,480655,0,48.0,0.0,0.0,1.0,4,5,1,46,2009
1,1,80,998,6,1,480660,0,48.0,1.0,0.0,0.0,4,8,12,0,2009
2,1,80,998,6,0,480664,0,48.0,0.0,0.0,0.0,4,9,23,22,2009
3,1,80,998,6,1,480664,1,48.0,0.0,0.0,0.0,4,9,23,22,2009
1,1,80,998,2,1,480666,0,48.0,0.0,0.0,0.0,4,9,19,0,2009
2,1,80,998,6,1,480668,1,48.0,0.0,0.0,0.0,4,10,17,16,2009
2,1,80,998,2,1,480677,0,48.0,0.0,0.0,0.0,4,12,8,5,2009
1,1,80,998,2,1,480683,0,48.0,0.0,0.0,0.0,4,13,12,34,2009
2,1,80,998,4,1,480690,0,48.0,0.0,0.0,0.0,4,15,20,33,2009
1,1,80,998,2,1,480692,1,48.0,0.0,0.0,0.0,4,15,6,53,2009
1,2,80,998,4,1,480697,1,48.0,0.0,0.0,0.0,4,17,6,20,2009
1,1,80,998,2,1,480698,1,48.0,0.0,0.0,1.0,4,18,21,8,2009
2,1,80,998,9,1,480700,0,48.0,0.0,0.0,1.0,4,18,23,13,2009
2,2,80,998,4,1,480701,0,48.0,0.0,0.0,0.0,4,18,17,12,2009
1,1,80,998,2,1,480708,1,48.0,0.0,0.0,0.0,4,19,2,55,2009
1,1,80,80,2,1,480721,0,48.0,0.0,0.0,0.0,4,25,12,30,2009
1,1,80,998,6,1,480725,1,48.0,0.0,0.0,1.0,3,7,2,21,2009
2,1,80,998,6,1,480754,0,48.0,0.0,0.0,0.0,3,31,12,52,2009
2,1,80,998,6,1,480756,0,48.0,0.0,0.0,0.0,3,21,4,25,2009
2,1,80,75,6,1,480764,0,48.0,0.0,0.0,3.0,4,17,18,38,2009
1,1,80,998,4,1,480773,0,48.0,1.0,0.0,0.0,4,22,23,23,2009
1,2,80,998,2,1,480778,0,56.0,0.0,1.0,1.0,4,25,14,20,2009
