VEH_NO,NUMOCCS,BODY_TYP,TRAV_SP,DEFORMED,DEATHS,ST_CASE,DR_DRINK,L_STATE,PREV_ACC,PREV_DWI,PREV_SPD,MONTH,DAY,HOUR,MINUTE,Year
2,1,80,0,2,1,481761,0,22.0,0.0,0.0,1.0,8,28,21,12,2009
1,1,80,80,6,1,481762,0,48.0,0.0,0.0,1.0,8,28,18,42,2009
1,1,80,998,4,1,481765,1,48.0,1.0,0.0,1.0,8,29,20,7,2009
1,1,80,998,9,1,481771,0,48.0,0.0,0.0,0.0,6,14,3,15,2009
1,1,80,998,9,1,481778,1,48.0,0.0,0.0,0.0,8,2,21,0,2009
1,1,80,998,9,1,481780,0,48.0,0.0,0.0,0.0,8,15,7,50,2009
1,1,80,998,2,0,481791,0,48.0,0.0,0.0,0.0,8,2,18,29,2009
2,1,80,998,2,1,481791,0,48.0,0.0,0.0,1.0,8,2,18,29,2009
3,1,80,998,2,0,481791,0,48.0,0.0,0.0,1.0,8,2,18,29,2009
1,1,80,998,2,1,481796,0,48.0,0.0,0.0,0.0,8,9,22,0,2009
2,1,80,998,2,1,481797,0,48.0,0.0,0.0,0.0,8,9,16,0,2009
1,1,80,998,2,1,481811,1,48.0,0.0,0.0,0.0,8,23,2,9,2009
1,1,80,998,2,1,481813,0,48.0,0.0,0.0,0.0,8,26,8,56,2009
1,1,80,998,2,1,481816,1,48.0,1.0,0.0,0.0,8,29,7,56,2009
1,1,80,998,6,1,481842,0,48.0,0.0,0.0,0.0,9,3,20,49,2009
1,1,80,998,4,1,481843,0,48.0,0.0,0.0,0.0,9,3,9,59,2009
1,1,80,998,2,1,481845,1,48.0,0.0,1.0,0.0,9,19,18,0,2009
1,2,80,998,9,1,481852,0,48.0,0.0,0.0,1.0,9,5,17,47,2009
1,1,80,998,6,1,481856,0,48.0,0.0,0.0,0.0,9,5,14,25,2009
1,1,80,998,6,1,481857,0,48.0,0.0,0.0,1.0,9,6,22,27,2009
1,1,80,998,6,1,481859,1,48.0,0.0,0.0,0.0,9,6,21,28,2009
1,1,80,998,2,1,481860,1,48.0,0.0,0.0,1.0,9,6,19,24,2009
2,1,80,998,2,1,481861,0,48.0,0.0,0.0,0.0,9,6,22,45,2009
2,1,80,998,6,1,481866,0,48.0,2.0,0.0,3.0,9,8,13,57,2009
2,1,80,998,2,1,481870,0,48.0,0.0,0.0,0.0,9,8,20,30,2009
1,1,80,998,2,1,481873,0,48.0,0.0,0.0,0.0,9,9,13,20,2009
2,1,80,998,4,1,481888,0,48.0,1.0,0.0,0.0,9,16,19,0,2009
1,1,80,998,9,1,481891,0,48.0,0.0,0.0,0.0,9,17,10,22,2009
1,1,80,998,4,1,481896,0,48.0,0.0,0.0,0.0,9,19,16,25,2009
1,1,80,998,4,1,481904,0,48.0,0.0,0.0,1.0,9,25,1,0,2009
1,1,80,998,4,1,481908,1,48.0,0.0,0.0,0.0,9,27,16,10,2009
2,1,80,998,4,1,481910,0,12.0,0.0,0.0,1.0,9,29,0,24,2009
1,1,80,998,9,1,481912,1,48.0,0.0,0.0,0.0,7,25,20,30,2009
2,1,80,998,9,1,481916,0,48.0,0.0,0.0,0.0,8,20,12,19,2009
1,1,80,80,2,1,481931,0,48.0,0.0,0.0,0.0,9,7,20,50,2009
1,1,80,998,9,1,481938,1,48.0,0.0,0.0,0.0,9,19,17,54,2009
2,1,80,998,2,0,481939,0,48.0,0.0,0.0,0.0,9,19,15,35,2009
3,1,80,998,2,1,481939,0,48.0,0.0,0.0,1.0,9,19,15,35,2009
1,1,80,998,9,1,481943,0,48.0,0.0,0.0,2.0,9,20,21,0,2009
2,1,80,998,9,1,481945,0,48.0,0.0,0.0,0.0,9,21,9,44,2009
2,1,80,998,4,1,481962,0,48.0,0.0,0.0,0.0,9,28,8,13,2009
1,1,80,998,6,1,481982,1,48.0,1.0,0.0,0.0,1,3,17,46,2009
1,2,80,998,9,1,481998,0,48.0,1.0,0.0,1.0,9,17,7,50,2009
1,1,80,998,9,1,482004,0,48.0,0.0,0.0,0.0,9,21,0,15,2009
1,1,80,998,9,1,482013,0,48.0,0.0,0.0,0.0,10,1,7,30,2009
1,1,80,998,9,1,482017,0,48.0,0.0,0.0,0.0,10,1,1,15,2009
1,1,80,998,6,1,482022,1,48.0,1.0,0.0,0.0,10,2,1,15,2009
1,2,80,998,6,1,482035,0,48.0,0.0,0.0,2.0,10,4,3,42,2009
1,1,80,998,2,1,482062,1,48.0,0.0,0.0,0.0,10,12,21,24,2009
1,2,80,998,2,1,482075,1,48.0,0.0,0.0,0.0,7,11,23,0,2009
2,1,80,998,4,1,482077,0,48.0,0.0,0.0,0.0,7,17,14,24,2009
2,1,80,998,2,1,482081,0,48.0,0.0,0.0,2.0,7,31,21,53,2009
2,1,80,998,2,1,482087,0,48.0,0.0,0.0,0.0,8,28,6,7,2009
1,1,80,998,9,1,482092,0,48.0,0.0,0.0,0.0,8,31,8,19,2009
1,1,80,998,9,1,482095,1,48.0,0.0,0.0,0.0,9,4,14,10,2009
1,1,80,998,9,1,482099,1,48.0,0.0,0.0,0.0,9,10,19,30,2009
2,2,80,0,2,1,482110,0,48.0,0.0,0.0,0.0,9,26,1,59,2009
1,1,80,998,2,1,482114,1,48.0,0.0,0.0,1.0,10,3,3,4,2009
1,1,80,998,9,1,482125,0,48.0,0.0,0.0,0.0,10,16,23,16,2009
1,1,80,998,9,1,482128,1,48.0,0.0,0.0,0.0,10,16,0,10,2009
1,1,80,998,9,1,482141,1,48.0,0.0,0.0,0.0,10,19,16,26,2009
1,1,80,998,2,1,482153,0,48.0,0.0,0.0,0.0,10,22,18,10,2009
1,1,80,998,2,1,482159,0,48.0,0.0,0.0,0.0,10,23,1,40,2009
1,1,80,998,2,1,482161,1,48.0,0.0,0.0,0.0,10,24,13,45,2009
1,1,80,998,9,1,482173,0,48.0,0.0,0.0,1.0,10,28,5,55,2009
1,1,80,67,9,1,482178,1,48.0,0.0,0.0,0.0,10,31,8,44,2009
1,2,80,998,6,1,482180,1,42.0,1.0,0.0,0.0,9,25,1,40,2009
1,1,80,100,9,1,482182,0,48.0,0.0,0.0,0.0,10,31,2,16,2009
2,1,80,998,9,1,482183,0,48.0,0.0,0.0,0.0,9,26,15,1,2009
2,1,80,998,9,1,482188,0,48.0,0.0,0.0,0.0,10,3,6,56,2009
1,1,80,998,2,1,482198,0,48.0,0.0,0.0,0.0,10,31,19,56,2009
1,1,80,998,2,1,482200,0,48.0,0.0,0.0,1.0,3,7,13,23,2009
1,1,80,998,9,1,482203,0,48.0,0.0,0.0,1.0,4,13,20,50,2009
1,1,80,998,9,1,482205,1,48.0,0.0,0.0,0.0,5,24,19,37,2009
1,1,80,998,9,1,482207,1,48.0,0.0,0.0,1.0,6,6,20,26,2009
2,1,80,998,2,1,482220,1,48.0,0.0,0.0,0.0,9,30,18,54,2009
2,1,80,998,2,1,482230,0,5.0,0.0,0.0,0.0,10,14,15,11,2009
1,2,80,998,2,1,482231,1,48.0,0.0,0.0,0.0,10,15,0,31,2009
1,1,80,998,9,1,482234,0,48.0,0.0,0.0,0.0,10,18,15,10,2009
1,1,80,998,6,1,482237,1,48.0,0.0,0.0,2.0,10,21,0,36,2009
2,2,80,998,9,0,482237,1,48.0,0.0,0.0,1.0,10,21,0,36,2009
2,1,80,998,6,1,482249,0,48.0,0.0,0.0,0.0,10,27,15,54,2009
2,1,80,998,9,1,482251,0,48.0,0.0,0.0,0.0,10,27,9,47,2009
1,1,80,998,9,1,482254,0,48.0,0.0,0.0,1.0,10,29,15,25,2009
1,1,80,998,4,1,482267,1,48.0,0.0,0.0,0.0,10,18,16,55,2009
2,1,80,998,2,0,482267,0,48.0,0.0,0.0,0.0,10,18,16,55,2009
3,1,80,998,2,0,482267,0,48.0,0.0,0.0,1.0,10,18,16,55,2009
1,1,80,998,9,1,482276,0,48.0,0.0,0.0,0.0,7,3,20,15,2009
1,1,80,998,9,1,482295,1,48.0,0.0,0.0,0.0,11,1,4,45,2009
2,1,80,998,4,1,482307,0,48.0,0.0,0.0,0.0,11,4,15,1,2009
1,1,80,998,2,1,482312,1,48.0,0.0,0.0,0.0,11,4,0,30,2009
1,1,80,998,9,1,482314,0,48.0,1.0,1.0,1.0,11,4,17,10,2009
1,1,80,998,2,1,482317,0,48.0,0.0,0.0,0.0,11,5,21,11,2009
1,1,80,998,9,1,482326,0,48.0,0.0,0.0,0.0,11,6,19,0,2009
1,1,80,998,4,1,482334,1,48.0,0.0,0.0,1.0,11,8,2,15,2009
1,1,80,998,2,1,482339,0,48.0,0.0,0.0,0.0,11,8,14,35,2009
1,1,80,998,9,1,482349,1,48.0,0.0,0.0,0.0,11,11,21,50,2009
1,1,80,998,9,1,482358,1,48.0,0.0,0.0,0.0,11,13,14,11,2009
1,1,80,998,2,1,482361,0,48.0,0.0,0.0,0.0,11,13,9,26,2009
1,1,80,100,9,1,482368,0,4.0,0.0,0.0,2.0,11,14,22,30,2009
1,1,80,998,2,1,482395,1,48.0,0.0,0.0,0.0,11,19,22,52,2009
1,1,80,998,6,1,482396,0,48.0,0.0,0.0,1.0,11,20,16,29,2009
1,1,80,998,9,1,482402,0,48.0,0.0,0.0,0.0,11,21,9,38,2009
1,1,80,998,2,1,482406,1,48.0,0.0,0.0,1.0,11,22,19,48,2009
2,1,80,998,2,0,482406,1,48.0,0.0,0.0,0.0,11,22,19,48,2009
1,1,80,998,9,1,482418,1,48.0,0.0,0.0,0.0,11,26,15,0,2009
1,1,80,998,2,1,482431,0,48.0,0.0,0.0,0.0,11,6,14,0,2009
1,1,80,998,9,1,482442,1,48.0,0.0,0.0,1.0,11,26,0,10,2009
1,1,80,998,4,1,482457,0,48.0,0.0,0.0,0.0,7,21,2,24,2009
1,1,80,998,9,1,482460,0,48.0,0.0,0.0,0.0,9,17,22,55,2009
1,1,80,998,4,1,482462,0,48.0,0.0,0.0,0.0,9,25,12,57,2009
1,1,80,998,9,1,482464,0,48.0,0.0,0.0,0.0,10,17,13,47,2009
1,1,80,998,4,1,482466,0,48.0,0.0,0.0,1.0,10,27,0,0,2009
2,1,80,998,9,1,482479,1,48.0,0.0,0.0,0.0,11,22,17,50,2009
1,1,80,998,9,1,482480,1,48.0,0.0,0.0,0.0,11,22,1,40,2009
1,1,80,998,2,1,482491,0,48.0,0.0,0.0,0.0,11,28,15,10,2009
2,1,80,998,9,1,482498,1,48.0,0.0,0.0,0.0,11,14,15,35,2009
1,2,80,998,9,1,482512,1,48.0,0.0,0.0,0.0,12,3,15,46,2009
1,1,80,998,9,1,482556,0,48.0,1.0,0.0,1.0,12,12,13,3,2009
1,1,80,998,9,1,482584,0,48.0,0.0,0.0,0.0,12,20,3,30,2009
1,1,80,998,9,1,482635,0,48.0,0.0,0.0,0.0,12,17,17,39,2009
1,1,80,66,6,1,482672,0,48.0,0.0,0.0,0.0,10,16,20,23,2009
1,1,80,998,4,1,482675,0,48.0,0.0,0.0,0.0,11,3,13,15,2009
2,1,80,998,9,1,482691,0,48.0,0.0,0.0,1.0,12,18,22,35,2009
1,1,80,998,2,1,482693,1,48.0,0.0,0.0,1.0,12,18,22,43,2009
1,1,80,998,6,1,482696,0,48.0,0.0,0.0,0.0,12,22,11,58,2009
1,1,80,998,2,1,482719,0,48.0,0.0,0.0,0.0,9,5,0,45,2009
1,1,80,998,4,1,482747,0,48.0,0.0,0.0,0.0,12,27,12,46,2009
1,1,80,998,9,1,482781,0,48.0,0.0,0.0,0.0,9,12,2,45,2009
1,1,80,998,2,1,482785,1,48.0,0.0,0.0,0.0,3,20,20,1,2009
1,1,80,998,9,1,482790,1,48.0,0.0,0.0,0.0,2,28,18,41,2009
1,1,80,998,9,1,482794,0,48.0,0.0,0.0,0.0,7,2,4,26,2009
2,1,80,998,9,1,482796,0,48.0,0.0,0.0,0.0,8,6,7,37,2009
1,1,80,998,0,0,482822,0,48.0,0.0,0.0,0.0,5,12,4,50,2009
2,1,80,998,9,1,482824,0,48.0,0.0,0.0,2.0,3,7,16,0,2009
1,1,80,998,9,1,482841,0,48.0,0.0,0.0,0.0,7,3,10,55,2009
1,2,80,998,9,1,482847,1,48.0,0.0,0.0,0.0,11,8,0,38,2009
