ST_CASE,TRAV_SP,PREV_ACC,PREV_DWI,PREV_SPD,Year
481387,998,0,0,0,2013
481388,998,0,0,0,2013
481389,998,0,0,0,2013
481400,998,0,0,0,2013
481405,100,0,0,0,2013
481414,998,0,0,0,2013
481422,998,0,0,0,2013
481423,998,0,0,0,2013
481423,998,0,0,0,2013
481431,998,0,0,0,2013
481438,998,0,0,0,2013
481441,998,0,0,0,2013
481446,998,0,0,0,2013
481449,998,0,0,0,2013
481452,998,1,0,0,2013
481453,998,0,0,0,2013
481454,998,2,0,0,2013
481458,998,0,0,0,2013
481461,998,1,0,0,2013
481462,998,0,0,0,2013
481468,998,0,0,1,2013
481469,998,0,0,0,2013
481471,998,0,0,1,2013
481476,998,0,0,1,2013
481477,998,1,0,0,2013
481493,998,0,0,0,2013
481505,998,0,1,1,2013
481509,998,2,0,1,2013
481514,998,0,0,0,2013
481517,998,2,0,0,2013
481518,998,0,0,1,2013
481520,998,0,0,0,2013
481533,998,1,0,2,2013
481540,998,0,0,0,2013
481544,998,0,0,0,2013
481547,998,0,0,0,2013
481556,998,0,0,0,2013
481564,998,0,0,0,2013
481569,60,0,0,0,2013
481574,998,0,0,0,2013
481578,998,0,0,5,2013
481581,998,0,0,2,2013
481582,998,1,0,0,2013
481583,998,0,0,0,2013
481587,998,1,0,0,2013
481604,998,1,0,2,2013
481612,998,0,0,1,2013
481619,998,0,0,1,2013
481628,998,0,0,0,2013
481633,998,0,0,0,2013
481651,998,0,0,0,2013
481653,998,0,0,0,2013
481656,998,0,0,0,2013
481660,998,0,0,0,2013
481676,998,0,0,0,2013
481678,998,1,0,0,2013
481680,998,0,0,0,2013
481682,998,0,0,0,2013
481686,998,0,0,0,2013
481689,998,0,0,3,2013
481699,998,1,0,1,2013
481706,998,0,0,0,2013
481707,998,1,0,2,2013
481714,998,0,0,0,2013
481715,998,0,0,1,2013
481720,998,0,0,1,2013
481721,998,0,0,0,2013
481724,998,0,0,1,2013
481729,998,1,0,1,2013
481743,998,0,0,0,2013
481749,998,0,0,0,2013
481754,998,1,0,0,2013
481763,998,0,0,0,2013
481766,998,0,0,0,2013
481770,998,0,0,0,2013
481770,998,0,0,0,2013
481775,998,0,0,0,2013
481789,998,0,0,0,2013
481790,998,0,1,0,2013
481798,998,0,0,0,2013
481808,998,0,0,0,2013
481813,998,0,0,0,2013
481820,0,1,0,0,2013
481828,998,0,0,2,2013
481829,998,0,0,0,2013
481843,998,0,0,1,2013
481851,998,0,0,6,2013
481858,998,0,0,1,2013
481859,998,0,0,0,2013
481867,998,0,0,1,2013
481873,998,0,0,1,2013
481876,998,1,0,0,2013
481877,998,0,0,0,2013
481891,998,0,0,0,2013
481905,998,0,0,0,2013
481908,998,0,0,0,2013
481912,998,0,0,1,2013
481919,998,1,0,0,2013
481922,998,0,0,2,2013
481930,998,1,0,0,2013
481933,998,1,0,0,2013
481939,998,0,0,0,2013
481945,998,0,0,0,2013
481948,998,0,0,0,2013
481951,998,1,0,0,2013
481965,998,0,0,0,2013
481968,998,0,0,1,2013
481970,998,0,0,1,2013
481972,998,0,0,0,2013
481975,998,0,0,0,2013
481979,998,0,0,0,2013
481990,998,0,0,0,2013
481992,998,0,0,0,2013
481996,998,0,0,0,2013
481998,998,0,0,1,2013
482009,998,0,0,1,2013
482020,998,1,0,1,2013
482027,998,0,0,0,2013
482032,998,0,0,0,2013
482035,998,1,0,0,2013
482040,998,0,0,0,2013
482042,998,0,0,0,2013
482045,998,2,0,0,2013
482057,998,0,0,1,2013
482063,998,0,0,0,2013
482063,998,0,0,0,2013
482064,998,0,0,0,2013
482084,998,0,0,0,2013
482085,998,0,0,1,2013
482089,998,0,0,0,2013
482092,998,0,0,0,2013
482101,998,0,0,0,2013
482106,998,0,0,0,2013
482113,998,0,0,3,2013
482129,998,0,0,0,2013
482139,998,0,0,0,2013
482147,998,0,0,1,2013
482149,998,0,0,4,2013
482150,998,0,0,0,2013
482179,998,0,0,1,2013
482187,998,1,0,0,2013
482188,998,0,0,0,2013
482188,998,0,1,1,2013
482191,998,0,0,1,2013
482197,998,0,0,0,2013
482198,998,0,0,0,2013
482199,998,0,0,0,2013
482203,998,0,0,0,2013
482209,998,0,0,0,2013
482215,998,0,0,0,2013
482216,998,0,0,0,2013
482222,998,0,0,0,2013
482235,998,0,0,2,2013
482237,998,2,0,0,2013
482238,998,1,0,0,2013
