VEH_NO,NUMOCCS,BODY_TYP,TRAV_SP,DEFORMED,DEATHS,ST_CASE,DR_DRINK,L_STATE,PREV_ACC,PREV_DWI,PREV_SPD,MONTH,Year
1,1,80,98,4,1,480826,0,48.0,0.0,0.0,1.0,4,2003
1,1,80,98,2,1,480828,1,48.0,1.0,0.0,0.0,4,2003
1,1,80,98,4,1,480838,1,48.0,0.0,1.0,1.0,4,2003
2,1,80,98,4,1,480862,0,48.0,0.0,0.0,0.0,4,2003
1,2,80,98,4,2,480872,0,48.0,2.0,0.0,0.0,4,2003
1,1,80,98,4,1,480874,0,48.0,1.0,0.0,3.0,4,2003
1,1,80,98,9,1,480888,1,48.0,2.0,0.0,0.0,5,2003
1,1,80,98,2,1,480921,1,48.0,0.0,0.0,0.0,5,2003
1,1,80,98,9,1,480925,0,48.0,0.0,0.0,0.0,5,2003
1,1,80,98,9,1,480933,0,48.0,0.0,0.0,0.0,5,2003
2,1,80,98,4,1,480942,0,22.0,0.0,0.0,0.0,5,2003
1,1,80,98,9,1,480974,1,48.0,0.0,0.0,0.0,5,2003
1,1,80,98,2,1,480983,1,48.0,0.0,1.0,0.0,5,2003
1,1,80,98,9,1,480989,1,48.0,0.0,0.0,0.0,5,2003
1,2,80,98,9,1,480996,1,48.0,0.0,0.0,1.0,5,2003
2,1,80,98,9,1,481002,0,48.0,1.0,0.0,2.0,5,2003
1,1,80,97,6,1,481006,0,48.0,1.0,0.0,0.0,5,2003
1,1,80,98,2,1,481012,0,48.0,0.0,0.0,0.0,5,2003
2,1,80,98,4,0,481020,0,48.0,0.0,0.0,0.0,5,2003
3,1,80,98,4,0,481020,0,8.0,0.0,0.0,0.0,5,2003
4,2,80,98,6,1,481020,0,48.0,1.0,0.0,1.0,5,2003
1,1,80,98,2,1,481028,1,48.0,0.0,0.0,0.0,5,2003
1,1,80,98,2,1,481055,1,48.0,0.0,0.0,2.0,5,2003
1,1,80,48,9,1,481056,0,48.0,0.0,0.0,0.0,5,2003
2,1,80,98,6,1,481073,0,48.0,0.0,0.0,0.0,5,2003
1,1,80,98,9,1,481081,1,48.0,0.0,0.0,0.0,5,2003
1,1,80,98,6,1,481101,0,48.0,1.0,0.0,0.0,4,2003
2,1,80,98,9,1,481102,0,48.0,0.0,0.0,0.0,4,2003
3,2,80,98,9,0,481102,0,48.0,0.0,0.0,0.0,4,2003
1,1,80,98,9,1,481127,0,48.0,0.0,0.0,0.0,5,2003
2,1,80,98,4,1,481132,0,48.0,0.0,0.0,1.0,5,2003
1,2,80,98,4,2,481141,0,48.0,0.0,0.0,0.0,5,2003
1,2,80,98,9,1,481156,0,48.0,1.0,0.0,0.0,5,2003
1,1,80,98,9,1,481171,0,12.0,0.0,0.0,2.0,6,2003
1,1,80,98,6,1,481181,0,48.0,0.0,0.0,0.0,6,2003
1,1,80,98,6,1,481185,1,48.0,0.0,0.0,0.0,6,2003
