ST_CASE,VEH_NO,NUMOCCS,DAY,MONTH,HOUR,MINUTE,BODY_TYP,TRAV_SP,DEFORMED,L_STATE,PREV_ACC,PREV_DWI,PREV_SPD,VNUM_LAN,VSPD_LIM,ACC_TYPE,DEATHS,DR_DRINK,Year
480013,2,1,2,1,7,42,80,998,4,48,1,0,0,3,40,98,1,0,2015
480055,2,1,11,1,17,37,80,998,8,48,0,0,1,4,98,98,1,1,2015
480065,2,1,13,1,21,31,80,998,8,5,0,0,0,3,35,98,1,0,2015
480075,1,1,18,1,7,20,80,998,8,48,0,0,0,2,55,1,1,1,2015
480128,1,1,19,1,17,37,80,998,6,48,0,0,1,2,55,50,1,1,2015
480132,1,1,20,1,22,57,80,998,8,6,0,0,0,2,30,6,1,1,2015
480155,1,1,25,1,15,50,80,998,8,48,1,0,0,3,50,69,1,0,2015
480160,1,1,26,1,20,57,80,998,6,48,0,0,0,9,50,6,1,0,2015
480176,2,1,15,1,6,19,80,998,8,48,0,0,0,2,55,98,1,0,2015
480178,1,1,17,1,20,32,80,998,6,48,0,0,1,4,35,1,1,0,2015
480180,1,1,18,1,9,57,80,998,6,48,0,0,0,2,60,1,1,0,2015
480181,1,1,18,1,15,15,80,998,2,48,0,0,0,4,45,0,1,0,2015
480183,1,1,19,1,13,58,80,998,8,48,0,0,0,2,70,1,1,0,2015
480185,1,1,21,1,14,40,88,998,8,48,0,0,1,2,45,86,1,0,2015
480202,1,1,25,1,20,11,80,998,8,48,0,0,0,2,50,1,1,1,2015
480211,1,1,29,1,17,9,80,998,8,48,1,0,0,2,65,1,1,1,2015
480212,1,2,29,1,3,3,80,998,8,48,0,0,0,5,45,1,1,1,2015
480229,1,1,1,2,5,12,80,998,8,48,0,0,0,2,45,98,1,1,2015
480259,1,1,8,2,18,50,80,998,8,48,1,0,2,2,40,69,1,0,2015
480277,2,1,13,2,6,33,80,998,8,48,0,0,0,5,55,69,1,0,2015
480296,1,1,8,2,16,30,80,998,6,48,2,0,0,2,60,7,1,0,2015
480297,2,1,8,2,22,18,80,998,8,48,0,0,0,7,45,69,1,0,2015
480298,1,1,8,2,17,40,80,998,8,48,0,0,0,2,65,1,1,0,2015
480299,1,1,8,2,22,25,80,998,8,48,0,0,0,3,35,88,1,1,2015
480305,1,1,10,2,12,13,80,998,8,48,2,0,2,3,65,69,1,0,2015
480317,2,1,14,2,16,53,80,998,8,48,0,0,0,2,65,88,1,0,2015
480317,3,1,14,2,16,53,80,998,8,48,0,0,0,2,65,98,0,0,2015
480326,1,1,15,2,19,54,80,998,8,48,1,0,1,4,45,20,1,1,2015
480339,1,1,19,2,15,11,80,998,8,17,0,0,0,2,60,8,1,0,2015
480343,1,1,20,2,18,37,80,998,8,48,0,0,0,2,35,13,1,0,2015
480402,2,2,21,2,18,58,80,998,8,95,99,99,99,2,55,66,1,0,2015
480424,1,1,1,3,21,50,80,998,8,48,0,0,0,2,75,1,1,0,2015
480431,1,1,2,3,12,34,80,998,8,48,0,0,1,5,45,83,1,0,2015
480447,1,1,6,3,4,15,80,998,8,48,0,0,0,2,35,1,1,0,2015
480507,1,1,7,3,12,6,80,998,8,48,0,0,0,2,60,98,1,0,2015
480522,1,1,13,3,12,7,80,998,4,48,0,0,0,3,50,6,1,0,2015
480524,1,1,14,3,21,55,80,998,8,48,0,0,1,2,75,11,1,0,2015
480525,2,1,14,3,12,52,80,998,8,48,0,0,3,5,55,69,1,0,2015
480526,1,1,14,3,16,25,80,998,8,48,2,0,3,4,35,98,1,0,2015
480527,2,1,14,3,20,41,80,998,6,48,0,0,0,2,75,52,1,1,2015
480532,1,1,15,3,2,57,80,998,8,48,0,2,4,2,45,1,1,1,2015
480533,1,1,15,3,18,44,80,998,8,48,0,0,0,5,55,69,1,0,2015
480548,2,1,17,3,22,57,80,998,6,48,0,0,0,3,55,25,1,0,2015
480557,1,1,19,3,0,44,80,998,4,48,0,0,2,2,98,2,1,0,2015
480578,2,1,22,3,19,50,80,60,8,48,0,0,1,5,45,69,1,0,2015
480585,2,1,23,3,17,33,80,998,8,48,0,0,1,3,70,83,1,0,2015
480589,1,1,24,3,11,57,80,998,8,48,0,0,0,2,65,24,1,1,2015
480596,1,2,27,3,20,30,80,998,8,48,0,0,0,1,55,79,1,1,2015
480601,1,1,29,3,15,30,80,998,6,48,0,0,0,2,55,50,1,0,2015
480602,1,1,29,3,1,17,80,998,6,48,1,0,1,2,55,24,1,1,2015
480606,2,1,30,3,6,50,80,998,6,48,0,0,0,5,55,69,1,0,2015
480611,1,2,15,2,18,8,80,998,6,48,0,0,0,2,45,6,2,1,2015
480621,2,1,18,3,13,54,80,998,6,48,1,0,0,3,40,88,1,0,2015
480629,1,1,23,3,15,39,80,998,8,48,2,2,0,4,45,69,1,0,2015
