VEH_NO,NUMOCCS,BODY_TYP,TRAV_SP,DEFORMED,DEATHS,ST_CASE,DR_DRINK,L_STATE,PREV_ACC,PREV_DWI,PREV_SPD,MONTH,Year
1,1,80,99,9,1,480054,1,48.0,0.0,0.0,0.0,1,1999
1,1,80,99,2,1,480068,1,48.0,1.0,0.0,0.0,1,1999
2,1,80,99,9,1,480089,0,48.0,0.0,0.0,0.0,1,1999
1,1,80,99,9,1,480094,0,48.0,1.0,0.0,1.0,1,1999
1,1,80,99,9,1,480153,0,12.0,0.0,0.0,0.0,2,1999
1,1,80,99,9,1,480170,1,48.0,1.0,0.0,0.0,1,1999
2,1,80,99,6,1,480184,0,48.0,0.0,0.0,0.0,1,1999
2,1,80,99,4,1,480223,0,48.0,0.0,0.0,0.0,2,1999
2,2,80,99,9,1,480224,0,48.0,0.0,0.0,0.0,2,1999
2,1,80,99,6,1,480233,1,48.0,0.0,0.0,1.0,2,1999
2,1,80,99,9,1,480245,0,48.0,0.0,0.0,1.0,2,1999
1,1,80,99,6,1,480248,1,48.0,1.0,0.0,1.0,2,1999
1,1,80,99,9,1,480252,1,48.0,0.0,1.0,0.0,2,1999
1,1,80,99,9,1,480271,1,48.0,0.0,0.0,2.0,2,1999
1,2,80,99,6,2,480318,1,48.0,0.0,0.0,0.0,2,1999
2,1,80,99,6,1,480324,1,48.0,1.0,0.0,0.0,2,1999
1,1,80,99,9,1,480339,0,48.0,1.0,0.0,0.0,2,1999
1,1,80,99,9,1,480348,1,48.0,0.0,0.0,0.0,3,1999
2,1,80,99,2,1,480361,0,48.0,1.0,0.0,0.0,2,1999
2,1,80,99,2,1,480374,0,48.0,0.0,0.0,0.0,2,1999
1,1,80,99,9,1,480392,0,48.0,0.0,0.0,0.0,2,1999
1,1,80,99,4,1,480423,0,48.0,0.0,0.0,0.0,3,1999
2,1,80,99,9,1,480458,0,48.0,0.0,0.0,0.0,3,1999
1,1,80,99,2,1,480465,0,48.0,1.0,0.0,1.0,3,1999
2,2,80,99,4,1,480530,0,48.0,0.0,0.0,0.0,3,1999
1,1,88,99,9,1,480535,0,48.0,0.0,0.0,0.0,2,1999
1,1,80,99,9,1,480550,0,48.0,3.0,0.0,1.0,3,1999
1,1,80,99,9,1,480573,1,48.0,0.0,0.0,1.0,1,1999
1,1,80,99,2,1,480589,0,48.0,0.0,0.0,0.0,2,1999
1,1,80,99,9,1,480625,0,48.0,0.0,0.0,0.0,3,1999
1,1,88,99,2,1,480626,1,48.0,0.0,0.0,0.0,3,1999
2,2,80,99,9,1,480646,0,48.0,0.0,0.0,0.0,3,1999
2,1,80,99,9,1,480667,0,48.0,0.0,0.0,0.0,4,1999
1,1,80,99,9,0,480671,0,48.0,0.0,0.0,2.0,4,1999
2,1,80,99,9,1,480671,0,48.0,0.0,0.0,0.0,4,1999
1,1,80,99,9,1,480693,0,48.0,1.0,0.0,3.0,4,1999
1,1,80,99,4,1,480698,0,48.0,1.0,0.0,1.0,4,1999
1,1,80,99,4,1,480722,1,48.0,1.0,0.0,0.0,4,1999
2,1,80,99,9,1,480734,1,48.0,0.0,0.0,0.0,4,1999
1,1,80,99,9,1,480754,1,48.0,0.0,0.0,0.0,4,1999
1,1,80,99,4,1,480774,1,48.0,0.0,0.0,0.0,4,1999
2,1,80,99,4,1,480781,0,4.0,0.0,0.0,1.0,4,1999
1,1,80,99,9,1,480790,0,48.0,0.0,0.0,1.0,4,1999
1,1,80,99,9,1,480791,1,48.0,0.0,0.0,0.0,4,1999
1,1,80,99,4,1,480803,1,48.0,0.0,0.0,0.0,4,1999
1,1,80,99,4,1,480847,0,48.0,1.0,0.0,4.0,4,1999
2,1,80,99,6,1,480879,1,48.0,0.0,0.0,0.0,2,1999
1,1,80,99,2,1,480886,1,48.0,1.0,0.0,0.0,3,1999
1,1,80,99,4,1,480888,1,48.0,0.0,0.0,1.0,3,1999
2,1,80,99,9,1,480890,0,48.0,1.0,0.0,0.0,3,1999
1,1,80,99,9,1,480914,1,48.0,0.0,0.0,0.0,4,1999
1,1,80,99,4,1,480949,1,48.0,0.0,0.0,1.0,5,1999
2,1,80,99,2,1,480954,0,48.0,0.0,0.0,0.0,5,1999
1,1,80,99,6,1,480960,0,48.0,2.0,0.0,0.0,5,1999
1,1,80,99,4,1,480962,0,48.0,0.0,1.0,2.0,5,1999
1,1,80,99,9,1,480972,1,48.0,0.0,0.0,0.0,5,1999
2,1,80,99,9,1,480980,0,48.0,0.0,0.0,0.0,5,1999
