ST_CASE,TRAV_SP,PREV_ACC,PREV_DWI,PREV_SPD,Year
480015,998,1,0,0,2017
480018,998,0,0,0,2017
480030,998,0,0,2,2017
480046,998,2,0,0,2017
480051,998,0,0,0,2017
480061,998,0,0,0,2017
480062,998,0,0,3,2017
480067,998,1,0,0,2017
480079,998,0,0,0,2017
480080,998,0,0,0,2017
480082,998,0,0,0,2017
480100,998,0,0,0,2017
480112,998,0,0,0,2017
480137,998,0,0,0,2017
480138,998,0,0,0,2017
480181,998,1,0,0,2017
480184,998,0,0,0,2017
480194,998,0,0,1,2017
480198,998,0,0,2,2017
480200,998,0,0,0,2017
480202,998,0,0,1,2017
480235,998,0,3,0,2017
480245,998,0,0,0,2017
480255,998,0,0,2,2017
480257,998,0,0,1,2017
480277,998,1,0,0,2017
480282,998,0,0,0,2017
480286,998,0,0,0,2017
480293,998,0,0,1,2017
480302,998,0,0,0,2017
480306,998,0,0,0,2017
480312,998,0,0,0,2017
480316,998,0,0,1,2017
480323,998,1,1,0,2017
480327,998,0,0,0,2017
480341,105,0,0,0,2017
480346,998,0,0,3,2017
480350,998,0,0,1,2017
480361,998,0,0,0,2017
480367,998,0,0,0,2017
480369,998,99,99,99,2017
480370,998,0,0,0,2017
480374,998,0,0,1,2017
480380,998,0,0,0,2017
480383,998,0,0,0,2017
480394,998,0,0,0,2017
480412,998,0,0,0,2017
480414,998,0,0,1,2017
480418,998,0,0,0,2017
480422,998,0,0,0,2017
480434,998,0,0,1,2017
480442,998,0,0,0,2017
480456,998,0,0,0,2017
480476,998,0,1,0,2017
480477,998,0,0,0,2017
480495,998,1,0,2,2017
480505,998,0,0,0,2017
480513,998,0,0,0,2017
480523,998,0,0,1,2017
480534,998,0,0,0,2017
480535,998,0,0,0,2017
480537,998,0,0,1,2017
480545,998,0,0,0,2017
480548,998,0,0,0,2017
480548,998,0,0,0,2017
480548,998,0,0,0,2017
480560,998,0,0,0,2017
480588,998,0,0,1,2017
480597,998,0,0,0,2017
480603,998,0,0,0,2017
480612,998,0,0,0,2017
480614,998,0,0,0,2017
480618,998,0,0,0,2017
480621,998,0,0,1,2017
480623,65,0,0,0,2017
480625,998,0,0,1,2017
480628,998,0,0,0,2017
480632,998,0,0,0,2017
480635,998,0,0,0,2017
480643,998,0,0,0,2017
480657,998,0,0,0,2017
480667,998,0,0,2,2017
480677,998,0,0,0,2017
480689,998,0,0,0,2017
480698,998,0,0,0,2017
480699,998,0,0,0,2017
480701,998,0,0,0,2017
480703,998,0,0,0,2017
480708,998,0,0,0,2017
480711,998,0,0,0,2017
480715,998,0,0,5,2017
480716,998,0,0,1,2017
480726,998,0,0,0,2017
480727,998,1,0,1,2017
480733,998,0,0,0,2017
480736,998,0,0,2,2017
480737,998,1,0,0,2017
480738,998,0,0,1,2017
480738,998,0,0,0,2017
480742,998,0,0,0,2017
480745,998,0,0,0,2017
480746,998,0,0,0,2017
480747,998,0,0,1,2017
480749,998,0,0,2,2017
480773,998,0,0,0,2017
480775,998,0,0,1,2017
480794,998,0,0,1,2017
480800,998,0,0,0,2017
480804,998,0,0,0,2017
480811,998,0,0,0,2017
480812,998,0,0,0,2017
480812,998,0,0,0,2017
480814,998,1,0,1,2017
480824,100,0,0,2,2017
480826,998,0,0,0,2017
480827,998,0,1,0,2017
480834,998,0,0,1,2017
480835,998,0,0,0,2017
480854,998,1,0,3,2017
480856,998,0,0,1,2017
480862,998,0,0,0,2017
480873,998,0,0,1,2017
480886,998,1,0,6,2017
480890,998,0,0,0,2017
480892,998,0,0,0,2017
480905,998,0,0,0,2017
480915,998,1,0,1,2017
480917,998,0,0,0,2017
480918,998,0,0,0,2017
480925,998,0,0,1,2017
480949,998,0,0,0,2017
480963,998,0,0,3,2017
480967,998,0,0,0,2017
480969,998,0,0,2,2017
480981,998,0,0,0,2017
480985,998,98,0,0,2017
480994,998,0,0,0,2017
481003,998,0,0,0,2017
481004,998,0,0,0,2017
481005,998,0,0,1,2017
481006,998,0,0,0,2017
481009,998,0,0,0,2017
481014,998,0,0,0,2017
481017,998,0,0,0,2017
481017,998,0,0,0,2017
481020,998,0,0,4,2017
481025,998,0,0,1,2017
481026,998,0,0,0,2017
481031,998,1,0,0,2017
481035,998,0,0,0,2017
481037,998,0,0,0,2017
481038,998,0,0,1,2017
481045,998,0,0,0,2017
481052,998,0,0,0,2017
481054,998,0,0,0,2017
481055,56,1,0,2,2017
481062,998,1,0,0,2017
481079,998,0,0,0,2017
481084,998,0,0,0,2017
481089,998,0,0,0,2017
481117,998,0,1,0,2017
481118,998,0,0,0,2017
