VEH_NO,NUMOCCS,BODY_TYP,TRAV_SP,DEFORMED,DEATHS,ST_CASE,DR_DRINK,L_STATE,PREV_ACC,PREV_DWI,PREV_SPD,MONTH,Year
1,1,80,98,9,1,480019,0,48.0,0.0,0.0,1.0,1,2007
1,1,80,98,9,1,480028,0,48.0,0.0,0.0,0.0,1,2007
1,1,80,98,4,1,480029,1,48.0,0.0,0.0,0.0,1,2007
2,1,80,98,2,1,480033,0,48.0,0.0,0.0,0.0,1,2007
2,1,80,98,4,1,480038,0,48.0,0.0,0.0,0.0,1,2007
1,1,80,98,2,1,480064,0,27.0,0.0,0.0,0.0,1,2007
1,1,80,98,2,1,480066,0,48.0,0.0,0.0,1.0,1,2007
2,1,80,87,2,1,480071,0,48.0,0.0,0.0,0.0,1,2007
1,1,80,97,9,1,480077,0,48.0,0.0,0.0,3.0,1,2007
1,1,80,98,9,1,480118,0,48.0,0.0,0.0,0.0,1,2007
2,1,80,98,9,1,480145,0,48.0,0.0,0.0,0.0,1,2007
1,1,80,98,2,1,480151,0,48.0,0.0,0.0,0.0,1,2007
1,1,80,98,9,1,480184,1,48.0,0.0,0.0,2.0,2,2007
2,1,80,98,4,1,480192,0,48.0,0.0,0.0,1.0,2,2007
1,1,80,98,4,1,480195,1,48.0,0.0,0.0,1.0,2,2007
2,1,80,98,9,0,480195,0,48.0,0.0,0.0,3.0,2,2007
2,1,80,98,2,1,480257,0,48.0,0.0,0.0,0.0,2,2007
1,1,80,98,9,1,480267,0,48.0,0.0,0.0,2.0,2,2007
1,1,80,98,2,1,480270,1,48.0,1.0,0.0,0.0,2,2007
2,1,80,35,4,1,480271,1,48.0,0.0,0.0,0.0,2,2007
1,1,80,98,6,1,480273,0,48.0,0.0,0.0,0.0,2,2007
1,1,80,98,2,1,480277,0,17.0,0.0,0.0,0.0,2,2007
1,1,80,98,2,1,480279,0,40.0,0.0,0.0,0.0,2,2007
1,1,80,98,2,1,480285,0,48.0,0.0,0.0,0.0,2,2007
1,1,80,98,9,1,480295,0,48.0,0.0,0.0,0.0,2,2007
1,1,80,98,2,1,480300,1,48.0,0.0,0.0,0.0,2,2007
1,1,80,98,4,1,480307,0,48.0,0.0,0.0,0.0,2,2007
1,1,80,98,4,1,480312,0,48.0,0.0,0.0,0.0,2,2007
1,1,80,98,2,1,480340,0,48.0,0.0,0.0,0.0,2,2007
1,1,80,98,2,1,480341,0,48.0,0.0,0.0,0.0,2,2007
2,1,80,98,2,1,480351,0,48.0,0.0,0.0,1.0,2,2007
1,2,80,98,2,1,480357,1,48.0,0.0,0.0,1.0,2,2007
1,2,80,98,2,0,480369,0,48.0,0.0,0.0,0.0,2,2007
2,1,80,98,2,1,480369,0,48.0,0.0,0.0,0.0,2,2007
1,1,80,98,2,1,480381,0,48.0,0.0,0.0,0.0,2,2007
2,1,80,98,2,1,480404,0,48.0,0.0,0.0,1.0,4,2007
1,1,80,98,4,1,480425,1,48.0,0.0,0.0,0.0,2,2007
1,1,80,98,9,1,480450,1,48.0,0.0,0.0,0.0,3,2007
2,1,80,44,6,1,480452,0,48.0,0.0,0.0,1.0,3,2007
