ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,YEAR
10001,21,21,21,21,21,21,21,21,21,21,2005
10002,22,22,22,22,22,22,22,22,22,22,2005
10003,15,0,11,0,0,0,0,0,0,0,2005
10004,0,0,0,0,0,0,0,0,0,0,2005
10005,21,0,0,0,17,0,5,0,0,0,2005
10006,22,0,3,16,10,19,33,15,20,26,2005
10007,15,15,15,15,15,15,15,15,15,15,2005
10008,33,33,33,33,33,33,33,33,33,33,2005
10009,15,38,12,20,27,27,15,16,12,12,2005
10010,0,0,0,0,0,0,0,0,0,0,2005
10011,34,25,24,21,14,0,17,10,31,9,2005
10012,0,0,0,6,0,0,6,0,30,26,2005
10013,0,0,10,0,0,0,0,0,0,0,2005
10014,14,16,13,16,21,16,0,11,12,10,2005
10015,25,25,25,25,25,25,25,25,25,25,2005
10016,12,12,12,12,12,12,12,12,12,12,2005
10017,0,0,0,0,0,0,0,0,0,0,2005
10018,0,0,0,0,0,0,0,0,0,0,2005
10019,0,0,0,0,0,0,0,0,0,0,2005
10020,0,0,0,0,0,0,0,9,0,23,2005
10021,0,0,0,0,0,0,0,0,0,0,2005
10022,13,13,13,13,13,13,13,13,13,13,2005
10023,29,29,29,29,29,29,29,29,29,29,2005
10024,0,0,0,0,0,4,0,0,0,0,2005
10025,23,23,23,23,23,23,23,23,23,23,2005
10026,21,21,21,21,21,21,21,21,21,21,2005
10027,0,0,0,0,0,0,0,0,0,0,2005
10028,0,0,0,0,0,0,0,0,0,0,2005
10029,0,0,0,0,0,0,16,0,0,0,2005
10030,20,20,20,20,20,20,20,20,20,20,2005
10031,0,0,0,0,0,0,0,0,0,0,2005
10032,17,0,22,0,13,0,8,0,0,0,2005
10033,21,21,21,21,21,21,21,21,21,21,2005
10034,0,0,0,17,13,9,0,0,0,0,2005
10035,0,0,0,0,0,0,33,0,0,0,2005
10036,26,24,15,18,23,12,14,30,42,21,2005
10037,28,28,28,28,28,28,28,28,28,28,2005
10038,0,0,0,0,0,0,0,0,0,0,2005
10039,0,0,0,0,0,0,0,0,0,0,2005
10040,22,22,22,22,22,22,22,22,22,22,2005
10041,19,19,19,19,19,19,19,19,19,19,2005
10042,0,0,0,0,0,0,0,0,0,0,2005
10043,12,17,2,17,28,0,21,11,36,0,2005
10044,3,11,22,5,15,10,21,4,12,5,2005
10045,0,0,0,0,0,0,0,0,0,0,2005
10046,22,0,0,0,0,0,30,0,0,0,2005
10047,0,0,0,0,0,0,0,0,0,0,2005
10048,0,0,0,0,0,0,0,0,0,0,2005
10049,0,0,0,0,0,0,13,19,19,0,2005
10050,0,0,15,0,0,0,0,0,0,14,2005
10051,0,0,0,0,0,0,0,0,0,0,2005
10052,15,15,15,15,15,15,15,15,15,15,2005
10053,0,0,0,0,0,13,0,0,0,0,2005
10054,16,27,8,0,10,0,20,0,0,0,2005
10055,17,30,15,20,0,16,23,12,30,23,2005
10056,0,0,0,0,0,0,0,0,0,0,2005
10057,7,19,21,2,11,0,0,0,28,21,2005
10058,46,29,24,0,13,21,20,4,42,10,2005
10059,0,0,11,0,0,34,14,0,15,0,2005
10060,22,12,8,19,5,13,25,0,0,14,2005
10061,6,6,6,6,6,6,6,6,6,6,2005
10062,0,0,0,0,0,0,0,0,0,0,2005
10063,22,46,22,27,24,11,27,5,20,7,2005
10064,33,11,12,14,14,0,6,6,17,19,2005
10065,12,12,12,12,12,12,12,12,12,12,2005
10066,0,0,0,0,0,0,0,0,0,0,2005
10067,0,0,2,0,0,0,0,0,0,0,2005
10068,0,0,0,0,0,0,0,0,0,0,2005
10069,13,14,32,22,22,28,13,18,19,37,2005
10070,0,0,0,0,0,0,0,0,0,0,2005
10071,0,0,0,0,0,0,0,0,0,0,2005
10072,13,13,13,13,13,13,13,13,13,13,2005
10073,21,21,21,21,21,46,21,21,21,21,2005
10074,0,0,12,0,0,0,0,20,7,0,2005
10075,0,0,0,0,0,0,0,0,0,0,2005
10076,0,0,0,0,0,0,0,0,0,0,2005
10077,0,0,0,0,0,0,0,0,0,0,2005
10078,0,0,10,0,0,0,0,0,0,0,2005
10079,0,0,0,0,0,0,0,0,0,0,2005
10081,28,0,0,30,13,0,20,10,15,7,2005
10082,28,28,28,28,28,28,28,28,28,28,2005
10083,0,0,0,42,30,16,0,18,20,14,2005
10084,0,0,0,0,0,0,0,0,0,0,2005
10085,0,19,19,0,0,0,0,24,0,0,2005
10086,24,0,0,0,0,0,0,0,0,0,2005
10087,17,17,17,17,17,17,17,17,17,17,2005
10088,7,24,12,15,0,25,0,0,22,21,2005
10089,0,0,0,0,0,0,0,27,0,0,2005
10090,16,16,14,0,20,0,18,15,0,18,2005
10091,0,13,0,11,20,0,5,0,0,0,2005
10092,8,7,3,10,16,6,16,29,16,7,2005
10093,28,28,28,28,28,28,28,28,28,28,2005
10094,13,13,13,13,13,13,13,13,13,13,2005
10095,37,37,37,37,37,37,37,37,37,37,2005
10096,0,0,0,0,0,0,0,0,0,0,2005
10097,9,9,9,9,9,9,9,9,9,9,2005
10098,0,5,14,0,0,7,0,7,12,10,2005
10099,0,0,0,0,0,0,0,0,0,0,2005
10100,0,0,0,0,0,0,0,0,0,0,2005
10101,0,0,0,0,0,0,0,0,0,0,2005
10102,0,0,0,0,0,0,0,0,0,0,2005
10103,0,0,13,23,0,18,0,0,0,0,2005
10104,0,0,0,0,0,0,0,0,0,0,2005
10105,0,0,0,0,0,0,0,0,0,0,2005
10106,25,25,25,25,25,25,25,25,25,25,2005
10107,0,0,0,0,0,0,0,0,0,0,2005
10108,0,19,0,17,21,0,12,28,0,0,2005
10109,0,0,0,0,0,0,0,0,0,0,2005
10110,9,22,23,0,13,0,16,22,38,0,2005
10111,0,0,0,0,0,0,0,0,0,0,2005
10112,0,0,21,0,0,0,0,0,0,0,2005
10113,11,0,0,0,8,0,0,0,17,0,2005
10114,17,17,23,22,16,42,0,12,20,0,2005
10115,0,4,9,0,16,21,0,27,20,10,2005
10116,0,0,0,0,0,9,0,0,0,0,2005
10117,0,0,0,0,0,0,24,0,0,0,2005
10118,0,0,0,12,0,0,0,0,0,0,2005
10119,0,0,0,0,0,0,0,0,0,0,2005
10120,0,0,0,0,0,0,0,0,0,0,2005
10121,0,0,0,0,0,0,0,0,0,0,2005
10122,0,0,0,0,0,0,0,0,0,0,2005
10123,16,16,16,16,16,16,16,16,16,16,2005
10124,0,0,0,0,0,0,0,0,0,0,2005
10125,0,0,0,12,0,29,19,0,23,13,2005
10126,18,0,0,0,17,15,0,0,13,0,2005
10127,0,0,0,0,0,0,0,0,0,0,2005
10128,18,18,18,18,18,18,18,18,18,18,2005
10129,0,0,0,0,0,0,0,0,0,0,2005
10130,0,0,0,0,0,0,0,0,0,0,2005
10131,0,0,0,0,0,0,0,0,17,0,2005
10132,0,0,0,0,0,0,0,0,0,0,2005
10133,24,24,24,24,24,24,24,24,24,24,2005
10134,0,0,0,0,0,0,0,0,0,0,2005
10135,0,0,0,0,0,0,0,0,0,0,2005
10136,0,0,0,0,0,0,0,0,0,0,2005
10137,0,0,0,0,0,26,0,0,0,0,2005
10138,15,25,20,8,9,0,21,21,14,23,2005
10139,0,0,0,0,0,0,0,0,0,0,2005
10140,18,18,18,18,18,18,18,18,18,18,2005
10141,9,9,9,9,9,9,9,9,9,9,2005
10142,7,7,7,7,7,7,7,7,7,7,2005
10143,0,0,0,0,0,0,0,0,11,13,2005
10144,0,0,0,0,0,0,0,0,5,0,2005
10145,0,6,0,15,0,21,0,0,0,0,2005
10146,0,0,0,0,0,0,0,0,0,0,2005
10147,0,0,0,0,0,0,0,0,0,11,2005
10148,0,0,0,0,0,0,0,0,15,0,2005
10149,5,5,5,5,5,5,5,5,5,5,2005
10150,11,27,19,13,8,8,20,12,10,17,2005
10151,0,0,0,0,0,0,0,0,0,0,2005
10152,22,22,22,22,22,22,22,22,22,22,2005
10153,9,0,0,4,13,11,0,0,0,17,2005
10154,24,24,24,24,24,24,24,24,24,24,2005
10155,0,0,0,0,0,0,0,0,0,0,2005
10156,22,22,22,22,22,22,22,22,22,22,2005
10157,22,22,22,22,22,22,22,22,22,22,2005
10158,9,9,9,9,9,9,9,9,9,9,2005
10159,15,15,15,15,15,15,15,15,15,15,2005
10160,0,0,0,0,0,0,0,0,0,0,2005
10161,17,0,25,18,24,0,8,7,0,23,2005
10162,31,9,16,31,15,16,19,9,7,16,2005
10163,0,0,0,0,0,0,0,0,0,0,2005
10164,21,21,21,21,21,21,21,21,21,21,2005
10165,0,0,0,0,0,0,0,0,0,0,2005
10166,0,0,0,0,0,0,0,0,0,0,2005
10167,18,14,19,28,17,2,31,21,24,18,2005
10168,0,0,0,0,0,0,0,0,0,0,2005
10169,0,0,0,0,0,0,0,0,0,0,2005
10170,7,0,0,10,0,6,0,21,0,0,2005
10171,0,0,0,0,0,0,0,14,0,0,2005
10172,0,0,0,0,0,0,0,0,0,0,2005
10173,0,15,9,30,19,12,30,0,11,0,2005
10174,0,0,0,0,0,0,0,0,0,0,2005
10175,0,0,0,0,0,0,0,0,0,0,2005
10176,0,0,0,0,0,0,0,0,0,0,2005
10177,0,0,0,0,0,9,0,0,0,12,2005
10178,0,0,0,0,0,0,0,0,0,0,2005
10179,23,13,0,0,9,14,4,0,26,24,2005
10180,0,0,0,0,0,0,9,0,0,0,2005
10181,22,22,22,22,22,22,22,22,22,22,2005
10182,14,14,14,14,14,14,14,14,14,14,2005
10183,0,0,0,0,0,0,0,0,0,0,2005
10184,33,33,33,33,33,33,33,33,33,33,2005
10185,14,20,14,13,5,17,11,15,16,3,2005
10186,0,0,0,0,0,0,0,0,0,0,2005
10187,21,21,21,21,21,21,21,21,21,21,2005
10188,0,0,0,0,0,12,0,0,0,0,2005
10189,19,19,19,19,19,19,19,19,19,19,2005
10190,16,16,16,16,16,16,16,16,16,16,2005
10191,0,5,0,0,0,0,0,14,0,0,2005
10192,16,16,16,16,16,16,16,16,16,16,2005
10193,0,0,0,0,0,0,0,0,0,0,2005
10194,15,15,15,15,15,15,15,15,15,15,2005
10195,0,0,0,0,0,0,0,0,0,0,2005
10196,0,0,0,0,0,4,0,0,0,0,2005
10197,0,0,0,0,0,0,0,0,0,0,2005
10198,0,0,0,0,0,0,0,0,0,0,2005
10199,0,0,0,0,0,0,0,0,0,0,2005
10200,15,39,12,33,0,30,13,9,6,0,2005
10201,0,10,0,0,0,0,0,0,0,0,2005
10202,0,0,0,0,0,0,0,0,0,0,2005
10203,0,0,0,0,25,0,0,9,0,17,2005
10204,0,0,0,0,0,0,0,0,0,0,2005
10205,0,0,0,0,0,0,0,0,0,0,2005
10206,0,0,0,0,0,0,0,0,0,0,2005
10207,0,0,0,0,0,18,0,0,0,0,2005
10208,0,0,0,0,0,0,0,0,0,0,2005
10209,0,0,0,0,0,0,0,0,0,0,2005
10210,0,0,0,0,0,0,0,0,0,0,2005
10211,0,0,0,0,9,0,0,24,0,0,2005
10212,0,0,0,0,0,0,0,0,0,9,2005
10213,0,0,0,0,0,0,0,0,0,0,2005
10214,0,0,0,13,0,0,0,0,0,10,2005
10215,0,0,0,0,0,0,0,0,0,0,2005
10216,12,0,4,0,0,0,0,0,0,10,2005
10217,20,20,20,20,20,20,20,20,20,20,2005
10218,0,0,0,0,0,0,9,0,0,0,2005
10219,0,7,0,18,0,0,6,0,0,9,2005
10220,0,0,0,0,0,0,0,0,0,0,2005
10221,35,35,35,35,35,35,35,35,35,35,2005
10222,0,0,0,0,0,0,0,0,0,0,2005
10223,0,0,0,0,0,0,0,0,0,0,2005
10224,0,0,0,6,0,0,0,0,0,0,2005
10225,0,0,0,0,0,0,0,0,0,0,2005
10226,2,2,2,2,2,2,2,2,2,2,2005
10227,0,0,0,0,0,0,0,0,0,0,2005
10228,0,0,0,0,0,0,0,0,0,0,2005
10229,2,2,2,2,2,2,2,2,2,2,2005
10230,6,6,6,6,6,6,6,6,6,6,2005
10231,0,0,0,0,0,0,0,0,0,0,2005
10232,0,0,0,0,0,0,0,0,3,0,2005
10233,0,0,0,0,0,0,0,0,0,0,2005
10234,0,0,0,0,0,0,0,0,0,5,2005
10235,12,12,12,12,12,12,12,12,12,12,2005
10236,0,0,0,0,0,0,0,0,0,0,2005
10237,0,0,0,0,0,0,0,0,0,0,2005
10238,0,0,0,0,0,0,0,0,0,0,2005
10239,0,0,0,0,0,0,0,0,0,0,2005
10240,0,0,0,0,0,0,0,0,0,0,2005
10241,0,0,0,0,0,0,0,23,0,0,2005
10242,6,6,6,6,6,6,6,6,6,6,2005
10243,9,9,9,9,9,9,9,9,9,9,2005
10244,0,0,0,0,0,0,0,0,0,0,2005
10245,0,0,0,0,0,0,0,0,0,0,2005
10246,0,0,0,0,0,0,0,0,0,0,2005
10247,0,0,0,0,0,0,0,0,0,0,2005
10248,23,0,0,0,0,0,0,0,0,0,2005
10249,0,0,0,0,0,0,0,0,0,0,2005
10250,0,0,0,0,0,0,0,0,0,0,2005
10251,0,18,0,0,0,0,0,0,17,0,2005
10252,0,0,0,0,0,0,0,0,0,0,2005
10253,13,13,13,13,13,13,13,13,13,13,2005
10254,0,19,3,6,0,36,23,23,32,15,2005
10255,18,18,18,18,18,18,18,18,18,18,2005
10256,0,0,0,0,0,0,0,0,0,0,2005
10257,9,1,28,21,17,5,12,16,8,29,2005
10258,16,16,16,16,16,16,16,16,16,16,2005
10259,0,0,0,0,0,18,0,0,30,13,2005
10260,15,15,15,15,15,15,15,15,15,15,2005
10261,0,0,0,0,0,0,0,0,0,0,2005
10262,0,0,0,0,0,0,0,0,0,0,2005
10263,0,0,0,0,24,0,0,16,0,0,2005
10264,0,0,0,0,0,0,0,0,0,0,2005
10265,0,0,0,0,0,0,0,0,0,0,2005
10266,0,0,0,0,0,0,0,0,0,0,2005
10267,0,0,0,17,20,33,0,0,10,10,2005
10268,8,26,13,11,17,9,16,24,13,0,2005
10269,0,0,0,0,0,0,0,0,0,0,2005
10270,0,0,0,0,0,10,0,0,0,0,2005
10271,0,0,9,0,0,0,0,11,0,0,2005
10272,0,0,0,23,0,0,0,0,0,0,2005
10273,0,0,0,0,0,0,0,0,0,0,2005
10274,0,0,0,0,0,0,0,0,8,0,2005
10275,0,0,0,0,0,0,0,0,0,0,2005
10276,13,13,13,13,13,13,13,13,13,13,2005
10277,25,24,22,9,24,26,22,21,10,9,2005
10278,16,16,16,16,16,16,16,16,16,16,2005
10279,19,19,19,19,19,19,19,19,19,19,2005
10280,0,0,6,17,0,0,9,6,0,0,2005
10281,0,0,0,0,0,0,0,0,0,0,2005
10282,24,24,24,24,24,24,24,24,24,24,2005
10283,0,0,0,0,0,0,0,0,0,0,2005
10284,0,0,0,0,0,0,0,0,0,0,2005
10285,0,0,33,18,22,17,0,0,0,20,2005
10286,16,16,16,16,16,16,16,16,16,16,2005
10287,19,10,0,26,12,17,20,25,12,24,2005
10288,0,0,0,0,0,0,0,14,0,0,2005
10289,0,0,0,0,0,0,0,0,4,0,2005
10290,11,11,11,11,11,11,11,11,11,11,2005
10291,14,13,14,14,0,22,16,9,10,24,2005
10292,0,0,0,0,0,0,4,0,0,0,2005
10293,20,16,0,16,0,19,12,0,0,0,2005
10294,0,0,25,10,16,12,0,0,0,0,2005
10295,24,24,24,24,24,24,24,24,24,24,2005
10296,15,0,37,18,22,19,17,33,37,18,2005
10297,0,0,0,0,0,0,0,0,0,0,2005
10298,17,17,17,17,17,17,17,17,17,17,2005
10299,22,22,22,22,22,22,22,22,22,22,2005
10300,20,20,20,20,20,20,20,20,20,20,2005
10301,8,0,11,28,29,17,11,18,0,15,2005
10302,0,0,0,0,0,0,0,0,0,0,2005
10303,0,0,0,0,0,0,0,0,0,0,2005
10304,19,19,19,19,19,19,19,19,19,19,2005
10305,11,14,0,33,15,4,0,0,0,12,2005
10306,0,8,10,36,7,15,0,0,0,28,2005
10307,15,15,15,15,15,15,15,15,15,15,2005
10308,0,0,0,16,0,0,11,0,9,16,2005
10309,0,0,0,0,0,0,0,0,0,0,2005
10310,23,23,23,23,23,23,23,23,23,23,2005
10311,0,0,0,0,0,0,0,0,0,0,2005
10312,18,18,18,18,18,18,18,18,18,18,2005
10313,0,0,0,0,0,0,0,0,0,0,2005
10314,11,17,17,28,13,22,10,16,3,15,2005
10315,0,0,0,0,0,0,0,0,0,0,2005
10316,13,0,19,31,8,7,11,22,18,25,2005
10317,11,10,0,15,0,0,11,0,26,5,2005
10318,0,0,0,0,0,0,0,0,0,0,2005
10319,10,19,19,21,0,18,0,19,11,8,2005
10320,0,0,0,0,0,0,0,0,0,0,2005
10321,0,0,0,0,0,12,0,0,0,10,2005
10322,0,63,21,18,20,19,29,22,20,28,2005
10323,21,21,21,21,21,21,21,21,21,21,2005
10324,0,0,16,0,0,0,0,0,15,0,2005
10325,0,0,0,0,0,0,0,0,4,0,2005
10326,11,11,11,11,11,11,11,11,11,11,2005
10327,23,19,16,7,6,21,25,25,28,18,2005
10328,0,0,0,0,0,0,20,14,0,0,2005
10329,19,19,19,19,19,19,19,19,19,19,2005
10330,0,0,0,0,0,0,0,0,0,0,2005
10331,0,0,0,0,0,0,0,0,0,0,2005
10332,0,0,0,0,0,0,0,0,0,0,2005
10333,0,0,0,0,0,0,0,0,0,0,2005
10334,0,0,0,0,0,0,0,0,0,0,2005
10335,0,0,0,0,0,0,0,0,0,0,2005
10336,0,19,0,0,0,0,0,9,0,0,2005
10337,0,0,0,0,0,0,0,0,0,0,2005
10338,28,13,18,14,6,0,12,20,13,17,2005
10339,0,0,0,0,0,0,0,0,0,0,2005
10340,0,0,0,0,0,0,0,0,0,0,2005
10341,17,17,17,17,17,17,17,17,17,17,2005
10342,0,0,0,0,0,0,0,0,0,0,2005
10343,0,23,8,20,11,9,21,17,10,15,2005
10344,0,0,0,0,0,0,0,0,0,0,2005
10345,17,17,17,17,17,17,17,17,17,17,2005
10346,8,8,8,8,8,8,8,8,8,8,2005
10347,0,0,0,0,20,0,0,0,20,0,2005
10348,0,0,0,0,0,0,0,0,0,0,2005
10349,0,0,0,0,0,0,0,12,0,0,2005
10350,0,0,0,0,0,0,0,0,0,0,2005
10351,18,0,13,0,30,0,0,0,0,0,2005
10352,0,0,0,0,0,0,0,0,0,0,2005
10353,0,0,0,0,24,0,0,0,0,0,2005
10354,0,0,0,0,0,0,0,0,0,0,2005
10355,11,17,11,11,11,11,11,17,11,33,2005
10356,0,0,0,15,0,0,0,0,0,0,2005
10357,14,15,5,7,8,11,28,11,11,24,2005
10358,0,0,0,0,0,0,0,0,0,0,2005
10359,0,0,0,0,0,0,0,0,0,0,2005
10360,12,12,12,12,12,12,12,12,12,12,2005
