ST_CASE,YEAR,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10001,2005,21,21,21,21,21,21,21,21,21,21
10002,2005,22,22,22,22,22,22,22,22,22,22
10003,2005,15,0,11,0,0,0,0,0,0,0
10004,2005,0,0,0,0,0,0,0,0,0,0
10005,2005,21,0,0,0,17,0,5,0,0,0
10006,2005,22,0,3,16,10,19,33,15,20,26
10007,2005,15,15,15,15,15,15,15,15,15,15
10008,2005,33,33,33,33,33,33,33,33,33,33
10009,2005,15,38,12,20,27,27,15,16,12,12
10010,2005,0,0,0,0,0,0,0,0,0,0
10011,2005,34,25,24,21,14,0,17,10,31,9
10012,2005,0,0,0,6,0,0,6,0,30,26
10013,2005,0,0,10,0,0,0,0,0,0,0
10014,2005,14,16,13,16,21,16,0,11,12,10
10015,2005,25,25,25,25,25,25,25,25,25,25
10016,2005,12,12,12,12,12,12,12,12,12,12
10017,2005,0,0,0,0,0,0,0,0,0,0
10018,2005,0,0,0,0,0,0,0,0,0,0
10019,2005,0,0,0,0,0,0,0,0,0,0
10020,2005,0,0,0,0,0,0,0,9,0,23
10021,2005,0,0,0,0,0,0,0,0,0,0
10022,2005,13,13,13,13,13,13,13,13,13,13
10023,2005,29,29,29,29,29,29,29,29,29,29
10024,2005,0,0,0,0,0,4,0,0,0,0
10025,2005,23,23,23,23,23,23,23,23,23,23
10026,2005,21,21,21,21,21,21,21,21,21,21
10027,2005,0,0,0,0,0,0,0,0,0,0
10028,2005,0,0,0,0,0,0,0,0,0,0
10029,2005,0,0,0,0,0,0,16,0,0,0
10030,2005,20,20,20,20,20,20,20,20,20,20
10031,2005,0,0,0,0,0,0,0,0,0,0
10032,2005,17,0,22,0,13,0,5,0,0,0
10033,2005,21,21,21,21,21,21,21,21,21,21
10034,2005,0,0,0,17,13,9,0,0,0,0
10035,2005,0,0,0,0,0,0,33,0,0,0
10036,2005,26,24,15,18,23,12,14,30,42,21
10037,2005,28,28,28,28,28,28,28,28,28,28
10038,2005,0,0,0,0,0,0,0,0,0,0
10039,2005,0,0,0,0,0,0,0,0,0,0
10040,2005,22,22,22,22,22,22,22,22,22,22
10041,2005,19,19,19,19,19,19,19,19,19,19
10042,2005,0,0,0,0,0,0,0,0,0,0
10043,2005,0,0,0,0,0,0,0,0,0,0
10044,2005,3,11,22,5,15,10,21,4,12,5
10045,2005,0,0,0,0,0,0,0,0,0,0
10046,2005,22,0,0,0,0,0,30,0,0,0
10047,2005,0,0,0,0,0,0,0,0,0,0
10048,2005,0,0,0,0,0,0,0,0,0,0
10049,2005,0,0,0,0,0,0,13,19,19,0
10050,2005,0,0,0,0,0,0,0,0,0,0
10051,2005,0,0,0,0,0,0,0,0,0,0
10052,2005,15,15,15,15,15,15,15,15,15,15
10053,2005,0,0,0,0,0,13,0,0,0,0
10054,2005,16,27,8,0,10,0,20,0,0,0
10055,2005,17,30,15,20,0,16,23,12,30,23
10056,2005,0,0,0,0,0,0,0,0,0,0
10057,2005,7,19,21,2,11,0,0,0,28,21
10058,2005,0,0,0,0,0,0,0,0,0,0
10059,2005,0,0,11,0,0,34,14,0,15,0
10060,2005,22,12,8,19,5,13,25,0,0,14
10061,2005,6,6,6,6,6,6,6,6,6,6
10062,2005,0,0,0,0,0,0,0,0,0,0
10063,2005,22,46,22,27,24,11,27,5,20,7
10064,2005,33,11,12,14,14,0,6,6,17,19
10065,2005,12,12,12,12,12,12,12,12,12,12
10066,2005,0,0,0,0,0,0,0,0,0,0
10067,2005,0,0,2,0,0,0,0,0,0,0
10068,2005,0,0,0,0,0,0,0,0,0,0
10069,2005,13,14,32,22,22,28,13,18,19,37
10070,2005,0,0,0,0,0,0,0,0,0,0
10071,2005,0,0,0,0,0,0,0,0,0,0
10072,2005,13,13,13,13,13,13,13,13,13,13
10073,2005,0,0,0,0,0,46,0,0,0,0
10074,2005,0,0,12,0,0,0,0,20,7,0
10075,2005,0,0,0,0,0,0,0,0,0,0
10076,2005,0,0,0,0,0,0,0,0,0,0
10077,2005,0,0,0,0,0,0,0,0,0,0
10078,2005,0,0,10,0,0,0,0,0,0,0
10079,2005,0,0,0,0,0,0,0,0,0,0
10081,2005,28,0,0,30,13,0,20,10,15,7
10082,2005,28,28,28,28,28,28,28,28,28,28
10083,2005,0,0,0,0,0,16,0,0,0,0
10084,2005,0,0,0,0,0,0,0,0,0,0
10085,2005,0,19,19,0,0,0,0,24,0,0
10086,2005,24,0,0,0,0,0,0,0,0,0
10087,2005,17,17,17,17,17,17,17,17,17,17
10088,2005,7,24,12,15,0,25,0,0,22,21
10089,2005,0,0,0,0,0,0,0,0,0,0
10090,2005,16,16,14,0,20,0,18,15,0,18
10091,2005,0,13,0,11,20,0,5,0,0,0
10092,2005,8,7,3,10,16,6,16,29,16,7
10093,2005,28,28,28,28,28,28,28,28,28,28
10094,2005,13,13,13,13,13,13,13,13,13,13
10095,2005,37,37,37,37,37,37,37,37,37,37
10096,2005,0,0,0,0,0,0,0,0,0,0
10097,2005,9,9,9,9,9,9,9,9,9,9
10098,2005,0,5,14,0,0,7,0,7,12,10
10099,2005,0,0,0,0,0,0,0,0,0,0
10100,2005,0,0,0,0,0,0,0,0,0,0
10101,2005,0,0,0,0,0,0,0,0,0,0
10102,2005,0,0,0,0,0,0,0,0,0,0
10103,2005,0,0,13,23,0,18,0,0,0,0
10104,2005,0,0,0,0,0,0,0,0,0,0
10105,2005,0,0,0,0,0,0,0,0,0,0
10106,2005,0,0,0,0,0,0,0,0,0,0
10107,2005,0,0,0,0,0,0,0,0,0,0
10108,2005,0,19,0,17,21,0,12,28,0,0
10109,2005,0,0,0,0,0,0,0,0,0,0
10110,2005,9,0,0,0,6,0,9,13,0,0
10111,2005,0,0,0,0,0,0,0,0,0,0
10112,2005,0,0,0,0,0,0,0,0,0,0
10113,2005,11,0,0,0,8,0,0,0,17,0
10114,2005,17,17,23,22,16,42,0,12,20,0
10115,2005,0,4,9,0,16,21,0,27,20,10
10116,2005,0,0,0,0,0,9,0,0,0,0
10117,2005,0,0,0,0,0,0,24,0,0,0
10118,2005,0,0,0,12,0,0,0,0,0,0
10119,2005,0,0,0,0,0,0,0,0,0,0
10120,2005,0,0,0,0,0,0,0,0,0,0
10121,2005,0,0,0,0,0,0,0,0,0,0
10122,2005,0,0,0,0,0,0,0,0,0,0
10123,2005,16,16,16,16,16,16,16,16,16,16
