VIN,VIN_1,VIN_2,VIN_3,VIN_4,VIN_5,VIN_6,VIN_7,VIN_8,VIN_9,VIN_10,VIN_11,VIN_12,STATE,VEH_NO,OCUPANTS,MAKE,MODEL,BODY_TYP,REG_STAT,OWNER,ROLLOVER,J_KNIFE,TRAV_SP,HAZ_CARG,TOW_VEH,V_CONFIG,AXLES,CARGO_BT,SPEC_USE,EMER_USE,IMPACT1,IMPACT2,UNDERIDE,DEFORMED,IMPACTS,TOWAWAY,FIRE_EXP,VEH_CF1,VEH_CF2,VEH_MAN,AVOID,M_HARM,DEATHS,SEQ1,SEQ2,SEQ3,SEQ4,SEQ5,SEQ6,VIN_LNGT,BUS_USE,GVWR,UNITTYPE,ST_CASE,MAK_MOD,MOD_YEAR,VINA_MOD,SER_TR,VIN_BT,MCARR_ID,FLDCD_TR,WHLBS_SH,WHLBS_LG,MCYCL_DS,VIN_WGT,WGTCD_TR,DR_PRES,DR_DRINK,L_STATE,L_TYPE,L_STATUS,CDL_STAT,L_ENDORS,L_COMPL,L_RESTRI,VIOLCHG1,VIOLCHG2,VIOLCHG3,PREV_ACC,PREV_SUS,PREV_DWI,PREV_SPD,PREV_OTH,LAST_MO,FIRST_MO,DR_CF1,DR_CF2,DR_CF3,DR_CF4,DR_WGT,DR_HGT,LAST_YR,FIRST_YR,DR_ZIP,MONTH,HARM_EV,MAN_COLL,HIT_RUN,VE_FORMS
1YVGD31B2L52,1,Y,V,G,D,3,1,B,2,L,5,2,1,2,0,41,44,2,1,6,0,0,99,0,0,0,0,0,0,0,6,6,0,6,2,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,0,3,10082,41044,1990,MX6,***,CP,00000000000,*,990,0,,9999,,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,1,33,0,0,1
2GCEC19H4P11,2,G,C,E,C,1,9,H,4,P,1,1,1,4,0,20,471,30,1,6,0,0,99,0,0,0,0,0,0,0,6,6,0,2,2,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,0,3,10199,20471,1993,GC1,GM4,PC,00000000000,G,1415,1555,,,2,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,1,12,4,0,3
1FTYW90W5EVA,1,F,T,Y,W,9,0,W,5,E,V,A,1,2,0,12,881,66,1,6,0,0,99,0,1,6,5,97,0,0,6,6,0,2,2,9,0,18,0,99,8,12,0,99,99,99,99,99,99,17,0,3,2,10228,12881,1984,LN9,CON,TM,88888888888,D,1380,2220,,,8,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,4,12,1,0,1
3FAPP13J2PR2,3,F,A,P,P,1,3,J,2,P,R,2,1,2,0,12,13,4,0,6,0,0,99,0,0,0,0,0,0,0,6,6,0,6,2,9,0,0,0,99,8,14,0,99,99,99,99,99,99,17,0,0,3,10369,12013,1993,LXE,***,4D,00000000000,*,984,0,,2364,,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,5,14,1,0,1
1B7GH14R7PX6,1,B,7,G,H,1,4,R,7,P,X,6,1,2,0,7,442,20,47,6,0,0,99,0,0,0,0,0,0,0,12,12,0,4,2,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,0,3,10406,7442,1993,ECV,CAR,EC,00000000000,G,1190,0,,,1,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,6,10,0,0,1
999999999999,9,9,9,9,9,9,9,9,9,9,9,9,1,2,0,99,999,99,99,6,0,0,99,0,0,0,0,0,9,0,10,10,0,0,2,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,9,0,3,10472,99999,9999,999,999,99,00000000000,9,9999,9999,9999,9999,9,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,6,14,5,0,1
1HTSCABL52H5,1,H,T,S,C,A,B,L,5,2,H,5,1,2,1,84,998,93,1,3,0,0,99,0,0,1,2,96,0,0,13,13,0,4,2,9,0,42,0,99,8,47,1,99,99,99,99,99,99,17,0,2,4,10531,84998,2002,470,40S,CC,88888888888,D,1280,2540,,,6,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,7,12,11,0,1
JN1HJ01P1NT6,J,N,1,H,J,0,1,P,1,N,T,6,1,2,0,35,39,4,1,6,0,0,99,0,0,0,0,0,0,0,1,1,0,0,2,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,0,3,10604,35039,1992,MGX,***,4D,00000000000,*,1043,0,,3129,,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,8,19,0,0,1
1B6MC36D9VJ5,1,B,6,M,C,3,6,D,9,V,J,5,1,2,0,7,898,62,47,6,0,0,99,0,1,2,3,6,0,0,6,6,0,6,2,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,2,3,10685,7898,1997,350,RPC,CB,88888888888,D,1387,1627,,,3,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,10,14,1,0,1
1FMCU12T8JUD,1,F,M,C,U,1,2,T,8,J,U,D,1,2,0,12,401,14,1,6,0,0,99,0,0,0,0,0,0,0,6,7,0,6,2,9,0,0,0,99,8,12,0,99,99,99,99,99,99,17,0,0,2,10701,12401,1988,BII,***,UT,00000000000,*,940,0,,9999,,4,0,99,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,0,0,0,0,999,999,9999,9999,99999,10,55,1,0,1
