STATE,ST_CASE,VEH_NO,PER_NO,MPR_ACT
4,40382,0,1,3
4,40383,0,1,3
4,40383,0,2,3
4,40396,0,1,3
4,40399,0,1,3
4,40401,0,1,3
4,40402,0,1,3
4,40404,0,1,6
4,40405,0,1,98
4,40406,0,1,8
4,40407,0,1,99
4,40408,0,1,99
4,40410,0,1,8
4,40411,0,1,3
4,40420,0,1,99
4,40424,0,1,3
4,40427,0,1,3
4,40430,0,1,8
4,40432,0,1,6
4,40435,0,1,5
4,40438,0,1,3
4,40441,0,1,99
4,40442,0,1,8
4,40442,0,2,8
4,40444,0,1,8
4,40448,0,1,3
4,40453,0,1,3
4,40455,0,1,3
4,40456,0,1,3
4,40460,0,1,3
4,40468,0,1,3
4,40480,0,1,3
4,40484,0,1,3
4,40485,0,1,99
4,40496,0,1,8
4,40497,0,1,3
4,40499,0,1,3
4,40504,0,1,3
4,40511,0,1,3
4,40512,0,1,8
4,40517,0,1,3
4,40533,0,1,8
4,40535,0,1,3
4,40539,0,1,3
4,40545,0,1,3
4,40546,0,1,6
4,40554,0,1,98
4,40557,0,1,99
4,40559,0,1,8
4,40560,0,1,3
4,40561,0,1,3
4,40565,0,1,5
4,40567,0,1,99
4,40568,0,1,3
4,40571,0,1,3
4,40574,0,1,8
4,40577,0,1,3
4,40579,0,1,3
4,40580,0,1,3
4,40583,0,1,3
4,40589,0,1,6
4,40595,0,1,3
4,40595,0,2,3
4,40598,0,1,3
4,40604,0,1,5
4,40609,0,1,3
4,40611,0,1,99
4,40611,0,2,9
4,40612,0,1,3
4,40613,0,1,99
4,40614,0,1,3
4,40618,0,1,3
4,40619,0,1,98
4,40621,0,1,3
4,40622,0,1,3
4,40624,0,1,8
4,40626,0,1,3
4,40627,0,1,3
4,40629,0,1,3
4,40634,0,1,3
4,40642,0,1,3
4,40643,0,1,1
4,40644,0,1,3
4,40646,0,1,3
4,40647,0,1,3
4,40648,0,1,3
4,40649,0,1,3
4,40652,0,1,3
4,40654,0,1,9
4,40654,0,2,9
4,40654,0,3,9
4,40654,0,4,9
4,40659,0,1,12
4,40660,0,1,3
4,40663,0,1,3
4,40666,0,1,3
4,40670,0,1,3
4,40671,0,1,3
4,40672,0,1,16
4,40679,0,1,3
4,40681,0,1,5
4,40683,0,1,14
4,40685,0,1,3
4,40690,0,1,3
4,40691,0,1,9
4,40693,0,1,98
4,40694,0,1,16
4,40695,0,1,3
4,40697,0,1,3
4,40701,0,1,2
4,40702,0,1,3
4,40702,0,2,3
4,40704,0,1,98
4,40706,0,1,98
4,40711,0,1,9
4,40715,0,1,3
4,40719,0,1,8
4,40719,0,1,12
4,40722,0,1,3
4,40723,0,1,3
4,40725,0,1,8
4,40727,0,1,5
4,40730,0,1,5
4,40733,0,1,14
4,40734,0,1,3
4,40738,0,1,3
4,40741,0,1,3
4,40743,0,1,3
4,40745,0,1,5
4,40757,0,1,3
4,40759,0,1,3
4,40765,0,1,8
4,40766,0,1,5
4,40771,0,1,3
4,40772,0,1,3
4,40782,0,1,6
4,40783,0,1,3
4,40784,0,1,3
4,40785,0,1,3
4,40788,0,1,3
4,40798,0,1,3
4,40799,0,1,8
4,40802,0,1,8
4,40805,0,1,3
4,40813,0,1,3
4,40817,0,1,5
4,40820,0,1,3
4,40822,0,1,3
4,40824,0,1,8
4,40829,0,1,2
4,40837,0,1,99
4,40841,0,1,98
4,40845,0,1,3
4,40846,0,1,9
4,40852,0,1,5
4,40863,0,1,3
4,40864,0,1,3
4,40875,0,1,3
4,40882,0,1,99
4,40894,0,1,3
4,40897,0,1,99
4,40901,0,1,99
4,40905,0,1,99
4,40908,0,1,99
4,40909,0,1,3
4,40911,0,1,99
4,40912,0,1,99
4,40913,0,1,99
4,40917,0,1,99
4,40918,0,1,3
4,40920,0,1,3
4,40922,0,1,3
4,40923,0,1,2
4,40925,0,1,99
4,40937,0,1,99
4,40942,0,1,99
5,50010,0,1,12
5,50010,0,1,14
5,50010,0,2,12
5,50010,0,2,14
5,50016,0,1,2
5,50023,0,1,3
5,50024,0,1,3
5,50025,0,1,8
5,50025,0,1,12
5,50027,0,1,5
5,50048,0,1,5
5,50057,0,1,3
5,50058,0,1,5
5,50058,0,2,5
5,50067,0,1,3
5,50076,0,1,3
5,50078,0,1,3
5,50100,0,1,5
5,50104,0,1,8
5,50134,0,1,3
5,50136,0,1,9
5,50136,0,1,12
5,50153,0,1,3
5,50153,0,1,12
5,50159,0,1,8
5,50159,0,2,8
5,50170,0,1,6
5,50174,0,1,98
5,50182,0,1,5
5,50211,0,1,5
5,50234,0,1,14
5,50237,0,1,8
5,50241,0,1,3
5,50251,0,1,6
5,50255,0,1,3
5,50260,0,1,9
5,50260,0,1,12
5,50271,0,1,3
5,50277,0,1,8
5,50281,0,1,3
5,50295,0,1,8
5,50302,0,1,14
5,50303,0,1,3
5,50310,0,1,8
5,50314,0,1,3
5,50316,0,1,3
5,50321,0,1,5
5,50339,0,1,5
5,50363,0,1,3
5,50365,0,1,8
5,50366,0,1,3
5,50374,0,1,8
5,50378,0,1,8
5,50380,0,1,8
5,50384,0,1,3
5,50386,0,1,14
5,50392,0,1,8
5,50397,0,1,3
5,50405,0,1,5
5,50405,0,1,8
5,50417,0,1,6
5,50423,0,1,8
5,50424,0,1,99
5,50426,0,1,5
5,50434,0,1,3
5,50446,0,1,99
5,50455,0,1,8
5,50458,0,1,3
5,50464,0,1,3
5,50470,0,1,99
5,50471,0,1,5
5,50471,0,2,5
5,50475,0,1,3
5,50476,0,1,8
5,50481,0,1,3
5,50482,0,1,3
5,50483,0,1,8
5,50485,0,1,3
6,60007,0,1,3
6,60011,0,1,5
6,60018,0,1,6
6,60021,0,1,6
6,60028,0,1,3
6,60034,0,1,3
6,60037,0,1,3
6,60038,0,1,3
6,60043,0,1,12
6,60049,0,1,3
6,60058,0,1,6
6,60059,0,1,8
6,60059,0,1,12
6,60059,0,2,8
6,60059,0,2,12
6,60063,0,1,5
6,60066,0,1,5
6,60068,0,1,3
6,60074,0,1,3
6,60075,0,1,3
6,60082,0,1,3
6,60092,0,1,12
6,60095,0,1,9
6,60096,0,1,3
6,60107,0,1,3
6,60108,0,1,3
6,60112,0,1,3
6,60116,0,1,3
6,60117,0,1,8
6,60121,0,1,5
6,60121,0,1,8
6,60125,0,1,3
6,60126,0,1,3
6,60128,0,1,5
6,60129,0,1,5
6,60131,0,1,5
6,60145,0,1,3
6,60149,0,1,99
6,60150,0,1,3
6,60151,0,1,16
6,60152,0,1,3
6,60153,0,1,8
6,60157,0,1,5
6,60161,0,1,14
6,60162,0,1,8
6,60164,0,1,3
6,60167,0,1,3
6,60169,0,1,3
6,60176,0,1,11
6,60176,0,1,12
6,60180,0,1,3
6,60181,0,1,3
6,60182,0,1,3
6,60184,0,1,3
6,60185,0,1,5
6,60190,0,1,3
6,60196,0,1,99
6,60197,0,1,12
6,60197,0,1,14
6,60202,0,1,3
6,60204,0,1,3
6,60205,0,1,3
6,60215,0,1,8
6,60217,0,1,3
6,60219,0,1,5
6,60220,0,1,3
6,60223,0,1,8
6,60224,0,1,5
6,60230,0,1,8
6,60231,0,1,3
6,60232,0,1,3
6,60235,0,1,8
6,60237,0,1,6
6,60238,0,1,3
6,60241,0,1,11
6,60242,0,1,3
6,60242,0,1,12
6,60248,0,1,5
6,60258,0,1,3
6,60259,0,1,16
6,60260,0,1,3
6,60261,0,1,3
6,60262,0,1,3
6,60267,0,1,8
6,60268,0,1,3
6,60273,0,1,5
6,60273,0,2,5
6,60282,0,1,98
6,60286,0,1,16
6,60287,0,1,3
6,60290,0,1,3
6,60292,0,1,3
6,60293,0,1,16
6,60294,0,1,6
6,60303,0,1,5
6,60307,0,1,3
6,60310,0,1,5
6,60310,0,1,12
6,60313,0,1,3
6,60315,0,1,3
6,60316,0,1,3
6,60318,0,1,3
6,60320,0,1,3
6,60322,0,1,5
6,60325,0,1,3
6,60326,0,1,3
6,60327,0,1,3
6,60329,0,1,3
6,60342,0,1,3
6,60344,0,1,3
6,60345,0,1,3
6,60349,0,1,3
6,60350,0,1,8
6,60352,0,1,3
6,60354,0,1,3
6,60356,0,1,5
6,60365,0,1,5
6,60366,0,1,14
6,60379,0,1,3
6,60380,0,1,3
6,60381,0,1,5
6,60385,0,1,3
6,60390,0,1,3
6,60391,0,1,3
6,60395,0,1,5
6,60397,0,1,3
6,60402,0,1,5
6,60405,0,1,5
6,60412,0,1,3
6,60414,0,1,3
6,60417,0,1,3
6,60418,0,1,3
6,60424,0,1,3
6,60429,0,1,3
6,60430,0,1,3
6,60431,0,1,3
6,60432,0,1,5
6,60433,0,1,5
6,60434,0,1,3
6,60435,0,1,3
6,60438,0,1,3
6,60438,0,2,3
6,60439,0,1,3
6,60441,0,1,3
6,60443,0,1,3
6,60449,0,1,3
6,60451,0,1,3
6,60453,0,1,12
6,60454,0,1,3
6,60455,0,1,3
6,60459,0,1,3
6,60462,0,1,3
6,60463,0,1,3
6,60467,0,1,9
6,60468,0,1,3
6,60470,0,1,3
6,60474,0,1,3
6,60485,0,1,3
6,60489,0,1,14
6,60502,0,1,3
6,60510,0,1,3
6,60511,0,1,3
6,60512,0,1,3
6,60513,0,1,14
6,60513,0,2,14
6,60517,0,1,3
6,60517,0,2,3
6,60519,0,1,3
6,60520,0,1,5
6,60523,0,1,3
6,60525,0,1,5
6,60526,0,1,5
6,60526,0,2,5
6,60526,0,3,5
6,60526,0,4,5
6,60528,0,1,14
6,60529,0,1,3
6,60530,0,1,3
6,60531,0,1,3
6,60535,0,1,4
6,60535,0,1,6
6,60536,0,1,8
6,60537,0,1,3
6,60538,0,1,5
6,60539,0,1,3
6,60540,0,1,3
6,60550,0,1,3
6,60556,0,1,5
6,60559,0,1,5
6,60561,0,1,5
6,60565,0,1,3
6,60576,0,1,3
6,60578,0,1,14
6,60585,0,1,3
6,60594,0,1,3
6,60603,0,1,3
