STATE,ST_CASE,VEH_NO,PVE_FORMS,PNUMOCCS,PDAY,PMONTH,PHOUR,PMINUTE,PHARM_EV,PMAN_COLL,PTYPE,PHIT_RUN,PREG_STAT,POWNER,PMAKE,PMODEL,PMAK_MOD,PBODYTYP,PMODYEAR,PVIN,PVIN_1,PVIN_2,PVIN_3,PVIN_4,PVIN_5,PVIN_6,PVIN_7,PVIN_8,PVIN_9,PVIN_10,PVIN_11,PVIN_12,PTRAILER,PMCARR_I1,PMCARR_I2,PMCARR_ID,PGVWR,PV_CONFIG,PCARGTYP,PHAZ_INV,PHAZPLAC,PHAZ_ID,PHAZ_CNO,PHAZ_REL,PBUS_USE,PSP_USE,PEM_USE,PUNDERIDE,PIMPACT1,PVEH_SEV,PTOWED,PM_HARM,PVEH_SC1,PVEH_SC2,PFIRE,PDEATHS,PTRLR1VIN,PTRLR2VIN,PTRLR3VIN
1,10001,2,1,0,5,1,6,0,14,0,2,0,1,6,14,402,14402,14,2005,4M2YU56195DJ,4,M,2,Y,U,5,6,1,9,5,D,J,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,9,8,12,0,0,0,0,777777777777,777777777777,777777777777
1,10006,2,1,3,19,1,22,8,14,0,2,0,1,6,23,481,23481,34,2004,2GTEK13T5414,2,G,T,E,K,1,3,T,5,4,1,4,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,6,2,12,0,0,0,0,777777777777,777777777777,777777777777
1,10079,2,1,0,5,2,15,26,14,0,2,0,1,6,85,881,85881,66,2007,1XKADB9X47J1,1,X,K,A,D,B,9,X,4,7,J,1,1,57,1683904,571683904,3,6,3,1,0,0,0,0,0,0,0,0,6,6,2,12,0,0,0,0,888888888888,777777777777,777777777777
1,10196,2,1,1,30,3,14,43,14,0,3,0,1,6,6,51,6051,4,2006,2C3LA63HX6H3,2,C,3,L,A,6,3,H,X,6,H,3,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,10,6,2,12,0,0,0,0,777777777777,777777777777,777777777777
1,10261,2,1,0,29,4,10,48,19,0,3,0,1,6,20,481,20481,34,2000,1GCEK14T1YZ3,1,G,C,E,K,1,4,T,1,Y,Z,3,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,3,2,5,12,0,0,0,0,777777777777,777777777777,777777777777
1,10261,3,1,0,29,4,10,48,19,0,3,0,1,6,35,471,35471,34,1994,1N6SD16S9RC3,1,N,6,S,D,1,6,S,9,R,C,3,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,5,2,5,12,0,0,0,0,777777777777,777777777777,777777777777
1,10279,3,2,0,8,5,22,2,12,2,2,0,1,6,55,33,55033,4,2014,5NPEB4AC7EH8,5,N,P,E,B,4,A,C,7,E,H,8,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,2,5,12,0,0,0,0,777777777777,777777777777,777777777777
1,10316,2,1,0,23,5,22,0,14,0,3,0,1,6,49,401,49401,14,2016,JTEZU5JR8G51,J,T,E,Z,U,5,J,R,8,G,5,1,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,12,2,3,12,0,0,0,0,777777777777,777777777777,777777777777
1,10346,2,1,0,10,6,1,50,34,0,3,0,1,6,49,32,49032,4,2010,1NXBU4EE9AZ2,1,N,X,B,U,4,E,E,9,A,Z,2,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,3,9,8,12,0,0,0,0,777777777777,777777777777,777777777777
1,10385,2,1,0,2,7,19,9,38,0,3,0,1,6,49,472,49472,34,2014,5TFJU4GN8EX0,5,T,F,J,U,4,G,N,8,E,X,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,98,2,5,12,0,0,0,0,777777777777,777777777777,777777777777
