A_AGE1,A_AGE2,A_AGE3,A_AGE4,A_AGE5,A_AGE6,A_AGE7,A_AGE8,A_AGE9,ST_CASE,VEH_NO,PER_NO,YEAR,A_PTYPE,A_REST,A_ALCTES,A_HISP,A_RCAT,A_HRACE,A_EJECT,A_PERINJ,A_LOC
2,3,6,3,3,3,5,2,2,10033,1,1,2012,1,1,3,0,0,0,1,6,1
3,4,7,4,4,4,6,3,2,10034,1,1,2012,1,1,4,1,1,2,1,1,1
3,4,7,4,4,4,6,2,2,10034,1,2,2012,2,3,3,0,0,0,1,6,1
2,3,6,3,3,3,5,2,2,10034,1,3,2012,2,3,3,0,0,0,1,6,1
3,4,7,4,4,4,6,2,2,10034,1,4,2012,2,3,3,0,0,0,1,6,1
3,5,8,5,5,5,7,4,2,10035,1,1,2012,1,2,1,1,1,2,2,1,1
3,5,8,5,5,5,7,3,2,10036,1,1,2012,1,2,1,1,2,3,1,1,1
3,4,7,4,4,4,6,2,2,10037,1,1,2012,1,2,2,1,1,2,2,1,1
3,4,7,4,4,4,6,3,2,10038,1,1,2012,1,2,1,1,1,2,1,1,1
1,1,3,1,1,1,3,1,1,10038,1,2,2012,2,2,3,0,0,0,1,6,1
1,1,4,1,1,1,3,1,1,10038,1,3,2012,2,2,3,0,0,0,1,6,1
2,3,6,3,3,3,5,2,2,10039,0,1,2012,4,3,1,1,2,3,1,1,3
4,5,10,6,7,7,9,5,2,10039,1,1,2012,1,1,2,0,0,0,1,6,1
3,5,9,6,6,6,8,5,2,10040,1,1,2012,1,1,1,1,1,2,1,1,1
3,4,7,4,4,4,6,3,2,10040,1,2,2012,2,1,3,0,0,0,1,6,1
2,2,5,2,2,2,4,1,2,10040,2,1,2012,1,1,3,0,0,0,1,6,1
4,5,11,7,8,8,10,6,2,10041,1,1,2012,1,1,2,1,2,3,1,1,1
3,5,9,6,6,6,8,5,2,10041,2,1,2012,1,1,1,0,0,0,1,6,1
3,5,9,6,6,6,8,5,2,10041,2,2,2012,2,1,3,0,0,0,1,6,1
3,4,7,4,4,4,6,3,2,10042,1,1,2012,1,2,2,1,2,3,2,1,1
1,1,1,1,1,1,1,1,1,10042,1,2,2012,2,1,3,0,0,0,1,6,1
2,3,6,3,3,3,5,2,2,10043,1,1,2012,1,2,4,0,0,0,2,6,1
3,5,8,5,5,5,7,3,2,10043,1,2,2012,2,2,1,1,1,2,2,1,1
3,5,8,5,5,5,7,4,2,10044,1,1,2012,1,2,1,1,2,3,1,1,1
4,5,10,6,7,7,9,5,2,10045,1,1,2012,1,2,1,1,1,2,1,1,1
4,5,10,6,7,7,9,6,2,10045,2,1,2012,1,1,1,0,0,0,1,6,1
3,5,8,5,5,5,7,3,2,10046,1,1,2012,1,3,1,1,1,2,1,1,1
3,5,8,5,5,5,7,4,2,10046,2,1,2012,1,1,3,0,0,0,1,6,1
4,5,10,6,7,7,9,5,2,10047,1,1,2012,1,1,2,1,1,2,2,1,1
3,4,7,4,4,4,6,3,2,10048,1,1,2012,1,2,2,1,1,2,1,1,1
3,4,7,4,4,4,6,3,2,10049,1,1,2012,1,1,2,1,1,2,2,1,1
3,5,8,5,5,5,7,3,2,10050,1,1,2012,1,1,1,0,0,0,1,6,1
4,5,10,6,7,7,9,6,2,10050,2,1,2012,1,1,3,1,1,2,1,1,1
4,5,11,7,8,8,10,6,2,10051,1,1,2012,1,2,2,1,1,2,1,1,1
4,5,12,7,9,9,11,6,2,10052,1,1,2012,1,2,2,1,2,3,1,1,1
4,5,10,6,7,7,9,5,2,10053,0,1,2012,4,3,3,1,2,3,1,1,3
2,2,5,2,2,2,4,2,2,10053,1,1,2012,1,1,3,0,0,0,1,6,1
1,1,1,1,1,1,1,1,1,10053,1,2,2012,2,1,3,0,0,0,1,6,1
1,1,1,1,1,1,1,1,1,10053,1,3,2012,2,1,3,0,0,0,1,6,1
3,5,8,5,5,5,7,4,2,10054,1,1,2012,1,1,2,1,1,2,1,1,1
3,5,9,6,6,6,8,4,2,10054,2,1,2012,1,2,2,0,0,0,1,6,1
2,2,5,2,2,2,4,1,2,10055,0,1,2012,3,3,1,1,1,2,1,1,3
2,3,6,3,3,3,5,2,2,10055,1,1,2012,1,1,3,0,0,0,1,6,1
4,5,11,7,8,8,10,6,2,10056,1,1,2012,1,1,1,0,0,0,1,6,1
3,4,7,4,4,4,6,3,2,10056,2,1,2012,1,3,1,1,1,2,2,1,1
2,2,5,2,2,2,4,1,2,10057,1,1,2012,1,1,3,0,0,0,1,6,1
4,5,11,7,8,8,10,6,2,10057,2,1,2012,1,1,3,0,0,0,1,6,1
4,5,12,7,9,9,11,6,2,10057,2,2,2012,2,1,3,1,1,2,1,1,1
3,5,8,5,5,5,7,3,2,10058,1,1,2012,1,1,3,1,1,2,1,1,1
3,5,9,6,6,6,8,5,2,10058,2,1,2012,1,1,3,0,0,0,1,6,1
3,5,9,6,6,6,8,5,2,10059,0,1,2012,3,3,2,1,2,3,1,1,3
3,5,8,5,5,5,7,4,2,10059,1,1,2012,1,1,1,0,0,0,1,6,1
2,2,5,2,2,2,4,1,2,10059,2,1,2012,1,1,3,0,0,0,1,6,1
3,5,8,5,5,5,7,3,2,10060,1,1,2012,1,1,2,0,0,0,1,6,1
4,5,10,6,7,7,9,5,2,10060,1,2,2012,2,2,3,1,2,3,2,1,1
4,5,10,6,7,7,9,6,2,10061,1,1,2012,1,2,1,1,2,3,2,1,1
3,5,9,6,6,6,8,4,2,10061,1,2,2012,2,2,3,0,0,0,2,6,1
4,5,11,7,8,8,10,6,2,10061,1,3,2012,2,2,3,0,0,0,2,6,1
4,5,11,7,8,8,10,6,2,10061,1,4,2012,2,2,3,1,2,3,2,1,1
3,4,7,4,4,4,6,2,2,10063,1,1,2012,1,2,2,1,1,2,2,1,1
2,3,6,3,3,3,5,2,2,10064,1,1,2012,1,1,3,1,2,3,1,1,1
3,4,7,4,4,4,6,2,2,10064,2,1,2012,1,1,3,0,0,0,1,6,1
1,1,1,1,1,1,1,1,1,10064,2,2,2012,2,1,3,0,0,0,1,6,1
2,3,6,3,3,3,5,2,2,10065,1,1,2012,1,2,2,1,1,2,1,1,1
4,5,12,7,9,9,11,6,2,10066,1,1,2012,1,1,3,1,1,2,1,1,1
4,5,12,7,9,9,11,6,2,10066,1,2,2012,2,1,3,1,1,2,1,1,1
4,5,10,6,7,7,9,5,2,10066,2,1,2012,1,1,3,0,0,0,1,6,1
4,5,11,7,8,8,10,6,2,10067,0,1,2012,3,3,3,1,1,2,1,1,3
4,5,10,6,7,7,9,5,2,10067,1,1,2012,1,1,3,0,0,0,1,6,1
3,4,7,4,4,4,6,3,2,10068,1,1,2012,1,2,1,0,0,0,1,6,1
3,5,9,6,6,6,8,5,2,10068,2,1,2012,1,1,1,1,1,2,1,1,1
4,5,11,7,8,8,10,6,2,10069,0,1,2012,3,3,4,1,2,3,1,1,3
3,5,8,5,5,5,7,3,2,10069,1,1,2012,1,1,1,0,0,0,1,6,1
2,2,5,2,2,2,4,1,2,10070,1,1,2012,1,2,4,1,1,2,2,1,1
3,5,9,6,6,6,8,5,2,10071,1,1,2012,1,1,2,1,1,2,1,1,1
3,5,9,6,6,6,8,5,2,10071,2,1,2012,1,1,1,0,0,0,1,6,1
4,5,10,6,7,7,9,5,2,10071,2,2,2012,2,1,3,0,0,0,1,6,1
3,4,7,4,4,4,6,3,2,10072,1,1,2012,1,2,2,1,1,2,1,1,1
5,6,13,8,10,10,12,7,3,10073,1,1,2012,1,3,3,0,0,0,1,6,1
2,2,5,2,2,2,4,2,2,10073,1,2,2012,2,3,3,1,2,3,1,1,1
2,3,6,3,3,3,5,2,2,10073,2,1,2012,1,3,3,0,0,0,1,6,1
2,3,6,3,3,3,5,2,2,10073,2,2,2012,2,3,3,0,0,0,1,6,1
2,2,5,2,2,2,4,1,2,10073,2,3,2012,2,3,3,0,0,0,1,6,1
2,3,6,3,3,3,5,2,2,10074,1,1,2012,1,1,1,0,0,0,1,6,1
4,5,12,7,9,9,11,6,2,10074,2,1,2012,1,1,1,1,1,2,1,1,1
3,5,8,5,5,5,7,4,2,10074,3,1,2012,1,1,3,0,0,0,1,6,1
5,6,13,8,10,10,12,7,3,10074,3,2,2012,2,1,3,0,0,0,1,6,1
5,6,13,8,10,10,12,7,3,10074,3,3,2012,2,1,3,0,0,0,1,6,1
2,3,6,3,3,3,5,2,2,10075,1,1,2012,1,1,3,1,1,2,1,1,1
3,5,8,5,5,5,7,4,2,10075,2,1,2012,1,1,2,0,0,0,1,6,1
4,5,10,6,7,7,9,5,2,10075,2,2,2012,2,1,3,0,0,0,1,6,1
3,5,9,6,6,6,8,5,2,10075,3,1,2012,1,1,3,0,0,0,1,6,1
1,1,4,1,1,1,3,1,1,10075,3,2,2012,2,1,3,0,0,0,1,6,1
2,3,6,3,3,3,5,2,2,10076,1,1,2012,1,3,2,2,1,1,1,1,1
3,5,9,6,6,6,8,4,2,10077,1,1,2012,1,2,4,0,0,0,1,6,1
3,5,8,5,5,5,7,4,2,10077,1,2,2012,2,1,3,0,0,0,1,6,1
5,6,13,8,10,10,12,7,3,10077,1,3,2012,2,1,3,0,0,0,1,6,1
1,1,2,1,1,1,2,1,1,10077,1,4,2012,2,2,3,0,0,0,1,6,1
3,5,9,6,6,6,8,5,2,10077,1,5,2012,2,2,3,1,2,3,1,1,1
4,5,10,6,7,7,9,5,2,10078,1,1,2012,1,1,1,1,2,3,1,1,1
4,5,12,7,9,9,11,6,2,10078,1,2,2012,2,1,3,0,0,0,1,6,1
3,5,9,6,6,6,8,4,2,10078,2,1,2012,1,1,3,0,0,0,1,6,1
4,5,10,6,7,7,9,5,2,10079,1,1,2012,1,1,3,1,1,2,1,1,1
3,4,7,4,4,4,6,3,2,10079,2,1,2012,1,1,3,0,0,0,1,6,1
2,2,5,2,2,2,4,1,2,10080,1,1,2012,1,2,4,0,0,0,1,6,1
2,2,5,2,2,2,4,1,2,10080,1,2,2012,2,2,3,1,1,2,1,1,1
2,2,5,2,2,2,4,1,2,10080,2,1,2012,1,2,3,0,0,0,1,6,1
2,2,5,2,2,2,4,1,2,10080,3,1,2012,1,2,3,0,0,0,1,6,1
2,2,5,2,2,2,4,1,2,10080,3,2,2012,2,2,3,0,0,0,1,6,1
3,4,7,4,4,4,6,3,2,10081,0,1,2012,3,3,2,1,2,3,1,1,3
3,4,7,4,4,4,6,3,2,10081,1,1,2012,1,1,3,0,0,0,1,6,1
3,4,7,4,4,4,6,2,2,10082,1,1,2012,1,3,3,1,1,2,1,1,1
4,5,11,7,8,8,10,6,2,10083,1,1,2012,1,1,1,1,1,2,1,1,1
2,3,6,3,3,3,5,2,2,10084,0,1,2012,3,3,3,1,7,8,1,1,4
3,4,7,4,4,4,6,3,2,10084,0,2,2012,3,3,3,0,0,0,1,6,4
3,5,9,6,6,6,8,4,2,10084,0,3,2012,3,3,3,0,0,0,1,6,4
3,4,7,4,4,4,6,3,2,10084,1,1,2012,1,1,3,0,0,0,1,6,1
4,5,12,7,9,9,11,6,2,10085,1,1,2012,1,1,3,1,1,2,1,1,1
2,3,6,3,3,3,5,2,2,10085,2,1,2012,1,1,3,0,0,0,1,6,1
3,4,7,4,4,4,6,3,2,10086,1,1,2012,1,2,3,1,1,2,2,1,1
3,5,9,6,6,6,8,5,2,10086,2,1,2012,1,1,3,0,0,0,1,6,1
3,5,8,5,5,5,7,4,2,10087,1,1,2012,1,2,3,1,1,2,1,1,1
3,5,9,6,6,6,8,5,2,10088,1,1,2012,1,2,1,1,1,2,2,1,1
2,3,6,3,3,3,5,2,2,10089,1,1,2012,1,2,2,1,2,3,2,1,1
2,3,6,3,3,3,5,2,2,10089,1,2,2012,2,1,3,1,1,2,1,1,1
4,5,11,7,8,8,10,6,2,10090,2,1,2012,1,1,1,1,1,2,1,1,1
3,5,9,6,6,6,8,4,2,10091,1,1,2012,1,2,2,1,1,2,2,1,1
3,4,7,4,4,4,6,2,2,10092,1,1,2012,1,2,2,1,1,2,2,1,1
3,4,7,4,4,4,6,3,2,10093,1,1,2012,1,2,3,1,1,2,2,1,1
3,4,7,4,4,4,6,2,2,10093,1,2,2012,2,1,3,0,0,0,1,6,1
2,3,6,3,3,3,5,2,2,10093,1,3,2012,2,1,3,0,0,0,1,6,1
4,5,10,6,7,7,9,5,2,10093,1,4,2012,2,1,3,0,0,0,1,6,1
3,5,8,5,5,5,7,4,2,10093,2,1,2012,1,1,3,0,0,0,1,6,1
2,3,6,3,3,3,5,2,2,10094,1,1,2012,1,2,2,0,0,0,1,6,1
2,2,5,2,2,2,4,2,2,10094,1,2,2012,2,2,3,1,1,2,1,1,1
