STATE,ST_CASE,VEH_NO,PVE_FORMS,PNUMOCCS,PDAY,PMONTH,PHOUR,PMINUTE,PHARM_EV,PMAN_COLL,PTYPE,PHIT_RUN,PREG_STAT,POWNER,PMAKE,PMODEL,PMAK_MOD,PBODYTYP,PMODYEAR,PVIN,PVIN_1,PVIN_2,PVIN_3,PVIN_4,PVIN_5,PVIN_6,PVIN_7,PVIN_8,PVIN_9,PVIN_10,PVIN_11,PVIN_12,PTRAILER,PMCARR_I1,PMCARR_I2,PMCARR_ID,PGVWR,PV_CONFIG,PCARGTYP,PHAZ_INV,PHAZPLAC,PHAZ_ID,PHAZ_CNO,PHAZ_REL,PBUS_USE,PSP_USE,PEM_USE,PUNDERIDE,PIMPACT1,PVEH_SEV,PTOWED,PM_HARM,PVEH_SC1,PVEH_SC2,PFIRE,PDEATHS,PTRLR1VIN,PTRLR2VIN,PTRLR3VIN
1,10003,2,1,1,1,1,2,20,14,0,2,0,17,6,82,881,82881,66,2016,3AKJGLDR6GSG,3,A,K,J,G,L,D,R,6,G,S,G,1,57,2124300,572124300,3,6,1,1,0,0,0,0,0,0,0,0,6,2,5,12,0,0,0,0,888888888888,777777777777,777777777777
1,10020,3,2,0,10,1,1,20,12,6,3,0,1,6,12,402,12402,14,2003,1FMCU031X3KA,1,F,M,C,U,0,3,1,X,3,K,A,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,3,2,5,12,0,0,0,0,777777777777,777777777777,777777777777
1,10022,3,2,0,14,1,10,35,12,6,2,0,1,6,12,25,12025,6,2013,2FMGK5C81DBD,2,F,M,G,K,5,C,8,1,D,B,D,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,2,5,12,0,0,0,0,777777777777,777777777777,777777777777
1,10022,4,2,0,14,1,10,35,12,6,2,0,1,6,49,402,49402,14,2008,JTMZD33V0851,J,T,M,Z,D,3,3,V,0,8,5,1,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,8,2,5,14,0,0,0,0,777777777777,777777777777,777777777777
1,10024,2,1,0,14,1,13,45,8,0,3,0,1,6,7,398,7398,6,1992,2B4HB25Y0NK1,2,B,4,H,B,2,5,Y,0,N,K,1,1,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,5,6,5,12,0,0,0,0,888888888888,777777777777,777777777777
1,10046,2,1,1,7,2,6,15,14,0,2,0,45,6,84,884,84884,66,1998,2HSFHAMR9WC0,2,H,S,F,H,A,M,R,9,W,C,0,1,99,999999999,99999999999,3,6,3,1,0,0,0,0,0,0,0,0,6,6,2,12,0,0,0,0,888888888888,777777777777,777777777777
1,10102,2,1,0,1,3,9,20,43,0,3,0,1,6,63,33,63033,4,2004,KNAFB1214453,K,N,A,F,B,1,2,1,4,4,5,3,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,12,4,8,12,0,0,0,0,777777777777,777777777777,777777777777
1,10130,2,1,0,29,3,11,14,8,0,2,0,1,6,53,706,53706,80,2007,JS1GR7KA0721,J,S,1,G,R,7,K,A,0,7,2,1,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,7,6,2,12,0,0,0,0,777777777777,777777777777,777777777777
1,10136,2,1,1,4,4,2,30,14,0,2,0,18,6,82,881,82881,66,2015,1FUJGLBG9FLG,1,F,U,J,G,L,B,G,9,F,L,G,1,57,054283,57054283,3,6,1,1,0,0,0,0,0,0,0,0,6,6,2,2,0,0,1,0,888888888888,777777777777,777777777777
1,10171,3,2,0,14,4,4,55,12,1,2,0,1,6,12,481,12481,31,2011,1FD8W3G61BEA,1,F,D,8,W,3,G,6,1,B,E,A,1,88,888888888,88888888888,2,4,4,1,0,0,0,0,0,0,0,0,6,4,3,12,0,0,0,0,888888888888,777777777777,777777777777
1,10255,3,2,0,22,4,19,21,12,6,3,0,1,6,22,20,22020,9,9999,999999999999,9,9,9,9,9,9,9,9,9,9,9,9,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,98,4,9,12,0,0,0,0,777777777777,777777777777,777777777777
1,10255,4,2,0,22,4,19,21,12,6,3,0,1,6,14,6,14006,4,9999,999999999999,9,9,9,9,9,9,9,9,9,9,9,9,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,98,4,9,12,0,0,0,0,777777777777,777777777777,777777777777
1,10255,5,2,0,22,4,19,21,12,6,3,0,1,6,12,17,12017,4,9999,999999999999,9,9,9,9,9,9,9,9,9,9,9,9,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,4,9,12,0,0,0,0,777777777777,777777777777,777777777777
1,10306,2,1,0,4,6,4,20,8,0,2,0,1,6,20,481,20481,31,2010,3GCRCTE06AG2,3,G,C,R,C,T,E,0,6,A,G,2,1,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,8,8,12,0,0,0,0,5E7CA18289R0,777777777777,777777777777
1,10350,2,1,2,18,6,3,34,38,0,3,0,1,6,20,2,20002,4,2004,2G1WH52K1491,2,G,1,W,H,5,2,K,1,4,9,1,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,2,5,12,0,0,0,0,777777777777,777777777777,777777777777
1,10361,2,1,0,24,6,0,55,14,0,3,0,99,6,12,481,12481,31,2000,999999999999,9,9,9,9,9,9,9,9,9,9,9,9,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,7,8,8,12,0,0,0,0,777777777777,777777777777,777777777777
1,10361,3,1,0,24,6,0,55,14,0,3,0,99,6,12,461,12461,21,2013,999999999999,9,9,9,9,9,9,9,9,9,9,9,9,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,98,8,8,12,0,0,0,0,777777777777,777777777777,777777777777
1,10381,2,1,0,13,5,16,18,33,0,3,0,1,6,58,40,58040,6,2008,JNKAJ09E88M3,J,N,K,A,J,0,9,E,8,8,M,3,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,2,4,8,12,0,0,0,0,777777777777,777777777777,777777777777
1,10381,3,1,0,13,5,16,18,33,0,3,0,1,6,23,8,23008,6,2012,1GKKRTED7CJ3,1,G,K,K,R,T,E,D,7,C,J,3,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,2,6,8,12,0,0,0,0,777777777777,777777777777,777777777777
1,10385,2,1,2,12,7,6,18,14,0,2,0,18,6,82,881,82881,66,2013,3AKJGLDRXDSB,3,A,K,J,G,L,D,R,X,D,S,B,1,57,028406,57028406,3,6,1,1,0,0,0,0,0,0,0,0,6,6,2,12,0,0,0,0,888888888888,777777777777,777777777777
1,10388,2,1,1,2,3,7,44,8,0,4,0,1,3,98,998,98998,93,2012,999999999999,9,9,9,9,9,9,9,9,9,9,9,9,0,99,999999999,99999999999,9,99,0,1,0,0,0,0,0,0,0,0,6,2,5,12,0,0,0,0,777777777777,777777777777,777777777777
1,10422,2,1,1,24,6,5,2,14,0,2,0,1,6,82,881,82881,66,2003,1FUJBBCG53LK,1,F,U,J,B,B,C,G,5,3,L,K,1,57,878058,57878058,3,6,1,1,0,0,0,0,0,0,0,0,12,6,2,12,0,0,1,1,888888888888,777777777777,777777777777
1,10431,2,1,1,27,7,10,0,8,0,2,0,1,6,12,401,12401,14,2008,1FMEU63EX8UA,1,F,M,E,U,6,3,E,X,8,U,A,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,7,6,2,12,0,0,0,0,777777777777,777777777777,777777777777
1,10453,2,1,0,27,7,13,0,8,0,3,0,1,6,49,40,49040,4,2001,4T1BG22K41U8,4,T,1,B,G,2,2,K,4,1,U,8,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,8,6,8,12,0,0,0,0,777777777777,777777777777,777777777777
1,10453,3,1,0,27,7,13,0,8,0,3,0,1,6,12,402,12402,14,2011,1FMCU0D75BKA,1,F,M,C,U,0,D,7,5,B,K,A,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,9,6,8,12,0,0,0,0,777777777777,777777777777,777777777777
1,10478,2,1,0,23,7,4,33,42,0,3,0,99,6,2,404,2404,14,1996,888888888888,8,8,8,8,8,8,8,8,8,8,8,8,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,8,8,12,0,0,0,0,777777777777,777777777777,777777777777
1,10687,2,1,0,21,10,22,31,30,0,3,0,92,6,49,40,49040,4,2005,JTDBE32K0530,J,T,D,B,E,3,2,K,0,5,3,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,11,2,5,12,0,0,0,0,777777777777,777777777777,777777777777
1,10687,3,1,0,21,10,22,31,30,0,3,0,92,6,59,31,59031,4,2001,JT8BF28G5103,J,T,8,B,F,2,8,G,5,1,0,3,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,9,2,5,12,0,0,0,0,777777777777,777777777777,777777777777
1,10687,4,1,0,21,10,22,31,30,0,3,0,92,6,55,33,55033,4,2010,5NPET4AC1AH6,5,N,P,E,T,4,A,C,1,A,H,6,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,12,2,5,12,0,0,0,0,777777777777,777777777777,777777777777
1,10687,5,1,0,21,10,22,31,30,0,3,0,92,6,30,46,30046,4,2007,WVWEK73C27P0,W,V,W,E,K,7,3,C,2,7,P,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,12,2,5,12,0,0,0,0,777777777777,777777777777,777777777777
1,10687,6,1,0,21,10,22,31,30,0,3,0,92,6,42,43,42043,4,2001,WDBNG75J01A1,W,D,B,N,G,7,5,J,0,1,A,1,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,12,2,5,12,0,0,0,0,777777777777,777777777777,777777777777
1,10687,7,1,0,21,10,22,31,30,0,3,0,92,6,42,48,42048,4,2006,WDBUF56J16A7,W,D,B,U,F,5,6,J,1,6,A,7,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,12,2,5,12,0,0,0,0,777777777777,777777777777,777777777777
