ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10001,7,7,7,7,7,7,7,7,7,7
10002,16,16,16,16,16,16,16,16,16,16
10003,0,15,15,15,0,33,8,0,23,6
10004,18,6,23,31,19,17,14,16,28,31
10005,10,0,0,0,0,0,9,0,0,29
10006,23,7,0,32,11,0,8,0,0,0
10007,0,0,0,0,0,0,0,0,0,0
10008,21,21,21,21,21,21,21,21,21,21
10009,0,0,0,0,0,0,0,0,14,0
10010,10,10,10,10,10,10,10,10,10,10
10011,23,0,13,0,0,0,9,12,0,0
10012,0,0,0,0,0,0,0,0,0,0
10013,0,0,0,0,0,0,0,0,0,0
10014,22,22,22,22,22,22,22,22,22,22
10015,0,0,0,0,0,0,0,0,0,0
10016,26,26,26,26,26,26,26,26,26,26
10017,12,12,12,12,12,12,12,12,12,12
10018,0,0,0,0,0,0,0,0,0,0
10019,0,0,0,0,0,0,0,0,0,0
10020,13,17,16,17,25,9,9,9,16,28
10021,0,0,0,0,0,0,0,0,0,0
10022,0,0,0,0,0,0,0,0,19,12
10023,0,0,0,0,0,0,0,0,0,0
10024,0,0,0,0,0,0,0,0,0,0
10025,21,19,22,22,24,22,12,0,33,29
10026,8,0,0,0,0,0,0,0,3,0
10027,25,25,25,25,25,25,25,25,25,25
10028,0,0,0,0,0,0,0,0,0,0
10029,0,0,0,0,0,0,0,0,0,0
10030,15,0,24,21,17,0,20,0,0,34
10031,0,0,0,0,0,0,0,0,0,0
10032,0,0,0,0,0,0,0,0,0,0
10033,0,0,0,0,0,0,0,0,0,0
10034,0,0,0,11,0,0,0,0,0,0
10035,0,0,0,0,0,0,0,0,0,0
10036,0,0,0,0,0,0,0,0,0,0
10037,0,0,0,0,0,0,0,0,0,0
10038,0,0,0,0,0,0,0,0,0,0
10039,0,0,0,0,0,0,0,0,0,0
10040,0,0,0,0,0,0,0,0,0,0
10041,0,0,4,0,0,0,0,0,0,0
10042,33,21,14,22,0,0,10,11,17,15
10043,13,7,21,14,6,19,12,13,12,32
10044,0,0,0,0,0,0,24,0,0,0
10045,0,0,0,0,0,0,0,0,0,0
10046,0,0,0,0,0,0,0,0,0,0
10047,13,18,26,23,5,13,27,25,19,38
10048,0,0,0,0,0,0,0,0,0,0
10049,0,0,0,15,0,0,0,0,0,0
10050,0,0,0,0,0,0,0,0,0,0
10051,0,0,0,0,0,0,0,7,0,0
10052,0,0,0,0,0,0,0,0,0,0
10053,14,14,14,14,14,14,14,14,14,14
10054,0,0,0,0,0,0,0,0,0,0
10055,0,0,13,0,0,0,0,19,0,24
10056,8,8,8,8,8,8,8,8,8,8
10057,0,0,0,0,0,15,0,21,0,0
10058,10,24,0,36,0,0,0,0,0,0
10059,7,7,7,7,7,7,7,7,7,7
10060,0,0,0,0,0,0,0,0,0,0
10061,0,0,0,0,0,0,0,20,0,0
10062,0,0,0,13,0,0,0,0,0,0
10063,16,18,5,8,0,23,6,15,3,8
10064,32,9,12,9,13,16,13,9,19,8
10065,0,0,5,0,0,23,0,0,0,0
10066,7,7,7,7,7,7,7,7,7,7
10067,8,8,8,8,8,8,8,8,8,8
10068,0,0,0,0,0,0,0,0,21,0
10069,0,0,0,0,0,0,0,0,0,0
10070,0,0,0,0,0,0,6,9,0,0
10071,24,23,25,18,28,6,23,27,15,18
10072,0,0,0,0,0,0,0,0,0,0
10073,0,0,0,0,0,0,0,0,0,0
10074,33,8,0,0,0,0,25,0,0,18
10075,0,0,0,0,0,0,0,0,0,0
10076,4,4,4,4,4,4,4,4,4,4
10077,0,0,0,0,0,0,0,0,0,0
10078,0,0,0,0,0,0,0,0,0,0
10079,15,15,15,15,15,15,15,15,15,15
10080,34,0,0,0,19,0,20,0,0,0
10081,0,0,0,0,0,0,0,0,0,0
10082,14,14,14,14,14,14,14,14,14,14
10083,0,0,0,0,0,0,0,0,0,0
10084,0,0,18,0,0,0,0,0,0,0
10085,0,0,15,0,0,8,0,0,0,0
10086,0,0,0,0,0,0,0,0,0,0
10087,0,0,0,0,0,0,0,0,0,0
10088,0,0,6,0,0,0,0,0,0,0
10089,0,0,0,0,0,0,19,0,0,0
10090,26,26,26,26,26,26,26,26,26,26
10091,0,0,0,0,0,0,0,0,0,0
10092,0,0,0,0,0,0,0,0,0,0
10093,0,0,0,0,0,0,0,0,0,0
10094,6,6,6,6,6,6,6,6,6,6
10095,0,0,0,0,0,0,0,0,0,0
10096,0,0,0,0,0,0,0,0,0,0
10097,25,25,25,25,25,25,25,25,25,25
10098,1,1,1,1,1,1,7,1,1,1
10099,20,20,20,20,20,20,20,20,20,20
10100,0,0,0,0,0,0,0,0,0,0
10101,0,0,0,0,0,0,0,0,0,0
10102,0,0,0,0,0,0,0,0,0,0
10103,0,0,0,0,0,0,0,0,0,0
10104,24,24,24,24,24,24,24,24,24,24
10105,0,0,0,10,0,0,20,0,1,0
10106,15,15,15,15,15,15,15,15,15,15
10107,4,4,4,4,4,4,4,4,4,4
10108,0,0,0,0,0,0,0,0,0,0
10109,0,0,0,0,0,0,0,0,0,0
10110,0,0,0,0,0,0,0,0,0,0
10111,0,0,0,0,0,0,0,0,0,0
10112,2,2,2,2,2,2,2,2,2,2
10113,16,3,0,0,0,0,0,7,0,0
10114,0,0,18,0,0,0,0,0,9,0
10115,0,0,0,0,0,0,0,0,0,0
10116,0,0,0,0,0,0,0,0,0,0
10117,0,0,0,0,0,0,13,0,22,0
10118,17,23,0,0,0,0,0,0,0,0
10119,0,0,0,0,0,0,0,0,0,0
10120,19,19,19,19,19,19,19,19,19,19
