ST_CASE,VEH_NO,PER_NO,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
10069,1,1,0,0,0,0,0,0,0,0,0,0
10070,1,1,0,0,0,0,0,0,6,9,0,0
10071,1,1,24,23,25,18,28,6,23,27,15,18
10072,1,1,0,0,0,0,0,0,0,0,0,0
10073,0,1,27,0,8,22,0,0,12,31,13,0
10073,1,1,0,0,0,0,0,0,0,0,0,0
10074,1,1,33,8,0,0,0,0,25,0,0,18
10075,1,1,0,0,0,0,0,0,0,0,0,0
10076,1,1,0,0,0,0,0,0,0,0,0,0
10076,2,1,0,0,0,0,0,0,0,0,0,0
10076,3,1,4,4,4,4,4,4,4,4,4,4
10077,1,1,0,0,0,0,0,0,0,0,0,0
10077,2,1,0,0,0,0,0,0,0,0,0,0
10078,1,1,0,0,0,0,0,0,0,0,0,0
10079,1,1,15,15,15,15,15,15,15,15,15,15
10080,1,1,34,0,0,0,19,0,20,0,0,0
10081,1,1,0,0,0,0,0,0,0,0,0,0
10081,2,1,0,0,0,0,0,0,0,0,0,0
10082,1,1,14,14,14,14,14,14,14,14,14,14
10082,2,1,7,7,7,7,7,7,7,7,7,7
10083,0,1,0,0,0,0,0,0,0,0,0,0
10083,1,1,0,0,0,0,0,0,0,0,0,0
10084,1,1,0,0,18,0,0,0,0,0,0,0
10085,0,1,0,0,0,0,0,0,0,0,0,0
10085,1,1,0,0,15,0,0,8,0,0,0,0
10086,1,1,0,0,0,0,0,0,0,0,0,0
10086,2,1,0,0,0,0,0,0,0,0,0,0
10086,3,1,0,0,0,0,0,0,0,0,0,0
10087,1,1,0,0,0,0,0,0,0,0,0,0
10088,1,1,0,0,0,0,0,0,0,0,0,0
10088,2,1,0,0,6,0,0,0,0,0,0,0
10089,1,1,0,0,0,0,0,0,19,0,0,0
10090,1,1,26,26,26,26,26,26,26,26,26,26
10091,0,1,24,24,24,24,24,24,24,24,24,24
10091,1,1,0,0,0,0,0,0,0,0,0,0
10092,1,1,0,0,0,0,0,0,0,0,0,0
10093,1,1,0,0,0,0,0,0,0,0,0,0
10093,2,1,0,0,0,0,0,0,0,0,0,0
10094,1,1,6,6,6,6,6,6,6,6,6,6
10095,1,1,0,0,0,0,0,0,0,0,0,0
10096,1,1,0,0,0,0,0,0,0,0,0,0
10097,1,1,25,25,25,25,25,25,25,25,25,25
10098,1,1,1,1,1,1,1,1,1,1,1,1
10098,2,1,0,0,0,0,0,0,7,0,0,0
10099,1,1,20,20,20,20,20,20,20,20,20,20
10100,1,1,0,0,0,0,0,0,0,0,0,0
10101,1,1,0,0,0,0,0,0,0,0,0,0
10102,0,1,0,0,0,0,0,0,0,0,0,0
10102,1,1,0,0,0,0,0,0,0,0,0,0
10103,1,1,0,0,0,0,0,0,0,0,0,0
10104,1,1,24,24,24,24,24,24,24,24,24,24
10105,1,1,0,0,0,10,0,0,20,0,1,0
10106,1,1,15,15,15,15,15,15,15,15,15,15
10107,1,1,4,4,4,4,4,4,4,4,4,4
10108,1,1,0,0,0,0,0,0,0,0,0,0
10108,2,1,0,0,0,0,0,0,0,0,0,0
10109,0,1,19,19,19,19,19,19,19,19,19,19
10109,1,1,0,0,0,0,0,0,0,0,0,0
10110,0,1,22,24,0,23,0,0,0,6,6,24
10110,1,1,0,0,0,0,0,0,0,0,0,0
10111,1,1,0,0,0,0,0,0,0,0,0,0
10111,2,1,0,0,0,0,0,0,0,0,0,0
10112,1,1,2,2,2,2,2,2,2,2,2,2
10112,2,1,0,0,0,0,0,0,0,0,0,0
10113,0,1,24,24,24,24,24,24,24,24,24,24
10113,1,1,16,3,0,0,0,0,0,7,0,0
10114,1,1,0,0,18,0,0,0,0,0,9,0
10115,0,1,0,0,0,0,0,0,0,0,0,0
10115,1,1,0,0,0,0,0,0,0,0,0,0
10116,1,1,0,0,0,0,0,0,0,0,0,0
10116,2,1,0,0,0,0,0,0,0,0,0,0
10117,1,1,0,0,0,0,0,0,13,0,22,0
10117,2,1,0,0,0,0,0,0,0,0,0,0
10117,3,1,0,0,0,0,0,0,0,0,0,0
10118,1,1,17,23,0,0,0,0,0,0,0,0
10119,1,1,0,0,0,0,0,0,0,0,0,0
10119,2,1,0,0,0,0,0,0,0,0,0,0
10120,1,1,19,19,19,19,19,19,19,19,19,19
10121,1,1,22,22,22,22,22,22,22,22,22,22
10121,2,1,0,0,0,0,0,0,0,0,0,0
10122,1,1,0,11,0,10,20,0,37,0,0,0
10123,1,1,19,19,19,19,19,19,19,19,19,19
10124,1,1,0,0,0,0,0,0,0,0,0,0
10125,1,1,0,0,0,0,0,0,0,0,0,28
10126,1,1,0,22,0,0,0,0,0,0,0,0
10127,0,1,0,0,0,0,0,0,0,0,0,0
10127,1,1,16,16,16,16,16,16,16,16,16,16
