YEAR,VEH_NO,ST_CASE,A_BODY,A_IMP1,A_IMP2,A_VROLL,A_LIC_S,A_LIC_C,A_CDL_S,A_MC_L_S,A_SPVEH,A_SBUS,A_MOD_YR,A_DRDIS,A_DRDRO
2002,1,10001,1,2,2,1,1,1,1,4,2,3,1990,2,1
2002,1,10002,3,1,1,1,1,1,2,4,2,3,1997,2,2
2002,1,10003,2,2,2,1,1,1,2,4,1,3,2001,2,2
2002,1,10004,2,1,1,2,1,1,1,4,2,3,1997,2,2
2002,1,10005,1,2,2,1,1,1,2,4,1,3,1989,2,2
2002,1,10006,1,6,6,1,1,1,2,4,1,3,1996,2,2
2002,1,10007,1,2,2,2,1,1,2,4,1,3,1992,2,2
2002,1,10008,1,3,3,2,1,1,2,4,2,3,2002,1,2
2002,2,10008,6,2,2,2,1,1,1,4,2,3,1989,2,2
2002,1,10009,1,2,2,2,2,2,2,4,1,3,1981,2,2
2002,1,10010,6,2,2,2,1,1,1,4,2,3,1990,2,2
2002,2,10010,6,2,5,2,1,1,1,4,2,3,1994,2,2
2002,1,10011,1,3,3,2,1,1,2,4,2,3,1999,1,2
2002,2,10011,2,2,2,2,1,1,2,4,2,3,1994,2,2
2002,1,10012,7,2,2,2,4,2,2,2,1,3,2001,2,2
2002,1,10013,2,2,2,1,1,1,2,4,1,3,1997,2,2
2002,1,10014,1,2,2,2,1,1,2,4,1,3,1995,2,2
2002,1,10015,3,2,2,2,1,1,2,4,2,3,1984,2,2
2002,2,10015,1,4,4,2,1,1,2,4,1,3,2000,2,2
2002,1,10016,1,3,3,2,1,1,2,4,1,3,1995,2,2
2002,1,10017,1,2,2,2,1,1,2,4,1,3,1994,2,1
2002,1,10019,4,2,2,2,1,1,2,4,2,3,1996,2,2
2002,1,10020,1,2,2,2,1,1,1,4,2,3,1996,2,2
2002,1,10021,6,2,2,2,1,1,1,4,2,3,1998,1,2
2002,2,10021,4,4,4,2,1,1,2,4,2,3,1997,2,2
2002,1,10022,3,2,2,1,1,1,2,4,1,3,1996,2,2
2002,1,10023,1,2,3,2,1,1,1,4,2,3,1986,2,2
2002,2,10023,3,2,2,2,1,1,2,4,2,3,1994,2,2
2002,1,10024,4,2,2,2,1,1,2,4,2,3,1998,1,2
2002,2,10024,7,2,2,2,4,2,2,2,2,3,2001,2,2
2002,3,10024,1,2,2,2,1,1,2,4,2,3,1991,2,2
2002,4,10024,9,7,7,2,3,3,3,4,2,3,9999,2,2
2002,1,10025,1,5,5,2,1,1,2,4,2,3,1986,2,2
2002,2,10025,6,2,2,1,1,1,1,4,2,3,2000,2,2
2002,1,10026,1,2,2,2,1,1,2,4,1,3,1995,2,2
2002,1,10027,3,2,2,2,1,1,2,4,2,3,1987,2,2
2002,2,10027,1,2,2,2,1,1,2,4,2,3,2000,2,2
2002,1,10028,1,2,2,2,2,2,2,4,1,3,1989,2,2
2002,1,10029,1,2,2,2,1,1,2,4,1,3,2000,2,2
2002,2,10029,2,2,2,1,1,1,2,4,2,3,1998,2,2
2002,1,10030,1,2,2,2,1,1,2,4,2,3,1999,1,2
2002,2,10030,3,4,3,1,1,1,2,4,2,3,2001,2,2
2002,1,10031,2,3,3,2,1,1,2,4,2,3,1996,2,2
2002,2,10031,2,2,2,2,1,1,2,4,2,3,1997,2,2
2002,1,10032,3,2,2,1,1,1,2,4,2,3,1987,2,2
2002,1,10033,1,5,5,2,1,1,2,4,2,3,1993,1,2
2002,2,10033,2,2,2,2,1,1,2,4,2,3,1994,2,2
2002,1,10034,1,5,5,2,1,1,2,4,2,3,2000,2,2
2002,2,10034,3,2,2,2,1,1,2,4,2,3,1993,2,2
2002,1,10035,3,2,2,1,1,1,2,4,2,3,1976,2,2
2002,2,10035,1,2,2,2,1,1,2,4,2,3,2001,2,2
2002,1,10036,1,2,2,2,1,1,2,4,2,3,1997,2,2
2002,2,10036,1,5,5,1,1,1,2,4,2,3,1994,2,2
2002,1,10037,1,4,5,1,2,2,2,4,1,3,1997,2,2
2002,1,10038,1,2,2,2,1,1,2,4,1,3,1999,2,2
2002,1,10039,2,2,2,2,1,1,2,4,2,3,1992,2,2
2002,2,10039,3,2,2,2,1,1,2,4,2,3,1998,2,2
2002,1,10040,2,2,2,2,1,1,2,4,1,3,1999,2,2
2002,1,10041,1,5,5,2,1,1,2,4,1,3,2001,2,2
2002,1,10042,1,2,5,2,1,1,2,4,1,3,1984,2,2
2002,1,10043,2,2,2,2,1,1,2,4,2,3,1999,2,2
2002,1,10044,1,5,5,2,1,1,2,4,2,3,1989,2,2
2002,2,10044,6,2,2,2,1,1,1,4,2,3,2000,2,2
2002,1,10045,1,2,2,2,1,1,1,4,2,3,1990,2,2
2002,2,10045,6,2,2,1,1,1,1,4,2,3,1995,2,2
2002,3,10045,6,2,2,2,1,1,1,4,2,3,2000,2,2
2002,1,10046,1,3,3,2,1,1,2,4,1,3,1991,2,2
2002,2,10046,4,2,2,2,1,1,2,4,2,3,1992,2,2
2002,1,10047,1,2,2,1,1,1,1,4,2,3,1991,2,2
2002,1,10048,1,2,2,2,1,1,2,4,1,3,1994,2,2
2002,1,10049,6,2,2,2,1,1,1,4,1,3,1996,2,2
2002,2,10049,1,5,5,2,1,1,2,4,2,3,1991,2,2
2002,1,10050,1,2,2,2,1,1,2,4,2,3,1999,2,2
2002,1,10051,2,2,2,2,1,1,2,4,2,3,1996,2,2
2002,2,10051,6,2,2,2,1,1,1,4,2,3,1996,2,2
2002,1,10052,1,5,5,2,1,1,2,4,1,3,1999,2,2
2002,1,10053,1,2,2,1,1,1,2,4,1,3,1985,2,2
2002,1,10054,2,3,3,2,1,1,2,4,2,3,2000,2,2
2002,2,10054,3,2,2,2,1,1,2,4,2,3,1988,2,2
2002,1,10055,2,2,2,1,1,1,2,4,1,3,2001,2,2
2002,1,10056,1,2,2,2,1,1,2,4,2,3,1999,2,2
2002,1,10057,1,4,4,2,1,1,2,4,2,3,1992,2,2
2002,2,10057,6,2,2,1,1,1,1,4,2,3,1999,2,2
2002,1,10058,6,2,2,2,1,1,1,4,2,3,2000,2,2
2002,2,10058,3,2,2,2,1,1,2,4,2,3,1999,2,2
2002,1,10059,2,3,3,2,1,1,2,4,2,3,1993,1,2
2002,2,10059,2,4,4,1,1,1,2,4,2,3,1992,2,2
2002,1,10060,1,2,2,2,2,2,2,4,1,3,1988,2,2
2002,1,10061,1,2,2,2,2,2,2,4,1,3,1989,2,2
2002,1,10062,3,2,2,2,1,1,2,4,2,3,1995,2,2
2002,2,10062,1,2,2,2,1,1,2,4,2,3,1985,2,2
2002,1,10063,1,5,5,2,1,1,2,4,2,3,1994,2,2
2002,2,10063,1,2,2,2,1,1,2,4,2,3,1996,2,2
2002,1,10064,4,2,2,1,2,2,2,4,2,3,1999,2,2
2002,1,10065,1,5,5,1,1,1,2,4,2,3,1984,2,2
2002,2,10065,1,2,2,2,1,1,2,4,2,3,1988,2,2
2002,1,10066,1,2,2,2,1,1,2,4,2,3,1996,2,2
2002,2,10066,3,2,2,1,1,1,2,4,2,3,1995,2,2
2002,1,10067,4,2,2,2,1,1,2,4,1,3,1990,2,2
2002,1,10068,1,2,2,2,1,1,2,4,2,3,1991,2,2
2002,2,10068,6,3,3,2,1,1,1,4,2,3,2000,2,2
2002,1,10069,1,2,2,2,1,1,2,4,2,3,1992,2,2
2002,1,10070,4,5,5,2,1,1,1,4,2,3,1990,2,2
2002,2,10070,6,2,2,2,1,1,1,4,2,3,1991,2,2
2002,1,10071,1,2,2,2,2,2,2,4,2,3,1993,2,2
2002,2,10071,1,4,4,1,1,1,1,4,2,3,1993,2,2
2002,1,10072,2,5,5,2,1,1,2,4,1,3,2002,2,2
2002,1,10073,1,5,5,1,1,1,2,4,2,3,1997,2,2
2002,1,10074,1,1,1,1,1,1,2,4,1,3,1994,2,2
2002,1,10075,2,1,1,1,2,2,2,4,1,3,1984,2,2
2002,1,10076,1,3,3,2,1,1,2,4,2,3,1989,2,2
2002,2,10076,2,2,2,2,1,1,1,4,2,3,1997,2,2
2002,1,10077,1,2,2,1,1,1,2,4,2,3,1990,2,2
2002,1,10078,4,2,2,2,1,1,2,4,2,3,1998,2,2
