ST_CASE,YEAR,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10001,2002,0,0,0,0,0,0,0,0,0,0
10002,2002,0,0,0,0,0,0,0,0,0,0
10003,2002,12,0,28,0,0,24,0,0,8,14
10004,2002,20,0,23,0,18,3,0,0,0,9
10005,2002,21,40,10,18,14,22,18,28,0,29
10006,2002,0,9,0,0,0,0,0,0,0,0
10007,2002,0,8,0,0,10,0,0,0,0,0
10008,2002,0,0,0,0,0,0,0,0,0,0
10009,2002,7,9,21,29,22,14,29,24,14,14
10010,2002,0,0,0,0,0,0,0,0,0,0
10011,2002,0,0,0,0,0,0,0,0,0,0
10012,2002,16,28,12,9,15,27,12,2,4,10
10013,2002,21,15,9,24,11,24,23,25,23,27
10014,2002,0,0,0,0,0,0,0,0,0,0
10015,2002,30,27,22,26,16,11,11,20,13,15
10016,2002,0,0,0,0,0,0,0,0,0,0
10017,2002,10,17,12,19,13,12,26,8,20,11
10019,2002,0,0,0,0,0,0,0,0,0,0
10020,2002,15,15,15,15,15,15,15,15,15,15
10021,2002,0,0,0,0,0,0,0,0,0,0
10022,2002,0,0,0,0,0,0,0,0,0,0
10023,2002,0,0,0,0,0,18,22,0,18,0
10024,2002,0,0,34,11,0,0,2,0,22,9
10025,2002,0,0,0,0,0,0,0,0,0,0
10026,2002,0,0,0,0,11,0,0,0,0,0
10027,2002,8,0,19,18,8,17,16,10,11,8
10028,2002,25,0,0,13,0,30,23,25,15,22
10029,2002,0,0,0,0,0,0,0,14,0,0
10030,2002,0,21,0,0,0,0,0,0,0,0
10031,2002,0,0,0,0,0,0,0,0,0,0
10032,2002,0,0,0,0,0,0,0,0,0,0
10033,2002,0,0,0,0,0,0,0,0,0,0
10034,2002,17,12,0,0,14,23,19,12,16,12
10035,2002,0,0,0,26,22,0,0,14,0,0
10036,2002,14,14,12,13,20,21,18,10,0,18
10037,2002,18,18,18,18,18,18,18,18,18,18
10038,2002,18,18,18,18,18,18,18,18,18,18
10039,2002,0,0,0,0,0,0,0,4,0,0
10040,2002,12,20,0,12,11,9,13,0,17,3
10041,2002,0,0,0,0,0,0,0,0,0,0
10042,2002,23,0,15,9,10,7,14,19,0,14
10043,2002,0,6,0,0,0,0,0,0,0,0
