YEAR,ST_CASE,veh_no,per_no,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
2002,10001,1,1,0,0,0,0,0,0,0,0,0,0
2002,10002,1,1,0,0,0,0,0,0,0,0,0,0
2002,10003,1,1,12,0,28,0,0,24,0,0,8,14
2002,10004,1,1,20,0,23,0,18,3,0,0,0,9
2002,10005,1,1,21,40,10,18,14,22,18,28,0,29
2002,10006,1,1,0,9,0,0,0,0,0,0,0,0
2002,10007,1,1,0,8,0,0,10,0,0,0,0,0
2002,10008,1,1,0,0,0,0,0,0,0,0,0,0
2002,10008,2,1,0,0,0,0,0,0,0,0,0,0
2002,10009,1,1,7,9,21,29,22,14,29,24,14,14
2002,10010,1,1,0,0,0,0,0,0,0,0,0,0
2002,10010,2,1,0,0,0,0,0,0,0,0,0,0
2002,10011,1,1,0,0,0,0,0,0,0,0,0,0
2002,10011,2,1,0,0,0,0,0,0,0,0,0,0
2002,10012,1,1,16,28,12,9,15,27,12,2,4,10
2002,10013,1,1,21,15,9,24,11,24,23,25,23,27
2002,10014,1,1,0,0,0,0,0,0,0,0,0,0
2002,10015,1,1,0,16,0,0,0,0,0,0,0,0
2002,10015,2,1,30,27,22,26,16,11,11,20,13,15
2002,10016,1,1,0,0,0,0,0,0,0,0,0,0
2002,10017,1,1,10,17,12,19,13,12,26,8,20,11
2002,10019,0,1,0,0,0,0,0,0,0,28,0,0
2002,10019,1,1,0,0,0,0,0,0,0,0,0,0
2002,10020,1,1,15,15,15,15,15,15,15,15,15,15
2002,10021,1,1,0,0,0,0,0,0,0,0,0,0
2002,10021,2,1,0,0,0,0,0,0,0,0,0,0
2002,10022,1,1,0,0,0,0,0,0,0,0,0,0
2002,10023,1,1,0,0,0,0,0,0,22,0,18,0
2002,10023,2,1,0,0,0,0,0,18,0,0,0,0
2002,10024,1,1,0,0,0,0,0,0,0,0,14,0
2002,10024,2,1,0,0,0,0,0,0,0,0,0,0
2002,10024,3,1,0,0,0,0,0,0,0,0,0,0
2002,10024,4,1,0,0,34,11,0,0,2,0,22,9
2002,10025,1,1,0,0,0,0,0,0,0,0,0,0
2002,10025,2,1,0,0,0,0,0,0,0,0,0,0
2002,10026,1,1,0,0,0,0,11,0,0,0,0,0
2002,10027,1,1,8,0,19,18,8,17,16,10,11,8
2002,10027,2,1,0,0,0,0,0,0,0,0,0,0
2002,10028,1,1,25,0,0,13,0,30,23,25,15,22
2002,10029,1,1,0,0,0,0,0,0,0,14,0,0
2002,10029,2,1,0,0,0,0,0,0,0,0,0,0
2002,10030,1,1,0,0,0,0,0,0,0,0,0,0
2002,10030,2,1,0,21,0,0,0,0,0,0,0,0
2002,10031,1,1,0,0,0,0,0,0,0,0,0,0
2002,10031,2,1,0,0,0,0,0,0,0,0,0,0
2002,10032,1,1,0,0,0,0,0,0,0,0,0,0
2002,10033,1,1,0,0,0,0,0,0,0,0,0,0
2002,10033,2,1,0,0,0,0,0,0,0,0,0,0
2002,10034,1,1,17,12,0,0,14,23,19,12,16,12
2002,10034,2,1,0,0,0,0,0,18,0,0,0,0
2002,10035,1,1,0,0,0,26,22,0,0,14,0,0
2002,10035,2,1,0,0,0,0,0,0,0,0,0,0
2002,10036,1,1,14,14,12,13,20,21,18,10,0,18
2002,10036,2,1,0,0,0,0,0,0,0,0,0,0
2002,10037,1,1,18,18,18,18,18,18,18,18,18,18
2002,10038,1,1,18,18,18,18,18,18,18,18,18,18
2002,10039,1,1,0,0,0,0,0,0,0,0,0,0
2002,10039,2,1,0,0,0,0,0,0,0,4,0,0
2002,10040,1,1,12,20,0,12,11,9,13,0,17,3
2002,10041,1,1,0,0,0,0,0,0,0,0,0,0
2002,10042,1,1,23,0,15,9,10,7,14,19,0,14
2002,10043,1,1,0,6,0,0,0,0,0,0,0,0
2002,10044,1,1,9,0,0,0,0,0,0,0,0,0
2002,10044,2,1,0,0,0,0,0,0,0,0,0,0
2002,10045,1,1,0,0,0,0,0,0,0,0,0,0
2002,10045,2,1,0,0,0,0,0,0,0,0,0,0
2002,10045,3,1,0,0,0,0,0,0,0,0,0,0
2002,10046,1,1,0,0,0,0,0,6,0,0,0,10
2002,10046,2,1,0,0,0,0,0,0,0,0,0,0
2002,10047,1,1,0,0,0,0,0,0,0,0,0,0
2002,10048,1,1,10,10,10,10,10,10,10,10,10,10
2002,10049,1,1,0,0,0,0,0,0,0,0,0,0
2002,10049,2,1,0,0,0,0,0,0,0,0,0,0
2002,10050,0,1,16,16,16,16,16,16,16,16,16,16
2002,10050,1,1,16,16,16,16,16,16,16,16,16,16
2002,10051,1,1,2,2,2,2,2,2,2,2,2,2
2002,10051,2,1,0,0,0,0,0,0,0,0,0,0
2002,10052,1,1,0,0,0,0,0,0,0,0,0,0
2002,10053,0,1,0,0,0,0,8,0,0,0,0,0
2002,10053,1,1,0,0,0,0,0,0,0,0,19,0
2002,10054,1,1,0,0,18,0,0,0,19,0,12,8
2002,10054,2,1,0,0,0,0,0,0,0,0,0,0
2002,10055,1,1,22,22,22,22,22,22,22,22,22,22
2002,10056,1,1,0,0,0,0,0,0,0,0,0,0
2002,10057,1,1,0,0,0,0,0,0,0,0,0,0
2002,10057,2,1,20,0,0,0,39,0,13,0,12,0
2002,10058,1,1,0,0,0,0,0,0,0,0,0,0
2002,10058,2,1,0,0,0,0,0,0,0,0,0,0
2002,10059,1,1,0,0,0,0,0,0,0,0,0,0
2002,10059,2,1,0,0,0,0,0,0,0,0,0,0
2002,10060,0,1,0,0,0,0,0,0,0,0,0,0
2002,10060,1,1,14,14,14,14,14,14,14,14,14,14
2002,10061,1,1,26,26,26,26,26,26,26,26,26,26
2002,10062,1,1,0,0,0,0,0,0,0,0,0,0
2002,10062,2,1,0,0,0,0,0,0,0,0,0,0
2002,10063,1,1,0,0,0,0,0,0,0,0,0,0
2002,10063,2,1,0,0,0,9,0,0,0,0,0,0
2002,10064,1,1,0,0,0,0,0,0,0,0,0,0
2002,10065,1,1,0,0,0,0,0,0,0,0,0,0
2002,10065,2,1,0,0,0,0,0,0,0,0,0,14
2002,10066,1,1,5,5,5,5,5,5,5,5,5,5
2002,10066,2,1,0,0,0,0,0,0,0,0,0,0
2002,10067,1,1,40,40,40,40,40,40,40,40,40,40
2002,10068,1,1,0,0,0,0,0,0,0,0,0,0
2002,10068,2,1,0,0,0,0,0,0,0,0,0,0
2002,10069,1,1,0,0,0,0,0,0,0,0,0,0
2002,10070,1,1,0,0,0,0,0,0,0,0,0,0
2002,10070,2,1,0,0,0,0,0,0,0,0,0,0
2002,10071,1,1,0,0,0,0,0,0,0,0,0,0
2002,10071,2,1,0,0,0,0,0,0,0,0,0,0
2002,10072,1,1,20,20,20,20,20,20,20,20,20,20
2002,10073,1,1,0,0,0,0,0,0,0,0,0,0
2002,10074,1,1,32,32,32,32,32,32,32,32,32,32
2002,10075,1,1,17,17,17,17,17,17,17,17,17,17
2002,10076,1,1,0,0,0,0,0,0,0,0,0,0
2002,10076,2,1,0,0,0,0,0,0,9,0,0,0
2002,10077,1,1,0,0,0,0,0,0,0,0,0,0
2002,10078,0,1,20,0,0,19,0,0,0,11,0,0
2002,10078,1,1,0,0,0,0,0,0,0,0,0,0
2002,10079,1,1,28,4,0,22,18,18,0,12,16,19
2002,10080,1,1,0,0,0,0,0,0,0,0,0,0
2002,10081,1,1,27,27,27,27,27,27,27,27,27,27
2002,10082,1,1,3,0,0,0,0,0,0,33,0,0
2002,10083,1,1,9,10,15,19,13,16,8,5,11,25
2002,10083,2,1,0,0,0,26,0,0,0,0,0,0
2002,10084,1,1,21,4,9,18,10,25,5,44,26,21
2002,10085,0,1,6,6,6,6,6,6,6,6,6,6
2002,10085,1,1,0,0,0,0,0,0,0,0,0,0
2002,10086,1,1,18,18,18,18,18,18,18,18,18,18
2002,10087,1,1,0,0,0,0,18,0,0,0,0,0
