STATE,ST_CASE,VEH_NO,PVE_Forms,PNUMOCCS,PDAY,PMONTH,PHOUR,PMINUTE,PHARM_EV,PMAN_COLL,PTYPE,PHIT_RUN,PREG_STAT,POWNER,PMAKE,PMODEL,PMAK_MOD,PBODYTYP,PMODYEAR,PVIN,PVIN_1,PVIN_2,PVIN_3,PVIN_4,PVIN_5,PVIN_6,PVIN_7,PVIN_8,PVIN_9,PVIN_10,PVIN_11,PVIN_12,PVINTYPE,PVINMAKE,PVINA_MOD,PVIN_BT,PVINMODYR,PVIN_LNGT,PVIN_WGT,PWGTCD_TR,PWHLBS_LG,PWHLBS_SH,PSER_TR,PFUECODE,PMCYCL_DS,PTRAILER,PMCARR_I1,PMCARR_I2,PMCARR_ID,PGVWR,PV_CONFIG,PCARGTYP,PHAZ_INV,PHAZPLAC,PHAZ_ID,PHAZ_CNO,PHAZ_REL,PBUS_USE,PSP_USE,PEM_USE,PUNDERIDE,PIMPACT1,PIMPACT2,PVEH_SEV,PTOWED,PM_HARM,PVEH_SC1,PVEH_SC2,PFIRE,PDEATHS
2,20032,3,2,0,5,9,22,57,12,6,2,0,2,6,49,33,49033,3,1994,JT2AT00N4R00,J,T,2,A,T,0,0,N,4,R,0,0,P,TOYT,LST,2L,94,17,2495,,0,999,,G,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,4,4,4,4,14,0,0,0,0
2,20032,4,2,0,5,9,22,57,12,6,2,0,2,6,12,37,12037,5,2005,3FAHP37N85R1,3,F,A,H,P,3,7,N,8,5,R,1,P,FORD,FX5,5D,5,17,2729,,0,1030,,G,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,12,12,4,4,14,0,0,0,0
4,40007,2,1,0,9,1,17,45,14,0,2,0,6,6,82,881,82881,66,2004,1FUJCRCK54PM,1,F,U,J,C,R,C,K,5,4,P,M,T,FRHT,COR,DS,4,17,,8,0,0,CON,D,,1,57,1018061,571018061,3,6,1,1,0,0,0,0,0,0,0,0,12,12,6,4,12,0,0,0,0
4,40175,2,1,0,4,4,11,30,34,0,3,0,4,6,49,32,49032,4,2002,1NXBR12E72Z6,1,N,X,B,R,1,2,E,7,2,Z,6,P,TOYT,UCS,4D,2,17,2405,,0,970,,G,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,7,99,2,4,12,0,0,0,0
4,40175,3,1,0,4,4,11,30,34,0,3,0,4,6,37,441,37441,20,2004,5FNRL18864B1,5,F,N,R,L,1,8,8,6,4,B,1,P,HOND,UDY,SV,4,17,4365,,0,1181,,G,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,9,9,2,4,14,0,0,0,0
4,40208,3,4,0,27,4,6,23,12,1,2,0,4,6,20,473,20473,30,2009,1GCCS14E3981,1,G,C,C,S,1,4,E,3,9,8,1,T,CHEV,RDO,PK,9,17,,1,0,1113,CAL,G,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,5,8,6,2,8,0,0,0,0
4,40223,3,2,0,21,4,11,28,12,6,3,0,4,6,49,401,49401,14,2008,JTEZU14R68K0,J,T,E,Z,U,1,4,R,6,8,K,0,P,TOYT,RUN,UT,8,17,4045,,0,1098,,G,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,99,0,6,2,2,0,0,1,0
4,40366,2,1,0,10,7,11,5,18,0,3,0,4,6,7,402,7402,14,1999,1B4HS28Y5XF6,1,B,4,H,S,2,8,Y,5,X,F,6,P,DODG,DUR,UT,99,17,4397,,0,1159,,G,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,13,13,9,9,12,0,0,0,0
4,40386,2,1,0,31,7,23,59,45,0,4,0,4,3,84,881,84881,63,2005,1HTWYAHT65J1,1,H,T,W,Y,A,H,T,6,5,J,1,T,INTL,760,TM,5,17,,8,0,0,70S,D,,0,88,888888888,88888888888,3,2,98,1,0,0,0,0,0,0,0,0,11,11,6,2,12,0,0,0,0
4,40598,2,1,0,13,11,8,9,14,0,2,0,47,6,82,883,82883,66,2007,1FUJA6CK77LX,1,F,U,J,A,6,C,K,7,7,L,X,T,FRHT,COL,DS,7,17,,8,0,0,CON,D,,1,57,0511412,570511412,3,6,3,1,0,0,0,0,0,0,0,0,6,6,2,1,12,0,0,0,0
4,40612,2,1,0,26,11,2,17,1,0,3,0,4,6,12,481,12481,31,1999,1FTPE24L0XHB,1,F,T,P,E,2,4,L,0,X,H,B,T,FORD,25V,CG,99,17,,2,0,1380,VAN,G,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,99,99,4,4,14,0,0,0,0
5,50003,2,1,0,4,1,4,26,14,0,3,0,40,6,82,881,82881,66,2007,1FUJBBCK77LZ,1,F,U,J,B,B,C,K,7,7,L,Z,T,FRHT,ST2,DS,7,17,,8,0,0,CON,D,,1,57,179752,57179752,3,6,1,1,0,0,0,0,0,0,0,0,6,6,4,1,14,0,0,0,0
5,50208,3,2,0,1,7,15,40,14,0,3,0,17,6,20,422,20422,15,9999,999999999999,9,9,9,9,9,9,9,9,9,9,9,9,U,,,,9,17,,,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,6,6,2,54,0,0,0,0
